"Hours since thread went live","Yuuki Bakuhatsu Bang Bravern • Brave Bang Bravern! - Episode 11 discussion"
0,1
0,1
0.08333333333333333,3
0.16666666666666666,6
0.25,11
0.3333333333333333,13
0.4166666666666667,17
0.5,23
0.5833333333333334,26
0.6666666666666666,28
0.75,30
0.8333333333333334,30
0.9166666666666666,33
1,34
1.0833333333333333,37
1.1666666666666667,42
1.25,44
1.3333333333333333,45
1.4166666666666667,47
1.5,45
1.5833333333333333,47
1.6666666666666667,52
1.75,54
1.8333333333333333,53
1.9166666666666667,52
2,57
2.0833333333333335,59
2.1666666666666665,59
2.25,61
2.3333333333333335,62
2.4166666666666665,61
2.5,66
2.5833333333333335,65
2.6666666666666665,66
2.75,69
2.8333333333333335,67
2.9166666666666665,69
3,73
3.0833333333333335,72
3.1666666666666665,74
3.25,76
3.3333333333333335,82
3.4166666666666665,80
3.5,86
3.5833333333333335,81
3.6666666666666665,82
3.75,83
3.8333333333333335,90
3.9166666666666665,93
4,89
4.083333333333333,94
4.166666666666667,93
4.25,93
4.333333333333333,98
4.416666666666667,94
4.5,97
4.583333333333333,94
4.666666666666667,97
4.75,102
4.833333333333333,101
4.916666666666667,99
5,98
5.083333333333333,103
5.166666666666667,104
5.25,108
5.333333333333333,109
5.416666666666667,109
5.5,110
5.583333333333333,111
5.666666666666667,111
5.75,111
5.833333333333333,113
5.916666666666667,113
6,114
6.083333333333333,118
6.166666666666667,115
6.25,118
6.333333333333333,122
6.416666666666667,119
6.5,125
6.583333333333333,125
6.666666666666667,122
6.75,130
6.833333333333333,130
6.916666666666667,129
7,134
7.083333333333333,138
7.166666666666667,138
7.25,137
7.333333333333333,140
7.416666666666667,141
7.5,138
7.583333333333333,142
7.666666666666667,143
7.75,140
7.833333333333333,140
7.916666666666667,145
8,143
8.083333333333334,148
8.166666666666666,150
8.25,157
8.333333333333334,157
8.416666666666666,155
8.5,157
8.583333333333334,160
8.666666666666666,158
8.75,158
8.833333333333334,157
8.916666666666666,158
9,159
9.083333333333334,159
9.166666666666666,157
9.25,164
9.333333333333334,163
9.416666666666666,167
9.5,163
9.583333333333334,166
9.666666666666666,169
9.75,167
9.833333333333334,169
9.916666666666666,173
10,170
10.083333333333334,170
10.166666666666666,169
10.25,174
10.333333333333334,177
10.416666666666666,181
10.5,179
10.583333333333334,178
10.666666666666666,177
10.75,181
10.833333333333334,185
10.916666666666666,186
11,187
11.083333333333334,187
11.166666666666666,194
11.25,190
11.333333333333334,189
11.416666666666666,195
11.5,197
11.583333333333334,201
11.666666666666666,204
11.75,206
11.833333333333334,205
11.916666666666666,203
12,207
12.083333333333334,205
12.166666666666666,206
12.25,210
12.333333333333334,213
12.416666666666666,210
12.5,214
12.583333333333334,213
12.666666666666666,207
12.75,209
12.833333333333334,209
12.916666666666666,214
13,216
13.083333333333334,215
13.166666666666666,210
13.25,213
13.333333333333334,215
13.416666666666666,213
13.5,214
13.583333333333334,212
13.666666666666666,216
13.75,217
13.833333333333334,218
13.916666666666666,219
14,219
14.083333333333334,218
14.166666666666666,219
14.25,221
14.333333333333334,216
14.416666666666666,217
14.5,223
14.583333333333334,219
14.666666666666666,225
14.75,222
14.833333333333334,226
14.916666666666666,230
15.083333333333334,228
15.166666666666666,228
15.25,223
15.333333333333334,231
15.416666666666666,230
15.5,227
15.583333333333334,226
15.666666666666666,226
15.75,226
15.833333333333334,229
15.916666666666666,227
16,232
16.083333333333332,228
16.166666666666668,228
16.25,231
16.333333333333332,226
16.416666666666668,232
16.5,231
16.583333333333332,231
16.666666666666668,227
16.75,233
16.833333333333332,230
16.916666666666668,227
17,233
17.083333333333332,228
17.166666666666668,235
17.25,230
17.333333333333332,232
17.416666666666668,230
17.5,232
17.583333333333332,232
17.666666666666668,232
17.75,232
17.833333333333332,235
17.916666666666668,234
18,236
18.083333333333332,238
18.166666666666668,232
18.25,235
18.333333333333332,231
18.416666666666668,236
18.5,237
18.583333333333332,238
18.666666666666668,231
18.75,237
18.833333333333332,239
18.916666666666668,238
19,239
19.083333333333332,238
19.166666666666668,236
19.25,238
19.333333333333332,240
19.416666666666668,238
19.5,236
19.583333333333332,237
19.666666666666668,240
19.75,237
19.833333333333332,239
19.916666666666668,243
20,243
20.083333333333332,244
20.166666666666668,246
20.25,245
20.333333333333332,244
20.416666666666668,245
20.5,244
20.583333333333332,246
20.666666666666668,250
20.75,245
20.833333333333332,249
20.916666666666668,242
21,243
21.083333333333332,245
21.166666666666668,247
21.25,248
21.333333333333332,245
21.416666666666668,248
21.5,244
21.583333333333332,248
21.666666666666668,245
21.75,247
21.833333333333332,245
21.916666666666668,248
22,249
22.083333333333332,251
22.166666666666668,251
22.25,249
22.333333333333332,251
22.416666666666668,248
22.5,248
22.583333333333332,251
22.666666666666668,251
22.75,251
22.833333333333332,251
22.916666666666668,253
23,253
23.083333333333332,253
23.166666666666668,255
23.25,255
23.333333333333332,256
23.416666666666668,253
23.5,253
23.583333333333332,252
23.666666666666668,255
23.75,258
23.833333333333332,255
23.916666666666668,253
24,254
24.083333333333332,255
24.166666666666668,257
24.25,251
24.333333333333332,258
24.416666666666668,256
24.5,255
24.583333333333332,258
24.666666666666668,258
24.75,255
24.833333333333332,255
24.916666666666668,256
25,258
25.083333333333332,259
25.166666666666668,255
25.25,256
25.333333333333332,256
25.416666666666668,254
25.5,256
25.583333333333332,260
25.666666666666668,253
25.75,257
25.833333333333332,258
25.916666666666668,260
26,259
26.083333333333332,257
26.166666666666668,257
26.25,256
26.333333333333332,256
26.416666666666668,260
26.5,258
26.583333333333332,259
26.666666666666668,257
26.75,261
26.833333333333332,256
26.916666666666668,262
27,256
27.083333333333332,261
27.166666666666668,257
27.25,255
27.333333333333332,256
27.416666666666668,254
27.5,258
27.583333333333332,262
27.666666666666668,260
27.75,260
27.833333333333332,260
27.916666666666668,257
28,261
28.083333333333332,263
28.166666666666668,259
28.25,260
28.333333333333332,259
28.416666666666668,265
28.5,265
28.583333333333332,262
28.666666666666668,265
28.75,265
28.833333333333332,263
28.916666666666668,266
29,267
29.083333333333332,261
29.166666666666668,264
29.25,262
29.333333333333332,264
29.416666666666668,261
29.5,266
29.583333333333332,263
29.666666666666668,262
29.75,266
29.833333333333332,263
29.916666666666668,264
30,264
30.083333333333332,264
30.166666666666668,265
30.25,267
30.333333333333332,262
30.416666666666668,266
30.5,268
30.583333333333332,266
30.666666666666668,264
30.75,266
30.833333333333332,268
30.916666666666668,262
31,269
31.083333333333332,267
31.166666666666668,263
31.25,268
31.333333333333332,267
31.416666666666668,267
31.5,264
31.583333333333332,265
31.666666666666668,267
31.75,268
31.833333333333332,266
31.916666666666668,269
32,266
32.083333333333336,267
32.166666666666664,266
32.25,265
32.333333333333336,267
32.416666666666664,268
32.5,273
32.583333333333336,267
32.666666666666664,269
32.75,273
32.833333333333336,269
32.916666666666664,273
33,271
33.083333333333336,265
33.166666666666664,270
33.25,266
33.333333333333336,271
33.416666666666664,271
33.5,270
33.583333333333336,271
33.666666666666664,270
33.75,269
33.833333333333336,270
33.916666666666664,271
34,272
34.083333333333336,268
34.166666666666664,276
34.25,273
34.333333333333336,269
34.416666666666664,276
34.5,275
34.583333333333336,274
34.666666666666664,272
34.75,269
34.833333333333336,270
34.916666666666664,273
35,273
35.083333333333336,271
35.166666666666664,272
35.25,272
35.333333333333336,271
35.416666666666664,276
35.5,274
35.583333333333336,270
35.666666666666664,276
35.75,273
35.833333333333336,275
35.916666666666664,275
36,277
36.083333333333336,277
36.166666666666664,272
36.25,274
36.333333333333336,276
36.416666666666664,273
36.5,271
36.583333333333336,274
36.666666666666664,270
36.75,276
36.833333333333336,279
36.916666666666664,279
37,275
37.083333333333336,277
37.166666666666664,274
37.25,274
37.333333333333336,273
37.416666666666664,277
37.5,274
37.583333333333336,276
37.666666666666664,276
37.75,279
37.833333333333336,278
37.916666666666664,278
38,276
38.083333333333336,275
38.166666666666664,273
38.25,273
38.333333333333336,275
38.416666666666664,275
38.5,279
38.583333333333336,279
38.666666666666664,275
38.75,279
38.833333333333336,274
38.916666666666664,279
