"Hours since thread went live","Megumi no Daigo: Kyuukoku no Orange • Firefighter Daigo: Rescuer in Orange - Episode 23 discussion"
0,1
0.08333333333333333,1
0.16666666666666666,1
0.25,1
0.3333333333333333,1
0.4166666666666667,1
0.5,1
0.5833333333333334,2
0.6666666666666666,2
0.75,2
0.8333333333333334,3
0.9166666666666666,3
1,2
1.0833333333333333,3
1.1666666666666667,2
1.25,3
1.3333333333333333,2
1.4166666666666667,5
1.5,6
1.5833333333333333,5
1.6666666666666667,6
1.75,6
1.8333333333333333,5
1.9166666666666667,5
2,7
2.0833333333333335,6
2.1666666666666665,7
2.25,7
2.3333333333333335,7
2.4166666666666665,7
2.5,7
2.5833333333333335,7
2.6666666666666665,6
2.75,7
2.8333333333333335,8
2.9166666666666665,8
3,9
3.0833333333333335,6
3.1666666666666665,8
3.25,7
3.3333333333333335,8
3.4166666666666665,9
3.5,8
3.5833333333333335,8
3.6666666666666665,9
3.75,9
3.8333333333333335,9
3.9166666666666665,9
4,8
4.083333333333333,8
4.166666666666667,9
4.25,9
4.333333333333333,7
4.416666666666667,10
4.5,8
4.583333333333333,9
4.666666666666667,7
4.75,9
4.833333333333333,8
4.916666666666667,11
5,12
5.083333333333333,10
5.166666666666667,8
5.25,11
5.333333333333333,8
5.416666666666667,10
5.5,9
5.583333333333333,8
5.666666666666667,12
5.75,12
5.833333333333333,10
5.916666666666667,12
6,10
6.083333333333333,10
6.166666666666667,12
6.25,10
6.333333333333333,9
6.416666666666667,10
6.5,10
6.583333333333333,10
6.666666666666667,8
6.75,9
6.833333333333333,12
6.916666666666667,10
7,10
7.083333333333333,11
7.166666666666667,11
7.25,14
7.333333333333333,12
7.416666666666667,14
7.5,11
7.583333333333333,12
7.666666666666667,12
7.75,11
7.833333333333333,12
7.916666666666667,13
8,12
8.083333333333334,13
8.166666666666666,14
8.25,12
8.333333333333334,12
8.416666666666666,12
8.5,12
8.583333333333334,14
8.666666666666666,15
8.75,12
8.833333333333334,10
8.916666666666666,12
9,14
9.083333333333334,13
9.166666666666666,15
9.25,17
9.333333333333334,14
9.416666666666666,15
9.5,16
9.583333333333334,15
9.666666666666666,15
9.75,13
9.833333333333334,13
9.916666666666666,14
10,17
10.083333333333334,15
10.166666666666666,18
10.25,15
10.333333333333334,17
10.416666666666666,17
10.5,17
10.583333333333334,15
10.666666666666666,16
10.75,16
10.833333333333334,17
10.916666666666666,14
11,17
11.083333333333334,15
11.166666666666666,17
11.25,17
11.333333333333334,17
11.416666666666666,16
11.5,14
11.583333333333334,17
11.666666666666666,16
11.75,17
11.833333333333334,15
11.916666666666666,18
12,16
12.083333333333334,17
12.166666666666666,18
12.25,16
12.333333333333334,17
12.416666666666666,18
12.5,16
12.583333333333334,17
12.666666666666666,16
12.75,16
12.833333333333334,18
12.916666666666666,18
13,19
13.083333333333334,15
13.166666666666666,18
13.25,18
13.333333333333334,15
13.416666666666666,19
13.5,16
13.583333333333334,18
13.666666666666666,15
13.75,19
13.833333333333334,18
13.916666666666666,18
14,16
14.083333333333334,18
14.166666666666666,20
14.25,19
14.333333333333334,20
14.416666666666666,17
14.5,18
14.583333333333334,17
14.666666666666666,16
14.75,18
14.833333333333334,17
14.916666666666666,18
15,20
15.083333333333334,17
15.166666666666666,17
15.25,17
15.333333333333334,17
15.416666666666666,18
15.5,18
15.583333333333334,20
15.666666666666666,18
15.75,16
15.833333333333334,19
15.916666666666666,17
16,18
16.083333333333332,18
16.166666666666668,20
16.25,20
16.333333333333332,17
16.416666666666668,20
16.5,19
16.583333333333332,18
16.666666666666668,21
16.75,22
16.833333333333332,19
16.916666666666668,22
17,22
17.083333333333332,22
17.166666666666668,22
17.25,20
17.333333333333332,21
17.416666666666668,20
17.5,23
17.583333333333332,21
17.666666666666668,21
17.75,20
17.833333333333332,20
17.916666666666668,22
18,19
18.083333333333332,23
18.166666666666668,22
18.25,24
18.333333333333332,22
18.416666666666668,21
18.5,24
18.583333333333332,23
18.666666666666668,22
18.75,23
18.833333333333332,22
18.916666666666668,24
19,24
19.083333333333332,24
19.166666666666668,25
19.25,25
19.333333333333332,22
19.416666666666668,24
19.5,25
19.583333333333332,22
19.666666666666668,24
19.75,25
19.833333333333332,25
19.916666666666668,26
20,24
20.083333333333332,24
20.166666666666668,25
20.25,25
20.333333333333332,24
20.416666666666668,26
20.5,28
20.583333333333332,28
20.666666666666668,28
20.75,28
20.833333333333332,27
20.916666666666668,27
21,28
21.083333333333332,27
21.166666666666668,26
21.25,27
21.333333333333332,28
21.416666666666668,28
21.5,29
21.583333333333332,27
21.666666666666668,27
21.75,26
21.833333333333332,27
21.916666666666668,27
22,25
22.083333333333332,28
22.166666666666668,27
22.25,25
22.333333333333332,27
22.416666666666668,28
22.5,28
22.583333333333332,28
22.666666666666668,28
22.75,27
22.833333333333332,26
22.916666666666668,29
23,27
23.083333333333332,25
23.166666666666668,25
23.25,26
23.333333333333332,27
23.416666666666668,28
23.5,26
23.583333333333332,26
23.666666666666668,25
23.75,27
23.833333333333332,25
23.916666666666668,25
24,28
24.083333333333332,28
24.166666666666668,28
24.25,27
24.333333333333332,26
24.416666666666668,26
24.5,26
24.583333333333332,26
24.666666666666668,28
24.75,27
24.833333333333332,28
24.916666666666668,28
25,27
25.083333333333332,29
25.166666666666668,29
25.25,28
25.333333333333332,28
25.416666666666668,27
25.5,29
25.583333333333332,26
25.666666666666668,26
25.75,26
25.833333333333332,29
25.916666666666668,28
26,27
26.083333333333332,28
26.166666666666668,28
26.25,29
26.333333333333332,27
26.416666666666668,28
26.5,25
26.583333333333332,28
26.666666666666668,27
26.75,29
26.833333333333332,28
26.916666666666668,29
27,27
27.083333333333332,26
27.166666666666668,29
27.25,27
27.333333333333332,29
27.416666666666668,28
27.5,27
27.583333333333332,28
27.666666666666668,28
27.75,28
27.833333333333332,26
27.916666666666668,26
28,27
28.083333333333332,28
28.166666666666668,26
28.25,27
28.333333333333332,29
28.416666666666668,27
28.5,29
28.583333333333332,27
28.666666666666668,26
28.75,29
28.833333333333332,27
28.916666666666668,27
29,26
29.083333333333332,26
29.166666666666668,29
29.25,27
29.333333333333332,27
29.416666666666668,26
29.5,25
29.583333333333332,26
29.666666666666668,27
29.75,28
29.833333333333332,26
29.916666666666668,26
30,26
30.083333333333332,29
30.166666666666668,25
30.25,27
30.333333333333332,27
30.416666666666668,26
30.5,27
30.583333333333332,27
30.666666666666668,27
30.75,26
30.833333333333332,28
30.916666666666668,28
31,28
31.083333333333332,27
31.166666666666668,29
31.25,29
31.333333333333332,28
31.416666666666668,27
31.5,29
31.583333333333332,28
31.666666666666668,26
31.75,29
31.833333333333332,29
31.916666666666668,28
32,29
32.083333333333336,28
32.166666666666664,29
32.25,28
32.333333333333336,27
32.416666666666664,29
32.5,26
32.583333333333336,28
32.666666666666664,28
32.75,27
32.833333333333336,29
32.916666666666664,29
33,30
33.083333333333336,28
33.166666666666664,27
33.25,27
33.333333333333336,28
33.416666666666664,27
33.5,28
33.583333333333336,26
33.666666666666664,30
33.75,28
33.833333333333336,29
33.916666666666664,28
34,27
34.083333333333336,26
34.166666666666664,28
34.25,27
34.333333333333336,30
34.416666666666664,27
34.5,26
34.583333333333336,30
34.666666666666664,27
34.75,30
34.833333333333336,30
34.916666666666664,28
35,27
35.083333333333336,29
35.166666666666664,28
35.25,28
