"Hours since thread went live","Ore dake Level Up na Ken • Solo Leveling - Episode 11 discussion"
0,4
0.08333333333333333,11
0.16666666666666666,28
0.25,39
0.3333333333333333,55
0.4166666666666667,72
0.5,87
0.5833333333333334,117
0.6666666666666666,139
0.75,176
0.8333333333333334,207
0.9166666666666666,225
1,250
1.0833333333333333,290
1.1666666666666667,317
1.25,337
1.3333333333333333,374
1.4166666666666667,397
1.5,439
1.5833333333333333,461
1.6666666666666667,481
1.75,508
1.8333333333333333,528
1.9166666666666667,545
2,566
2.0833333333333335,596
2.1666666666666665,617
2.25,641
2.3333333333333335,661
2.4166666666666665,685
2.5,706
2.5833333333333335,727
2.6666666666666665,746
2.75,762
2.8333333333333335,792
2.9166666666666665,815
3,834
3.0833333333333335,856
3.1666666666666665,869
3.25,889
3.3333333333333335,908
3.4166666666666665,933
3.5,951
3.5833333333333335,967
3.6666666666666665,982
3.75,998
3.8333333333333335,1017
3.9166666666666665,1022
4,1048
4.083333333333333,1080
4.166666666666667,1087
4.25,1104
4.333333333333333,1113
4.416666666666667,1137
4.5,1157
4.583333333333333,1164
4.666666666666667,1182
4.75,1201
4.833333333333333,1216
4.916666666666667,1226
5,1233
5.083333333333333,1253
5.166666666666667,1251
5.25,1258
5.333333333333333,1268
5.416666666666667,1285
5.5,1295
5.583333333333333,1307
5.666666666666667,1319
5.75,1329
5.833333333333333,1338
5.916666666666667,1346
6,1364
6.083333333333333,1370
6.166666666666667,1376
6.25,1396
6.333333333333333,1408
6.416666666666667,1427
6.5,1430
6.583333333333333,1441
6.666666666666667,1457
6.75,1464
6.833333333333333,1481
6.916666666666667,1488
7,1505
7.083333333333333,1516
7.166666666666667,1525
7.25,1538
7.333333333333333,1551
7.416666666666667,1560
7.5,1577
7.583333333333333,1588
7.666666666666667,1597
7.75,1605
7.833333333333333,1616
7.916666666666667,1633
8,1644
8.083333333333334,1651
8.166666666666666,1667
8.25,1671
8.333333333333334,1690
8.416666666666666,1702
8.5,1715
8.583333333333334,1732
8.666666666666666,1739
8.75,1739
8.833333333333334,1757
8.916666666666666,1769
9,1764
9.083333333333334,1774
9.166666666666666,1792
9.25,1799
9.333333333333334,1805
9.416666666666666,1817
9.5,1830
9.583333333333334,1837
9.666666666666666,1839
9.75,1841
9.833333333333334,1851
9.916666666666666,1864
10,1876
10.083333333333334,1885
10.166666666666666,1892
10.25,1896
10.333333333333334,1913
10.416666666666666,1916
10.5,1925
10.583333333333334,1927
10.666666666666666,1936
10.75,1946
10.833333333333334,1949
10.916666666666666,1965
11,1978
11.083333333333334,1985
11.166666666666666,1989
11.25,1996
11.333333333333334,1994
11.416666666666666,2012
11.5,2014
11.583333333333334,2018
11.666666666666666,2033
11.75,2035
11.833333333333334,2037
11.916666666666666,2053
12,2064
12.083333333333334,2073
12.166666666666666,2083
12.25,2092
12.333333333333334,2093
12.416666666666666,2095
12.5,2102
12.583333333333334,2111
12.666666666666666,2114
12.75,2123
12.833333333333334,2120
12.916666666666666,2131
13,2128
13.083333333333334,2138
13.166666666666666,2145
13.25,2150
13.333333333333334,2153
13.416666666666666,2155
13.5,2158
13.583333333333334,2166
13.666666666666666,2168
13.75,2170
13.833333333333334,2186
13.916666666666666,2186
14,2183
14.083333333333334,2189
14.166666666666666,2199
14.25,2190
14.333333333333334,2201
14.416666666666666,2205
14.5,2210
14.583333333333334,2223
14.666666666666666,2214
14.75,2220
14.833333333333334,2231
14.916666666666666,2231
15,2238
15.083333333333334,2242
15.166666666666666,2250
15.25,2254
15.333333333333334,2260
15.416666666666666,2266
15.5,2264
15.583333333333334,2272
15.666666666666666,2264
15.75,2271
15.833333333333334,2280
15.916666666666666,2280
16,2282
16.083333333333332,2281
16.166666666666668,2279
16.25,2283
16.333333333333332,2288
16.416666666666668,2294
16.5,2297
16.583333333333332,2295
16.666666666666668,2303
16.75,2304
16.833333333333332,2318
16.916666666666668,2312
17,2325
17.083333333333332,2319
17.166666666666668,2326
17.25,2333
17.333333333333332,2326
17.416666666666668,2332
17.5,2337
17.583333333333332,2331
17.666666666666668,2340
17.75,2336
17.833333333333332,2335
17.916666666666668,2338
18,2340
18.083333333333332,2341
18.166666666666668,2347
18.25,2351
18.333333333333332,2352
18.416666666666668,2357
18.5,2361
18.583333333333332,2364
18.666666666666668,2354
18.75,2355
18.833333333333332,2363
18.916666666666668,2367
19,2368
19.083333333333332,2370
19.166666666666668,2363
19.25,2373
19.333333333333332,2372
19.416666666666668,2372
19.5,2376
19.583333333333332,2377
19.666666666666668,2375
19.75,2371
19.833333333333332,2377
19.916666666666668,2384
20,2382
20.083333333333332,2389
20.166666666666668,2390
20.25,2396
20.333333333333332,2393
20.416666666666668,2400
20.5,2408
20.583333333333332,2409
20.666666666666668,2407
20.75,2408
20.833333333333332,2410
20.916666666666668,2412
21,2411
21.083333333333332,2415
21.166666666666668,2417
21.25,2418
21.333333333333332,2433
21.416666666666668,2433
21.5,2431
21.583333333333332,2438
