"Hours since thread went live","One Piece - Episode 1098 discussion"
0,1
0.08333333333333333,0
0.16666666666666666,1
0.25,1
0.3333333333333333,3
0.4166666666666667,4
0.5,4
0.5833333333333334,5
0.6666666666666666,5
0.75,7
0.8333333333333334,7
0.9166666666666666,7
1,7
1.0833333333333333,8
1.1666666666666667,9
1.25,9
1.3333333333333333,9
1.4166666666666667,10
1.5,12
1.5833333333333333,14
1.6666666666666667,14
1.75,14
1.8333333333333333,14
1.9166666666666667,16
2,19
2.0833333333333335,19
2.1666666666666665,20
2.25,19
2.3333333333333335,19
2.4166666666666665,19
2.5,20
2.5833333333333335,21
2.6666666666666665,21
2.75,21
2.8333333333333335,22
2.9166666666666665,22
3,21
3.0833333333333335,21
3.1666666666666665,21
3.25,24
3.3333333333333335,23
3.4166666666666665,22
3.5,23
3.5833333333333335,23
3.6666666666666665,23
3.75,24
3.8333333333333335,27
3.9166666666666665,26
4,27
4.083333333333333,28
4.166666666666667,27
4.25,29
4.333333333333333,28
4.416666666666667,28
4.5,30
4.583333333333333,28
4.666666666666667,29
4.75,30
4.833333333333333,26
4.916666666666667,29
5,28
5.083333333333333,28
5.166666666666667,28
5.25,30
5.333333333333333,30
5.416666666666667,31
5.5,32
5.583333333333333,34
5.666666666666667,33
5.75,31
5.833333333333333,33
5.916666666666667,34
6,30
6.083333333333333,37
6.166666666666667,36
6.25,35
6.333333333333333,33
6.416666666666667,32
6.5,38
6.583333333333333,36
6.666666666666667,35
6.75,39
6.833333333333333,34
6.916666666666667,38
7,36
7.083333333333333,37
7.166666666666667,37
7.25,36
7.333333333333333,38
7.416666666666667,38
7.5,39
7.583333333333333,39
7.666666666666667,37
7.75,40
7.833333333333333,39
7.916666666666667,38
8,36
8.083333333333334,39
8.166666666666666,36
8.25,39
8.333333333333334,38
8.416666666666666,35
8.5,38
8.583333333333334,37
8.666666666666666,40
8.75,38
8.833333333333334,41
8.916666666666666,40
9,42
9.083333333333334,38
9.166666666666666,40
9.25,41
9.333333333333334,43
9.416666666666666,38
9.5,39
9.583333333333334,41
9.666666666666666,43
9.75,37
9.833333333333334,44
9.916666666666666,40
10,42
10.083333333333334,41
10.166666666666666,42
10.25,40
10.333333333333334,44
10.416666666666666,42
10.5,44
10.583333333333334,41
10.666666666666666,40
10.75,43
10.833333333333334,47
10.916666666666666,46
11,44
11.083333333333334,42
11.166666666666666,46
11.25,44
11.333333333333334,48
11.416666666666666,48
11.5,50
11.583333333333334,50
11.666666666666666,47
11.75,49
11.833333333333334,48
11.916666666666666,53
12,54
12.083333333333334,48
12.166666666666666,53
12.25,50
12.333333333333334,50
12.416666666666666,49
12.5,52
12.583333333333334,46
12.666666666666666,50
12.75,50
12.833333333333334,51
12.916666666666666,53
13,53
13.083333333333334,53
13.166666666666666,50
13.25,56
13.333333333333334,52
13.416666666666666,51
13.5,50
13.583333333333334,53
13.666666666666666,57
13.75,54
13.833333333333334,50
13.916666666666666,54
14,51
14.083333333333334,54
14.166666666666666,53
14.25,57
14.333333333333334,53
14.416666666666666,56
14.5,55
14.583333333333334,56
14.666666666666666,55
14.75,58
14.833333333333334,58
14.916666666666666,60
15,58
15.083333333333334,63
15.166666666666666,61
15.25,62
15.333333333333334,60
15.416666666666666,59
15.5,63
15.583333333333334,62
15.666666666666666,62
15.75,64
15.833333333333334,60
15.916666666666666,61
16,62
16.083333333333332,59
16.166666666666668,61
16.25,62
16.333333333333332,64
16.416666666666668,64
16.5,65
16.583333333333332,63
16.666666666666668,60
16.75,62
16.833333333333332,61
16.916666666666668,64
17,64
17.083333333333332,61
17.166666666666668,61
17.25,62
17.333333333333332,61
17.416666666666668,63
17.5,66
17.583333333333332,64
17.666666666666668,66
17.75,62
17.833333333333332,64
17.916666666666668,62
18,65
18.083333333333332,65
18.166666666666668,64
18.25,68
18.333333333333332,70
18.416666666666668,65
18.5,65
18.583333333333332,67
18.666666666666668,66
18.75,66
18.833333333333332,63
18.916666666666668,62
19,61
19.083333333333332,64
19.166666666666668,67
19.25,64
19.333333333333332,62
19.416666666666668,65
19.5,66
19.583333333333332,65
19.666666666666668,65
19.75,68
19.833333333333332,63
19.916666666666668,61
20,66
20.083333333333332,63
20.166666666666668,67
20.25,66
20.333333333333332,69
20.416666666666668,66
20.5,63
20.583333333333332,67
20.666666666666668,62
20.75,65
20.833333333333332,65
20.916666666666668,62
21,65
21.083333333333332,68
21.166666666666668,65
21.25,67
21.333333333333332,67
21.416666666666668,62
21.5,66
21.583333333333332,69
21.666666666666668,69
21.75,65
21.833333333333332,68
21.916666666666668,66
22,63
22.083333333333332,70
22.166666666666668,66
22.25,67
22.333333333333332,65
22.416666666666668,67
22.5,67
22.583333333333332,72
22.666666666666668,65
22.75,72
22.833333333333332,68
22.916666666666668,66
23,69
23.083333333333332,69
23.166666666666668,72
23.25,67
23.333333333333332,69
23.416666666666668,68
23.5,67
23.583333333333332,69
23.666666666666668,65
23.75,68
23.833333333333332,70
23.916666666666668,66
24,70
24.083333333333332,67
24.166666666666668,72
24.25,67
24.333333333333332,73
24.416666666666668,66
24.5,69
24.583333333333332,69
24.666666666666668,73
24.75,70
24.833333333333332,71
24.916666666666668,72
25,69
25.083333333333332,66
25.166666666666668,70
25.25,72
25.333333333333332,68
25.416666666666668,71
25.5,69
25.583333333333332,71
25.666666666666668,71
25.75,71
25.833333333333332,74
25.916666666666668,74
26,69
26.083333333333332,70
26.166666666666668,70
26.25,72
26.333333333333332,72
26.416666666666668,74
26.5,69
26.583333333333332,73
26.666666666666668,75
26.75,68
26.833333333333332,73
26.916666666666668,71
27,70
27.083333333333332,69
27.166666666666668,67
27.25,73
27.333333333333332,69
27.416666666666668,71
27.5,70
27.583333333333332,70
27.666666666666668,72
27.75,74
27.833333333333332,72
27.916666666666668,71
28,70
28.083333333333332,74
28.166666666666668,73
28.25,73
28.333333333333332,73
28.416666666666668,69
28.5,73
28.583333333333332,69
28.666666666666668,71
28.75,73
28.833333333333332,69
28.916666666666668,69
29,72
29.083333333333332,70
29.166666666666668,71
29.25,71
29.333333333333332,69
29.416666666666668,68
29.5,71
29.583333333333332,73
29.666666666666668,73
29.75,68
29.833333333333332,70
29.916666666666668,69
30,72
30.083333333333332,71
30.166666666666668,71
30.25,71
30.333333333333332,69
30.416666666666668,71
30.5,75
30.583333333333332,73
30.666666666666668,71
30.75,67
30.833333333333332,67
30.916666666666668,69
31,71
31.083333333333332,70
31.166666666666668,70
31.25,71
31.333333333333332,72
31.416666666666668,72
31.5,71
31.583333333333332,72
31.666666666666668,70
31.75,73
31.833333333333332,71
31.916666666666668,72
32,68
32.083333333333336,73
32.166666666666664,69
32.25,70
32.333333333333336,72
32.416666666666664,68
32.5,75
32.583333333333336,71
32.666666666666664,71
32.75,70
32.833333333333336,71
32.916666666666664,71
33,73
33.083333333333336,70
33.166666666666664,75
33.25,71
33.333333333333336,71
33.416666666666664,75
33.5,73
33.583333333333336,72
33.666666666666664,73
33.75,76
33.833333333333336,71
33.916666666666664,71
34,72
34.083333333333336,72
34.166666666666664,73
34.25,71
34.333333333333336,71
34.416666666666664,74
34.5,73
34.583333333333336,69
34.666666666666664,72
34.75,74
34.833333333333336,74
34.916666666666664,70
35,73
35.083333333333336,75
35.166666666666664,76
35.25,70
35.333333333333336,75
35.416666666666664,72
35.5,73
35.583333333333336,69
35.666666666666664,72
35.75,74
35.833333333333336,71
35.916666666666664,71
36,74
36.083333333333336,75
36.166666666666664,72
36.25,70
36.333333333333336,70
36.416666666666664,74
36.5,70
36.583333333333336,71
36.666666666666664,73
36.75,70
36.833333333333336,72
36.916666666666664,71
37,75
37.083333333333336,71
37.166666666666664,74
37.25,70
37.333333333333336,71
37.416666666666664,72
37.5,69
37.583333333333336,72
37.666666666666664,70
37.75,74
37.833333333333336,74
37.916666666666664,73
38,72
38.083333333333336,74
38.166666666666664,72
38.25,74
38.333333333333336,75
38.416666666666664,77
38.5,74
38.583333333333336,71
38.666666666666664,77
38.75,75
38.833333333333336,71
38.916666666666664,74
39,74
39.083333333333336,73
39.166666666666664,73
39.25,70
39.333333333333336,75
39.416666666666664,74
39.5,75
39.583333333333336,73
39.666666666666664,71
39.75,74
39.833333333333336,74
39.916666666666664,73
40,73
40.083333333333336,73
40.166666666666664,70
40.25,75
40.333333333333336,70
40.416666666666664,74
40.5,71
40.583333333333336,73
40.666666666666664,73
40.75,73
40.833333333333336,69
40.916666666666664,74
41,71
41.083333333333336,75
41.166666666666664,70
41.25,72
41.333333333333336,70
41.416666666666664,73
41.5,73
41.583333333333336,73
41.666666666666664,73
41.75,69
41.833333333333336,71
41.916666666666664,73
42,75
42.083333333333336,71
42.166666666666664,72
42.25,71
42.333333333333336,74
42.416666666666664,73
42.5,76
42.583333333333336,72
42.666666666666664,72
42.75,71
42.833333333333336,72
42.916666666666664,72
43,72
43.083333333333336,71
43.166666666666664,70
43.25,75
43.333333333333336,74
43.416666666666664,70
43.5,75
43.583333333333336,74
43.666666666666664,70
43.75,72
43.833333333333336,74
43.916666666666664,71
44,72
44.083333333333336,72
44.166666666666664,71
44.25,75
44.333333333333336,73
44.416666666666664,74
44.5,71
44.583333333333336,75
44.666666666666664,70
44.75,69
44.833333333333336,73
44.916666666666664,73
45,72
45.083333333333336,73
45.166666666666664,70
45.25,77
45.333333333333336,69
45.416666666666664,74
45.5,72
45.583333333333336,73
45.666666666666664,77
45.75,73
45.833333333333336,71
45.916666666666664,73
46,72
46.083333333333336,77
46.166666666666664,75
46.25,73
46.333333333333336,74
46.416666666666664,74
46.5,73
46.583333333333336,73
46.666666666666664,72
46.75,73
46.833333333333336,73
46.916666666666664,71
47,74
47.083333333333336,75
47.166666666666664,73
47.25,74
47.333333333333336,73
47.416666666666664,74
47.5,73
47.583333333333336,71
47.666666666666664,71
47.75,77
47.833333333333336,73
47.916666666666664,70
