"Hours since thread went live","Nanatsu no Taizai: Mokushiroku no Yonkishi • The Seven Deadly Sins: Four Knights of the Apocalypse - Episode 23 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,1
0.25,1
0.3333333333333333,1
0.4166666666666667,1
0.5,1
0.5833333333333334,1
0.6666666666666666,0
0.75,0
0.8333333333333334,0
0.9166666666666666,0
1,0
1.0833333333333333,0
1.1666666666666667,0
1.25,0
1.3333333333333333,0
1.4166666666666667,0
1.5,1
1.5833333333333333,1
1.6666666666666667,1
1.75,1
1.8333333333333333,1
1.9166666666666667,1
2,1
2.0833333333333335,1
2.1666666666666665,1
2.25,1
2.3333333333333335,1
2.4166666666666665,1
2.5,1
2.5833333333333335,1
2.6666666666666665,0
2.75,0
2.8333333333333335,0
2.9166666666666665,0
3,0
3.0833333333333335,0
3.1666666666666665,0
3.25,0
3.3333333333333335,0
3.4166666666666665,0
3.5,2
3.5833333333333335,1
3.6666666666666665,3
3.75,1
3.8333333333333335,0
3.9166666666666665,3
4,1
4.083333333333333,1
4.166666666666667,0
4.25,1
4.333333333333333,3
4.416666666666667,1
4.5,0
4.583333333333333,1
4.666666666666667,0
4.75,1
4.833333333333333,0
4.916666666666667,2
5,0
5.083333333333333,3
5.166666666666667,3
5.25,1
5.333333333333333,2
5.416666666666667,1
5.5,2
5.583333333333333,3
5.666666666666667,2
5.75,2
5.833333333333333,2
5.916666666666667,0
6,1
6.083333333333333,1
6.166666666666667,0
6.25,1
6.333333333333333,1
6.416666666666667,0
6.5,0
6.583333333333333,0
6.666666666666667,2
6.75,1
6.833333333333333,0
6.916666666666667,2
7,0
7.083333333333333,0
7.166666666666667,1
7.25,0
7.333333333333333,3
7.416666666666667,0
7.5,2
7.583333333333333,1
7.666666666666667,4
7.75,3
7.833333333333333,3
7.916666666666667,3
8,3
8.083333333333334,3
8.166666666666666,2
8.25,4
8.333333333333334,0
8.416666666666666,2
8.5,2
8.583333333333334,1
8.666666666666666,4
8.75,1
8.833333333333334,4
8.916666666666666,1
9,2
9.083333333333334,3
9.166666666666666,0
9.25,2
9.333333333333334,2
9.416666666666666,2
9.5,2
9.583333333333334,3
9.666666666666666,0
9.75,2
9.833333333333334,0
9.916666666666666,2
10,2
10.083333333333334,0
10.166666666666666,2
10.25,0
10.333333333333334,0
10.416666666666666,0
10.5,0
10.583333333333334,0
10.666666666666666,0
10.75,4
10.833333333333334,3
10.916666666666666,2
11,2
11.083333333333334,3
11.166666666666666,0
11.25,2
11.333333333333334,3
11.416666666666666,2
11.5,0
11.583333333333334,3
11.666666666666666,2
11.75,1
11.833333333333334,1
11.916666666666666,2
12,0
12.083333333333334,4
12.166666666666666,2
12.25,1
12.333333333333334,2
12.416666666666666,3
12.5,0
12.583333333333334,2
12.666666666666666,1
12.75,3
12.833333333333334,3
12.916666666666666,4
13,0
13.083333333333334,2
13.166666666666666,3
13.25,2
13.333333333333334,2
13.416666666666666,2
13.5,2
13.583333333333334,1
13.666666666666666,2
13.75,2
13.833333333333334,4
13.916666666666666,4
14,3
14.083333333333334,2
14.166666666666666,4
14.25,2
14.333333333333334,1
14.416666666666666,2
14.5,0
14.583333333333334,2
14.666666666666666,1
14.75,2
14.833333333333334,2
14.916666666666666,4
15,1
15.083333333333334,2
15.166666666666666,4
15.25,3
15.333333333333334,3
15.416666666666666,1
15.5,3
15.583333333333334,3
15.666666666666666,2
15.75,3
15.833333333333334,0
15.916666666666666,3
16,1
16.083333333333332,1
16.166666666666668,1
16.25,1
16.333333333333332,3
16.416666666666668,3
16.5,4
16.583333333333332,0
16.666666666666668,2
16.75,4
16.833333333333332,0
16.916666666666668,4
17,2
17.083333333333332,2
17.166666666666668,2
17.25,4
17.333333333333332,3
17.416666666666668,3
17.5,2
17.583333333333332,2
17.666666666666668,3
17.75,0
17.833333333333332,3
17.916666666666668,2
18,2
18.083333333333332,1
18.166666666666668,1
18.25,2
18.333333333333332,2
18.416666666666668,2
18.5,2
18.583333333333332,2
18.666666666666668,2
18.75,2
18.833333333333332,3
18.916666666666668,1
19,2
19.083333333333332,4
19.166666666666668,4
19.25,3
19.333333333333332,3
19.416666666666668,4
19.5,2
19.583333333333332,3
19.666666666666668,5
19.75,3
19.833333333333332,4
19.916666666666668,5
20,4
20.083333333333332,3
20.166666666666668,4
20.25,3
20.333333333333332,4
20.416666666666668,5
20.5,3
20.583333333333332,4
20.666666666666668,3
20.75,4
20.833333333333332,5
20.916666666666668,5
21,5
21.083333333333332,3
21.166666666666668,5
21.25,6
21.333333333333332,6
21.416666666666668,5
21.5,6
21.583333333333332,5
21.666666666666668,3
21.75,4
21.833333333333332,3
21.916666666666668,7
22,7
22.083333333333332,7
22.166666666666668,3
22.25,4
22.333333333333332,5
22.416666666666668,6
22.5,6
22.583333333333332,5
22.666666666666668,5
22.75,5
22.833333333333332,5
22.916666666666668,5
23,5
23.083333333333332,6
23.166666666666668,4
23.25,4
23.333333333333332,5
23.416666666666668,3
23.5,5
23.583333333333332,7
23.666666666666668,6
23.75,5
23.833333333333332,6
23.916666666666668,4
24,7
24.083333333333332,5
24.166666666666668,6
24.25,6
24.333333333333332,5
24.416666666666668,3
24.5,5
24.583333333333332,5
24.666666666666668,3
24.75,3
24.833333333333332,7
24.916666666666668,3
25,3
25.083333333333332,5
25.166666666666668,7
25.25,6
25.333333333333332,5
25.416666666666668,4
25.5,3
25.583333333333332,4
25.666666666666668,6
25.75,6
25.833333333333332,4
25.916666666666668,6
26,4
26.083333333333332,5
26.166666666666668,4
26.25,6
26.333333333333332,3
26.416666666666668,3
26.5,3
26.583333333333332,5
26.666666666666668,4
26.75,5
26.833333333333332,7
26.916666666666668,8
27,6
27.083333333333332,6
27.166666666666668,6
27.25,6
27.333333333333332,8
27.416666666666668,6
27.5,7
27.583333333333332,7
27.666666666666668,7
27.75,6
27.833333333333332,5
27.916666666666668,4
28,5
28.083333333333332,7
28.166666666666668,5
28.25,4
28.333333333333332,6
28.416666666666668,6
28.5,7
28.583333333333332,7
28.666666666666668,8
28.75,6
28.833333333333332,5
28.916666666666668,7
29,5
29.083333333333332,7
29.166666666666668,7
29.25,5
29.333333333333332,5
29.416666666666668,4
29.5,7
29.583333333333332,5
29.666666666666668,5
29.75,7
29.833333333333332,6
29.916666666666668,6
30,7
30.083333333333332,6
30.166666666666668,5
30.25,6
30.333333333333332,6
30.416666666666668,5
30.5,6
30.583333333333332,8
30.666666666666668,7
30.75,5
30.833333333333332,7
30.916666666666668,4
31,8
31.083333333333332,7
31.166666666666668,6
31.25,5
31.333333333333332,7
31.416666666666668,7
31.5,7
31.583333333333332,7
31.666666666666668,6
31.75,5
31.833333333333332,8
31.916666666666668,7
32,4
32.083333333333336,6
32.166666666666664,5
32.25,5
32.333333333333336,5
32.416666666666664,5
32.5,5
32.583333333333336,5
32.666666666666664,7
32.75,6
32.833333333333336,7
32.916666666666664,6
33,6
33.083333333333336,6
33.166666666666664,5
33.25,7
33.333333333333336,6
33.416666666666664,7
33.5,6
33.583333333333336,8
33.666666666666664,7
33.75,5
33.833333333333336,8
33.916666666666664,6
34,7
34.083333333333336,7
34.166666666666664,4
34.25,7
34.333333333333336,7
34.416666666666664,5
34.5,6
34.583333333333336,8
34.666666666666664,6
34.75,8
34.833333333333336,8
34.916666666666664,5
35,7
35.083333333333336,7
35.166666666666664,6
35.25,7
35.333333333333336,6
35.416666666666664,7
35.5,5
35.583333333333336,6
35.666666666666664,5
35.75,7
35.833333333333336,7
35.916666666666664,7
36,6
36.083333333333336,7
36.166666666666664,5
36.25,8
36.333333333333336,5
36.416666666666664,8
36.5,7
36.583333333333336,6
36.666666666666664,5
36.75,7
36.833333333333336,7
36.916666666666664,5
37,7
37.083333333333336,7
37.166666666666664,6
37.25,8
37.333333333333336,5
37.416666666666664,6
37.5,7
37.583333333333336,4
37.666666666666664,6
37.75,5
37.833333333333336,7
37.916666666666664,6
38,5
38.083333333333336,6
38.166666666666664,6
38.25,6
38.333333333333336,6
38.416666666666664,7
38.5,5
38.583333333333336,8
38.666666666666664,6
