"Hours since thread went live","Shaman King: Flowers - Episode 11 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,1
0.25,1
0.3333333333333333,1
0.4166666666666667,1
0.5,1
0.5833333333333334,0
0.6666666666666666,0
0.75,0
0.8333333333333334,0
0.9166666666666666,1
1,1
1.0833333333333333,1
1.1666666666666667,1
1.25,1
1.3333333333333333,1
1.4166666666666667,2
1.5,2
1.5833333333333333,2
1.6666666666666667,2
1.75,2
1.8333333333333333,2
1.9166666666666667,1
2,1
2.0833333333333335,2
2.1666666666666665,2
2.25,2
2.3333333333333335,5
2.4166666666666665,4
2.5,4
2.5833333333333335,2
2.6666666666666665,4
2.75,5
2.8333333333333335,5
2.9166666666666665,4
3,4
3.0833333333333335,3
3.1666666666666665,5
3.25,6
3.3333333333333335,3
3.4166666666666665,4
3.5,5
3.5833333333333335,6
3.6666666666666665,4
3.75,8
3.8333333333333335,6
3.9166666666666665,7
4,6
4.083333333333333,8
4.166666666666667,7
4.25,7
4.333333333333333,6
4.416666666666667,7
4.5,8
4.583333333333333,9
4.666666666666667,7
4.75,9
4.833333333333333,7
4.916666666666667,6
5,10
5.083333333333333,9
5.166666666666667,10
5.25,9
5.333333333333333,11
5.416666666666667,9
5.5,10
5.583333333333333,9
5.666666666666667,13
5.75,10
5.833333333333333,12
5.916666666666667,12
6,12
6.083333333333333,13
6.166666666666667,14
6.25,13
6.333333333333333,13
6.416666666666667,12
6.5,13
6.583333333333333,13
6.666666666666667,14
6.75,14
6.833333333333333,14
6.916666666666667,13
7,13
7.083333333333333,13
7.166666666666667,15
7.25,14
7.333333333333333,14
7.416666666666667,13
7.5,15
7.583333333333333,15
7.666666666666667,15
7.75,14
7.833333333333333,16
7.916666666666667,14
8,16
8.083333333333334,17
8.166666666666666,15
8.25,16
8.333333333333334,14
8.416666666666666,16
8.5,14
8.583333333333334,15
8.666666666666666,14
8.75,15
8.833333333333334,14
8.916666666666666,16
9,15
9.083333333333334,13
9.166666666666666,14
9.25,16
9.333333333333334,16
9.416666666666666,16
9.5,14
9.583333333333334,15
9.666666666666666,16
9.75,13
9.833333333333334,14
9.916666666666666,16
10,14
10.083333333333334,15
10.166666666666666,14
10.25,13
10.333333333333334,17
10.416666666666666,15
10.5,17
10.583333333333334,16
10.666666666666666,16
10.75,16
10.833333333333334,15
10.916666666666666,14
11,16
11.083333333333334,18
11.166666666666666,17
11.25,16
11.333333333333334,18
11.416666666666666,16
11.5,17
11.583333333333334,17
11.666666666666666,17
11.75,16
11.833333333333334,15
11.916666666666666,15
12,16
12.083333333333334,16
12.166666666666666,18
12.25,16
12.333333333333334,18
12.416666666666666,16
12.5,16
12.583333333333334,16
12.666666666666666,17
12.75,16
12.833333333333334,16
12.916666666666666,16
13,16
13.083333333333334,15
13.166666666666666,16
13.25,18
13.333333333333334,16
13.416666666666666,15
13.5,14
13.583333333333334,14
13.666666666666666,14
13.75,18
13.833333333333334,15
13.916666666666666,16
14,17
14.083333333333334,15
14.166666666666666,17
14.25,15
14.333333333333334,18
14.416666666666666,17
14.5,15
14.583333333333334,16
14.666666666666666,17
14.75,15
14.833333333333334,16
14.916666666666666,16
15,17
15.083333333333334,15
15.166666666666666,15
15.25,16
15.333333333333334,15
15.416666666666666,16
15.5,16
15.583333333333334,18
15.666666666666666,17
15.75,17
15.833333333333334,16
15.916666666666666,15
16,17
16.083333333333332,17
16.166666666666668,14
16.25,16
16.333333333333332,15
16.416666666666668,18
16.5,16
16.583333333333332,17
16.666666666666668,15
16.75,16
16.833333333333332,16
16.916666666666668,15
17,18
17.083333333333332,16
17.166666666666668,17
17.25,16
17.333333333333332,16
17.416666666666668,17
17.5,17
17.583333333333332,14
17.666666666666668,14
17.75,16
17.833333333333332,16
17.916666666666668,16
18,15
18.083333333333332,14
18.166666666666668,16
18.25,16
18.333333333333332,16
18.416666666666668,18
18.5,14
18.583333333333332,17
18.666666666666668,16
18.75,18
18.833333333333332,15
18.916666666666668,14
19,18
19.083333333333332,15
19.166666666666668,14
19.25,16
19.333333333333332,16
19.416666666666668,16
19.5,15
19.583333333333332,17
19.666666666666668,17
19.75,16
19.833333333333332,15
19.916666666666668,18
20,16
20.083333333333332,17
20.166666666666668,16
20.25,15
20.333333333333332,15
20.416666666666668,16
20.5,15
20.583333333333332,15
20.666666666666668,18
20.75,16
20.833333333333332,17
20.916666666666668,14
21,17
21.083333333333332,15
21.166666666666668,16
21.25,15
21.333333333333332,15
21.416666666666668,18
21.5,17
21.583333333333332,15
21.666666666666668,14
21.75,17
21.833333333333332,17
21.916666666666668,17
22,14
22.083333333333332,18
22.166666666666668,17
22.25,17
22.333333333333332,15
22.416666666666668,16
22.5,18
22.583333333333332,15
22.666666666666668,17
22.75,16
22.833333333333332,16
22.916666666666668,18
23,16
23.083333333333332,17
23.166666666666668,14
23.25,15
23.333333333333332,14
23.416666666666668,16
23.5,17
23.583333333333332,15
23.666666666666668,17
23.75,17
23.833333333333332,16
23.916666666666668,17
24,16
24.083333333333332,16
24.166666666666668,16
24.25,15
24.333333333333332,15
24.416666666666668,16
24.5,17
24.583333333333332,14
24.666666666666668,16
24.75,15
24.833333333333332,17
24.916666666666668,16
25,14
25.083333333333332,17
25.166666666666668,14
25.25,16
25.333333333333332,15
25.416666666666668,15
25.5,16
25.583333333333332,15
25.666666666666668,18
25.75,16
25.833333333333332,18
25.916666666666668,16
26,16
26.083333333333332,15
26.166666666666668,18
26.25,16
26.333333333333332,15
26.416666666666668,18
26.5,16
26.583333333333332,14
26.666666666666668,16
26.75,15
26.833333333333332,16
26.916666666666668,15
27,16
27.083333333333332,15
27.166666666666668,17
27.25,15
27.333333333333332,14
27.416666666666668,16
27.5,15
27.583333333333332,14
27.666666666666668,15
27.75,16
27.833333333333332,14
27.916666666666668,16
28,15
28.083333333333332,18
28.166666666666668,16
28.25,15
28.333333333333332,16
28.416666666666668,14
28.5,16
28.583333333333332,18
28.666666666666668,14
28.75,17
28.833333333333332,17
28.916666666666668,14
29,15
29.083333333333332,16
29.166666666666668,18
29.25,14
29.333333333333332,17
29.416666666666668,14
29.5,15
29.583333333333332,16
29.666666666666668,17
29.75,16
29.833333333333332,16
29.916666666666668,15
30,15
30.083333333333332,15
30.166666666666668,16
30.25,16
30.333333333333332,15
30.416666666666668,16
30.5,16
30.583333333333332,16
30.666666666666668,16
30.75,17
30.833333333333332,14
30.916666666666668,15
31,14
31.083333333333332,17
31.166666666666668,15
31.25,14
31.333333333333332,14
31.416666666666668,14
31.5,16
31.583333333333332,18
31.666666666666668,16
31.75,15
31.833333333333332,16
31.916666666666668,16
32,15
32.083333333333336,16
32.166666666666664,18
32.25,14
32.333333333333336,17
32.416666666666664,14
32.5,15
32.583333333333336,16
32.666666666666664,16
32.75,15
32.833333333333336,16
33,16
33.083333333333336,14
33.166666666666664,14
33.25,17
33.333333333333336,16
33.416666666666664,15
33.5,14
33.583333333333336,15
33.666666666666664,17
33.75,16
33.833333333333336,18
33.916666666666664,16
34,17
34.083333333333336,15
34.166666666666664,16
34.25,15
34.333333333333336,16
34.416666666666664,17
34.5,16
34.583333333333336,18
34.666666666666664,16
34.75,17
34.833333333333336,17
34.916666666666664,14
35,14
35.083333333333336,16
35.166666666666664,18
35.25,18
35.333333333333336,16
35.416666666666664,14
35.5,17
35.583333333333336,15
35.666666666666664,17
35.75,18
35.833333333333336,16
35.916666666666664,18
36,15
36.083333333333336,16
36.166666666666664,16
36.25,17
36.333333333333336,17
36.416666666666664,16
36.5,14
36.583333333333336,17
36.666666666666664,14
36.75,17
36.833333333333336,16
36.916666666666664,14
37,15
37.083333333333336,17
37.166666666666664,16
37.25,17
37.333333333333336,16
37.416666666666664,17
37.5,16
37.583333333333336,16
37.666666666666664,15
37.75,17
37.833333333333336,18
37.916666666666664,19
38,17
38.083333333333336,17
38.166666666666664,17
38.25,17
38.333333333333336,17
38.416666666666664,18
38.5,17
38.583333333333336,18
38.666666666666664,19
38.75,18
38.833333333333336,17
38.916666666666664,17
39,16
39.083333333333336,15
39.166666666666664,17
