"Hours since thread went live","Majo to Yajuu • The Witch and the Beast - Episode 11 discussion"
0,2
0.08333333333333333,4
0.16666666666666666,5
0.25,8
0.3333333333333333,9
0.4166666666666667,9
0.5,13
0.5833333333333334,15
0.6666666666666666,17
0.75,20
0.8333333333333334,20
0.9166666666666666,22
1,25
1.0833333333333333,25
1.1666666666666667,28
1.25,29
1.3333333333333333,30
1.4166666666666667,34
1.5,33
1.5833333333333333,38
1.6666666666666667,41
1.75,45
1.8333333333333333,47
1.9166666666666667,52
2,58
2.0833333333333335,62
2.1666666666666665,69
2.25,70
2.3333333333333335,71
2.4166666666666665,76
2.5,77
2.5833333333333335,79
2.6666666666666665,82
2.75,83
2.8333333333333335,85
2.9166666666666665,85
3,87
3.0833333333333335,88
3.1666666666666665,88
3.25,94
3.3333333333333335,96
3.4166666666666665,96
3.5,98
3.5833333333333335,98
3.6666666666666665,100
3.75,100
3.8333333333333335,104
3.9166666666666665,104
4,107
4.083333333333333,107
4.166666666666667,109
4.25,108
4.333333333333333,114
4.416666666666667,114
4.5,112
4.583333333333333,112
4.666666666666667,116
4.75,112
4.833333333333333,117
4.916666666666667,120
5,119
5.083333333333333,126
5.166666666666667,124
5.25,129
5.333333333333333,132
5.416666666666667,131
5.5,135
5.583333333333333,137
5.666666666666667,142
5.75,136
5.833333333333333,140
5.916666666666667,140
6,144
6.083333333333333,148
6.166666666666667,144
6.25,149
6.333333333333333,150
6.416666666666667,149
6.5,157
6.583333333333333,161
6.666666666666667,162
6.75,158
6.833333333333333,164
6.916666666666667,162
7,164
7.083333333333333,164
7.166666666666667,162
7.25,160
7.333333333333333,165
7.416666666666667,167
7.5,168
7.583333333333333,170
7.666666666666667,172
7.75,173
7.833333333333333,172
7.916666666666667,176
8,179
8.083333333333334,178
8.166666666666666,175
8.25,182
8.333333333333334,184
8.416666666666666,181
8.5,184
8.583333333333334,182
8.666666666666666,186
8.75,185
8.833333333333334,186
8.916666666666666,185
9,187
9.083333333333334,188
9.166666666666666,189
9.25,187
9.333333333333334,195
9.416666666666666,194
9.5,191
9.583333333333334,195
9.666666666666666,193
9.75,194
9.833333333333334,195
9.916666666666666,201
10,197
10.083333333333334,201
10.166666666666666,198
10.25,197
10.333333333333334,202
10.416666666666666,200
10.5,197
10.583333333333334,197
10.666666666666666,201
10.75,200
10.833333333333334,204
10.916666666666666,202
11,203
11.083333333333334,204
11.166666666666666,205
11.25,208
11.333333333333334,202
11.416666666666666,204
11.5,205
11.583333333333334,206
11.666666666666666,206
11.75,206
11.833333333333334,212
11.916666666666666,212
12,213
12.083333333333334,214
12.166666666666666,213
12.25,215
12.333333333333334,217
12.416666666666666,220
12.5,217
12.583333333333334,221
12.666666666666666,215
12.75,219
12.833333333333334,216
12.916666666666666,216
13,220
13.083333333333334,227
13.166666666666666,225
13.25,228
13.333333333333334,229
13.416666666666666,224
13.5,225
13.583333333333334,227
13.666666666666666,230
13.75,231
13.833333333333334,228
13.916666666666666,228
14,229
14.083333333333334,230
14.166666666666666,229
14.25,227
14.333333333333334,232
14.416666666666666,235
14.5,234
14.583333333333334,237
14.666666666666666,234
14.75,238
14.833333333333334,236
14.916666666666666,235
15,238
15.083333333333334,235
15.166666666666666,238
15.25,239
15.333333333333334,241
15.416666666666666,236
15.5,236
15.583333333333334,238
15.666666666666666,239
15.75,236
15.833333333333334,238
15.916666666666666,238
16,239
16.083333333333332,243
16.166666666666668,240
16.25,238
16.333333333333332,240
16.416666666666668,238
16.5,244
16.583333333333332,239
16.666666666666668,241
16.75,239
16.833333333333332,241
16.916666666666668,243
17,239
17.083333333333332,240
17.166666666666668,239
17.25,240
17.333333333333332,244
17.416666666666668,247
17.5,241
17.583333333333332,242
17.666666666666668,246
17.75,242
17.833333333333332,246
17.916666666666668,249
18,246
18.083333333333332,247
18.166666666666668,245
18.25,247
18.333333333333332,249
18.416666666666668,249
18.5,251
18.583333333333332,245
18.666666666666668,246
18.75,247
18.833333333333332,250
18.916666666666668,252
19,251
19.083333333333332,249
19.166666666666668,254
19.25,246
19.333333333333332,253
19.416666666666668,250
19.5,247
19.583333333333332,251
19.666666666666668,250
19.75,252
19.833333333333332,251
19.916666666666668,253
20,255
20.083333333333332,261
20.166666666666668,258
20.25,260
20.333333333333332,259
20.416666666666668,258
20.5,264
20.583333333333332,261
20.666666666666668,263
20.75,258
20.833333333333332,257
20.916666666666668,263
21,259
21.083333333333332,258
21.166666666666668,257
21.25,258
21.333333333333332,262
21.416666666666668,257
21.5,259
21.583333333333332,257
21.666666666666668,263
21.75,258
21.833333333333332,261
21.916666666666668,262
22,260
22.083333333333332,262
22.166666666666668,262
22.25,267
22.333333333333332,263
22.416666666666668,268
22.5,267
22.583333333333332,263
22.666666666666668,266
22.75,266
22.833333333333332,266
22.916666666666668,264
23,268
23.083333333333332,268
23.166666666666668,267
23.25,269
23.333333333333332,268
23.416666666666668,268
23.5,269
23.583333333333332,272
23.666666666666668,272
23.75,270
23.833333333333332,269
23.916666666666668,268
24,268
24.083333333333332,273
24.166666666666668,273
24.25,268
24.333333333333332,270
24.416666666666668,273
24.5,273
24.583333333333332,272
24.666666666666668,268
24.75,272
24.833333333333332,271
24.916666666666668,272
25,275
25.083333333333332,273
25.166666666666668,274
25.333333333333332,270
25.416666666666668,273
25.5,274
25.583333333333332,271
25.666666666666668,270
25.75,273
25.833333333333332,275
25.916666666666668,275
26,273
26.083333333333332,271
26.166666666666668,274
26.25,272
26.333333333333332,274
26.416666666666668,274
26.5,271
26.583333333333332,278
26.666666666666668,275
26.75,272
26.833333333333332,278
26.916666666666668,273
27,277
27.083333333333332,272
27.166666666666668,274
27.25,273
27.333333333333332,273
27.416666666666668,274
27.5,274
27.583333333333332,275
27.666666666666668,276
27.75,279
27.833333333333332,274
27.916666666666668,275
28,278
28.083333333333332,278
28.166666666666668,275
28.25,275
28.333333333333332,277
28.416666666666668,276
28.5,277
28.583333333333332,275
28.666666666666668,278
28.75,278
28.833333333333332,279
28.916666666666668,277
29,278
29.083333333333332,280
29.166666666666668,275
29.25,279
29.333333333333332,280
29.416666666666668,278
29.5,276
29.583333333333332,281
29.666666666666668,277
29.75,279
29.833333333333332,284
29.916666666666668,280
30,280
30.083333333333332,279
30.166666666666668,280
30.25,282
30.333333333333332,279
30.416666666666668,277
30.5,278
30.583333333333332,280
30.666666666666668,282
30.75,280
30.833333333333332,283
30.916666666666668,282
31,280
31.083333333333332,279
31.166666666666668,279
31.25,280
31.333333333333332,278
31.416666666666668,282
31.5,277
31.583333333333332,279
31.666666666666668,282
31.75,283
31.833333333333332,283
31.916666666666668,282
32,283
32.083333333333336,283
32.166666666666664,282
32.25,280
32.333333333333336,284
32.416666666666664,281
32.5,281
32.583333333333336,281
32.666666666666664,278
32.75,282
32.833333333333336,282
32.916666666666664,282
33,286
33.083333333333336,280
33.166666666666664,284
33.25,278
33.333333333333336,283
33.416666666666664,284
33.5,282
33.583333333333336,281
33.666666666666664,280
33.75,280
33.833333333333336,280
33.916666666666664,284
34,285
34.083333333333336,287
34.166666666666664,285
34.25,283
34.333333333333336,283
34.416666666666664,281
34.5,282
34.583333333333336,286
34.666666666666664,283
34.75,285
34.833333333333336,280
34.916666666666664,282
35,283
35.083333333333336,283
35.166666666666664,287
35.25,281
35.333333333333336,286
35.416666666666664,284
35.5,284
35.583333333333336,283
35.666666666666664,284
35.75,284
35.833333333333336,286
35.916666666666664,284
36,282
36.083333333333336,284
36.166666666666664,282
36.25,285
36.333333333333336,288
36.416666666666664,284
36.5,287
36.583333333333336,284
36.666666666666664,284
36.75,285
36.833333333333336,284
36.916666666666664,286
37,285
37.083333333333336,289
37.166666666666664,284
37.25,286
37.333333333333336,286
37.416666666666664,283
37.5,283
37.583333333333336,287
37.666666666666664,287
37.75,289
37.833333333333336,284
37.916666666666664,289
38,285
38.083333333333336,286
38.166666666666664,285
38.25,287
38.333333333333336,287
38.416666666666664,285
38.5,285
38.583333333333336,284
38.666666666666664,284
38.75,283
38.833333333333336,286
38.916666666666664,284
39,284
39.083333333333336,285
39.166666666666664,287
39.25,289
39.333333333333336,283
39.416666666666664,288
39.5,288
39.583333333333336,290
39.666666666666664,288
39.75,285
39.833333333333336,287
39.916666666666664,285
40,286
40.083333333333336,284
40.166666666666664,284
40.25,286
40.333333333333336,286
40.416666666666664,287
40.5,287
40.583333333333336,288
40.666666666666664,286
40.75,287
40.833333333333336,288
40.916666666666664,289
41,288
41.083333333333336,292
41.166666666666664,289
41.25,293
41.333333333333336,292
41.416666666666664,292
41.5,290
41.583333333333336,290
41.666666666666664,289
41.75,287
41.833333333333336,290
41.916666666666664,291
42,289
42.083333333333336,293
42.166666666666664,288
42.25,293
42.333333333333336,293
42.416666666666664,291
42.5,293
42.583333333333336,293
42.666666666666664,289
42.75,290
42.833333333333336,290
42.916666666666664,295
43,293
43.083333333333336,295
43.166666666666664,290
43.25,295
43.333333333333336,293
43.416666666666664,290
43.5,291
43.583333333333336,291
