"Hours since thread went live","Sand Land: The Series - Episode 8 discussion"
0,1
0.08333333333333333,1
0.16666666666666666,1
0.25,1
0.3333333333333333,1
0.4166666666666667,1
0.5,1
0.5833333333333334,1
0.6666666666666666,0
0.75,0
0.8333333333333334,0
0.9166666666666666,0
1,0
1.0833333333333333,1
1.1666666666666667,2
1.25,2
1.3333333333333333,2
1.4166666666666667,2
1.5,3
1.5833333333333333,3
1.6666666666666667,3
1.75,4
1.8333333333333333,4
1.9166666666666667,4
2,5
2.0833333333333335,5
2.1666666666666665,5
2.25,6
2.3333333333333335,5
2.4166666666666665,6
2.5,4
2.5833333333333335,4
2.6666666666666665,5
2.75,3
2.8333333333333335,6
2.9166666666666665,7
3,5
3.0833333333333335,7
3.1666666666666665,4
3.25,6
3.3333333333333335,6
3.4166666666666665,6
3.5,5
3.5833333333333335,6
3.6666666666666665,5
3.75,7
3.8333333333333335,7
3.9166666666666665,7
4,5
4.083333333333333,6
4.166666666666667,7
4.25,6
4.333333333333333,7
4.416666666666667,5
4.5,6
4.583333333333333,6
4.666666666666667,4
4.75,7
4.833333333333333,8
4.916666666666667,5
5,8
5.083333333333333,4
5.166666666666667,4
5.25,6
5.333333333333333,7
5.416666666666667,4
5.5,5
5.583333333333333,6
5.666666666666667,7
5.75,8
5.833333333333333,8
5.916666666666667,6
6,5
6.083333333333333,6
6.166666666666667,6
6.25,6
6.333333333333333,7
6.416666666666667,5
6.5,6
6.583333333333333,8
6.666666666666667,7
6.75,6
6.833333333333333,7
6.916666666666667,6
7,7
7.083333333333333,8
7.166666666666667,6
7.25,9
7.333333333333333,7
7.416666666666667,7
7.5,9
7.583333333333333,8
7.666666666666667,7
7.75,9
7.833333333333333,9
7.916666666666667,7
8,8
8.083333333333334,7
8.166666666666666,10
8.25,7
8.333333333333334,9
8.416666666666666,6
8.5,7
8.583333333333334,8
8.666666666666666,7
8.75,9
8.833333333333334,9
8.916666666666666,9
9,10
9.083333333333334,9
9.166666666666666,9
9.25,10
9.333333333333334,10
9.416666666666666,11
9.5,8
9.583333333333334,10
9.666666666666666,8
9.75,11
9.833333333333334,10
9.916666666666666,11
10,10
10.083333333333334,11
10.166666666666666,10
10.25,10
10.333333333333334,9
10.416666666666666,9
10.5,10
10.583333333333334,11
10.666666666666666,11
10.75,11
10.833333333333334,10
10.916666666666666,11
11,13
11.083333333333334,11
11.166666666666666,13
11.25,11
11.333333333333334,11
11.416666666666666,11
11.5,10
11.583333333333334,9
11.666666666666666,10
11.75,13
11.833333333333334,11
11.916666666666666,12
12,11
12.083333333333334,12
12.166666666666666,12
12.25,11
12.333333333333334,11
12.416666666666666,9
12.5,10
12.583333333333334,10
12.666666666666666,12
12.75,10
12.833333333333334,14
12.916666666666666,11
13,13
13.083333333333334,12
13.166666666666666,13
13.25,14
13.333333333333334,10
13.416666666666666,11
13.5,15
13.583333333333334,12
13.666666666666666,14
13.75,11
13.833333333333334,14
13.916666666666666,15
14,15
14.083333333333334,13
14.166666666666666,12
14.25,14
14.333333333333334,13
14.416666666666666,11
14.5,11
14.583333333333334,13
14.666666666666666,12
14.75,15
14.833333333333334,13
14.916666666666666,14
15,14
15.083333333333334,16
15.166666666666666,15
15.25,15
15.333333333333334,16
15.416666666666666,15
15.5,17
15.583333333333334,17
15.666666666666666,14
15.75,17
15.833333333333334,14
15.916666666666666,15
16,15
16.083333333333332,17
16.166666666666668,15
16.25,13
16.333333333333332,16
16.416666666666668,15
16.5,16
16.583333333333332,13
16.666666666666668,14
16.75,14
16.833333333333332,16
16.916666666666668,16
17,14
17.083333333333332,15
17.166666666666668,15
17.25,14
17.333333333333332,18
17.416666666666668,17
17.5,16
17.583333333333332,15
17.666666666666668,14
17.75,16
17.833333333333332,18
17.916666666666668,16
18,16
18.083333333333332,17
18.166666666666668,17
18.25,16
18.333333333333332,19
18.416666666666668,18
18.5,15
18.583333333333332,16
18.666666666666668,17
18.75,17
18.833333333333332,16
18.916666666666668,18
19,17
19.083333333333332,17
19.166666666666668,19
19.25,17
19.333333333333332,17
19.416666666666668,16
19.5,18
19.583333333333332,16
19.666666666666668,19
19.75,18
19.833333333333332,17
19.916666666666668,17
20,19
20.083333333333332,15
20.166666666666668,16
20.25,19
20.333333333333332,17
20.416666666666668,17
20.5,16
20.583333333333332,17
20.666666666666668,17
20.75,16
20.916666666666668,17
21,19
21.083333333333332,18
21.166666666666668,18
21.25,16
21.333333333333332,16
21.416666666666668,19
21.5,17
21.583333333333332,17
21.666666666666668,18
21.75,17
21.833333333333332,17
21.916666666666668,18
22,18
22.083333333333332,16
22.166666666666668,19
22.25,17
22.333333333333332,18
22.416666666666668,17
22.5,17
22.583333333333332,17
22.666666666666668,17
22.75,16
22.833333333333332,18
22.916666666666668,17
23,18
23.083333333333332,17
23.166666666666668,19
23.25,18
23.333333333333332,18
23.416666666666668,17
23.5,16
23.583333333333332,17
23.666666666666668,15
23.75,17
23.833333333333332,19
23.916666666666668,15
24,17
24.083333333333332,16
24.166666666666668,16
24.25,15
24.333333333333332,19
24.416666666666668,18
24.5,15
24.583333333333332,16
24.666666666666668,17
24.75,17
24.833333333333332,18
24.916666666666668,18
25,20
25.083333333333332,20
25.166666666666668,18
25.25,18
25.333333333333332,18
25.416666666666668,18
25.5,18
25.583333333333332,20
25.666666666666668,16
25.75,18
25.833333333333332,21
25.916666666666668,18
26,19
26.083333333333332,20
26.166666666666668,21
26.25,18
26.333333333333332,17
26.416666666666668,18
26.5,19
26.583333333333332,18
26.666666666666668,18
26.75,21
26.833333333333332,18
26.916666666666668,17
27,18
27.083333333333332,18
27.166666666666668,18
27.25,18
27.333333333333332,17
27.416666666666668,19
27.5,18
27.583333333333332,19
27.666666666666668,16
27.75,19
27.833333333333332,17
27.916666666666668,18
28,18
28.083333333333332,17
28.166666666666668,18
28.25,20
28.333333333333332,17
28.416666666666668,17
28.5,17
28.583333333333332,17
28.666666666666668,18
28.75,17
28.833333333333332,19
28.916666666666668,17
29,16
29.083333333333332,18
29.166666666666668,19
29.25,17
29.333333333333332,19
29.416666666666668,17
29.5,18
29.583333333333332,18
29.666666666666668,20
29.75,19
29.833333333333332,16
29.916666666666668,18
30,20
30.083333333333332,17
30.166666666666668,20
30.25,18
30.333333333333332,16
30.416666666666668,18
30.5,17
30.583333333333332,16
30.666666666666668,18
30.75,18
30.833333333333332,18
30.916666666666668,17
31,17
31.083333333333332,20
31.166666666666668,19
31.25,16
31.333333333333332,19
31.416666666666668,19
31.5,20
31.583333333333332,18
31.666666666666668,18
31.75,17
31.833333333333332,16
31.916666666666668,18
32,18
32.083333333333336,17
32.166666666666664,19
32.25,20
32.333333333333336,17
32.416666666666664,16
32.5,19
32.583333333333336,19
32.666666666666664,16
32.75,17
32.833333333333336,19
32.916666666666664,17
33,16
33.083333333333336,18
33.166666666666664,17
33.25,19
33.333333333333336,17
33.416666666666664,17
33.5,18
33.583333333333336,18
33.666666666666664,18
33.75,17
33.833333333333336,18
33.916666666666664,20
34,18
34.083333333333336,20
34.166666666666664,18
34.25,20
34.333333333333336,18
34.416666666666664,18
34.5,18
34.583333333333336,16
34.666666666666664,18
34.75,18
34.833333333333336,18
34.916666666666664,17
35,18
35.083333333333336,16
35.166666666666664,18
35.25,18
35.333333333333336,20
35.416666666666664,18
35.5,20
35.583333333333336,17
