"Hours since thread went live","Kono Subarashii Sekai ni Shukufuku wo! 3 • KONOSUBA -God's Blessing on This Wonderful World! 3 - Episode 1 discussion"
0,1
0.08333333333333333,1
0.16666666666666666,6
0.25,10
0.3333333333333333,15
0.4166666666666667,24
0.5,36
0.5833333333333334,48
0.6666666666666666,54
0.75,73
0.8333333333333334,87
0.9166666666666666,97
1,114
1.0833333333333333,129
1.1666666666666667,150
1.25,157
1.3333333333333333,166
1.4166666666666667,186
1.5,198
1.5833333333333333,214
1.6666666666666667,225
1.75,240
1.8333333333333333,253
1.9166666666666667,267
2,275
2.0833333333333335,286
2.1666666666666665,294
2.3333333333333335,315
2.4166666666666665,324
2.5,342
2.5833333333333335,350
2.6666666666666665,363
2.75,368
2.8333333333333335,373
2.9166666666666665,383
3,400
3.0833333333333335,420
3.1666666666666665,419
3.25,431
3.3333333333333335,449
3.4166666666666665,456
3.5,463
3.5833333333333335,472
3.6666666666666665,484
3.75,502
3.8333333333333335,514
3.9166666666666665,517
4,526
4.083333333333333,532
4.166666666666667,546
4.25,545
4.333333333333333,560
4.416666666666667,569
4.5,578
4.583333333333333,592
4.666666666666667,598
4.75,614
4.833333333333333,620
4.916666666666667,631
5,633
5.083333333333333,650
5.166666666666667,653
5.25,664
5.333333333333333,680
5.416666666666667,678
5.5,690
5.583333333333333,704
5.666666666666667,711
5.75,722
5.833333333333333,737
5.916666666666667,745
6,749
6.083333333333333,760
6.166666666666667,767
6.25,767
6.333333333333333,785
6.416666666666667,794
6.5,802
6.583333333333333,808
6.666666666666667,813
6.75,829
6.833333333333333,844
6.916666666666667,850
7,865
7.083333333333333,871
7.166666666666667,882
7.25,889
7.333333333333333,893
7.416666666666667,898
7.5,909
7.583333333333333,916
7.666666666666667,929
7.75,936
7.833333333333333,942
7.916666666666667,946
8,955
8.083333333333334,972
8.166666666666666,972
8.25,989
8.333333333333334,1000
8.416666666666666,1002
8.5,1013
8.583333333333334,1024
8.666666666666666,1039
8.75,1045
8.833333333333334,1047
8.916666666666666,1057
9,1060
9.083333333333334,1065
9.166666666666666,1072
9.25,1075
9.333333333333334,1083
9.416666666666666,1079
9.5,1096
9.583333333333334,1103
9.666666666666666,1108
9.75,1109
9.833333333333334,1119
9.916666666666666,1126
10,1131
10.083333333333334,1133
10.166666666666666,1141
10.25,1147
10.333333333333334,1153
10.416666666666666,1168
10.5,1174
10.583333333333334,1183
10.666666666666666,1182
10.75,1186
10.833333333333334,1191
10.916666666666666,1198
11,1202
11.083333333333334,1210
11.166666666666666,1210
11.25,1212
11.333333333333334,1222
11.416666666666666,1224
11.5,1231
11.583333333333334,1235
11.666666666666666,1236
11.75,1238
11.833333333333334,1251
11.916666666666666,1262
12,1264
12.083333333333334,1271
12.166666666666666,1274
12.25,1276
12.333333333333334,1282
12.416666666666666,1281
12.5,1292
12.583333333333334,1286
12.666666666666666,1297
12.75,1297
12.833333333333334,1302
12.916666666666666,1307
13,1313
13.083333333333334,1322
13.166666666666666,1330
13.25,1334
13.333333333333334,1336
13.416666666666666,1337
13.5,1348
13.583333333333334,1355
13.666666666666666,1361
13.75,1358
13.833333333333334,1365
13.916666666666666,1371
14,1375
14.083333333333334,1376
14.166666666666666,1380
14.25,1380
14.333333333333334,1384
14.416666666666666,1389
14.5,1400
14.583333333333334,1405
14.666666666666666,1408
14.75,1412
14.833333333333334,1405
14.916666666666666,1410
15,1414
15.083333333333334,1422
15.166666666666666,1422
15.25,1425
15.333333333333334,1432
15.416666666666666,1429
15.5,1432
15.583333333333334,1431
15.666666666666666,1438
15.75,1434
15.833333333333334,1435
15.916666666666666,1435
16,1439
16.083333333333332,1439
16.166666666666668,1448
16.25,1449
16.333333333333332,1453
16.416666666666668,1456
16.5,1467
16.583333333333332,1463
16.666666666666668,1464
16.75,1467
16.833333333333332,1474
16.916666666666668,1478
17,1476
17.083333333333332,1489
17.166666666666668,1495
17.25,1488
17.333333333333332,1495
17.416666666666668,1498
17.5,1504
17.583333333333332,1503
17.666666666666668,1504
17.75,1511
17.833333333333332,1516
17.916666666666668,1510
18,1515
18.083333333333332,1517
18.166666666666668,1529
18.25,1524
18.333333333333332,1532
18.416666666666668,1533
18.5,1535
18.583333333333332,1536
18.666666666666668,1549
18.75,1551
18.833333333333332,1555
18.916666666666668,1548
19,1557
19.083333333333332,1562
19.166666666666668,1558
19.25,1567
19.333333333333332,1555
19.416666666666668,1561
19.5,1566
19.583333333333332,1567
19.666666666666668,1573
19.75,1571
19.833333333333332,1566
19.916666666666668,1573
20,1577
20.083333333333332,1581
20.166666666666668,1581
20.25,1581
20.333333333333332,1586
20.416666666666668,1595
20.5,1600
20.583333333333332,1599
20.666666666666668,1595
20.75,1602
20.833333333333332,1601
20.916666666666668,1613
21,1611
21.083333333333332,1621
21.166666666666668,1622
21.25,1620
21.333333333333332,1627
21.416666666666668,1630
21.5,1633
21.583333333333332,1640
21.666666666666668,1643
21.75,1651
21.833333333333332,1657
21.916666666666668,1660
22,1666
22.083333333333332,1661
22.166666666666668,1671
22.25,1675
22.333333333333332,1674
22.416666666666668,1673
22.5,1679
22.583333333333332,1678
22.666666666666668,1680
22.75,1688
22.833333333333332,1682
22.916666666666668,1689
23,1694
23.083333333333332,1697
23.166666666666668,1699
23.25,1702
23.333333333333332,1706
23.416666666666668,1707
23.5,1715
23.583333333333332,1718
23.666666666666668,1714
23.75,1719
23.833333333333332,1726
23.916666666666668,1730
24,1729
24.083333333333332,1734
24.166666666666668,1741
24.25,1741
24.333333333333332,1746
24.416666666666668,1745
24.5,1751
24.583333333333332,1746
24.666666666666668,1752
24.75,1750
24.833333333333332,1754
24.916666666666668,1763
25,1754
25.083333333333332,1759
25.166666666666668,1762
25.25,1765
25.333333333333332,1771
25.416666666666668,1773
25.5,1778
25.583333333333332,1775
25.666666666666668,1778
25.75,1777
25.833333333333332,1778
25.916666666666668,1776
26,1781
26.083333333333332,1780
26.166666666666668,1783
26.25,1787
26.333333333333332,1788
26.416666666666668,1784
26.5,1786
26.583333333333332,1783
26.666666666666668,1790
26.75,1791
26.833333333333332,1793
26.916666666666668,1794
27,1790
27.083333333333332,1796
27.166666666666668,1795
27.25,1794
27.333333333333332,1794
27.416666666666668,1795
27.5,1798
27.583333333333332,1803
27.666666666666668,1803
27.75,1803
27.833333333333332,1804
27.916666666666668,1806
28,1810
28.083333333333332,1816
28.166666666666668,1815
28.25,1813
28.333333333333332,1811
28.416666666666668,1820
28.5,1820
28.583333333333332,1827
28.666666666666668,1828
28.75,1820
28.833333333333332,1831
28.916666666666668,1825
29,1827
29.083333333333332,1826
29.166666666666668,1833
29.25,1836
29.333333333333332,1833
29.416666666666668,1832
29.5,1831
29.583333333333332,1835
29.666666666666668,1836
29.75,1831
29.833333333333332,1830
29.916666666666668,1834
30,1839
30.083333333333332,1839
30.166666666666668,1835
30.25,1835
30.333333333333332,1842
30.416666666666668,1838
30.5,1843
30.583333333333332,1836
30.666666666666668,1841
30.75,1845
30.833333333333332,1847
30.916666666666668,1844
31,1843
31.083333333333332,1848
31.166666666666668,1845
31.25,1849
31.333333333333332,1847
31.416666666666668,1855
31.5,1853
31.583333333333332,1857
31.666666666666668,1854
31.75,1853
31.833333333333332,1855
31.916666666666668,1858
32,1863
32.083333333333336,1864
32.166666666666664,1863
32.25,1859
32.333333333333336,1855
