"Hours since thread went live","Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu • I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability - Episode 1 discussion"
0,3
0,5
0.08333333333333333,9
0.16666666666666666,9
0.25,11
0.3333333333333333,13
0.4166666666666667,17
0.5,21
0.5833333333333334,30
0.6666666666666666,32
0.75,37
0.8333333333333334,41
0.9166666666666666,47
1,51
1.0833333333333333,57
1.1666666666666667,57
1.25,63
1.3333333333333333,65
1.4166666666666667,69
1.5,70
1.5833333333333333,75
1.6666666666666667,83
1.75,85
1.8333333333333333,88
1.9166666666666667,92
2,95
2.0833333333333335,97
2.1666666666666665,101
2.25,100
2.3333333333333335,107
2.4166666666666665,115
2.5,122
2.5833333333333335,123
2.6666666666666665,132
2.75,131
2.8333333333333335,132
2.9166666666666665,135
3,136
3.0833333333333335,139
3.1666666666666665,142
3.25,145
3.3333333333333335,146
3.4166666666666665,155
3.5,158
3.5833333333333335,162
3.6666666666666665,161
3.75,164
3.8333333333333335,170
3.9166666666666665,171
4,180
4.083333333333333,180
4.166666666666667,182
4.25,187
4.333333333333333,191
4.416666666666667,195
4.5,201
4.583333333333333,201
4.666666666666667,202
4.75,206
4.833333333333333,213
4.916666666666667,218
5,218
5.083333333333333,217
5.166666666666667,220
5.25,226
5.333333333333333,225
5.416666666666667,228
5.5,227
5.583333333333333,236
5.666666666666667,236
5.75,241
5.833333333333333,251
5.916666666666667,251
6,256
6.083333333333333,258
6.166666666666667,263
6.25,263
6.333333333333333,265
6.416666666666667,265
6.5,266
6.583333333333333,274
6.666666666666667,280
6.75,286
6.833333333333333,293
6.916666666666667,291
7,299
7.083333333333333,300
7.166666666666667,304
7.25,306
7.333333333333333,316
7.416666666666667,319
7.5,319
7.583333333333333,324
7.666666666666667,324
7.75,328
7.833333333333333,328
7.916666666666667,329
8,336
8.083333333333334,342
8.166666666666666,340
8.25,347
8.333333333333334,347
8.416666666666666,350
8.5,348
8.583333333333334,355
8.666666666666666,360
8.75,357
8.833333333333334,364
8.916666666666666,363
9,366
9.083333333333334,367
9.166666666666666,376
9.25,374
9.333333333333334,374
9.416666666666666,376
9.5,379
9.583333333333334,384
9.666666666666666,385
9.75,390
9.833333333333334,389
9.916666666666666,384
10,386
10.083333333333334,384
10.166666666666666,394
10.25,390
10.333333333333334,395
10.416666666666666,391
10.5,396
10.583333333333334,400
10.666666666666666,410
10.75,405
10.833333333333334,412
10.916666666666666,407
11,409
11.083333333333334,412
11.166666666666666,417
11.25,411
11.333333333333334,416
11.416666666666666,412
11.5,418
11.583333333333334,419
11.666666666666666,418
11.75,422
11.833333333333334,419
11.916666666666666,428
12,426
12.083333333333334,427
12.166666666666666,425
12.25,430
12.333333333333334,433
12.416666666666666,440
12.5,435
12.583333333333334,436
12.666666666666666,438
12.75,439
12.833333333333334,440
12.916666666666666,439
13,445
13.083333333333334,447
13.166666666666666,447
13.25,440
13.333333333333334,450
13.416666666666666,450
13.5,448
13.583333333333334,447
13.666666666666666,448
13.75,447
13.833333333333334,453
13.916666666666666,455
14,448
14.083333333333334,454
14.166666666666666,456
14.25,461
14.333333333333334,454
14.416666666666666,460
14.5,457
14.583333333333334,458
14.666666666666666,467
14.75,467
14.833333333333334,462
14.916666666666666,463
15,473
15.083333333333334,470
15.166666666666666,474
15.25,469
15.333333333333334,468
15.416666666666666,472
15.5,469
15.583333333333334,469
15.666666666666666,474
15.75,480
15.833333333333334,477
15.916666666666666,480
16,478
16.083333333333332,475
16.166666666666668,478
16.25,487
16.333333333333332,481
16.416666666666668,486
16.5,481
16.583333333333332,483
16.666666666666668,483
16.75,488
16.833333333333332,486
16.916666666666668,483
17,489
17.083333333333332,493
17.166666666666668,484
17.25,485
17.333333333333332,495
17.416666666666668,489
17.5,494
17.583333333333332,498
17.666666666666668,494
17.75,495
17.833333333333332,488
17.916666666666668,502
18,501
18.083333333333332,495
18.166666666666668,509
18.25,506
18.333333333333332,512
18.416666666666668,508
18.5,512
18.583333333333332,509
18.666666666666668,513
18.75,510
18.833333333333332,516
18.916666666666668,516
19,518
19.083333333333332,517
19.166666666666668,519
19.25,517
19.333333333333332,525
19.416666666666668,526
19.5,525
19.583333333333332,529
19.666666666666668,527
19.75,524
19.833333333333332,529
19.916666666666668,532
20,532
20.083333333333332,529
20.166666666666668,535
20.25,535
20.333333333333332,533
20.416666666666668,532
20.5,536
20.583333333333332,537
20.666666666666668,539
20.75,542
20.833333333333332,538
20.916666666666668,548
21,549
21.083333333333332,551
21.166666666666668,551
21.25,554
21.333333333333332,550
21.416666666666668,554
21.5,552
21.583333333333332,555
21.666666666666668,556
21.75,551
21.833333333333332,556
21.916666666666668,554
22,558
22.083333333333332,552
22.166666666666668,558
22.25,559
22.333333333333332,559
22.416666666666668,558
22.5,562
22.583333333333332,558
22.666666666666668,561
22.75,564
22.833333333333332,564
22.916666666666668,566
23,566
23.083333333333332,568
23.166666666666668,566
23.25,563
23.333333333333332,569
23.416666666666668,567
23.5,573
23.583333333333332,574
23.666666666666668,575
23.75,574
23.833333333333332,576
23.916666666666668,572
24,573
24.083333333333332,576
24.166666666666668,576
24.25,577
24.333333333333332,576
24.416666666666668,577
24.5,573
24.583333333333332,581
24.666666666666668,583
24.75,580
24.833333333333332,579
24.916666666666668,579
25,583
25.083333333333332,581
25.166666666666668,577
25.25,578
25.333333333333332,585
25.416666666666668,590
25.5,580
25.583333333333332,585
25.666666666666668,589
25.75,587
25.833333333333332,587
25.916666666666668,589
26,590
26.083333333333332,586
26.166666666666668,586
26.25,595
26.333333333333332,590
26.416666666666668,596
26.5,598
26.583333333333332,595
26.666666666666668,599
26.75,597
26.833333333333332,599
26.916666666666668,599
27,603
27.083333333333332,600
27.166666666666668,603
27.25,606
27.333333333333332,605
27.416666666666668,606
27.5,609
27.583333333333332,605
27.666666666666668,601
27.75,602
27.833333333333332,604
27.916666666666668,611
28,610
28.083333333333332,612
28.166666666666668,605
28.25,605
28.333333333333332,610
28.416666666666668,612
28.5,611
28.583333333333332,616
28.666666666666668,613
28.75,614
28.833333333333332,613
28.916666666666668,620
29,620
29.083333333333332,619
29.166666666666668,614
29.25,613
29.333333333333332,618
29.416666666666668,620
29.5,619
29.583333333333332,620
29.666666666666668,626
29.75,625
29.833333333333332,621
29.916666666666668,627
30,627
30.083333333333332,623
30.166666666666668,629
30.25,624
30.333333333333332,627
30.416666666666668,625
30.5,627
30.583333333333332,625
30.666666666666668,627
30.75,630
30.833333333333332,624
30.916666666666668,625
31,626
31.083333333333332,629
31.166666666666668,632
31.25,627
31.333333333333332,639
31.416666666666668,641
31.5,639
31.583333333333332,639
31.666666666666668,640
31.75,642
31.833333333333332,638
31.916666666666668,644
32,642
32.083333333333336,637
32.166666666666664,635
32.25,640
32.333333333333336,636
32.416666666666664,644
32.5,641
32.583333333333336,647
32.666666666666664,644
32.75,637
32.833333333333336,643
32.916666666666664,644
33,638
33.083333333333336,638
33.166666666666664,643
33.25,642
33.333333333333336,645
33.416666666666664,643
33.5,644
33.583333333333336,648
33.666666666666664,645
33.75,645
33.833333333333336,642
33.916666666666664,648
34,648
34.083333333333336,645
34.166666666666664,643
34.25,648
34.333333333333336,653
34.416666666666664,650
34.5,647
34.583333333333336,651
34.666666666666664,645
34.75,652
34.833333333333336,649
34.916666666666664,650
35,653
35.083333333333336,656
35.166666666666664,650
35.25,650
35.333333333333336,654
35.416666666666664,654
35.5,651
35.583333333333336,650
35.666666666666664,651
35.75,653
35.833333333333336,653
35.916666666666664,655
36,656
36.083333333333336,650
36.166666666666664,655
36.25,657
36.333333333333336,658
36.416666666666664,657
36.5,657
36.583333333333336,657
36.666666666666664,658
36.75,660
36.833333333333336,659
36.916666666666664,658
37,658
37.083333333333336,661
37.166666666666664,659
37.25,658
37.333333333333336,661
37.416666666666664,660
37.5,658
37.583333333333336,659
37.666666666666664,655
37.75,661
37.833333333333336,655
37.916666666666664,661
38,660
38.083333333333336,663
38.166666666666664,658
38.25,657
38.333333333333336,661
38.416666666666664,662
38.5,661
38.583333333333336,660
38.666666666666664,661
38.75,663
38.833333333333336,658
38.916666666666664,666
39,666
39.083333333333336,664
39.166666666666664,668
39.25,667
39.333333333333336,663
39.416666666666664,664
39.5,670
39.583333333333336,669
39.666666666666664,668
39.75,671
39.833333333333336,665
39.916666666666664,669
40,672
40.083333333333336,666
40.166666666666664,664
40.25,670
40.333333333333336,672
40.416666666666664,669
40.5,673
40.583333333333336,671
40.666666666666664,669
40.75,667
40.833333333333336,669
40.916666666666664,669
41,670
41.083333333333336,668
41.166666666666664,675
41.25,675
41.333333333333336,669
41.416666666666664,669
41.5,673
41.583333333333336,666
41.666666666666664,675
41.75,670
41.833333333333336,670
41.916666666666664,669
42,666
42.083333333333336,672
42.166666666666664,670
42.25,667
42.333333333333336,671
42.416666666666664,667
42.5,670
42.583333333333336,668
42.666666666666664,677
42.75,667
42.833333333333336,672
42.916666666666664,669
43,676
43.083333333333336,670
43.166666666666664,667
43.25,671
43.333333333333336,670
43.416666666666664,667
43.5,672
43.583333333333336,670
43.666666666666664,674
43.75,668
43.833333333333336,666
43.916666666666664,672
44,674
44.083333333333336,671
44.166666666666664,676
44.25,673
44.333333333333336,672
44.416666666666664,675
44.5,676
44.583333333333336,669
44.666666666666664,671
44.75,676
44.833333333333336,669
44.916666666666664,669
45,670
45.083333333333336,669
45.166666666666664,672
45.25,671
45.333333333333336,671
45.416666666666664,673
45.5,679
45.583333333333336,675
45.666666666666664,676
45.75,676
45.833333333333336,674
45.916666666666664,677
46,677
46.083333333333336,675
46.166666666666664,676
46.25,681
46.333333333333336,679
46.416666666666664,683
46.5,673
46.583333333333336,676
46.666666666666664,678
46.75,681
46.833333333333336,676
46.916666666666664,678
47,679
47.083333333333336,674
47.166666666666664,678
47.25,681
47.333333333333336,675
47.416666666666664,679
47.5,681
47.583333333333336,680
47.666666666666664,681
47.75,679
47.833333333333336,679
47.916666666666664,676
