"Hours since thread went live","Dekisokonai to Yobareta Moto Eiyuu wa, Jikka kara Tsuihou Sareta no de Suki Katte ni Ikiru Koto ni Shita • The Banished Former Hero Lives as He Pleases - Episode 1 discussion"
0,1
0,1
0.08333333333333333,2
0.16666666666666666,4
0.25,4
0.3333333333333333,5
0.4166666666666667,6
0.5,6
0.5833333333333334,6
0.6666666666666666,5
0.75,5
0.8333333333333334,8
0.9166666666666666,10
1,9
1.0833333333333333,9
1.1666666666666667,10
1.25,11
1.3333333333333333,8
1.4166666666666667,8
1.5,8
1.5833333333333333,9
1.6666666666666667,9
1.75,11
1.8333333333333333,10
1.9166666666666667,12
2,13
2.0833333333333335,14
2.1666666666666665,13
2.25,13
2.3333333333333335,14
2.4166666666666665,13
2.5,13
2.5833333333333335,15
2.6666666666666665,15
2.75,12
2.8333333333333335,14
2.9166666666666665,15
3,15
3.0833333333333335,16
3.1666666666666665,16
3.25,17
3.3333333333333335,23
3.4166666666666665,19
3.5,22
3.5833333333333335,21
3.6666666666666665,21
3.75,27
3.8333333333333335,26
3.9166666666666665,24
4,24
4.083333333333333,20
4.166666666666667,26
4.25,22
4.333333333333333,29
4.416666666666667,29
4.5,27
4.583333333333333,30
4.666666666666667,27
4.75,27
4.833333333333333,30
4.916666666666667,32
5,33
5.083333333333333,33
5.166666666666667,37
5.25,33
5.333333333333333,34
5.416666666666667,34
5.5,34
5.583333333333333,37
5.666666666666667,38
5.75,34
5.833333333333333,40
5.916666666666667,39
6,39
6.083333333333333,39
6.166666666666667,41
6.25,37
6.333333333333333,41
6.416666666666667,40
6.5,41
6.583333333333333,40
6.666666666666667,40
6.75,41
6.833333333333333,43
6.916666666666667,41
7,45
7.083333333333333,43
7.166666666666667,46
7.25,44
7.333333333333333,50
7.416666666666667,45
7.5,49
7.583333333333333,52
7.666666666666667,52
7.75,54
7.833333333333333,51
7.916666666666667,54
8,52
8.083333333333334,52
8.166666666666666,54
8.25,54
8.333333333333334,49
8.416666666666666,52
8.5,52
8.583333333333334,52
8.666666666666666,54
8.75,56
8.833333333333334,53
8.916666666666666,53
9,56
9.083333333333334,56
9.166666666666666,56
9.25,59
9.333333333333334,59
9.416666666666666,59
9.5,61
9.583333333333334,54
9.666666666666666,57
9.75,56
9.833333333333334,62
9.916666666666666,59
10,58
10.083333333333334,58
10.166666666666666,58
10.25,63
10.333333333333334,60
10.416666666666666,62
10.5,63
10.583333333333334,60
10.666666666666666,64
10.75,62
10.833333333333334,62
10.916666666666666,61
11,66
11.083333333333334,66
11.166666666666666,66
11.25,64
11.333333333333334,63
11.416666666666666,61
11.5,67
11.583333333333334,69
11.666666666666666,63
11.75,63
11.833333333333334,64
11.916666666666666,62
12,62
12.083333333333334,64
12.166666666666666,66
12.25,66
12.333333333333334,64
12.416666666666666,65
12.5,63
12.583333333333334,63
12.666666666666666,70
12.75,70
12.833333333333334,74
12.916666666666666,66
13,70
13.083333333333334,71
13.166666666666666,74
13.25,70
13.333333333333334,71
13.416666666666666,76
13.5,76
13.583333333333334,73
13.666666666666666,75
13.75,74
13.833333333333334,79
13.916666666666666,75
14,72
14.083333333333334,78
14.166666666666666,75
14.25,77
14.333333333333334,73
14.416666666666666,74
14.5,72
14.583333333333334,73
14.666666666666666,78
14.75,76
14.833333333333334,77
14.916666666666666,76
15,76
15.083333333333334,77
15.166666666666666,80
15.25,77
15.333333333333334,74
15.416666666666666,77
15.5,76
15.583333333333334,76
15.666666666666666,81
15.75,78
15.833333333333334,78
15.916666666666666,79
16,83
16.083333333333332,78
16.166666666666668,81
16.25,81
16.333333333333332,81
16.416666666666668,81
16.5,81
16.583333333333332,76
16.666666666666668,83
16.75,80
16.833333333333332,82
16.916666666666668,80
17,81
17.083333333333332,82
17.166666666666668,82
17.25,80
17.333333333333332,83
17.416666666666668,85
17.5,84
17.583333333333332,81
17.666666666666668,84
17.75,80
17.833333333333332,78
17.916666666666668,82
18,84
18.083333333333332,80
18.166666666666668,84
18.25,84
18.333333333333332,83
18.416666666666668,83
18.5,81
18.583333333333332,86
18.666666666666668,80
18.75,87
18.833333333333332,88
18.916666666666668,84
19,88
19.083333333333332,87
19.166666666666668,87
19.25,84
19.333333333333332,84
19.416666666666668,84
19.5,87
19.583333333333332,83
19.666666666666668,82
19.75,82
19.833333333333332,83
19.916666666666668,87
20,84
20.083333333333332,86
20.166666666666668,83
20.25,83
20.333333333333332,84
20.416666666666668,85
20.5,88
20.583333333333332,87
20.666666666666668,82
20.75,86
20.833333333333332,85
20.916666666666668,85
21,87
21.083333333333332,83
21.166666666666668,84
21.25,83
21.333333333333332,82
21.416666666666668,84
21.5,82
21.583333333333332,82
21.666666666666668,83
21.75,82
21.833333333333332,83
21.916666666666668,87
22,81
22.083333333333332,83
22.166666666666668,87
22.25,80
22.333333333333332,84
22.416666666666668,84
22.5,83
22.583333333333332,81
22.666666666666668,82
22.75,88
22.833333333333332,83
22.916666666666668,86
23,84
23.083333333333332,84
23.166666666666668,83
23.25,84
23.333333333333332,87
23.416666666666668,84
23.5,86
23.583333333333332,80
23.666666666666668,86
23.75,87
23.833333333333332,86
23.916666666666668,84
24,88
24.083333333333332,88
24.166666666666668,87
24.25,86
24.333333333333332,88
24.416666666666668,89
24.5,87
24.583333333333332,87
24.666666666666668,86
24.75,84
24.833333333333332,84
24.916666666666668,88
25,90
25.083333333333332,89
25.166666666666668,87
25.25,92
25.333333333333332,89
25.416666666666668,92
25.5,89
25.583333333333332,87
25.666666666666668,93
25.75,89
25.833333333333332,91
25.916666666666668,88
26,92
26.083333333333332,88
26.166666666666668,88
26.25,91
26.333333333333332,91
26.416666666666668,92
26.5,88
26.583333333333332,90
26.666666666666668,91
26.75,92
26.833333333333332,94
26.916666666666668,90
27,91
27.083333333333332,88
27.166666666666668,89
27.25,91
27.333333333333332,90
27.416666666666668,91
27.5,88
27.583333333333332,90
27.666666666666668,89
27.75,89
27.833333333333332,88
27.916666666666668,90
28,94
28.083333333333332,91
28.166666666666668,89
28.25,90
28.333333333333332,87
28.416666666666668,89
28.5,89
28.583333333333332,90
28.666666666666668,93
28.75,89
28.833333333333332,90
28.916666666666668,91
29,89
29.083333333333332,88
29.166666666666668,90
29.25,90
29.333333333333332,87
29.416666666666668,87
29.5,90
29.583333333333332,88
29.666666666666668,88
29.75,90
29.833333333333332,86
29.916666666666668,90
30,88
30.083333333333332,89
30.166666666666668,91
30.25,88
30.333333333333332,90
30.416666666666668,85
30.5,85
30.583333333333332,90
30.666666666666668,88
30.75,88
30.833333333333332,89
30.916666666666668,85
31,88
31.083333333333332,86
31.166666666666668,85
31.25,89
31.333333333333332,88
31.416666666666668,84
31.5,87
31.583333333333332,91
31.666666666666668,87
31.75,85
31.833333333333332,84
31.916666666666668,86
32,88
32.083333333333336,85
32.166666666666664,91
32.25,86
32.333333333333336,90
32.416666666666664,88
32.5,91
32.583333333333336,89
32.666666666666664,92
32.75,92
32.833333333333336,92
32.916666666666664,89
33,92
33.083333333333336,89
33.166666666666664,93
33.25,92
33.333333333333336,93
33.416666666666664,91
33.5,92
33.583333333333336,89
33.666666666666664,88
33.75,90
33.833333333333336,91
33.916666666666664,90
34,90
34.083333333333336,88
34.166666666666664,94
34.25,89
34.333333333333336,92
34.416666666666664,87
34.5,93
34.583333333333336,88
34.666666666666664,94
34.75,89
34.833333333333336,94
34.916666666666664,93
35,94
35.083333333333336,90
35.166666666666664,92
35.25,96
35.333333333333336,94
35.416666666666664,93
35.5,91
35.583333333333336,92
35.666666666666664,93
35.75,93
35.833333333333336,92
35.916666666666664,94
36,96
36.083333333333336,95
36.166666666666664,91
36.25,93
36.333333333333336,94
36.416666666666664,90
36.5,95
36.583333333333336,93
36.666666666666664,92
36.75,91
36.833333333333336,91
36.916666666666664,94
37,91
37.083333333333336,99
37.166666666666664,95
37.25,98
37.333333333333336,99
37.416666666666664,97
37.5,96
37.583333333333336,98
37.666666666666664,94
37.75,96
37.833333333333336,95
37.916666666666664,96
38,96
38.083333333333336,99
38.166666666666664,96
38.25,97
38.333333333333336,96
