"Hours since thread went live","Dekisokonai to Yobareta Moto Eiyuu wa, Jikka kara Tsuihou Sareta no de Suki Katte ni Ikiru Koto ni Shita • The Banished Former Hero Lives as He Pleases - Episode 2 discussion"
0,1
0,1
0.08333333333333333,2
0.16666666666666666,4
0.25,5
0.3333333333333333,6
0.4166666666666667,8
0.5,8
0.5833333333333334,8
0.6666666666666666,7
0.75,7
0.8333333333333334,10
0.9166666666666666,10
1,9
1.0833333333333333,10
1.1666666666666667,9
1.25,12
1.3333333333333333,9
1.4166666666666667,9
1.5,9
1.5833333333333333,9
1.6666666666666667,10
1.75,11
1.8333333333333333,9
1.9166666666666667,9
2,10
2.0833333333333335,10
2.1666666666666665,10
2.25,12
2.3333333333333335,11
2.4166666666666665,12
2.5,12
2.5833333333333335,11
2.6666666666666665,12
2.75,12
2.8333333333333335,13
2.9166666666666665,13
3,15
3.0833333333333335,15
3.1666666666666665,14
3.25,17
3.3333333333333335,16
3.4166666666666665,18
3.5,15
3.5833333333333335,15
3.6666666666666665,17
3.75,18
3.8333333333333335,19
3.9166666666666665,19
4,20
4.083333333333333,18
4.166666666666667,21
4.25,22
4.333333333333333,21
4.416666666666667,20
4.5,22
4.583333333333333,24
4.666666666666667,24
4.75,23
4.833333333333333,24
4.916666666666667,22
5,26
5.083333333333333,23
5.166666666666667,25
5.25,25
5.333333333333333,29
5.416666666666667,26
5.5,28
5.583333333333333,28
5.666666666666667,28
5.75,32
5.833333333333333,30
5.916666666666667,34
6,28
6.083333333333333,31
6.166666666666667,34
6.25,35
6.333333333333333,35
6.416666666666667,34
6.5,34
6.583333333333333,34
6.666666666666667,35
6.75,38
6.833333333333333,38
6.916666666666667,41
7,39
7.083333333333333,39
7.166666666666667,39
7.25,41
7.333333333333333,41
7.416666666666667,41
7.5,42
7.583333333333333,43
7.666666666666667,45
7.75,45
7.833333333333333,45
7.916666666666667,48
8,50
8.083333333333334,50
8.166666666666666,47
8.25,45
8.333333333333334,51
8.416666666666666,48
8.5,51
8.583333333333334,48
8.666666666666666,48
8.75,50
8.833333333333334,52
8.916666666666666,53
9,51
9.083333333333334,53
9.166666666666666,53
9.25,54
9.333333333333334,55
9.416666666666666,54
9.5,52
9.583333333333334,53
9.666666666666666,55
9.75,56
9.833333333333334,52
9.916666666666666,55
10,51
10.083333333333334,55
10.166666666666666,57
10.25,55
10.333333333333334,58
10.416666666666666,58
10.5,53
10.583333333333334,58
10.666666666666666,57
10.75,55
10.833333333333334,56
10.916666666666666,52
11,55
11.083333333333334,56
11.166666666666666,54
11.25,59
11.333333333333334,59
11.416666666666666,59
11.5,58
11.583333333333334,59
11.666666666666666,61
11.75,59
11.833333333333334,56
11.916666666666666,63
12,59
12.083333333333334,59
12.166666666666666,59
12.25,57
12.333333333333334,61
12.416666666666666,60
12.5,62
12.583333333333334,63
12.666666666666666,63
12.75,62
12.833333333333334,64
12.916666666666666,66
13,63
13.083333333333334,61
13.166666666666666,66
13.25,65
13.333333333333334,62
13.416666666666666,68
13.5,63
13.583333333333334,67
13.666666666666666,67
13.75,67
13.833333333333334,65
13.916666666666666,68
14,68
14.083333333333334,69
14.166666666666666,65
14.25,66
14.333333333333334,67
14.416666666666666,66
14.5,66
14.583333333333334,70
14.666666666666666,68
14.75,69
14.833333333333334,67
14.916666666666666,67
15,63
15.083333333333334,70
15.166666666666666,73
15.25,69
15.333333333333334,68
15.416666666666666,67
15.5,70
15.583333333333334,70
15.666666666666666,69
15.75,73
15.833333333333334,72
15.916666666666666,77
16,74
16.083333333333332,71
16.166666666666668,78
16.25,76
16.333333333333332,75
16.416666666666668,72
16.5,76
16.583333333333332,74
16.666666666666668,76
16.75,76
16.833333333333332,73
16.916666666666668,74
17,77
17.083333333333332,76
17.166666666666668,75
17.25,77
17.333333333333332,77
17.416666666666668,76
17.5,78
17.583333333333332,80
17.666666666666668,74
17.75,79
17.833333333333332,76
17.916666666666668,77
18,77
18.083333333333332,74
18.166666666666668,77
18.25,80
18.333333333333332,78
18.416666666666668,76
18.5,75
18.583333333333332,78
18.666666666666668,80
18.75,76
18.833333333333332,80
18.916666666666668,79
19,83
19.083333333333332,80
19.166666666666668,78
19.25,79
19.333333333333332,79
19.416666666666668,80
19.5,78
19.583333333333332,82
19.666666666666668,79
19.75,79
19.833333333333332,77
19.916666666666668,83
20,79
20.083333333333332,79
20.166666666666668,81
20.25,78
20.333333333333332,82
20.416666666666668,79
20.5,80
20.583333333333332,79
20.666666666666668,80
20.75,75
20.833333333333332,76
20.916666666666668,81
21,78
21.083333333333332,79
21.166666666666668,82
21.25,79
21.333333333333332,75
21.416666666666668,79
21.5,82
21.583333333333332,83
21.666666666666668,81
21.75,80
21.833333333333332,75
21.916666666666668,78
22,78
22.083333333333332,77
22.166666666666668,77
22.25,81
22.333333333333332,80
22.416666666666668,80
22.5,80
22.583333333333332,77
22.666666666666668,76
22.75,77
22.833333333333332,79
22.916666666666668,84
23,79
23.083333333333332,82
23.166666666666668,82
23.25,81
23.333333333333332,80
23.416666666666668,81
23.5,81
23.583333333333332,81
23.666666666666668,82
23.75,85
23.833333333333332,79
23.916666666666668,85
24,86
24.083333333333332,80
24.166666666666668,81
24.25,82
24.333333333333332,82
24.416666666666668,84
24.5,81
24.583333333333332,85
24.666666666666668,86
24.75,83
24.833333333333332,83
24.916666666666668,86
25,84
25.083333333333332,82
25.166666666666668,85
25.25,82
25.333333333333332,87
25.416666666666668,85
25.5,85
25.583333333333332,86
25.666666666666668,86
25.75,83
25.833333333333332,87
25.916666666666668,81
26,88
26.083333333333332,82
26.166666666666668,86
26.25,85
26.333333333333332,87
26.416666666666668,86
26.5,85
26.583333333333332,89
26.666666666666668,88
26.75,86
26.833333333333332,85
26.916666666666668,84
27,89
27.083333333333332,88
27.166666666666668,85
27.25,84
27.333333333333332,90
27.416666666666668,88
27.5,88
27.583333333333332,87
27.666666666666668,91
27.75,87
27.833333333333332,88
27.916666666666668,88
28,87
28.083333333333332,92
28.166666666666668,89
28.25,87
28.333333333333332,88
28.416666666666668,89
28.5,92
28.583333333333332,89
28.666666666666668,86
28.75,87
28.833333333333332,88
28.916666666666668,89
29,89
29.083333333333332,88
29.166666666666668,88
29.25,89
29.333333333333332,88
29.416666666666668,90
29.5,90
29.583333333333332,90
29.666666666666668,88
29.75,90
29.833333333333332,89
29.916666666666668,92
30,92
30.083333333333332,88
30.166666666666668,86
30.25,93
30.333333333333332,87
30.416666666666668,93
30.5,90
30.583333333333332,90
30.666666666666668,89
30.75,91
30.833333333333332,88
30.916666666666668,87
31,92
31.083333333333332,86
31.166666666666668,87
31.25,92
31.333333333333332,88
31.416666666666668,88
31.5,86
31.583333333333332,86
31.666666666666668,90
31.75,93
31.833333333333332,91
31.916666666666668,92
32,86
32.083333333333336,91
32.166666666666664,91
32.25,90
32.333333333333336,92
32.416666666666664,92
32.5,94
32.583333333333336,94
32.666666666666664,90
32.75,90
32.833333333333336,91
32.916666666666664,88
33,90
33.083333333333336,93
33.166666666666664,92
33.25,90
33.333333333333336,91
33.416666666666664,88
33.5,88
33.583333333333336,96
33.666666666666664,89
33.75,94
33.833333333333336,92
33.916666666666664,91
34,91
34.083333333333336,92
34.166666666666664,93
34.25,91
34.333333333333336,95
34.416666666666664,91
34.5,95
34.583333333333336,92
34.666666666666664,90
34.75,95
34.833333333333336,94
34.916666666666664,94
35,96
35.083333333333336,93
35.166666666666664,92
35.25,95
35.333333333333336,94
35.416666666666664,96
35.5,91
35.583333333333336,95
35.666666666666664,92
35.75,92
35.833333333333336,93
35.916666666666664,95
36,91
36.083333333333336,92
36.166666666666664,94
36.25,93
36.333333333333336,91
36.416666666666664,93
36.5,95
36.583333333333336,98
36.666666666666664,96
36.75,98
36.833333333333336,95
36.916666666666664,96
37,95
37.083333333333336,95
37.166666666666664,95
37.25,94
37.333333333333336,95
37.416666666666664,94
37.5,93
37.583333333333336,96
37.666666666666664,91
37.75,93
37.833333333333336,97
37.916666666666664,97
38,99
38.083333333333336,93
38.166666666666664,93
38.25,94
38.333333333333336,97
