"Hours since thread went live","Odekake Kozame - Episode 49 discussion"
0,1
0,1
0.08333333333333333,2
0.16666666666666666,2
0.25,2
0.3333333333333333,1
0.4166666666666667,1
0.5,1
0.5833333333333334,1
0.6666666666666666,1
0.75,1
0.8333333333333334,2
0.9166666666666666,3
1,3
1.0833333333333333,3
1.1666666666666667,3
1.25,3
1.3333333333333333,3
1.4166666666666667,3
1.5,3
1.5833333333333333,3
1.6666666666666667,3
1.75,3
1.8333333333333333,2
1.9166666666666667,1
2,2
2.0833333333333335,2
2.1666666666666665,1
2.25,3
2.3333333333333335,3
2.4166666666666665,3
2.5,2
2.5833333333333335,3
2.6666666666666665,2
2.75,4
2.8333333333333335,2
2.9166666666666665,4
3,2
3.0833333333333335,3
3.1666666666666665,2
3.25,4
3.3333333333333335,4
3.4166666666666665,3
3.5,1
3.5833333333333335,3
3.6666666666666665,2
3.75,3
3.8333333333333335,3
3.9166666666666665,5
4,3
4.083333333333333,4
4.166666666666667,3
4.25,5
4.333333333333333,3
4.416666666666667,1
4.5,1
4.583333333333333,2
4.666666666666667,4
4.75,4
4.833333333333333,1
4.916666666666667,2
5,4
5.083333333333333,2
5.166666666666667,3
5.25,1
5.333333333333333,3
5.416666666666667,2
5.5,1
5.583333333333333,3
5.666666666666667,2
5.75,0
5.833333333333333,3
5.916666666666667,2
6,1
6.083333333333333,2
6.166666666666667,1
6.25,1
6.333333333333333,1
6.416666666666667,1
6.5,3
6.583333333333333,0
6.666666666666667,0
6.75,0
6.833333333333333,0
6.916666666666667,0
7,0
7.083333333333333,1
7.166666666666667,0
7.25,0
7.333333333333333,0
7.416666666666667,0
7.5,1
7.583333333333333,1
7.666666666666667,0
7.75,2
7.833333333333333,0
7.916666666666667,1
8,0
8.083333333333334,1
8.166666666666666,2
8.25,0
8.333333333333334,0
8.416666666666666,0
8.5,0
8.583333333333334,0
8.666666666666666,1
8.75,0
8.833333333333334,0
8.916666666666666,0
9,0
9.083333333333334,0
9.166666666666666,0
9.25,0
9.333333333333334,0
9.416666666666666,0
9.5,3
9.583333333333334,0
9.666666666666666,0
9.75,0
9.833333333333334,1
9.916666666666666,1
10,2
10.083333333333334,1
10.166666666666666,0
10.25,0
10.333333333333334,1
10.416666666666666,0
10.5,0
10.583333333333334,2
10.666666666666666,0
10.75,2
10.833333333333334,2
10.916666666666666,3
11,3
11.083333333333334,0
11.166666666666666,2
11.25,2
11.333333333333334,2
11.416666666666666,4
11.5,2
11.583333333333334,4
11.666666666666666,2
11.75,2
11.833333333333334,4
11.916666666666666,2
12,2
12.083333333333334,3
12.166666666666666,2
12.25,2
12.333333333333334,2
12.416666666666666,2
12.5,1
12.583333333333334,3
12.666666666666666,1
12.75,2
12.833333333333334,1
12.916666666666666,3
13,4
13.083333333333334,2
13.166666666666666,1
13.25,2
13.333333333333334,3
13.416666666666666,2
13.5,0
13.583333333333334,0
13.666666666666666,3
13.75,2
13.833333333333334,3
13.916666666666666,3
14,2
14.083333333333334,3
14.166666666666666,0
14.25,2
14.333333333333334,0
14.416666666666666,3
14.5,2
14.583333333333334,3
14.666666666666666,1
14.75,4
14.833333333333334,1
14.916666666666666,3
15,2
15.083333333333334,4
15.166666666666666,3
15.25,2
15.333333333333334,1
15.416666666666666,2
15.5,2
15.583333333333334,1
15.666666666666666,3
15.75,1
15.833333333333334,2
15.916666666666666,2
16,4
16.083333333333332,4
16.166666666666668,1
16.25,2
16.333333333333332,1
16.416666666666668,2
16.5,3
16.583333333333332,2
16.666666666666668,4
16.75,4
16.833333333333332,3
16.916666666666668,3
17,4
17.083333333333332,2
17.166666666666668,3
17.25,3
17.333333333333332,3
17.416666666666668,2
17.5,4
17.583333333333332,5
17.666666666666668,3
17.75,1
17.833333333333332,3
17.916666666666668,3
18,4
18.083333333333332,4
18.166666666666668,3
18.25,2
18.333333333333332,3
18.416666666666668,6
18.5,4
18.583333333333332,4
18.666666666666668,4
18.75,5
18.833333333333332,3
18.916666666666668,3
19,4
19.083333333333332,3
19.166666666666668,4
19.25,4
19.333333333333332,5
19.416666666666668,6
19.5,6
19.583333333333332,2
19.666666666666668,5
19.75,4
19.833333333333332,5
19.916666666666668,5
20,4
20.083333333333332,5
20.166666666666668,3
20.25,4
20.333333333333332,4
20.416666666666668,4
20.5,4
20.583333333333332,5
20.666666666666668,5
20.75,3
20.833333333333332,6
20.916666666666668,4
21,5
21.083333333333332,3
21.166666666666668,4
21.25,5
21.333333333333332,5
21.416666666666668,5
21.5,5
21.583333333333332,3
21.666666666666668,3
21.75,2
21.833333333333332,3
21.916666666666668,2
22,4
22.083333333333332,4
22.166666666666668,4
22.25,2
22.333333333333332,3
22.416666666666668,2
22.5,2
22.583333333333332,4
22.666666666666668,3
22.75,5
22.833333333333332,4
22.916666666666668,6
23,5
23.083333333333332,5
23.166666666666668,5
23.25,6
23.333333333333332,3
23.416666666666668,4
23.5,6
23.583333333333332,4
23.666666666666668,5
23.75,8
23.833333333333332,6
23.916666666666668,8
24,6
24.083333333333332,4
24.166666666666668,8
24.25,6
24.333333333333332,8
24.416666666666668,7
24.5,5
24.583333333333332,8
24.666666666666668,6
24.75,5
24.833333333333332,5
24.916666666666668,7
25,7
25.083333333333332,5
25.166666666666668,7
25.25,8
25.333333333333332,6
25.416666666666668,8
25.5,4
25.583333333333332,7
25.666666666666668,5
25.75,6
25.833333333333332,5
25.916666666666668,7
26,5
26.083333333333332,5
26.166666666666668,6
26.25,7
26.333333333333332,5
26.416666666666668,7
26.5,7
26.583333333333332,4
26.666666666666668,4
26.75,6
26.833333333333332,6
26.916666666666668,4
27,7
27.083333333333332,5
27.166666666666668,8
27.25,7
27.333333333333332,4
27.416666666666668,7
27.5,6
27.583333333333332,5
27.666666666666668,7
27.75,8
27.833333333333332,8
27.916666666666668,4
28,4
28.083333333333332,7
28.166666666666668,7
28.25,7
28.333333333333332,5
28.416666666666668,5
28.5,7
28.583333333333332,6
28.666666666666668,7
28.75,5
28.833333333333332,7
28.916666666666668,7
29,4
29.083333333333332,6
29.166666666666668,6
29.25,8
29.333333333333332,6
29.416666666666668,5
29.5,6
29.583333333333332,8
29.666666666666668,6
29.75,6
29.833333333333332,6
29.916666666666668,8
30,5
30.083333333333332,8
30.166666666666668,6
30.25,7
30.333333333333332,8
30.416666666666668,4
30.5,5
30.583333333333332,7
30.666666666666668,7
30.75,4
30.833333333333332,6
30.916666666666668,8
31,8
31.083333333333332,6
31.166666666666668,8
31.25,4
31.333333333333332,4
31.416666666666668,5
31.5,6
31.583333333333332,6
31.666666666666668,6
31.75,5
31.833333333333332,8
31.916666666666668,4
32,5
32.083333333333336,5
32.166666666666664,5
32.25,6
32.333333333333336,7
32.416666666666664,5
32.5,5
32.583333333333336,5
32.666666666666664,8
32.75,7
32.833333333333336,7
32.916666666666664,7
33,7
33.083333333333336,8
33.166666666666664,5
33.25,7
33.333333333333336,7
33.416666666666664,6
33.5,7
33.583333333333336,8
33.666666666666664,6
33.75,6
33.833333333333336,8
33.916666666666664,8
34,6
34.083333333333336,7
34.166666666666664,8
34.25,7
34.333333333333336,8
34.416666666666664,7
34.5,6
34.583333333333336,7
34.666666666666664,8
34.75,5
34.833333333333336,7
34.916666666666664,7
35,7
35.083333333333336,6
35.166666666666664,7
35.25,7
35.333333333333336,8
35.416666666666664,6
35.5,8
35.583333333333336,7
35.666666666666664,5
35.75,8
35.833333333333336,8
35.916666666666664,5
36,5
36.083333333333336,7
36.166666666666664,8
36.25,7
36.333333333333336,8
36.416666666666664,7
36.5,9
36.583333333333336,9
36.666666666666664,7
36.75,10
36.833333333333336,6
36.916666666666664,8
37,10
37.083333333333336,7
37.166666666666664,8
37.25,8
37.333333333333336,7
37.416666666666664,8
37.5,8
37.583333333333336,8
37.666666666666664,8
37.75,8
37.833333333333336,6
37.916666666666664,7
38,9
38.083333333333336,9
38.166666666666664,6
38.25,7
38.333333333333336,7
38.416666666666664,9
38.5,10
38.583333333333336,8
38.666666666666664,7
38.75,9
38.833333333333336,9
38.916666666666664,9
39,8
39.083333333333336,8
