"Hours since thread went live","Sand Land: The Series - Episode 9 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,1
0.25,1
0.3333333333333333,1
0.4166666666666667,1
0.5,1
0.5833333333333334,1
0.6666666666666666,2
0.75,2
0.8333333333333334,2
0.9166666666666666,2
1,2
1.0833333333333333,2
1.1666666666666667,2
1.25,2
1.3333333333333333,2
1.4166666666666667,2
1.5,2
1.5833333333333333,2
1.6666666666666667,2
1.75,2
1.8333333333333333,2
1.9166666666666667,2
2,2
2.0833333333333335,2
2.1666666666666665,2
2.25,1
2.3333333333333335,1
2.4166666666666665,1
2.5,1
2.5833333333333335,1
2.6666666666666665,1
2.75,2
2.8333333333333335,2
2.9166666666666665,2
3,2
3.0833333333333335,2
3.1666666666666665,2
3.25,2
3.3333333333333335,2
3.4166666666666665,2
3.5,2
3.5833333333333335,2
3.6666666666666665,6
3.75,5
3.8333333333333335,5
3.9166666666666665,6
4,6
4.083333333333333,5
4.166666666666667,4
4.25,5
4.333333333333333,6
4.416666666666667,6
4.5,6
4.583333333333333,7
4.666666666666667,6
4.75,5
4.833333333333333,6
4.916666666666667,5
5,5
5.083333333333333,6
5.166666666666667,7
5.25,6
5.333333333333333,7
5.416666666666667,7
5.5,7
5.583333333333333,8
5.666666666666667,7
5.75,8
5.833333333333333,7
5.916666666666667,7
6,7
6.083333333333333,8
6.166666666666667,9
6.25,9
6.333333333333333,10
6.416666666666667,11
6.5,12
6.583333333333333,12
6.666666666666667,10
6.75,10
6.833333333333333,10
6.916666666666667,10
7,10
7.083333333333333,11
7.166666666666667,10
7.25,9
7.333333333333333,10
7.416666666666667,10
7.5,10
7.583333333333333,10
7.666666666666667,10
7.75,11
7.833333333333333,11
7.916666666666667,9
8,11
8.083333333333334,12
8.166666666666666,11
8.25,12
8.333333333333334,11
8.416666666666666,11
8.5,11
8.583333333333334,10
8.666666666666666,13
8.75,10
8.833333333333334,11
8.916666666666666,14
9,14
9.083333333333334,15
9.166666666666666,14
9.25,14
9.333333333333334,15
9.416666666666666,14
9.5,16
9.583333333333334,15
9.666666666666666,17
9.75,16
9.833333333333334,17
9.916666666666666,15
10,16
10.083333333333334,18
10.166666666666666,14
10.25,16
10.333333333333334,17
10.416666666666666,14
10.5,15
10.583333333333334,17
10.666666666666666,17
10.75,18
10.833333333333334,17
10.916666666666666,16
11,19
11.083333333333334,16
11.166666666666666,17
11.25,16
11.333333333333334,17
11.416666666666666,17
11.5,17
11.583333333333334,17
11.666666666666666,15
11.75,17
11.833333333333334,17
11.916666666666666,19
12,17
12.083333333333334,17
12.166666666666666,17
12.25,17
12.333333333333334,18
12.416666666666666,18
12.5,17
12.583333333333334,16
12.666666666666666,16
12.75,17
12.833333333333334,17
12.916666666666666,19
13,17
13.083333333333334,18
13.166666666666666,18
13.25,17
13.333333333333334,17
13.416666666666666,18
13.5,19
13.583333333333334,20
13.666666666666666,22
13.75,20
13.833333333333334,21
13.916666666666666,18
14,19
14.083333333333334,18
14.166666666666666,20
14.25,21
14.333333333333334,20
14.416666666666666,23
14.5,23
14.583333333333334,21
14.666666666666666,20
14.75,23
14.833333333333334,21
14.916666666666666,22
15,20
15.083333333333334,21
15.166666666666666,23
15.25,21
15.333333333333334,21
15.416666666666666,23
15.5,23
15.583333333333334,24
15.666666666666666,23
15.75,23
15.833333333333334,22
15.916666666666666,23
16,23
16.083333333333332,23
16.166666666666668,24
16.25,24
16.333333333333332,23
16.416666666666668,25
16.5,25
16.583333333333332,25
16.666666666666668,21
16.75,24
16.833333333333332,22
16.916666666666668,25
17,23
17.083333333333332,21
17.166666666666668,25
17.25,24
17.333333333333332,26
17.416666666666668,22
17.5,24
17.583333333333332,23
17.666666666666668,23
17.75,26
17.833333333333332,26
17.916666666666668,24
18,24
18.083333333333332,24
18.166666666666668,23
18.25,24
18.333333333333332,25
18.416666666666668,24
18.5,24
18.583333333333332,26
18.666666666666668,24
18.75,26
18.833333333333332,26
18.916666666666668,24
19,26
19.083333333333332,25
19.166666666666668,25
19.25,24
19.333333333333332,24
19.416666666666668,22
19.5,24
19.583333333333332,25
19.666666666666668,24
19.75,25
19.833333333333332,25
19.916666666666668,23
20,22
20.083333333333332,22
20.166666666666668,23
20.25,25
20.333333333333332,23
20.416666666666668,25
20.5,24
20.583333333333332,25
20.666666666666668,24
20.75,27
20.833333333333332,23
20.916666666666668,26
21,23
21.083333333333332,26
21.166666666666668,25
21.25,24
21.333333333333332,24
21.416666666666668,25
21.5,25
21.583333333333332,24
21.666666666666668,25
21.75,23
21.833333333333332,26
21.916666666666668,24
22,27
22.083333333333332,23
22.166666666666668,24
22.25,26
22.333333333333332,24
22.416666666666668,26
22.5,25
22.583333333333332,25
22.666666666666668,25
22.75,25
22.833333333333332,25
22.916666666666668,25
23,25
23.083333333333332,26
23.166666666666668,25
23.25,24
23.333333333333332,27
23.416666666666668,26
23.5,27
23.583333333333332,26
23.666666666666668,25
23.75,25
23.833333333333332,26
23.916666666666668,24
24,25
24.083333333333332,26
24.166666666666668,24
24.25,26
24.333333333333332,26
24.416666666666668,25
24.5,27
24.583333333333332,26
24.666666666666668,25
24.75,25
24.833333333333332,25
24.916666666666668,25
25,26
25.083333333333332,25
25.166666666666668,25
25.25,25
25.333333333333332,27
25.416666666666668,24
25.5,26
25.583333333333332,25
25.666666666666668,26
25.75,24
25.833333333333332,28
25.916666666666668,26
26,24
26.083333333333332,26
26.166666666666668,25
26.25,25
26.333333333333332,26
26.416666666666668,25
26.5,25
26.583333333333332,26
26.666666666666668,27
26.75,27
26.833333333333332,28
26.916666666666668,25
27,26
27.083333333333332,25
27.166666666666668,25
27.25,25
27.333333333333332,27
27.416666666666668,26
27.5,24
27.583333333333332,25
27.666666666666668,27
27.75,27
27.916666666666668,29
28,29
28.083333333333332,29
28.166666666666668,25
28.25,26
28.333333333333332,27
28.416666666666668,26
28.5,27
28.583333333333332,27
28.666666666666668,27
28.75,28
28.833333333333332,26
28.916666666666668,25
29,28
29.083333333333332,27
29.166666666666668,27
29.25,27
29.333333333333332,32
29.416666666666668,30
29.5,28
29.583333333333332,25
29.666666666666668,27
29.75,27
29.833333333333332,28
29.916666666666668,25
30,31
30.083333333333332,29
30.166666666666668,30
30.25,26
30.333333333333332,26
30.416666666666668,28
30.5,25
30.583333333333332,32
30.666666666666668,27
30.75,30
30.833333333333332,28
30.916666666666668,27
31,29
31.083333333333332,27
31.166666666666668,28
31.25,31
31.333333333333332,28
31.416666666666668,28
31.5,27
31.583333333333332,31
31.666666666666668,30
31.75,26
31.833333333333332,28
31.916666666666668,27
32,30
32.083333333333336,30
32.166666666666664,29
32.25,25
32.333333333333336,29
32.416666666666664,32
32.5,28
32.583333333333336,28
32.666666666666664,27
32.75,26
32.833333333333336,29
32.916666666666664,26
33,31
33.083333333333336,29
33.166666666666664,28
33.25,29
33.333333333333336,27
33.416666666666664,30
33.5,27
33.583333333333336,32
33.666666666666664,26
33.75,32
33.833333333333336,31
33.916666666666664,29
34,29
34.083333333333336,30
34.166666666666664,26
34.25,26
34.333333333333336,28
34.416666666666664,31
34.5,30
34.583333333333336,26
34.666666666666664,29
34.75,29
34.833333333333336,32
34.916666666666664,30
35,30
35.083333333333336,29
35.166666666666664,29
35.25,29
35.333333333333336,29
35.416666666666664,30
35.5,25
35.583333333333336,30
35.666666666666664,29
35.75,30
35.833333333333336,29
35.916666666666664,26
36,28
36.083333333333336,25
36.166666666666664,32
36.25,32
36.333333333333336,29
36.416666666666664,31
36.5,29
36.583333333333336,29
36.666666666666664,31
36.75,29
36.833333333333336,30
36.916666666666664,25
37,26
37.083333333333336,32
37.166666666666664,31
37.25,27
37.333333333333336,26
37.416666666666664,30
37.5,29
37.583333333333336,26
37.666666666666664,29
37.75,31
37.833333333333336,28
37.916666666666664,30
38,29
38.083333333333336,30
38.166666666666664,30
38.25,29
38.333333333333336,29
38.416666666666664,33
38.5,29
38.583333333333336,33
38.666666666666664,26
38.75,29
38.833333333333336,27
38.916666666666664,25
39,30
39.083333333333336,26
39.166666666666664,27
39.25,25
