"Hours since thread went live","Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii? • An Archdemon's Dilemma: How to Love Your Elf Bride - Episode 1 discussion"
0,1
0,2
0.08333333333333333,4
0.16666666666666666,5
0.25,6
0.3333333333333333,6
0.4166666666666667,6
0.5,7
0.5833333333333334,8
0.6666666666666666,13
0.75,16
0.8333333333333334,19
0.9166666666666666,23
1,26
1.0833333333333333,29
1.1666666666666667,30
1.25,34
1.3333333333333333,38
1.4166666666666667,36
1.5,39
1.5833333333333333,43
1.6666666666666667,45
1.75,49
1.8333333333333333,52
1.9166666666666667,51
2,51
2.0833333333333335,55
2.1666666666666665,54
2.25,60
2.3333333333333335,64
2.4166666666666665,62
2.5,65
2.5833333333333335,67
2.6666666666666665,78
2.75,83
2.8333333333333335,84
2.9166666666666665,87
3,98
3.0833333333333335,95
3.1666666666666665,103
3.25,104
3.3333333333333335,109
3.4166666666666665,115
3.5,121
3.5833333333333335,127
3.6666666666666665,125
3.75,127
3.8333333333333335,137
3.9166666666666665,138
4,144
4.083333333333333,147
4.166666666666667,154
4.25,161
4.333333333333333,160
4.416666666666667,168
4.5,163
4.583333333333333,168
4.666666666666667,170
4.75,178
4.833333333333333,181
4.916666666666667,181
5,188
5.083333333333333,192
5.166666666666667,196
5.25,194
5.333333333333333,197
5.416666666666667,204
5.5,206
5.583333333333333,208
5.666666666666667,212
5.75,211
5.833333333333333,217
5.916666666666667,226
6,224
6.083333333333333,229
6.166666666666667,235
6.25,238
6.333333333333333,246
6.416666666666667,245
6.5,253
6.583333333333333,253
6.666666666666667,261
6.75,268
6.833333333333333,266
6.916666666666667,270
7,273
7.083333333333333,279
7.166666666666667,278
7.25,285
7.333333333333333,283
7.416666666666667,283
7.5,282
7.583333333333333,292
7.666666666666667,295
7.75,303
7.833333333333333,309
7.916666666666667,306
8,309
8.083333333333334,313
8.166666666666666,317
8.25,325
8.333333333333334,324
8.416666666666666,334
8.5,334
8.583333333333334,333
8.666666666666666,338
8.75,336
8.833333333333334,342
8.916666666666666,337
9,355
9.083333333333334,355
9.166666666666666,361
9.25,361
9.333333333333334,367
9.416666666666666,368
9.5,375
9.583333333333334,377
9.666666666666666,380
9.75,382
9.833333333333334,386
9.916666666666666,382
10,383
10.083333333333334,391
10.166666666666666,393
10.25,392
10.333333333333334,396
10.416666666666666,397
10.5,398
10.583333333333334,400
10.666666666666666,400
10.75,404
10.833333333333334,403
10.916666666666666,402
11,405
11.083333333333334,416
11.166666666666666,417
11.25,418
11.333333333333334,418
11.416666666666666,419
11.5,421
11.583333333333334,424
11.666666666666666,417
11.75,421
11.833333333333334,425
11.916666666666666,424
12,429
12.083333333333334,435
12.166666666666666,442
12.25,434
12.333333333333334,435
12.416666666666666,439
12.5,436
12.583333333333334,442
12.666666666666666,444
12.75,441
12.833333333333334,438
12.916666666666666,442
13,445
13.083333333333334,443
13.166666666666666,447
13.25,444
13.333333333333334,445
13.416666666666666,448
13.5,451
13.583333333333334,448
13.666666666666666,446
13.75,456
13.833333333333334,450
13.916666666666666,449
14,459
14.083333333333334,461
14.166666666666666,458
14.25,459
14.333333333333334,458
14.416666666666666,466
14.5,467
14.583333333333334,467
14.666666666666666,462
14.75,468
14.833333333333334,469
14.916666666666666,471
15,470
15.083333333333334,469
15.166666666666666,475
15.25,470
15.333333333333334,479
15.416666666666666,478
15.5,479
15.583333333333334,485
15.666666666666666,478
15.75,488
15.833333333333334,482
15.916666666666666,486
16,491
16.083333333333332,492
16.166666666666668,490
16.25,490
16.333333333333332,492
16.416666666666668,490
16.5,491
16.583333333333332,488
16.666666666666668,495
16.75,494
16.833333333333332,497
16.916666666666668,490
17,500
17.083333333333332,499
17.166666666666668,498
17.25,500
17.333333333333332,506
17.416666666666668,501
17.5,498
17.583333333333332,511
17.666666666666668,503
17.75,510
17.833333333333332,506
17.916666666666668,504
18,508
18.083333333333332,503
18.166666666666668,509
18.25,506
18.333333333333332,510
18.416666666666668,511
18.5,508
18.583333333333332,513
18.666666666666668,510
18.75,509
18.833333333333332,509
18.916666666666668,511
19,514
19.083333333333332,513
19.166666666666668,511
19.25,514
19.333333333333332,512
19.416666666666668,519
19.5,517
19.583333333333332,521
19.666666666666668,520
19.75,523
19.833333333333332,517
19.916666666666668,521
20,516
20.083333333333332,522
20.166666666666668,516
20.25,520
20.333333333333332,517
20.416666666666668,528
20.5,519
20.583333333333332,519
20.666666666666668,523
20.75,520
20.833333333333332,523
20.916666666666668,522
21,519
21.083333333333332,522
21.166666666666668,518
21.25,520
21.333333333333332,525
21.416666666666668,527
21.5,525
21.583333333333332,527
21.666666666666668,523
21.75,522
21.833333333333332,527
21.916666666666668,524
22,526
22.083333333333332,530
22.166666666666668,534
22.25,533
22.333333333333332,535
22.416666666666668,537
22.5,536
22.583333333333332,536
22.666666666666668,540
22.75,540
22.833333333333332,543
22.916666666666668,541
23,540
23.083333333333332,544
23.166666666666668,542
23.25,543
23.333333333333332,538
23.416666666666668,544
23.5,542
23.583333333333332,541
23.666666666666668,541
23.75,546
23.833333333333332,547
23.916666666666668,547
24,548
24.083333333333332,546
24.166666666666668,548
24.25,549
24.333333333333332,551
24.416666666666668,547
24.5,549
24.583333333333332,548
24.666666666666668,544
24.75,551
24.833333333333332,554
24.916666666666668,551
25,545
25.083333333333332,553
25.166666666666668,551
25.25,550
25.333333333333332,555
25.416666666666668,556
25.5,553
25.583333333333332,556
25.666666666666668,549
25.75,558
25.833333333333332,554
25.916666666666668,558
26,555
26.083333333333332,561
26.166666666666668,558
26.25,556
26.333333333333332,562
26.416666666666668,560
26.5,564
26.583333333333332,560
26.666666666666668,559
26.75,560
26.833333333333332,561
26.916666666666668,563
27,556
27.083333333333332,562
27.166666666666668,564
27.25,563
27.333333333333332,565
27.416666666666668,563
27.5,567
27.583333333333332,566
27.666666666666668,564
27.75,563
27.833333333333332,570
27.916666666666668,571
28,566
28.083333333333332,566
28.166666666666668,565
28.25,564
28.333333333333332,567
28.416666666666668,571
28.5,569
28.583333333333332,565
28.666666666666668,568
28.75,566
28.833333333333332,567
28.916666666666668,568
29,574
29.083333333333332,564
29.166666666666668,572
29.25,570
29.333333333333332,573
29.416666666666668,570
29.5,569
29.583333333333332,573
29.666666666666668,574
29.75,575
29.833333333333332,571
29.916666666666668,574
30,574
30.083333333333332,576
30.166666666666668,568
30.25,573
30.333333333333332,574
30.416666666666668,570
30.5,568
30.583333333333332,572
30.666666666666668,573
30.75,574
30.833333333333332,573
30.916666666666668,575
31,572
31.083333333333332,574
31.166666666666668,581
31.25,578
31.333333333333332,579
31.416666666666668,572
31.5,576
31.583333333333332,575
31.666666666666668,571
31.75,578
31.833333333333332,575
31.916666666666668,576
32,579
32.083333333333336,582
32.166666666666664,574
32.25,580
32.333333333333336,572
32.416666666666664,575
32.5,578
32.583333333333336,584
32.666666666666664,578
32.75,580
32.833333333333336,581
32.916666666666664,579
33,581
33.083333333333336,584
