"Hours since thread went live","Hananoi-kun to Koi no Yamai • A Condition Called Love - Episode 1 discussion"
0,2
0,4
0.08333333333333333,10
0.16666666666666666,17
0.25,21
0.3333333333333333,24
0.4166666666666667,30
0.5,33
0.5833333333333334,39
0.6666666666666666,46
0.75,49
0.8333333333333334,51
0.9166666666666666,56
1,61
1.0833333333333333,65
1.1666666666666667,74
1.25,76
1.3333333333333333,79
1.4166666666666667,82
1.5,89
1.5833333333333333,94
1.6666666666666667,94
1.75,98
1.8333333333333333,107
1.9166666666666667,112
2,115
2.0833333333333335,120
2.1666666666666665,129
2.25,132
2.3333333333333335,132
2.4166666666666665,133
2.5,142
2.5833333333333335,142
2.6666666666666665,146
2.75,148
2.8333333333333335,149
2.9166666666666665,155
3,157
3.0833333333333335,156
3.1666666666666665,165
3.25,170
3.3333333333333335,170
3.4166666666666665,175
3.5,172
3.5833333333333335,174
3.6666666666666665,175
3.75,178
3.8333333333333335,174
3.9166666666666665,178
4,184
4.083333333333333,189
4.166666666666667,190
4.25,194
4.333333333333333,195
4.416666666666667,198
4.5,198
4.583333333333333,201
4.666666666666667,203
4.75,206
4.833333333333333,208
4.916666666666667,212
5,208
5.083333333333333,211
5.166666666666667,217
5.25,220
5.333333333333333,218
5.416666666666667,217
5.5,225
5.583333333333333,232
5.666666666666667,231
5.75,234
5.833333333333333,237
5.916666666666667,241
6,240
6.083333333333333,241
6.166666666666667,245
6.25,245
6.333333333333333,248
6.416666666666667,252
6.5,256
6.583333333333333,253
6.666666666666667,259
6.75,257
6.833333333333333,256
6.916666666666667,263
7,263
7.083333333333333,274
7.166666666666667,272
7.25,276
7.333333333333333,280
7.416666666666667,281
7.5,282
7.583333333333333,284
7.666666666666667,290
7.75,289
7.833333333333333,284
7.916666666666667,285
8,293
8.083333333333334,293
8.166666666666666,295
8.25,299
8.333333333333334,298
8.416666666666666,305
8.5,308
8.583333333333334,312
8.666666666666666,314
8.75,315
8.833333333333334,319
8.916666666666666,321
9,327
9.083333333333334,331
9.166666666666666,332
9.25,329
9.333333333333334,335
9.416666666666666,335
9.5,333
9.583333333333334,341
9.666666666666666,348
9.75,339
9.833333333333334,343
9.916666666666666,353
10,353
10.083333333333334,359
10.166666666666666,362
10.25,363
10.333333333333334,358
10.416666666666666,359
10.5,359
10.583333333333334,358
10.666666666666666,359
10.75,363
10.833333333333334,366
10.916666666666666,367
11,366
11.083333333333334,373
11.166666666666666,366
11.25,368
11.333333333333334,370
11.416666666666666,372
11.5,378
11.583333333333334,378
11.666666666666666,376
11.75,378
11.833333333333334,380
11.916666666666666,385
12,385
12.083333333333334,385
12.166666666666666,390
12.25,384
12.333333333333334,388
12.416666666666666,392
12.5,394
12.583333333333334,395
12.666666666666666,391
12.75,391
12.833333333333334,397
12.916666666666666,393
13,404
13.083333333333334,406
13.166666666666666,407
13.25,406
13.333333333333334,402
13.416666666666666,409
13.5,409
13.583333333333334,409
13.666666666666666,409
13.75,416
13.833333333333334,416
13.916666666666666,418
14,417
14.083333333333334,420
14.166666666666666,424
14.25,418
14.333333333333334,422
14.416666666666666,424
14.5,427
14.583333333333334,426
14.666666666666666,422
14.75,423
14.833333333333334,427
14.916666666666666,422
15,430
15.083333333333334,428
15.166666666666666,432
15.25,426
15.333333333333334,429
15.416666666666666,427
15.5,433
15.583333333333334,436
15.666666666666666,434
15.75,441
15.833333333333334,430
15.916666666666666,437
16,436
16.083333333333332,441
16.166666666666668,443
16.25,437
16.333333333333332,438
16.416666666666668,445
16.5,435
16.583333333333332,440
16.666666666666668,436
16.75,437
16.833333333333332,441
16.916666666666668,444
17,441
17.083333333333332,444
17.166666666666668,446
17.25,449
17.333333333333332,448
17.416666666666668,452
17.5,449
17.583333333333332,446
17.666666666666668,454
17.75,450
17.833333333333332,458
17.916666666666668,451
18,458
18.083333333333332,462
18.166666666666668,461
18.25,454
18.333333333333332,462
18.416666666666668,458
18.5,460
18.583333333333332,464
18.666666666666668,463
18.75,459
18.833333333333332,458
18.916666666666668,459
19,458
19.083333333333332,461
19.166666666666668,456
19.25,461
19.333333333333332,469
19.416666666666668,462
19.5,464
19.583333333333332,458
19.666666666666668,468
19.75,459
19.833333333333332,463
19.916666666666668,463
20,468
20.083333333333332,469
20.166666666666668,471
20.25,465
20.333333333333332,472
20.416666666666668,465
20.5,464
20.583333333333332,468
20.666666666666668,471
20.75,466
20.833333333333332,475
20.916666666666668,476
21,473
21.083333333333332,477
21.166666666666668,475
21.25,478
21.333333333333332,477
21.416666666666668,476
21.5,481
21.583333333333332,478
21.666666666666668,479
21.75,485
21.833333333333332,479
21.916666666666668,485
22,486
22.083333333333332,487
22.166666666666668,483
22.25,481
22.333333333333332,480
22.416666666666668,485
22.5,485
22.583333333333332,488
22.666666666666668,491
22.75,487
22.833333333333332,490
22.916666666666668,489
23,488
23.083333333333332,489
23.166666666666668,491
23.25,497
23.333333333333332,488
23.416666666666668,495
23.5,495
23.583333333333332,500
23.666666666666668,491
23.75,495
23.833333333333332,499
23.916666666666668,498
24,493
24.083333333333332,495
24.166666666666668,501
24.25,500
24.333333333333332,496
24.416666666666668,498
24.5,501
24.583333333333332,499
24.666666666666668,498
24.75,494
24.833333333333332,496
24.916666666666668,500
25,497
25.083333333333332,494
25.166666666666668,498
25.25,498
25.333333333333332,494
25.416666666666668,497
25.5,498
25.583333333333332,500
25.666666666666668,500
25.75,502
25.833333333333332,501
25.916666666666668,497
26,504
26.083333333333332,499
26.166666666666668,500
26.25,500
26.333333333333332,499
26.416666666666668,504
26.5,501
26.583333333333332,506
26.666666666666668,507
