"Hours since thread went live","Mahouka Koukou no Rettousei Season 3 • The Irregular at Magic High School Season 3 - Episode 1 discussion"
0,2
0,3
0.08333333333333333,9
0.16666666666666666,13
0.25,17
0.3333333333333333,31
0.4166666666666667,33
0.5,37
0.5833333333333334,42
0.6666666666666666,47
0.75,51
0.8333333333333334,54
0.9166666666666666,62
1,66
1.0833333333333333,79
1.1666666666666667,83
1.25,97
1.3333333333333333,105
1.4166666666666667,110
1.5,117
1.5833333333333333,124
1.6666666666666667,132
1.75,135
1.8333333333333333,143
1.9166666666666667,147
2,156
2.0833333333333335,158
2.1666666666666665,166
2.25,167
2.3333333333333335,172
2.4166666666666665,176
2.5,181
2.5833333333333335,185
2.6666666666666665,190
2.75,197
2.8333333333333335,202
2.9166666666666665,207
3,212
3.0833333333333335,216
3.1666666666666665,216
3.25,218
3.3333333333333335,220
3.4166666666666665,224
3.5,232
3.5833333333333335,235
3.6666666666666665,235
3.75,242
3.8333333333333335,246
3.9166666666666665,248
4,255
4.083333333333333,258
4.166666666666667,262
4.25,268
4.333333333333333,272
4.416666666666667,275
4.5,276
4.583333333333333,282
4.666666666666667,288
4.75,288
4.833333333333333,290
4.916666666666667,290
5,294
5.083333333333333,292
5.166666666666667,295
5.25,298
5.333333333333333,299
5.416666666666667,300
5.5,307
5.583333333333333,308
5.666666666666667,315
5.75,319
5.833333333333333,323
5.916666666666667,330
6,333
6.083333333333333,334
6.166666666666667,337
6.25,349
6.333333333333333,348
6.416666666666667,351
6.5,365
6.583333333333333,368
6.666666666666667,366
6.75,367
6.833333333333333,372
6.916666666666667,373
7,376
7.083333333333333,374
7.166666666666667,379
7.25,384
7.333333333333333,386
7.416666666666667,389
7.5,389
7.583333333333333,393
7.666666666666667,392
7.75,402
7.833333333333333,399
7.916666666666667,404
8,405
8.083333333333334,405
8.166666666666666,411
8.25,414
8.333333333333334,416
8.416666666666666,423
8.5,420
8.583333333333334,427
8.666666666666666,422
8.75,424
8.833333333333334,437
8.916666666666666,431
9,435
9.083333333333334,440
9.166666666666666,442
9.25,446
9.333333333333334,443
9.416666666666666,451
9.5,454
9.583333333333334,452
9.666666666666666,456
9.75,461
9.833333333333334,463
9.916666666666666,461
10,464
10.083333333333334,460
10.166666666666666,467
10.25,461
10.333333333333334,470
10.416666666666666,478
10.5,468
10.583333333333334,477
10.666666666666666,478
10.75,480
10.833333333333334,485
10.916666666666666,484
11,489
11.083333333333334,490
11.166666666666666,491
11.25,492
11.333333333333334,494
11.416666666666666,497
11.5,502
11.583333333333334,503
11.666666666666666,498
11.75,501
11.833333333333334,503
11.916666666666666,501
12,502
12.083333333333334,502
12.166666666666666,504
12.25,515
12.333333333333334,513
12.416666666666666,515
12.5,519
12.583333333333334,521
12.666666666666666,524
12.75,519
12.833333333333334,525
12.916666666666666,530
13,532
13.083333333333334,537
13.166666666666666,539
13.25,532
13.333333333333334,542
13.416666666666666,543
13.5,540
13.583333333333334,543
13.666666666666666,536
13.75,542
13.833333333333334,540
13.916666666666666,541
14,549
14.083333333333334,545
14.166666666666666,552
14.25,548
14.333333333333334,548
14.416666666666666,550
14.5,543
14.583333333333334,547
14.666666666666666,550
14.75,549
14.833333333333334,548
14.916666666666666,550
15,555
15.083333333333334,558
15.166666666666666,555
15.25,555
15.333333333333334,564
15.416666666666666,561
15.5,558
15.583333333333334,561
15.666666666666666,571
15.75,569
15.833333333333334,566
15.916666666666666,570
16,572
16.083333333333332,564
16.166666666666668,573
16.25,573
16.333333333333332,569
16.416666666666668,568
16.5,565
