"Hours since thread went live","Highspeed Étoile - Episode 1 discussion"
0,1
0,2
0.08333333333333333,2
0.16666666666666666,6
0.25,9
0.3333333333333333,11
0.4166666666666667,12
0.5,13
0.5833333333333334,17
0.6666666666666666,20
0.75,21
0.8333333333333334,22
0.9166666666666666,22
1,22
1.0833333333333333,22
1.1666666666666667,24
1.25,25
1.3333333333333333,25
1.4166666666666667,25
1.5,27
1.5833333333333333,28
1.6666666666666667,30
1.75,35
1.8333333333333333,32
1.9166666666666667,33
2,38
2.0833333333333335,39
2.1666666666666665,37
2.25,39
2.3333333333333335,38
2.4166666666666665,39
2.5,42
2.5833333333333335,44
2.6666666666666665,47
2.75,46
2.8333333333333335,46
2.9166666666666665,49
3,53
3.0833333333333335,53
3.1666666666666665,53
3.25,53
3.3333333333333335,57
3.4166666666666665,56
3.5,53
3.5833333333333335,58
3.6666666666666665,62
3.75,60
3.8333333333333335,62
3.9166666666666665,57
4,59
4.083333333333333,58
4.166666666666667,58
4.25,60
4.333333333333333,58
4.416666666666667,61
4.5,63
4.583333333333333,66
4.666666666666667,62
4.75,60
4.833333333333333,64
4.916666666666667,63
5,62
5.083333333333333,63
5.166666666666667,65
5.25,61
5.333333333333333,67
5.416666666666667,64
5.5,64
5.583333333333333,70
5.666666666666667,67
5.75,63
5.833333333333333,66
5.916666666666667,70
6,70
6.083333333333333,70
6.166666666666667,74
6.25,75
6.333333333333333,71
6.416666666666667,69
6.5,74
6.583333333333333,75
6.666666666666667,74
6.75,72
6.833333333333333,72
6.916666666666667,73
7,77
7.083333333333333,79
7.166666666666667,84
7.25,84
7.333333333333333,80
7.416666666666667,81
7.5,84
7.583333333333333,85
7.666666666666667,83
7.75,85
7.833333333333333,87
7.916666666666667,84
8,89
8.083333333333334,87
8.166666666666666,86
8.25,88
8.333333333333334,94
8.416666666666666,93
8.5,91
8.583333333333334,90
8.666666666666666,90
8.75,90
8.833333333333334,87
8.916666666666666,92
9,91
9.083333333333334,91
9.166666666666666,89
9.25,89
9.333333333333334,91
9.416666666666666,89
9.5,90
9.583333333333334,89
9.666666666666666,88
9.75,89
9.833333333333334,95
9.916666666666666,93
10,94
10.083333333333334,92
10.166666666666666,97
10.25,94
10.333333333333334,91
10.416666666666666,90
10.5,92
10.583333333333334,94
10.666666666666666,95
10.75,92
10.833333333333334,92
10.916666666666666,90
11,94
11.083333333333334,95
11.166666666666666,96
11.25,97
11.333333333333334,100
11.416666666666666,98
11.5,97
11.583333333333334,95
11.666666666666666,97
11.75,98
11.833333333333334,96
11.916666666666666,94
12,93
12.083333333333334,98
12.166666666666666,97
12.25,95
12.333333333333334,95
12.416666666666666,94
12.5,94
12.583333333333334,99
12.666666666666666,97
12.75,98
12.833333333333334,96
12.916666666666666,97
13,100
13.083333333333334,102
13.166666666666666,97
13.25,104
13.333333333333334,101
13.416666666666666,98
13.5,100
13.583333333333334,100
13.666666666666666,100
13.75,100
13.833333333333334,101
13.916666666666666,105
14,105
14.083333333333334,101
14.166666666666666,104
14.25,102
14.333333333333334,100
14.416666666666666,100
14.5,106
14.583333333333334,106
14.666666666666666,105
14.75,105
14.833333333333334,109
14.916666666666666,104
15,103
15.083333333333334,107
15.166666666666666,105
15.25,103
15.333333333333334,104
15.416666666666666,107
15.5,104
15.583333333333334,102
15.666666666666666,106
15.75,103
15.833333333333334,102
15.916666666666666,105
16,104
16.083333333333332,105
16.166666666666668,108
16.25,105
16.333333333333332,109
16.416666666666668,106
16.5,105
16.583333333333332,110
16.666666666666668,106
16.75,106
16.833333333333332,105
16.916666666666668,105
17,108
17.083333333333332,112
17.166666666666668,106
17.25,111
17.333333333333332,104
17.416666666666668,108
17.5,106
17.583333333333332,112
17.666666666666668,113
17.75,112
17.833333333333332,109
17.916666666666668,110
18,109
18.083333333333332,110
18.166666666666668,109
18.25,112
18.333333333333332,112
18.416666666666668,113
18.5,108
18.583333333333332,113
18.666666666666668,109
18.75,108
18.833333333333332,111
18.916666666666668,112
19,107
19.083333333333332,107
19.166666666666668,110
19.25,111
19.333333333333332,116
19.416666666666668,115
19.5,115
19.583333333333332,117
19.666666666666668,117
19.75,118
19.833333333333332,113
19.916666666666668,112
20,116
20.083333333333332,116
20.166666666666668,114
20.25,115
20.333333333333332,116
20.416666666666668,112
20.5,114
20.583333333333332,116
20.666666666666668,114
20.75,115
20.833333333333332,116
20.916666666666668,112
21,114
21.083333333333332,113
21.166666666666668,112
21.25,113
21.333333333333332,117
21.416666666666668,116
21.5,118
21.583333333333332,115
21.666666666666668,116
21.75,118
21.833333333333332,114
21.916666666666668,117
22,113
22.083333333333332,114
22.166666666666668,117
22.25,115
22.333333333333332,113
22.416666666666668,111
22.5,117
22.583333333333332,117
22.666666666666668,114
22.75,115
22.833333333333332,114
22.916666666666668,114
23,110
23.083333333333332,112
23.166666666666668,112
23.25,115
23.333333333333332,115
23.416666666666668,114
23.5,111
23.583333333333332,113
23.666666666666668,115
23.75,117
23.833333333333332,114
23.916666666666668,115
24,115
24.083333333333332,112
24.166666666666668,116
24.25,118
24.333333333333332,115
24.416666666666668,112
24.5,111
24.583333333333332,113
24.666666666666668,114
24.75,116
24.833333333333332,115
24.916666666666668,117
25,117
25.083333333333332,115
25.166666666666668,114
25.25,112
25.333333333333332,115
25.416666666666668,111
25.5,110
25.583333333333332,112
25.666666666666668,110
25.75,112
25.833333333333332,113
25.916666666666668,112
26,115
26.083333333333332,116
26.166666666666668,114
26.25,112
26.333333333333332,116
26.416666666666668,117
26.5,116
26.583333333333332,118
26.666666666666668,117
26.75,115
26.833333333333332,117
26.916666666666668,116
27,112
27.083333333333332,115
27.166666666666668,113
27.25,119
27.333333333333332,119
27.416666666666668,116
27.5,115
27.583333333333332,112
27.666666666666668,118
27.75,114
27.833333333333332,114
27.916666666666668,115
28,116
28.083333333333332,118
28.166666666666668,118
28.25,116
28.333333333333332,120
28.416666666666668,116
28.5,115
28.583333333333332,113
28.666666666666668,115
28.75,115
28.833333333333332,115
28.916666666666668,115
29,116
29.083333333333332,116
29.166666666666668,118
29.25,115
29.333333333333332,115
29.416666666666668,115
29.5,115
29.583333333333332,113
29.666666666666668,116
29.75,116
29.833333333333332,117
29.916666666666668,118
30,117
30.083333333333332,119
30.166666666666668,118
30.25,116
30.333333333333332,114
30.416666666666668,118
30.5,117
30.583333333333332,114
30.666666666666668,115
30.75,120
30.833333333333332,118
30.916666666666668,119
31,121
31.083333333333332,114
31.166666666666668,118
31.25,119
31.333333333333332,117
31.416666666666668,118
31.5,119
31.583333333333332,122
31.666666666666668,119
31.75,119
31.833333333333332,116
31.916666666666668,119
32,120
32.083333333333336,115
32.166666666666664,116
32.25,116
32.333333333333336,118
32.416666666666664,119
32.5,120
32.583333333333336,123
32.666666666666664,121
32.75,119
32.833333333333336,119
32.916666666666664,118
33,120
33.083333333333336,118
33.166666666666664,118
33.25,120
33.333333333333336,121
33.416666666666664,123
33.5,117
33.583333333333336,119
