"Hours since thread went live","Meitantei Conan • Case Closed - Episode 1119 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,1
0.25,1
0.3333333333333333,2
0.4166666666666667,2
0.5,2
0.5833333333333334,1
0.6666666666666666,1
0.75,2
0.8333333333333334,2
0.9166666666666666,2
1,2
1.0833333333333333,2
1.1666666666666667,2
1.25,2
1.3333333333333333,3
1.4166666666666667,3
1.5,3
1.5833333333333333,3
1.6666666666666667,3
1.75,3
1.8333333333333333,3
1.9166666666666667,5
2,5
2.0833333333333335,5
2.1666666666666665,3
2.25,6
2.3333333333333335,6
2.4166666666666665,6
2.5,7
2.5833333333333335,5
2.6666666666666665,6
2.75,5
2.8333333333333335,8
2.9166666666666665,8
3,8
3.0833333333333335,8
3.1666666666666665,7
3.25,8
3.3333333333333335,9
3.4166666666666665,9
3.5,8
3.5833333333333335,8
3.6666666666666665,8
3.75,8
3.8333333333333335,8
3.9166666666666665,9
4,8
4.083333333333333,11
4.166666666666667,9
4.25,9
4.333333333333333,8
4.416666666666667,9
4.5,9
4.583333333333333,9
4.666666666666667,10
4.75,9
4.833333333333333,8
4.916666666666667,9
5,9
5.083333333333333,10
5.166666666666667,7
5.25,9
5.333333333333333,9
5.416666666666667,11
5.5,10
5.583333333333333,9
5.666666666666667,10
5.75,7
5.833333333333333,8
5.916666666666667,8
6,8
6.083333333333333,10
6.166666666666667,10
6.25,10
6.333333333333333,12
6.416666666666667,9
6.5,9
6.583333333333333,8
6.666666666666667,9
6.75,10
6.833333333333333,8
6.916666666666667,11
7,11
7.083333333333333,11
7.166666666666667,12
7.25,12
7.333333333333333,12
7.416666666666667,10
7.5,12
7.583333333333333,9
7.666666666666667,10
7.75,8
7.833333333333333,11
7.916666666666667,9
8,11
8.083333333333334,10
8.166666666666666,11
8.25,10
8.333333333333334,9
8.416666666666666,11
8.5,8
8.583333333333334,11
8.666666666666666,11
8.75,10
8.833333333333334,10
8.916666666666666,10
9,12
9.083333333333334,8
9.166666666666666,11
9.25,8
9.333333333333334,9
9.416666666666666,11
9.5,10
9.583333333333334,9
9.666666666666666,8
9.75,9
9.833333333333334,10
9.916666666666666,12
10,11
10.083333333333334,8
10.166666666666666,11
10.25,9
10.333333333333334,11
10.416666666666666,10
10.5,9
10.583333333333334,11
10.666666666666666,12
10.75,10
10.833333333333334,12
10.916666666666666,10
11,10
11.083333333333334,11
11.166666666666666,8
11.25,11
11.333333333333334,11
11.416666666666666,9
11.5,10
11.583333333333334,12
11.666666666666666,10
11.75,9
11.833333333333334,10
11.916666666666666,12
12,10
12.083333333333334,12
12.166666666666666,9
12.25,10
12.333333333333334,8
12.416666666666666,10
12.5,12
12.583333333333334,12
12.666666666666666,9
12.75,12
12.833333333333334,11
12.916666666666666,9
13,9
13.083333333333334,9
13.166666666666666,9
13.25,10
13.333333333333334,12
13.416666666666666,9
13.5,8
13.583333333333334,10
13.666666666666666,11
13.75,11
13.833333333333334,9
13.916666666666666,10
14,10
14.083333333333334,8
14.166666666666666,9
14.25,10
14.333333333333334,10
14.416666666666666,9
14.5,12
14.583333333333334,8
14.666666666666666,10
14.75,9
14.833333333333334,11
14.916666666666666,12
15,9
15.083333333333334,10
15.166666666666666,11
15.25,10
15.333333333333334,10
15.416666666666666,11
15.5,11
15.583333333333334,10
15.666666666666666,9
15.75,9
15.833333333333334,9
15.916666666666666,12
16,11
16.083333333333332,11
16.166666666666668,9
16.25,10
16.333333333333332,10
16.416666666666668,10
16.5,12
16.583333333333332,10
16.666666666666668,10
16.75,10
16.833333333333332,9
16.916666666666668,9
17,9
17.083333333333332,10
17.166666666666668,11
17.25,11
17.333333333333332,10
17.416666666666668,10
17.5,11
17.583333333333332,12
17.666666666666668,9
17.75,10
17.833333333333332,12
17.916666666666668,11
18,9
18.083333333333332,10
18.166666666666668,9
18.25,12
18.333333333333332,11
18.416666666666668,9
18.5,10
18.583333333333332,11
18.666666666666668,10
18.75,11
18.833333333333332,10
18.916666666666668,12
19,9
19.083333333333332,11
19.166666666666668,10
19.25,10
19.333333333333332,9
19.416666666666668,10
19.5,11
19.583333333333332,9
19.666666666666668,8
19.75,11
19.833333333333332,11
19.916666666666668,10
20,11
20.083333333333332,12
20.166666666666668,10
20.25,11
20.333333333333332,12
20.416666666666668,9
20.5,9
20.583333333333332,8
20.666666666666668,10
20.75,10
20.833333333333332,10
20.916666666666668,9
21,11
21.083333333333332,10
21.166666666666668,11
21.25,11
21.333333333333332,12
21.416666666666668,10
21.5,9
21.583333333333332,8
21.666666666666668,11
21.75,9
21.833333333333332,9
21.916666666666668,8
22,9
22.083333333333332,12
22.166666666666668,10
22.25,11
22.333333333333332,11
22.416666666666668,8
22.5,11
22.583333333333332,10
22.666666666666668,10
22.75,10
22.833333333333332,8
22.916666666666668,10
23,8
23.083333333333332,10
23.166666666666668,9
23.25,10
23.333333333333332,10
23.416666666666668,9
23.5,10
23.583333333333332,10
23.666666666666668,12
23.75,10
23.833333333333332,10
23.916666666666668,10
24,10
24.083333333333332,11
24.166666666666668,10
24.25,8
24.333333333333332,9
24.416666666666668,10
24.5,10
24.583333333333332,8
24.666666666666668,12
24.75,12
24.833333333333332,12
24.916666666666668,12
25,8
25.083333333333332,10
25.166666666666668,9
25.25,11
25.333333333333332,12
25.416666666666668,8
25.5,10
25.583333333333332,9
25.666666666666668,10
25.75,9
25.833333333333332,10
25.916666666666668,10
26,12
26.083333333333332,11
26.166666666666668,9
26.25,8
26.333333333333332,10
26.416666666666668,9
26.5,12
26.583333333333332,12
26.666666666666668,11
26.75,13
26.833333333333332,12
26.916666666666668,12
27,11
27.083333333333332,10
27.166666666666668,11
27.25,12
27.333333333333332,11
27.416666666666668,12
27.5,10
27.583333333333332,11
27.666666666666668,11
27.75,10
27.833333333333332,10
27.916666666666668,12
28,9
28.083333333333332,11
28.166666666666668,9
28.25,12
28.333333333333332,11
28.416666666666668,13
28.5,9
28.583333333333332,13
28.666666666666668,13
28.75,11
28.833333333333332,9
28.916666666666668,9
29,11
29.083333333333332,9
29.166666666666668,10
29.25,11
29.333333333333332,11
29.416666666666668,10
29.5,9
29.583333333333332,10
29.666666666666668,13
29.75,11
29.833333333333332,10
29.916666666666668,11
30,12
30.083333333333332,11
30.166666666666668,10
30.25,13
30.333333333333332,11
30.416666666666668,12
30.5,11
30.583333333333332,9
30.666666666666668,12
30.75,10
30.833333333333332,10
30.916666666666668,13
31,11
31.083333333333332,9
31.166666666666668,12
31.25,12
31.333333333333332,13
31.416666666666668,10
31.5,10
31.583333333333332,11
31.666666666666668,12
31.75,12
31.833333333333332,13
31.916666666666668,10
32,11
32.083333333333336,11
32.166666666666664,11
32.25,10
32.333333333333336,12
32.416666666666664,12
32.5,12
32.583333333333336,11
32.666666666666664,11
32.75,12
32.833333333333336,13
32.916666666666664,11
33,10
33.083333333333336,10
33.166666666666664,12
33.25,11
33.333333333333336,12
33.416666666666664,12
33.5,11
33.583333333333336,13
33.666666666666664,11
33.75,10
33.833333333333336,11
33.916666666666664,12
34,10
34.083333333333336,13
34.166666666666664,11
34.25,10
34.333333333333336,11
34.416666666666664,10
34.5,12
34.583333333333336,9
34.666666666666664,10
34.75,9
34.833333333333336,10
34.916666666666664,11
35,10
35.083333333333336,11
35.166666666666664,12
35.25,12
35.333333333333336,13
35.416666666666664,13
35.5,12
35.583333333333336,12
35.666666666666664,10
35.75,11
35.833333333333336,12
35.916666666666664,10
36,12
36.083333333333336,11
36.166666666666664,9
36.25,13
36.333333333333336,10
36.416666666666664,12
36.5,11
36.583333333333336,10
36.666666666666664,10
36.75,11
36.833333333333336,11
36.916666666666664,10
37,10
37.083333333333336,10
37.166666666666664,11
37.25,11
37.333333333333336,10
37.416666666666664,10
37.5,12
37.583333333333336,11
37.666666666666664,10
37.75,9
37.833333333333336,11
37.916666666666664,12
38,13
38.083333333333336,11
38.166666666666664,11
38.25,13
38.333333333333336,11
38.416666666666664,10
38.5,13
38.583333333333336,10
38.666666666666664,10
38.75,10
38.833333333333336,10
38.916666666666664,12
39,10
39.083333333333336,12
