"Hours since thread went live","The Fable - Episode 1 discussion"
0,1
0,2
0.08333333333333333,3
0.16666666666666666,7
0.25,10
0.3333333333333333,14
0.4166666666666667,14
0.5,18
0.5833333333333334,20
0.6666666666666666,21
0.75,25
0.8333333333333334,30
0.9166666666666666,34
1,40
1.0833333333333333,43
1.1666666666666667,51
1.25,56
1.3333333333333333,61
1.4166666666666667,64
1.5,69
1.5833333333333333,71
1.6666666666666667,73
1.75,77
1.8333333333333333,76
1.9166666666666667,79
2,81
2.0833333333333335,85
2.1666666666666665,90
2.25,94
2.3333333333333335,102
2.4166666666666665,105
2.5,107
2.5833333333333335,111
2.6666666666666665,114
2.75,116
2.8333333333333335,119
2.9166666666666665,124
3,126
3.0833333333333335,128
3.1666666666666665,128
3.25,129
3.3333333333333335,137
3.4166666666666665,133
3.5,140
3.5833333333333335,141
3.6666666666666665,138
3.75,146
3.8333333333333335,143
3.9166666666666665,145
4,146
4.083333333333333,148
4.166666666666667,153
4.25,157
4.333333333333333,163
4.416666666666667,168
4.5,168
4.583333333333333,167
4.666666666666667,172
4.75,176
4.833333333333333,178
4.916666666666667,179
5,185
5.083333333333333,184
5.166666666666667,191
5.25,188
5.333333333333333,194
5.416666666666667,191
5.5,194
5.583333333333333,202
5.666666666666667,202
5.75,206
5.833333333333333,208
5.916666666666667,205
6,209
6.083333333333333,211
6.166666666666667,211
6.25,216
6.333333333333333,214
6.416666666666667,214
6.5,217
6.583333333333333,216
6.666666666666667,218
6.75,221
6.833333333333333,222
6.916666666666667,227
7,230
7.083333333333333,232
7.166666666666667,233
7.25,235
7.333333333333333,231
7.416666666666667,239
7.5,239
7.583333333333333,241
7.666666666666667,242
7.75,244
7.833333333333333,248
7.916666666666667,246
8,247
8.083333333333334,251
8.166666666666666,251
8.25,253
8.333333333333334,258
8.416666666666666,255
8.5,256
8.583333333333334,261
8.666666666666666,261
8.75,260
8.833333333333334,260
8.916666666666666,259
9,264
9.083333333333334,263
9.166666666666666,265
9.25,262
9.333333333333334,266
9.416666666666666,269
9.5,269
9.583333333333334,271
9.666666666666666,273
9.75,275
9.833333333333334,274
9.916666666666666,277
10,279
10.083333333333334,275
10.166666666666666,279
10.25,281
10.333333333333334,288
10.416666666666666,286
10.5,286
10.583333333333334,290
10.666666666666666,286
10.75,286
10.833333333333334,283
10.916666666666666,288
11,284
11.083333333333334,291
11.166666666666666,292
11.25,288
11.333333333333334,293
11.416666666666666,296
11.5,298
11.583333333333334,299
11.666666666666666,297
11.75,300
11.833333333333334,301
11.916666666666666,301
12,302
12.083333333333334,305
12.166666666666666,301
12.25,304
12.333333333333334,306
12.416666666666666,300
12.5,302
12.583333333333334,305
12.666666666666666,304
12.75,305
12.833333333333334,309
12.916666666666666,307
13,307
13.083333333333334,308
13.166666666666666,307
13.25,310
13.333333333333334,317
13.416666666666666,313
13.5,312
13.583333333333334,315
13.666666666666666,312
13.75,315
13.833333333333334,318
13.916666666666666,320
14,317
14.083333333333334,322
14.166666666666666,322
14.25,322
14.333333333333334,321
14.416666666666666,319
14.5,320
14.583333333333334,317
14.666666666666666,321
14.75,321
14.833333333333334,324
14.916666666666666,325
15,331
15.083333333333334,326
15.166666666666666,329
15.25,328
15.333333333333334,328
15.416666666666666,327
15.5,330
15.583333333333334,331
15.666666666666666,330
15.75,333
15.833333333333334,331
15.916666666666666,336
16,330
16.083333333333332,331
16.166666666666668,334
16.25,334
16.333333333333332,330
16.416666666666668,336
16.5,335
16.583333333333332,336
16.666666666666668,334
16.75,342
16.833333333333332,341
16.916666666666668,338
17,343
17.083333333333332,343
17.166666666666668,337
17.25,342
17.333333333333332,341
17.416666666666668,343
17.5,341
17.583333333333332,344
17.666666666666668,342
17.75,345
17.833333333333332,340
17.916666666666668,346
18,349
18.083333333333332,343
18.166666666666668,347
18.25,346
18.333333333333332,351
18.416666666666668,350
18.5,342
18.583333333333332,349
18.666666666666668,349
18.75,350
18.833333333333332,352
18.916666666666668,347
19,355
19.083333333333332,352
19.166666666666668,346
19.25,347
19.333333333333332,354
19.416666666666668,346
19.5,354
19.583333333333332,357
19.666666666666668,355
19.75,359
19.833333333333332,355
19.916666666666668,356
20,357
20.083333333333332,358
20.166666666666668,361
20.25,360
20.333333333333332,363
20.416666666666668,366
20.5,357
20.583333333333332,365
20.666666666666668,363
20.75,362
20.833333333333332,364
20.916666666666668,364
21,368
21.083333333333332,366
21.166666666666668,363
21.25,368
21.333333333333332,366
21.416666666666668,368
21.5,367
21.583333333333332,370
21.666666666666668,373
21.75,369
21.833333333333332,368
21.916666666666668,381
22,382
22.083333333333332,374
22.166666666666668,380
22.25,379
22.333333333333332,380
22.416666666666668,383
22.5,378
22.583333333333332,381
22.666666666666668,377
22.75,379
22.833333333333332,386
22.916666666666668,382
23,377
23.083333333333332,382
23.166666666666668,382
23.25,386
23.333333333333332,391
23.416666666666668,387
23.5,382
23.583333333333332,385
23.666666666666668,387
23.75,389
23.833333333333332,385
23.916666666666668,388
24,389
24.083333333333332,393
24.166666666666668,389
24.25,397
24.333333333333332,392
24.416666666666668,390
24.5,392
24.583333333333332,399
24.666666666666668,395
24.75,394
24.833333333333332,397
24.916666666666668,394
25,402
25.083333333333332,400
25.166666666666668,403
25.25,394
25.333333333333332,400
25.416666666666668,404
25.5,396
25.583333333333332,402
25.666666666666668,403
25.75,398
25.833333333333332,399
25.916666666666668,407
26,405
26.083333333333332,402
26.166666666666668,403
26.25,404
26.333333333333332,403
26.416666666666668,402
26.5,398
26.583333333333332,401
26.666666666666668,401
26.75,400
26.833333333333332,403
26.916666666666668,406
27,404
27.083333333333332,407
27.166666666666668,406
27.25,408
27.333333333333332,406
27.416666666666668,405
27.5,408
27.583333333333332,402
27.666666666666668,409
27.75,413
27.833333333333332,407
27.916666666666668,407
28,404
28.083333333333332,409
28.166666666666668,407
28.25,415
28.333333333333332,409
28.416666666666668,409
28.5,412
28.583333333333332,408
28.666666666666668,410
28.75,409
28.833333333333332,406
28.916666666666668,413
29,407
29.083333333333332,409
29.166666666666668,408
29.25,404
29.333333333333332,411
29.416666666666668,412
29.5,410
29.583333333333332,410
29.666666666666668,413
29.75,409
29.833333333333332,412
29.916666666666668,413
30,411
30.083333333333332,411
30.166666666666668,412
30.25,413
30.333333333333332,414
30.416666666666668,412
30.5,410
30.583333333333332,410
30.666666666666668,416
30.75,411
30.833333333333332,415
30.916666666666668,409
31,416
31.083333333333332,410
31.166666666666668,413
31.25,415
31.333333333333332,414
31.416666666666668,414
31.5,414
31.583333333333332,409
31.666666666666668,413
31.75,414
31.833333333333332,412
31.916666666666668,413
32,414
32.083333333333336,412
32.166666666666664,417
32.25,416
32.333333333333336,412
32.416666666666664,413
32.5,413
32.583333333333336,417
32.666666666666664,410
32.75,410
32.833333333333336,418
32.916666666666664,415
33,414
33.083333333333336,418
33.166666666666664,418
33.25,414
33.333333333333336,413
33.416666666666664,415
33.5,415
33.583333333333336,414
33.666666666666664,417
