"Hours since thread went live","One Piece - Episode 1100 discussion"
0,0
0,2
0.08333333333333333,3
0.16666666666666666,7
0.25,8
0.3333333333333333,13
0.4166666666666667,15
0.5,17
0.5833333333333334,23
0.6666666666666666,24
0.75,32
0.8333333333333334,34
0.9166666666666666,36
1,42
1.0833333333333333,48
1.1666666666666667,49
1.25,57
1.3333333333333333,66
1.4166666666666667,67
1.5,73
1.5833333333333333,76
1.6666666666666667,79
1.75,85
1.8333333333333333,85
1.9166666666666667,89
2,93
2.0833333333333335,98
2.1666666666666665,104
2.25,111
2.3333333333333335,112
2.4166666666666665,118
2.5,122
2.5833333333333335,124
2.6666666666666665,123
2.75,128
2.8333333333333335,134
2.9166666666666665,135
3,140
3.0833333333333335,138
3.1666666666666665,145
3.25,150
3.3333333333333335,148
3.4166666666666665,154
3.5,160
3.5833333333333335,163
3.6666666666666665,163
3.75,164
3.8333333333333335,166
3.9166666666666665,168
4,169
4.083333333333333,173
4.166666666666667,182
4.25,183
4.333333333333333,186
4.416666666666667,192
4.5,196
4.583333333333333,195
4.666666666666667,199
4.75,202
4.833333333333333,206
4.916666666666667,209
5,207
5.083333333333333,207
5.166666666666667,211
5.25,213
5.333333333333333,214
5.416666666666667,217
5.5,214
5.583333333333333,215
5.666666666666667,222
5.75,227
5.833333333333333,228
5.916666666666667,225
6,226
6.083333333333333,227
6.166666666666667,234
6.25,234
6.333333333333333,239
6.416666666666667,241
6.5,245
6.583333333333333,250
6.666666666666667,256
6.75,258
6.833333333333333,255
6.916666666666667,258
7,260
7.083333333333333,264
7.166666666666667,266
7.25,273
7.333333333333333,274
7.416666666666667,277
7.5,281
7.583333333333333,282
7.666666666666667,289
7.75,292
7.833333333333333,293
7.916666666666667,302
8,300
8.083333333333334,305
8.166666666666666,300
8.25,305
8.333333333333334,309
8.416666666666666,309
8.5,305
8.583333333333334,309
8.666666666666666,318
8.75,315
8.833333333333334,313
8.916666666666666,313
9,318
9.083333333333334,322
9.166666666666666,322
9.25,324
9.333333333333334,332
9.416666666666666,334
9.5,340
9.583333333333334,342
9.666666666666666,345
9.75,351
9.833333333333334,347
9.916666666666666,346
10,352
10.083333333333334,352
10.166666666666666,356
10.25,362
10.333333333333334,358
10.416666666666666,363
10.5,363
10.583333333333334,369
10.666666666666666,366
10.75,372
10.833333333333334,372
10.916666666666666,370
11,377
11.083333333333334,386
11.166666666666666,384
11.25,386
11.333333333333334,396
11.416666666666666,395
11.5,399
11.583333333333334,395
11.666666666666666,402
11.75,403
11.833333333333334,400
11.916666666666666,408
12,400
12.083333333333334,409
12.166666666666666,405
12.25,410
12.333333333333334,415
12.416666666666666,419
12.5,424
12.583333333333334,421
12.666666666666666,425
12.75,429
12.833333333333334,431
12.916666666666666,430
13,434
13.083333333333334,432
13.166666666666666,432
13.25,439
13.333333333333334,430
13.416666666666666,439
13.5,441
13.583333333333334,437
13.666666666666666,449
13.75,448
13.833333333333334,445
13.916666666666666,446
14,452
14.083333333333334,460
14.166666666666666,460
14.25,458
14.333333333333334,464
14.416666666666666,463
14.5,466
14.583333333333334,461
14.666666666666666,470
14.75,463
14.833333333333334,468
14.916666666666666,465
15,471
15.083333333333334,480
15.166666666666666,482
15.25,479
15.333333333333334,485
15.416666666666666,490
15.5,493
15.583333333333334,499
15.666666666666666,504
15.75,507
15.833333333333334,501
15.916666666666666,504
16,506
16.083333333333332,514
16.166666666666668,510
16.25,513
16.333333333333332,516
16.416666666666668,515
16.5,521
16.583333333333332,523
16.666666666666668,524
16.75,523
16.833333333333332,532
16.916666666666668,529
17,525
17.083333333333332,529
17.166666666666668,533
17.25,532
17.333333333333332,533
17.416666666666668,541
17.5,538
17.583333333333332,540
17.666666666666668,539
17.75,552
17.833333333333332,550
17.916666666666668,553
18,549
18.083333333333332,554
18.166666666666668,563
18.25,555
