"Hours since thread went live","Yozakura-san Chi no Daisakusen • Mission: Yozakura Family - Episode 1 discussion"
0,1
0.08333333333333333,1
0.16666666666666666,1
0.25,2
0.3333333333333333,4
0.4166666666666667,7
0.5,8
0.5833333333333334,8
0.6666666666666666,8
0.75,9
0.8333333333333334,11
0.9166666666666666,16
1,16
1.0833333333333333,19
1.1666666666666667,22
1.25,24
1.3333333333333333,27
1.4166666666666667,28
1.5,30
1.5833333333333333,34
1.6666666666666667,37
1.75,40
1.8333333333333333,43
1.9166666666666667,49
2,49
2.0833333333333335,53
2.1666666666666665,52
2.25,55
2.3333333333333335,61
2.4166666666666665,60
2.5,64
2.5833333333333335,66
2.6666666666666665,68
2.75,71
2.8333333333333335,77
2.9166666666666665,75
3,79
3.0833333333333335,80
3.1666666666666665,86
3.25,88
3.3333333333333335,87
3.4166666666666665,94
3.5,102
3.5833333333333335,105
3.6666666666666665,107
3.75,111
3.8333333333333335,114
3.9166666666666665,117
4,120
4.083333333333333,127
4.166666666666667,122
4.25,132
4.333333333333333,131
4.416666666666667,136
4.5,134
4.583333333333333,141
4.666666666666667,141
4.75,147
4.833333333333333,150
4.916666666666667,154
5,153
5.083333333333333,159
5.166666666666667,164
5.25,173
5.333333333333333,175
5.416666666666667,178
5.5,176
5.583333333333333,180
5.666666666666667,185
5.75,183
5.833333333333333,190
5.916666666666667,194
6,197
6.083333333333333,201
6.166666666666667,206
6.25,212
6.333333333333333,211
6.416666666666667,214
6.5,220
6.583333333333333,224
6.666666666666667,224
6.75,228
6.833333333333333,236
6.916666666666667,242
7,249
7.083333333333333,254
7.166666666666667,258
7.25,258
7.333333333333333,260
7.416666666666667,270
7.5,271
7.583333333333333,277
7.666666666666667,277
7.75,278
7.833333333333333,287
7.916666666666667,296
8,296
8.083333333333334,297
8.166666666666666,301
8.25,309
8.333333333333334,306
8.416666666666666,310
8.5,312
8.583333333333334,318
8.666666666666666,314
8.75,317
8.833333333333334,324
8.916666666666666,329
9,328
9.083333333333334,327
9.166666666666666,334
9.25,334
9.333333333333334,346
9.416666666666666,343
9.5,350
9.583333333333334,350
9.666666666666666,354
9.75,356
9.833333333333334,362
9.916666666666666,361
10,364
10.083333333333334,370
10.166666666666666,372
10.25,373
10.333333333333334,370
10.416666666666666,380
10.5,386
10.583333333333334,387
10.666666666666666,386
10.75,398
10.833333333333334,394
10.916666666666666,402
11,403
11.083333333333334,412
11.166666666666666,404
11.25,407
11.333333333333334,418
11.416666666666666,423
11.5,421
11.583333333333334,428
11.666666666666666,428
11.75,428
11.833333333333334,435
11.916666666666666,436
12,440
12.083333333333334,445
12.166666666666666,446
12.25,457
12.333333333333334,458
12.416666666666666,460
12.5,452
12.583333333333334,462
12.666666666666666,465
12.75,466
12.833333333333334,471
12.916666666666666,467
13,475
13.083333333333334,469
13.166666666666666,470
13.25,475
13.333333333333334,479
13.416666666666666,477
13.5,482
13.583333333333334,487
13.666666666666666,485
13.75,485
13.833333333333334,489
13.916666666666666,488
14,489
14.083333333333334,492
14.166666666666666,496
14.25,499
14.333333333333334,501
14.416666666666666,504
14.5,506
14.583333333333334,507
14.666666666666666,507
14.75,516
14.833333333333334,512
14.916666666666666,520
15,519
15.083333333333334,524
15.166666666666666,527
15.25,524
15.333333333333334,526
15.416666666666666,528
15.5,527
15.583333333333334,526
15.666666666666666,529
15.75,535
15.833333333333334,532
15.916666666666666,532
16,538
16.083333333333332,534
16.166666666666668,534
16.25,543
16.333333333333332,545
16.416666666666668,543
16.5,545
16.583333333333332,540
16.666666666666668,551
16.75,553
16.833333333333332,557
16.916666666666668,556
17,562
17.083333333333332,563
17.166666666666668,567
17.25,562
17.333333333333332,563
17.416666666666668,570
17.5,568
17.583333333333332,575
17.666666666666668,576
17.75,576
17.833333333333332,572
17.916666666666668,578
18,575
18.083333333333332,579
18.166666666666668,584
18.25,578
18.333333333333332,583
18.416666666666668,579
18.5,586
18.583333333333332,583
18.666666666666668,590
18.75,591
18.833333333333332,584
18.916666666666668,580
19,589
19.083333333333332,589
19.166666666666668,590
19.25,593
19.333333333333332,583
19.416666666666668,586
19.5,593
19.583333333333332,590
19.666666666666668,596
19.75,593
19.833333333333332,597
19.916666666666668,595
20,601
20.083333333333332,604
20.166666666666668,597
20.25,602
20.333333333333332,600
20.416666666666668,602
20.5,609
20.583333333333332,606
20.666666666666668,611
20.75,611
20.833333333333332,610
20.916666666666668,606
21,610
21.083333333333332,618
21.166666666666668,614
21.25,617
21.333333333333332,616
21.416666666666668,618
21.5,625
21.583333333333332,625
21.666666666666668,621
21.75,626
21.833333333333332,626
21.916666666666668,628
22,626
22.083333333333332,631
22.166666666666668,633
22.25,638
22.333333333333332,635
22.416666666666668,638
22.5,641
22.583333333333332,636
22.666666666666668,642
22.75,636
22.833333333333332,637
22.916666666666668,641
23,645
23.083333333333332,642
23.166666666666668,648
23.25,643
23.333333333333332,650
23.416666666666668,649
23.5,650
23.583333333333332,650
23.666666666666668,652
23.75,651
23.833333333333332,648
23.916666666666668,653
24,650
24.083333333333332,653
24.166666666666668,656
24.25,655
24.333333333333332,659
24.416666666666668,659
24.5,658
24.583333333333332,653
24.666666666666668,656
24.75,661
24.833333333333332,663
24.916666666666668,659
25,656
25.083333333333332,657
25.166666666666668,661
25.25,657
25.333333333333332,662
25.416666666666668,661
25.5,657
25.583333333333332,661
25.666666666666668,660
25.75,658
25.833333333333332,660
25.916666666666668,662
26,665
26.083333333333332,661
26.166666666666668,665
26.25,660
26.333333333333332,665
26.416666666666668,664
26.5,664
26.583333333333332,667
26.666666666666668,666
26.75,661
26.833333333333332,663
26.916666666666668,663
27,665
27.083333333333332,667
27.166666666666668,667
27.25,663
27.333333333333332,667
27.416666666666668,665
27.5,664
27.583333333333332,667
27.666666666666668,667
27.75,672
27.833333333333332,666
27.916666666666668,670
28,670
28.083333333333332,667
28.166666666666668,665
28.25,671
28.333333333333332,673
28.416666666666668,668
28.5,670
28.583333333333332,670
28.666666666666668,672
28.75,671
28.833333333333332,664
28.916666666666668,666
29,670
29.083333333333332,672
29.166666666666668,670
29.25,673
29.333333333333332,670
29.416666666666668,672
29.5,671
29.583333333333332,673
29.666666666666668,669
29.75,673
29.833333333333332,674
29.916666666666668,676
30,679
30.083333333333332,682
30.166666666666668,673
30.25,683
30.333333333333332,674
30.416666666666668,679
30.5,679
30.583333333333332,681
30.666666666666668,677
30.75,684
30.833333333333332,679
30.916666666666668,680
31,680
31.083333333333332,678
31.166666666666668,680
31.25,681
31.333333333333332,685
31.416666666666668,680
31.5,681
31.583333333333332,685
31.666666666666668,685
31.75,681
31.833333333333332,689
31.916666666666668,685
32,680
32.083333333333336,687
32.166666666666664,685
32.25,689
32.333333333333336,688
32.416666666666664,688
32.5,690
32.583333333333336,693
32.666666666666664,688
32.75,689
32.833333333333336,692
32.916666666666664,694
33,690
33.083333333333336,691
33.166666666666664,691
33.25,691
33.333333333333336,688
33.416666666666664,691
33.5,688
33.583333333333336,687
33.666666666666664,692
33.75,691
33.833333333333336,690
33.916666666666664,690
34,692
34.083333333333336,690
34.166666666666664,692
34.25,691
34.333333333333336,692
34.416666666666664,688
34.5,691
34.583333333333336,686
34.666666666666664,691
34.75,694
34.833333333333336,694
34.916666666666664,688
35,692
35.083333333333336,691
35.166666666666664,691
35.25,692
35.333333333333336,692
