"Hours since thread went live","Shuumatsu Train Doko e Iku? • Train to the End of the World - Episode 2 discussion"
0,2
0,3
0.08333333333333333,6
0.16666666666666666,12
0.25,16
0.3333333333333333,20
0.4166666666666667,23
0.5,25
0.5833333333333334,29
0.6666666666666666,36
0.75,40
0.8333333333333334,43
0.9166666666666666,49
1,57
1.0833333333333333,62
1.1666666666666667,70
1.25,79
1.3333333333333333,93
1.4166666666666667,100
1.5,107
1.5833333333333333,108
1.6666666666666667,114
1.75,118
1.8333333333333333,129
1.9166666666666667,141
2,149
2.0833333333333335,157
2.1666666666666665,158
2.25,166
2.3333333333333335,175
2.4166666666666665,173
2.5,181
2.5833333333333335,187
2.6666666666666665,186
2.75,200
2.8333333333333335,203
2.9166666666666665,205
3,211
3.0833333333333335,213
3.1666666666666665,221
3.25,225
3.3333333333333335,230
3.4166666666666665,238
3.5,253
3.5833333333333335,248
3.6666666666666665,256
3.75,260
3.8333333333333335,263
3.9166666666666665,269
4,275
4.083333333333333,280
4.166666666666667,288
4.25,293
4.333333333333333,299
4.416666666666667,308
4.5,313
4.583333333333333,317
4.666666666666667,322
4.75,326
4.833333333333333,332
4.916666666666667,341
5,353
5.083333333333333,358
5.166666666666667,364
5.25,363
5.333333333333333,367
5.416666666666667,369
5.5,378
5.583333333333333,377
5.666666666666667,379
5.75,381
5.833333333333333,392
5.916666666666667,395
6,404
6.083333333333333,405
6.166666666666667,407
6.25,414
6.333333333333333,420
6.416666666666667,421
6.5,427
6.583333333333333,432
6.666666666666667,435
6.75,443
6.916666666666667,457
7,468
7.083333333333333,472
7.166666666666667,474
7.25,485
7.333333333333333,486
7.416666666666667,491
7.5,490
7.583333333333333,491
7.666666666666667,504
7.75,498
7.833333333333333,505
7.916666666666667,511
8,520
8.083333333333334,519
8.166666666666666,519
8.25,527
8.333333333333334,524
8.416666666666666,529
8.5,539
8.583333333333334,533
8.666666666666666,538
8.75,546
8.833333333333334,549
8.916666666666666,562
9,557
9.083333333333334,565
9.166666666666666,564
9.25,568
9.333333333333334,582
9.416666666666666,585
9.5,592
9.583333333333334,590
9.666666666666666,598
9.75,596
9.833333333333334,601
9.916666666666666,601
10,599
10.083333333333334,600
10.166666666666666,608
10.25,610
10.333333333333334,617
10.416666666666666,622
10.5,616
10.583333333333334,625
10.666666666666666,627
10.75,631
10.833333333333334,628
10.916666666666666,635
11,632
11.083333333333334,638
11.166666666666666,637
11.25,647
11.333333333333334,652
11.416666666666666,649
11.5,657
11.583333333333334,658
11.666666666666666,655
11.75,663
11.833333333333334,660
11.916666666666666,666
12,675
12.083333333333334,673
12.166666666666666,676
12.25,678
12.333333333333334,679
12.416666666666666,685
12.5,696
12.583333333333334,701
12.666666666666666,698
12.75,699
12.833333333333334,705
12.916666666666666,707
13,714
13.083333333333334,710
13.166666666666666,714
13.25,714
13.333333333333334,719
13.416666666666666,718
13.5,727
13.583333333333334,726
13.666666666666666,729
13.75,728
13.833333333333334,733
13.916666666666666,739
14,741
14.083333333333334,748
14.166666666666666,746
14.25,749
14.333333333333334,749
14.416666666666666,751
14.5,757
14.583333333333334,759
14.666666666666666,766
14.75,757
14.833333333333334,762
14.916666666666666,763
15,770
15.083333333333334,772
15.166666666666666,773
15.25,777
15.333333333333334,778
15.416666666666666,778
15.5,788
15.583333333333334,788
15.666666666666666,794
15.75,791
15.833333333333334,794
15.916666666666666,793
16,792
16.083333333333332,801
16.166666666666668,806
16.25,806
16.333333333333332,798
16.416666666666668,803
16.5,808
16.583333333333332,807
16.666666666666668,808
