"Hours since thread went live","Lv2 kara Cheat datta Motoyuusha Kouho no Mattari Isekai Life • Chillin' in Another World with Level 2 Super Cheat Powers - Episode 1 discussion"
0,1
0,2
0.08333333333333333,2
0.16666666666666666,5
0.25,6
0.3333333333333333,11
0.4166666666666667,18
0.5,22
0.5833333333333334,29
0.6666666666666666,32
0.75,35
0.8333333333333334,41
0.9166666666666666,46
1,52
1.0833333333333333,58
1.1666666666666667,61
1.25,70
1.3333333333333333,72
1.4166666666666667,70
1.5,79
1.5833333333333333,84
1.6666666666666667,91
1.75,97
1.8333333333333333,97
1.9166666666666667,105
2,108
2.0833333333333335,117
2.1666666666666665,122
2.25,131
2.3333333333333335,137
2.4166666666666665,137
2.5,144
2.5833333333333335,149
2.6666666666666665,147
2.75,155
2.8333333333333335,157
2.9166666666666665,156
3,164
3.0833333333333335,167
3.1666666666666665,172
3.25,175
3.3333333333333335,175
3.4166666666666665,183
3.5,186
3.5833333333333335,189
3.6666666666666665,189
3.75,193
3.8333333333333335,192
3.9166666666666665,195
4,194
4.083333333333333,193
4.166666666666667,197
4.25,203
4.333333333333333,205
4.416666666666667,207
4.5,209
4.583333333333333,207
4.666666666666667,210
4.75,214
4.916666666666667,214
5,220
5.083333333333333,220
5.166666666666667,225
5.25,224
5.333333333333333,226
5.416666666666667,226
5.5,233
5.583333333333333,235
5.666666666666667,239
5.75,240
5.833333333333333,239
5.916666666666667,243
6,246
6.083333333333333,247
6.166666666666667,253
6.25,255
6.333333333333333,259
6.416666666666667,256
6.5,259
6.583333333333333,258
6.666666666666667,261
6.75,265
6.833333333333333,269
6.916666666666667,267
7,265
7.083333333333333,269
7.166666666666667,270
7.25,272
7.333333333333333,278
7.416666666666667,279
7.5,280
7.583333333333333,279
7.666666666666667,282
7.75,292
7.833333333333333,290
7.916666666666667,293
8,293
8.083333333333334,293
8.166666666666666,303
8.25,301
8.333333333333334,306
8.416666666666666,309
8.5,306
8.583333333333334,306
8.666666666666666,312
8.75,313
8.833333333333334,311
8.916666666666666,317
9,319
9.083333333333334,316
9.166666666666666,314
9.25,321
9.333333333333334,314
9.416666666666666,325
9.5,326
9.583333333333334,333
9.666666666666666,334
9.75,329
9.833333333333334,325
9.916666666666666,333
10,331
10.083333333333334,337
10.166666666666666,340
10.25,334
10.333333333333334,345
10.416666666666666,343
10.5,337
10.583333333333334,343
10.666666666666666,345
10.75,341
10.833333333333334,353
10.916666666666666,351
11,354
11.083333333333334,357
11.166666666666666,353
11.25,356
11.333333333333334,355
11.416666666666666,355
11.5,356
11.583333333333334,359
11.666666666666666,367
11.75,364
11.833333333333334,367
11.916666666666666,370
12,373
12.083333333333334,375
12.166666666666666,373
12.25,379
12.333333333333334,373
12.416666666666666,378
12.5,378
12.583333333333334,379
12.666666666666666,385
12.75,384
12.833333333333334,383
12.916666666666666,390
13,392
13.083333333333334,392
13.166666666666666,385
13.25,395
13.333333333333334,390
13.416666666666666,396
13.5,393
13.583333333333334,394
13.666666666666666,394
13.75,400
13.833333333333334,399
13.916666666666666,402
14,403
14.083333333333334,399
14.166666666666666,406
14.25,401
14.333333333333334,403
14.416666666666666,409
14.5,405
14.583333333333334,405
14.666666666666666,409
14.75,410
14.833333333333334,409
14.916666666666666,409
15,410
15.083333333333334,415
15.166666666666666,415
15.25,417
15.333333333333334,414
15.416666666666666,414
15.5,412
15.583333333333334,413
15.666666666666666,418
15.75,415
15.833333333333334,417
15.916666666666666,420
16,414
16.083333333333332,417
16.166666666666668,416
16.25,416
16.333333333333332,425
16.416666666666668,425
16.5,422
16.583333333333332,426
16.666666666666668,421
16.75,424
16.833333333333332,427
16.916666666666668,428
17,435
17.083333333333332,433
17.166666666666668,434
17.25,434
17.333333333333332,429
17.416666666666668,434
17.5,429
17.583333333333332,429
17.666666666666668,429
17.75,425
17.833333333333332,436
17.916666666666668,430
18,423
18.083333333333332,426
18.166666666666668,430
18.25,435
18.333333333333332,428
18.416666666666668,430
18.5,429
18.583333333333332,435
18.666666666666668,436
18.75,438
18.833333333333332,435
18.916666666666668,437
19,439
19.083333333333332,443
19.166666666666668,436
19.25,441
19.333333333333332,432
19.416666666666668,437
19.5,439
19.583333333333332,435
19.666666666666668,437
19.75,439
19.833333333333332,440
19.916666666666668,439
20,438
20.083333333333332,435
20.166666666666668,440
20.25,440
20.333333333333332,435
20.416666666666668,439
20.5,439
20.583333333333332,439
20.666666666666668,434
20.75,436
20.833333333333332,435
20.916666666666668,444
21,442
21.083333333333332,439
21.166666666666668,436
21.25,438
21.333333333333332,442
21.416666666666668,446
21.5,447
21.583333333333332,448
21.666666666666668,439
21.75,444
21.833333333333332,448
21.916666666666668,444
22,449
22.083333333333332,446
22.166666666666668,445
22.25,441
22.333333333333332,440
22.416666666666668,446
22.5,445
22.583333333333332,446
22.666666666666668,446
22.75,452
22.833333333333332,447
22.916666666666668,450
23,451
23.083333333333332,448
23.166666666666668,446
23.25,448
23.333333333333332,448
23.416666666666668,452
23.5,444
23.583333333333332,450
23.666666666666668,454
23.75,450
23.833333333333332,448
23.916666666666668,447
24,449
24.083333333333332,450
24.166666666666668,447
24.25,451
24.333333333333332,452
24.416666666666668,448
24.5,452
24.583333333333332,457
24.666666666666668,453
24.75,451
24.833333333333332,453
24.916666666666668,448
25,449
25.083333333333332,455
25.166666666666668,451
25.25,459
25.333333333333332,453
25.416666666666668,452
25.5,452
25.583333333333332,459
25.666666666666668,460
25.75,461
25.833333333333332,452
25.916666666666668,454
26,459
26.083333333333332,456
26.166666666666668,453
26.25,456
26.333333333333332,458
26.416666666666668,458
26.5,457
26.583333333333332,461
26.666666666666668,457
26.75,454
26.833333333333332,457
26.916666666666668,455
27,457
27.083333333333332,457
27.166666666666668,464
27.25,460
27.333333333333332,458
27.416666666666668,465
27.5,457
27.583333333333332,463
27.666666666666668,457
27.75,456
27.833333333333332,461
27.916666666666668,463
28,457
28.083333333333332,460
28.166666666666668,460
28.25,459
28.333333333333332,460
28.416666666666668,457
28.5,459
28.583333333333332,465
28.666666666666668,469
28.75,461
28.833333333333332,466
28.916666666666668,463
29,458
29.083333333333332,464
29.166666666666668,459
29.25,467
29.333333333333332,464
29.416666666666668,465
29.5,461
29.583333333333332,465
29.666666666666668,464
29.75,469
29.833333333333332,467
29.916666666666668,464
30,465
30.083333333333332,467
30.166666666666668,468
30.25,464
30.333333333333332,463
30.416666666666668,468
30.5,464
30.583333333333332,466
30.666666666666668,469
30.75,464
30.833333333333332,475
30.916666666666668,469
31,471
31.083333333333332,471
31.166666666666668,470
31.25,466
31.333333333333332,471
31.416666666666668,475
31.5,473
31.583333333333332,468
31.666666666666668,472
31.75,475
31.833333333333332,473
31.916666666666668,468
32,471
32.083333333333336,473
32.166666666666664,473
32.25,472
32.333333333333336,472
32.416666666666664,476
32.5,477
32.583333333333336,474
32.666666666666664,477
32.75,473
32.833333333333336,475
32.916666666666664,481
33,483
33.083333333333336,475
33.166666666666664,475
33.25,475
