"Hours since thread went live","Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu • I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability - Episode 2 discussion"
0,1
0,3
0.08333333333333333,5
0.16666666666666666,7
0.25,15
0.3333333333333333,17
0.4166666666666667,21
0.5,28
0.5833333333333334,30
0.6666666666666666,33
0.75,40
0.8333333333333334,46
0.9166666666666666,51
1,53
1.0833333333333333,62
1.1666666666666667,61
1.25,68
1.3333333333333333,77
1.4166666666666667,82
1.5,84
1.5833333333333333,92
1.6666666666666667,98
1.75,99
1.8333333333333333,102
1.9166666666666667,107
2,114
2.0833333333333335,120
2.1666666666666665,127
2.25,130
2.3333333333333335,134
2.4166666666666665,138
2.5,144
2.5833333333333335,148
2.6666666666666665,152
2.75,151
2.9166666666666665,153
3,155
3.0833333333333335,162
3.1666666666666665,163
3.25,165
3.3333333333333335,169
3.4166666666666665,170
3.5,175
3.5833333333333335,183
3.6666666666666665,187
3.75,189
3.8333333333333335,196
3.9166666666666665,204
4,202
4.083333333333333,201
4.166666666666667,207
4.25,214
4.333333333333333,213
4.416666666666667,218
4.5,223
4.583333333333333,225
4.666666666666667,227
4.75,224
4.833333333333333,236
4.916666666666667,238
5,240
5.083333333333333,242
5.166666666666667,249
5.25,248
5.333333333333333,257
5.416666666666667,257
5.5,260
5.583333333333333,263
5.666666666666667,265
5.75,272
5.833333333333333,276
5.916666666666667,277
6,284
6.083333333333333,290
6.166666666666667,288
6.25,293
6.333333333333333,291
6.416666666666667,296
6.5,303
6.583333333333333,301
6.666666666666667,308
6.75,308
6.833333333333333,300
6.916666666666667,304
7,310
7.083333333333333,309
7.166666666666667,313
7.25,312
7.333333333333333,315
7.416666666666667,326
7.5,325
7.583333333333333,326
7.666666666666667,322
7.75,330
7.833333333333333,330
7.916666666666667,332
8,338
8.083333333333334,335
8.166666666666666,343
8.25,349
8.333333333333334,344
8.416666666666666,350
8.5,348
8.583333333333334,354
8.666666666666666,358
8.75,350
8.833333333333334,353
8.916666666666666,361
9,361
9.083333333333334,358
9.166666666666666,362
9.25,364
9.333333333333334,374
9.416666666666666,374
9.5,375
9.583333333333334,372
9.666666666666666,373
9.75,373
9.833333333333334,382
9.916666666666666,382
10,385
10.083333333333334,385
10.166666666666666,384
10.25,392
10.333333333333334,393
10.416666666666666,396
10.5,397
10.583333333333334,402
10.666666666666666,404
10.75,411
10.833333333333334,408
10.916666666666666,418
11,416
11.083333333333334,418
11.166666666666666,418
11.25,421
11.333333333333334,422
11.416666666666666,422
11.5,429
11.583333333333334,429
11.666666666666666,430
11.75,435
11.833333333333334,437
11.916666666666666,431
12,434
12.083333333333334,440
12.166666666666666,440
12.25,449
12.333333333333334,446
12.416666666666666,445
12.5,453
12.583333333333334,452
12.666666666666666,457
12.75,451
12.833333333333334,454
12.916666666666666,457
13,463
13.083333333333334,456
13.166666666666666,468
13.25,468
13.333333333333334,464
13.416666666666666,464
13.5,467
13.583333333333334,471
13.666666666666666,470
13.75,470
13.833333333333334,469
13.916666666666666,473
14,468
14.083333333333334,477
14.166666666666666,480
14.25,476
14.333333333333334,479
14.416666666666666,481
14.5,482
14.583333333333334,482
14.666666666666666,483
14.75,483
14.833333333333334,487
14.916666666666666,489
15,492
15.083333333333334,490
15.166666666666666,494
15.25,492
15.333333333333334,488
15.416666666666666,493
15.5,499
15.583333333333334,497
15.666666666666666,488
15.75,491
15.833333333333334,498
15.916666666666666,500
16,500
16.083333333333332,501
16.166666666666668,498
16.25,501
16.333333333333332,502
16.416666666666668,507
16.5,498
16.583333333333332,500
16.666666666666668,505
16.75,505
16.833333333333332,501
16.916666666666668,503
17,508
17.083333333333332,507
17.166666666666668,506
17.25,507
17.333333333333332,508
17.416666666666668,504
17.5,514
17.583333333333332,510
17.666666666666668,510
17.75,510
17.833333333333332,508
17.916666666666668,505
18,513
18.083333333333332,509
18.166666666666668,514
18.25,512
18.333333333333332,515
18.416666666666668,513
18.5,512
18.583333333333332,513
18.666666666666668,511
18.75,516
18.833333333333332,512
18.916666666666668,518
19,521
19.083333333333332,521
19.166666666666668,521
19.25,517
19.333333333333332,516
19.416666666666668,525
19.5,517
19.583333333333332,528
19.666666666666668,519
19.75,517
19.833333333333332,524
19.916666666666668,525
20,527
20.083333333333332,526
20.166666666666668,523
20.25,533
20.333333333333332,530
20.416666666666668,536
20.5,530
20.583333333333332,527
20.666666666666668,527
20.75,535
20.833333333333332,530
20.916666666666668,533
21,535
21.083333333333332,536
21.166666666666668,537
21.25,533
21.333333333333332,535
21.416666666666668,537
21.5,543
21.583333333333332,542
21.666666666666668,540
21.75,541
21.833333333333332,546
21.916666666666668,541
22,545
22.083333333333332,544
22.166666666666668,541
22.25,548
22.333333333333332,552
22.416666666666668,550
22.5,551
22.583333333333332,552
22.666666666666668,545
22.75,547
22.833333333333332,552
22.916666666666668,547
23,547
23.083333333333332,545
23.166666666666668,557
23.25,548
23.333333333333332,549
23.416666666666668,549
23.5,555
23.583333333333332,559
23.666666666666668,553
23.75,551
23.833333333333332,557
23.916666666666668,553
24,555
24.083333333333332,553
24.166666666666668,554
24.25,555
24.333333333333332,552
24.416666666666668,557
24.5,555
24.583333333333332,553
24.666666666666668,557
24.75,562
24.833333333333332,557
24.916666666666668,554
25,557
25.083333333333332,557
25.166666666666668,554
25.25,562
25.333333333333332,561
25.416666666666668,564
25.5,559
25.583333333333332,564
25.666666666666668,561
25.75,559
25.833333333333332,566
