"Hours since thread went live","Dekisokonai to Yobareta Moto Eiyuu wa, Jikka kara Tsuihou Sareta no de Suki Katte ni Ikiru Koto ni Shita • The Banished Former Hero Lives as He Pleases - Episode 3 discussion"
0,1
0,1
0.08333333333333333,2
0.16666666666666666,2
0.25,2
0.3333333333333333,3
0.4166666666666667,4
0.5,4
0.5833333333333334,4
0.6666666666666666,4
0.75,4
0.9166666666666666,2
1,3
1.0833333333333333,4
1.1666666666666667,4
1.25,5
1.3333333333333333,5
1.4166666666666667,3
1.5,3
1.5833333333333333,7
1.6666666666666667,8
1.75,6
1.8333333333333333,11
1.9166666666666667,12
2,15
2.0833333333333335,15
2.1666666666666665,15
2.25,17
2.3333333333333335,17
2.4166666666666665,18
2.5,19
2.5833333333333335,18
2.6666666666666665,18
2.75,19
2.8333333333333335,21
2.9166666666666665,21
3,20
3.0833333333333335,22
3.1666666666666665,19
3.25,20
3.3333333333333335,22
3.4166666666666665,22
3.5,22
3.5833333333333335,20
3.6666666666666665,21
3.75,22
3.8333333333333335,22
3.9166666666666665,23
4,23
4.083333333333333,26
4.166666666666667,26
4.25,28
4.333333333333333,28
4.416666666666667,28
4.5,28
4.583333333333333,31
4.666666666666667,27
4.75,27
4.833333333333333,31
4.916666666666667,27
5,32
5.083333333333333,32
5.166666666666667,32
5.25,31
5.333333333333333,33
5.416666666666667,34
5.5,29
5.583333333333333,31
5.666666666666667,30
5.75,31
5.833333333333333,29
5.916666666666667,32
6,31
6.083333333333333,33
6.166666666666667,33
6.25,32
6.333333333333333,33
6.416666666666667,35
6.5,29
6.583333333333333,33
6.666666666666667,31
6.75,31
6.833333333333333,32
6.916666666666667,32
7,34
7.083333333333333,36
7.166666666666667,31
7.25,32
7.333333333333333,31
7.416666666666667,34
7.5,36
7.583333333333333,35
7.666666666666667,34
7.75,37
7.833333333333333,36
7.916666666666667,37
8,39
8.083333333333334,37
8.166666666666666,39
8.25,37
8.333333333333334,39
8.416666666666666,37
8.5,39
8.583333333333334,42
8.666666666666666,39
8.75,39
8.833333333333334,39
8.916666666666666,43
9,42
9.083333333333334,43
9.166666666666666,39
9.25,45
9.333333333333334,48
9.416666666666666,47
9.5,48
9.583333333333334,47
9.666666666666666,48
9.75,45
9.833333333333334,50
9.916666666666666,50
10,52
10.083333333333334,51
10.166666666666666,45
10.25,45
10.333333333333334,49
10.416666666666666,52
10.5,51
10.583333333333334,48
10.666666666666666,50
10.75,51
10.833333333333334,50
10.916666666666666,49
11,52
11.083333333333334,54
11.166666666666666,50
11.25,51
11.333333333333334,51
11.416666666666666,48
11.5,55
11.583333333333334,56
11.666666666666666,50
11.75,54
11.833333333333334,52
11.916666666666666,53
12,55
12.083333333333334,54
12.166666666666666,50
12.25,55
12.333333333333334,57
12.416666666666666,57
12.5,55
12.583333333333334,52
12.666666666666666,57
12.75,55
12.833333333333334,54
12.916666666666666,52
13,53
13.083333333333334,53
13.166666666666666,56
13.25,54
13.333333333333334,49
13.416666666666666,54
13.5,54
13.583333333333334,53
13.666666666666666,55
13.75,51
13.833333333333334,52
13.916666666666666,56
14,50
14.083333333333334,50
14.166666666666666,51
14.25,53
14.333333333333334,54
14.416666666666666,52
14.5,51
14.583333333333334,54
14.666666666666666,55
14.75,52
14.833333333333334,50
14.916666666666666,55
15,56
15.083333333333334,54
15.166666666666666,56
15.25,50
15.333333333333334,54
15.416666666666666,51
15.5,52
15.583333333333334,50
15.666666666666666,53
15.75,48
15.833333333333334,50
15.916666666666666,55
16,53
16.083333333333332,53
16.166666666666668,53
16.25,48
16.333333333333332,48
16.416666666666668,52
16.5,52
16.583333333333332,54
16.666666666666668,55
16.75,55
16.833333333333332,51
16.916666666666668,54
17,53
17.083333333333332,55
17.166666666666668,54
17.25,55
17.333333333333332,51
17.416666666666668,53
17.5,51
17.583333333333332,54
17.666666666666668,54
17.75,52
17.833333333333332,53
17.916666666666668,52
18,53
18.083333333333332,51
18.166666666666668,51
18.25,55
18.333333333333332,54
18.416666666666668,55
18.5,52
18.583333333333332,50
18.666666666666668,51
18.75,56
18.833333333333332,56
18.916666666666668,53
19,50
19.083333333333332,54
19.166666666666668,52
19.25,50
19.333333333333332,53
19.416666666666668,50
19.5,52
19.583333333333332,55
19.666666666666668,56
19.75,54
19.833333333333332,52
19.916666666666668,53
20,51
20.083333333333332,54
20.166666666666668,53
20.25,53
20.333333333333332,54
20.416666666666668,57
20.5,55
20.583333333333332,57
20.666666666666668,56
20.75,57
20.833333333333332,54
20.916666666666668,56
21,53
21.083333333333332,54
21.166666666666668,52
21.25,53
21.333333333333332,58
21.416666666666668,56
21.5,57
21.583333333333332,55
21.666666666666668,56
21.75,52
21.833333333333332,54
21.916666666666668,58
22,56
22.083333333333332,58
22.166666666666668,54
22.25,55
22.333333333333332,57
22.416666666666668,55
22.5,57
22.583333333333332,55
22.666666666666668,54
22.75,56
22.833333333333332,55
22.916666666666668,59
23,57
23.083333333333332,53
23.166666666666668,54
23.25,55
23.333333333333332,55
23.416666666666668,56
23.5,55
23.583333333333332,56
23.666666666666668,56
23.75,54
23.833333333333332,52
23.916666666666668,56
24,57
24.083333333333332,59
24.166666666666668,58
24.25,58
24.333333333333332,56
24.416666666666668,56
24.5,61
24.583333333333332,60
24.666666666666668,57
24.75,58
24.833333333333332,58
24.916666666666668,57
25,61
25.083333333333332,59
25.166666666666668,54
25.25,58
25.333333333333332,55
25.416666666666668,58
25.5,57
25.583333333333332,54
25.666666666666668,56
25.75,54
25.833333333333332,56
25.916666666666668,58
26,57
26.083333333333332,58
26.166666666666668,56
26.25,56
26.333333333333332,56
26.416666666666668,60
26.5,58
26.583333333333332,58
26.666666666666668,55
26.75,55
26.833333333333332,58
26.916666666666668,58
27,60
27.083333333333332,56
27.166666666666668,55
27.25,60
27.333333333333332,55
27.416666666666668,58
27.5,55
27.583333333333332,59
27.666666666666668,59
27.75,55
27.833333333333332,55
27.916666666666668,59
28,58
28.083333333333332,56
28.166666666666668,61
28.25,57
28.333333333333332,60
28.416666666666668,58
28.5,59
28.583333333333332,55
28.666666666666668,59
28.75,61
28.833333333333332,55
28.916666666666668,54
29,58
29.083333333333332,60
29.166666666666668,56
29.25,60
29.333333333333332,57
29.416666666666668,59
29.5,59
29.583333333333332,59
29.666666666666668,62
29.75,58
29.833333333333332,62
29.916666666666668,56
30,55
30.083333333333332,57
30.166666666666668,58
30.25,57
30.333333333333332,60
30.416666666666668,57
30.5,60
30.583333333333332,55
30.666666666666668,61
30.75,59
30.833333333333332,59
30.916666666666668,55
31,57
31.083333333333332,59
31.166666666666668,62
31.25,61
31.333333333333332,63
31.416666666666668,59
31.5,56
31.583333333333332,62
31.666666666666668,57
31.75,63
31.833333333333332,62
31.916666666666668,59
32,61
32.083333333333336,62
32.166666666666664,62
32.25,58
32.333333333333336,58
32.416666666666664,59
32.5,60
32.583333333333336,57
32.666666666666664,60
32.75,56
32.833333333333336,56
32.916666666666664,58
33,61
33.083333333333336,57
33.166666666666664,59
33.25,59
33.333333333333336,61
33.416666666666664,60
33.5,61
33.583333333333336,60
33.666666666666664,60
33.75,60
33.833333333333336,56
33.916666666666664,59
34,58
34.083333333333336,59
34.166666666666664,63
34.25,57
34.333333333333336,59
34.416666666666664,58
34.5,57
34.583333333333336,63
34.666666666666664,58
34.75,60
34.833333333333336,58
34.916666666666664,60
35,60
35.083333333333336,62
35.166666666666664,60
35.25,61
35.333333333333336,61
35.416666666666664,62
35.5,62
35.583333333333336,59
35.666666666666664,62
35.75,59
35.833333333333336,62
35.916666666666664,64
36,59
36.083333333333336,59
36.166666666666664,62
36.25,61
36.333333333333336,62
36.416666666666664,58
36.5,61
36.583333333333336,60
36.666666666666664,59
36.75,60
36.833333333333336,57
36.916666666666664,61
37,65
37.083333333333336,57
37.166666666666664,62
37.25,58
37.333333333333336,62
37.416666666666664,61
37.5,62
37.583333333333336,60
37.666666666666664,65
37.75,61
37.833333333333336,62
37.916666666666664,58
38,60
38.083333333333336,59
38.166666666666664,60
38.25,64
38.333333333333336,65
38.416666666666664,59
38.5,65
