"Hours since thread went live","Rinkai! - Episode 1 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,3
0.25,3
0.3333333333333333,4
0.4166666666666667,5
0.5,8
0.5833333333333334,9
0.6666666666666666,9
0.75,11
0.8333333333333334,12
0.9166666666666666,14
1,14
1.0833333333333333,16
1.1666666666666667,18
1.25,21
1.3333333333333333,22
1.4166666666666667,20
1.5,19
1.5833333333333333,21
1.6666666666666667,20
1.75,20
1.8333333333333333,19
1.9166666666666667,21
2,21
2.0833333333333335,21
2.1666666666666665,22
2.25,24
2.3333333333333335,24
2.4166666666666665,25
2.5,22
2.5833333333333335,26
2.6666666666666665,23
2.75,25
2.8333333333333335,26
2.9166666666666665,28
3,29
3.0833333333333335,28
3.1666666666666665,26
3.25,24
3.3333333333333335,26
3.4166666666666665,26
3.5,27
3.5833333333333335,25
3.6666666666666665,24
3.75,25
3.8333333333333335,25
3.9166666666666665,25
4,26
4.083333333333333,25
4.166666666666667,23
4.25,25
4.333333333333333,22
4.416666666666667,26
4.5,24
4.583333333333333,27
4.666666666666667,24
4.75,23
4.833333333333333,25
4.916666666666667,25
5,26
5.083333333333333,25
5.166666666666667,24
5.25,25
5.333333333333333,26
5.416666666666667,27
5.5,26
5.583333333333333,30
5.666666666666667,30
5.75,25
5.833333333333333,31
5.916666666666667,31
6,32
6.083333333333333,27
6.166666666666667,28
6.25,28
6.333333333333333,31
6.416666666666667,32
6.5,30
6.583333333333333,31
6.666666666666667,28
6.75,31
6.833333333333333,30
6.916666666666667,29
7,27
7.083333333333333,28
7.166666666666667,29
7.25,33
7.333333333333333,31
7.416666666666667,35
7.5,33
7.583333333333333,36
7.666666666666667,35
7.75,32
7.833333333333333,37
7.916666666666667,37
8,34
8.083333333333334,34
8.166666666666666,34
8.25,38
8.333333333333334,32
8.416666666666666,31
8.5,39
8.583333333333334,36
8.666666666666666,32
8.75,37
8.833333333333334,36
8.916666666666666,36
9,34
9.083333333333334,39
9.166666666666666,38
9.25,40
9.333333333333334,37
9.416666666666666,36
9.5,38
9.583333333333334,36
9.666666666666666,38
9.75,36
9.833333333333334,37
9.916666666666666,35
10,36
10.083333333333334,40
10.166666666666666,39
10.25,39
10.333333333333334,42
10.416666666666666,36
10.5,36
10.583333333333334,39
10.666666666666666,35
10.75,36
10.833333333333334,39
10.916666666666666,40
11,40
11.083333333333334,39
11.166666666666666,43
11.25,42
11.333333333333334,38
11.416666666666666,42
11.5,40
11.583333333333334,37
11.666666666666666,42
11.75,37
11.833333333333334,42
11.916666666666666,45
12,39
12.083333333333334,45
12.166666666666666,41
12.25,42
12.333333333333334,40
12.416666666666666,43
12.5,40
12.583333333333334,41
12.666666666666666,39
12.75,44
12.833333333333334,44
12.916666666666666,38
13,38
13.083333333333334,44
13.166666666666666,46
13.25,45
13.333333333333334,39
13.416666666666666,44
13.5,43
13.583333333333334,45
13.666666666666666,41
13.75,41
13.833333333333334,44
13.916666666666666,41
14,43
14.083333333333334,42
14.166666666666666,42
14.25,43
14.333333333333334,39
14.416666666666666,42
14.5,43
14.583333333333334,44
14.666666666666666,43
14.75,42
14.833333333333334,39
14.916666666666666,45
15,40
15.083333333333334,44
15.166666666666666,41
15.25,43
15.333333333333334,45
15.416666666666666,44
15.5,45
15.583333333333334,42
15.666666666666666,44
15.75,43
15.833333333333334,40
15.916666666666666,42
16,45
16.083333333333332,44
16.166666666666668,42
16.25,45
16.333333333333332,42
16.416666666666668,41
16.5,46
16.583333333333332,44
16.666666666666668,42
16.75,42
16.833333333333332,41
16.916666666666668,44
17,42
17.083333333333332,45
17.166666666666668,46
17.25,42
17.333333333333332,41
17.416666666666668,45
17.5,39
17.583333333333332,38
17.666666666666668,42
17.75,43
17.833333333333332,44
17.916666666666668,42
18,42
18.083333333333332,46
18.166666666666668,42
18.25,42
18.333333333333332,39
18.416666666666668,43
18.5,40
18.583333333333332,42
18.666666666666668,42
18.75,44
18.833333333333332,42
18.916666666666668,41
19,42
19.083333333333332,41
19.166666666666668,41
19.25,43
19.333333333333332,44
19.416666666666668,39
19.5,43
19.583333333333332,46
19.666666666666668,43
19.75,41
19.833333333333332,42
19.916666666666668,43
20,42
20.083333333333332,42
20.166666666666668,46
20.25,44
20.333333333333332,44
20.416666666666668,43
20.5,41
20.583333333333332,39
20.666666666666668,46
20.75,45
20.833333333333332,43
20.916666666666668,45
21,44
21.083333333333332,39
21.166666666666668,46
21.25,42
21.333333333333332,47
21.416666666666668,40
21.5,45
21.583333333333332,43
21.666666666666668,39
21.75,46
21.833333333333332,43
21.916666666666668,43
22,44
22.083333333333332,46
22.166666666666668,44
22.25,42
22.333333333333332,41
22.416666666666668,40
22.5,44
22.583333333333332,47
22.666666666666668,41
22.75,43
22.833333333333332,44
22.916666666666668,43
23,40
23.083333333333332,44
23.166666666666668,42
23.25,43
23.333333333333332,42
23.416666666666668,43
23.5,46
23.583333333333332,42
23.666666666666668,43
23.75,45
23.833333333333332,44
23.916666666666668,44
24,43
24.083333333333332,47
24.166666666666668,46
24.25,46
24.333333333333332,40
24.416666666666668,40
24.5,47
24.583333333333332,44
24.666666666666668,47
24.75,46
24.833333333333332,45
24.916666666666668,43
25,43
25.083333333333332,46
25.166666666666668,47
25.25,40
25.333333333333332,47
25.416666666666668,46
25.5,45
25.583333333333332,44
25.666666666666668,43
25.75,45
25.833333333333332,43
25.916666666666668,45
26,44
26.083333333333332,46
26.166666666666668,46
26.25,44
26.333333333333332,43
26.416666666666668,45
26.5,43
26.583333333333332,45
26.666666666666668,44
26.75,44
26.833333333333332,46
26.916666666666668,44
27,45
27.083333333333332,44
27.166666666666668,43
27.25,41
27.333333333333332,46
27.416666666666668,40
27.5,41
27.583333333333332,46
27.666666666666668,42
27.75,45
27.833333333333332,44
27.916666666666668,44
28,46
28.083333333333332,43
28.166666666666668,43
28.25,43
28.333333333333332,41
28.416666666666668,45
28.5,47
28.583333333333332,45
28.666666666666668,44
28.75,44
28.833333333333332,43
28.916666666666668,48
29,46
29.083333333333332,42
29.166666666666668,44
29.25,44
29.333333333333332,45
29.416666666666668,45
29.5,42
29.583333333333332,44
29.666666666666668,47
29.75,43
29.833333333333332,45
29.916666666666668,43
30,47
30.083333333333332,41
30.166666666666668,46
30.25,40
30.333333333333332,45
30.416666666666668,46
30.5,47
30.583333333333332,46
30.666666666666668,45
30.75,45
30.833333333333332,46
30.916666666666668,45
31,47
31.083333333333332,44
31.166666666666668,47
31.25,45
31.333333333333332,42
31.416666666666668,43
31.5,46
31.583333333333332,45
31.666666666666668,48
31.75,46
31.833333333333332,45
31.916666666666668,44
32,43
32.083333333333336,43
32.166666666666664,44
32.25,46
32.333333333333336,42
32.416666666666664,47
32.5,46
32.583333333333336,43
32.666666666666664,44
32.75,49
32.833333333333336,46
32.916666666666664,45
33,47
33.083333333333336,43
33.166666666666664,45
33.25,45
33.333333333333336,46
33.416666666666664,43
33.5,41
33.583333333333336,43
33.666666666666664,45
33.75,45
33.833333333333336,47
33.916666666666664,47
34,48
34.083333333333336,44
34.166666666666664,46
34.25,45
34.333333333333336,43
34.416666666666664,45
34.5,43
34.583333333333336,43
34.666666666666664,45
34.75,44
34.833333333333336,45
34.916666666666664,46
35,42
35.083333333333336,44
35.166666666666664,47
35.25,44
35.333333333333336,47
35.416666666666664,42
35.5,45
35.583333333333336,46
35.666666666666664,44
35.75,44
35.833333333333336,46
35.916666666666664,45
36,45
36.083333333333336,43
36.166666666666664,42
36.25,46
36.333333333333336,46
36.416666666666664,45
36.5,46
36.583333333333336,45
36.666666666666664,46
36.75,45
36.833333333333336,47
36.916666666666664,45
37,47
37.083333333333336,47
37.166666666666664,45
37.25,44
37.333333333333336,47
37.416666666666664,44
37.5,44
37.583333333333336,45
37.666666666666664,47
37.75,45
37.833333333333336,48
37.916666666666664,47
38,49
38.083333333333336,46
38.166666666666664,43
38.25,42
38.333333333333336,45
38.416666666666664,42
38.5,45
38.583333333333336,44
38.666666666666664,43
38.75,45
38.833333333333336,47
38.916666666666664,44
39,47
39.083333333333336,45
