"Hours since thread went live","Bartender: Kami no Glass • Bartender: Glass of God - Episode 2 discussion"
0,1
0,3
0.08333333333333333,9
0.16666666666666666,14
0.25,22
0.3333333333333333,29
0.4166666666666667,34
0.5,43
0.5833333333333334,45
0.6666666666666666,51
0.75,53
0.8333333333333334,57
0.9166666666666666,63
1,66
1.0833333333333333,73
1.1666666666666667,77
1.25,82
1.3333333333333333,85
1.4166666666666667,89
1.5,92
1.5833333333333333,99
1.6666666666666667,101
1.75,106
1.8333333333333333,110
1.9166666666666667,109
2,115
2.0833333333333335,117
2.1666666666666665,118
2.25,127
2.3333333333333335,128
2.4166666666666665,129
2.5,135
2.5833333333333335,141
2.6666666666666665,143
2.75,140
2.8333333333333335,146
2.9166666666666665,145
3,148
3.0833333333333335,154
3.1666666666666665,159
3.25,160
3.3333333333333335,168
3.4166666666666665,170
3.5,175
3.5833333333333335,177
3.6666666666666665,183
3.75,184
3.8333333333333335,188
3.9166666666666665,193
4,197
4.083333333333333,198
4.166666666666667,199
4.25,202
4.333333333333333,199
4.416666666666667,206
4.5,207
4.583333333333333,208
4.666666666666667,217
4.75,217
4.833333333333333,214
4.916666666666667,218
5,226
5.083333333333333,223
5.166666666666667,226
5.25,230
5.333333333333333,233
5.416666666666667,233
5.5,236
5.583333333333333,244
5.666666666666667,247
5.75,252
5.833333333333333,259
5.916666666666667,259
6,266
6.083333333333333,264
6.166666666666667,265
6.25,271
6.333333333333333,276
6.416666666666667,274
6.5,282
6.583333333333333,277
6.666666666666667,281
6.75,283
6.833333333333333,288
6.916666666666667,296
7,295
7.083333333333333,296
7.166666666666667,292
7.25,300
7.333333333333333,299
7.416666666666667,307
7.5,304
7.583333333333333,303
7.666666666666667,314
7.75,309
7.833333333333333,319
7.916666666666667,313
8,324
8.083333333333334,327
8.166666666666666,331
8.25,331
8.333333333333334,340
8.416666666666666,340
8.5,337
8.583333333333334,338
8.666666666666666,341
8.75,348
8.833333333333334,345
8.916666666666666,348
9,349
9.083333333333334,354
9.166666666666666,356
9.25,358
9.333333333333334,355
9.416666666666666,357
9.5,363
9.583333333333334,367
9.666666666666666,366
9.75,367
9.833333333333334,371
9.916666666666666,366
10,374
10.083333333333334,370
10.166666666666666,375
10.25,378
10.333333333333334,378
10.416666666666666,387
10.5,380
10.583333333333334,382
10.666666666666666,377
10.75,386
10.833333333333334,385
10.916666666666666,393
11,389
11.083333333333334,393
11.166666666666666,391
11.25,394
11.333333333333334,393
11.416666666666666,393
11.5,400
11.583333333333334,396
11.666666666666666,399
11.75,398
11.833333333333334,400
11.916666666666666,402
12,399
12.083333333333334,406
12.166666666666666,403
12.25,408
12.333333333333334,407
12.416666666666666,405
12.5,410
12.583333333333334,407
12.666666666666666,410
12.75,411
12.833333333333334,410
12.916666666666666,412
13,419
13.083333333333334,418
13.166666666666666,414
13.25,421
13.333333333333334,417
13.416666666666666,421
13.5,416
13.583333333333334,414
13.666666666666666,419
13.75,421
13.833333333333334,424
13.916666666666666,423
14,421
14.083333333333334,422
14.166666666666666,427
14.25,423
14.333333333333334,419
14.416666666666666,425
14.5,426
14.583333333333334,427
14.666666666666666,429
14.75,428
14.833333333333334,432
14.916666666666666,425
15,427
15.083333333333334,434
15.166666666666666,435
15.25,437
15.333333333333334,435
15.416666666666666,435
15.5,437
15.583333333333334,438
15.666666666666666,439
15.75,438
15.833333333333334,441
15.916666666666666,443
16,442
16.083333333333332,436
16.166666666666668,440
16.25,441
16.333333333333332,443
16.416666666666668,447
16.5,446
16.583333333333332,443
16.666666666666668,452
16.75,450
16.833333333333332,454
16.916666666666668,451
17,455
17.083333333333332,458
17.166666666666668,451
17.25,456
17.333333333333332,457
17.416666666666668,457
17.5,461
17.583333333333332,461
17.666666666666668,457
17.75,458
17.833333333333332,456
17.916666666666668,459
18,455
18.083333333333332,458
18.166666666666668,463
18.25,462
18.416666666666668,466
18.5,464
18.583333333333332,458
18.666666666666668,467
18.75,461
18.833333333333332,460
18.916666666666668,461
19,469
19.083333333333332,467
19.166666666666668,471
19.25,467
19.333333333333332,465
19.416666666666668,468
19.5,468
19.583333333333332,468
19.666666666666668,465
19.75,468
19.833333333333332,463
19.916666666666668,472
20,469
20.083333333333332,466
20.166666666666668,472
20.25,474
20.333333333333332,476
20.416666666666668,475
20.5,475
20.583333333333332,480
20.666666666666668,480
20.75,484
20.833333333333332,481
20.916666666666668,489
21,477
21.083333333333332,487
21.166666666666668,483
21.25,485
21.333333333333332,485
21.416666666666668,492
21.5,495
21.583333333333332,489
21.666666666666668,492
21.75,497
21.833333333333332,492
21.916666666666668,490
22,494
22.083333333333332,498
22.166666666666668,492
22.25,492
22.333333333333332,491
22.416666666666668,488
22.5,491
22.583333333333332,501
22.666666666666668,499
22.75,494
22.833333333333332,498
22.916666666666668,492
23,491
23.083333333333332,497
23.166666666666668,498
23.25,496
23.333333333333332,499
23.416666666666668,501
23.5,502
23.583333333333332,507
23.666666666666668,511
23.75,504
23.833333333333332,509
23.916666666666668,507
24,504
24.083333333333332,511
24.166666666666668,509
24.25,512
24.333333333333332,506
24.416666666666668,513
24.5,506
24.583333333333332,510
24.666666666666668,515
24.75,516
24.833333333333332,515
24.916666666666668,510
25,519
25.083333333333332,513
25.166666666666668,521
25.25,513
25.333333333333332,517
25.416666666666668,519
25.5,521
25.583333333333332,518
25.666666666666668,513
25.75,519
25.833333333333332,519
25.916666666666668,518
26,515
26.083333333333332,523
26.166666666666668,520
26.25,526
26.333333333333332,518
26.416666666666668,519
