"Hours since thread went live","Kenka Dokugaku • Viral Hit - Episode 1 discussion"
0,1
0,2
0.08333333333333333,4
0.16666666666666666,4
0.25,6
0.3333333333333333,6
0.4166666666666667,8
0.5,9
0.5833333333333334,13
0.6666666666666666,16
0.75,18
0.8333333333333334,21
0.9166666666666666,20
1,21
1.0833333333333333,23
1.1666666666666667,23
1.25,23
1.3333333333333333,31
1.4166666666666667,32
1.5,37
1.5833333333333333,41
1.6666666666666667,46
1.75,47
1.8333333333333333,50
1.9166666666666667,51
2,53
2.0833333333333335,54
2.1666666666666665,55
2.25,54
2.3333333333333335,58
2.4166666666666665,58
2.5,58
2.5833333333333335,59
2.6666666666666665,64
2.75,60
2.8333333333333335,62
2.9166666666666665,66
3,68
3.0833333333333335,67
3.1666666666666665,73
3.25,67
3.3333333333333335,75
3.4166666666666665,73
3.5,79
3.5833333333333335,79
3.6666666666666665,79
3.75,80
3.8333333333333335,77
3.9166666666666665,82
4,84
4.083333333333333,84
4.166666666666667,88
4.25,86
4.333333333333333,88
4.416666666666667,89
4.5,89
4.583333333333333,91
4.666666666666667,88
4.75,93
4.833333333333333,92
4.916666666666667,95
5,92
5.083333333333333,97
5.166666666666667,92
5.25,95
5.333333333333333,100
5.416666666666667,100
5.5,96
5.583333333333333,97
5.666666666666667,100
5.75,101
5.833333333333333,95
5.916666666666667,100
6,99
6.083333333333333,106
6.166666666666667,106
6.25,108
6.333333333333333,108
6.416666666666667,108
6.5,111
6.583333333333333,110
6.666666666666667,115
6.75,110
6.833333333333333,109
6.916666666666667,117
7,114
7.083333333333333,116
7.166666666666667,112
7.25,118
7.333333333333333,114
7.416666666666667,117
7.5,118
7.583333333333333,119
7.666666666666667,119
7.75,121
7.833333333333333,123
7.916666666666667,122
8,123
8.083333333333334,128
8.166666666666666,122
8.25,127
8.333333333333334,126
8.416666666666666,126
8.5,129
8.583333333333334,130
8.666666666666666,129
8.75,131
8.833333333333334,130
8.916666666666666,133
9,131
9.083333333333334,133
9.166666666666666,135
9.25,134
9.333333333333334,135
9.416666666666666,138
9.5,138
9.583333333333334,138
9.666666666666666,141
9.75,139
9.833333333333334,141
9.916666666666666,143
10,143
10.083333333333334,145
10.166666666666666,146
10.25,145
10.333333333333334,148
10.416666666666666,147
10.5,147
10.583333333333334,150
10.666666666666666,151
10.75,147
10.833333333333334,150
10.916666666666666,148
11,149
11.083333333333334,147
11.166666666666666,148
11.25,150
11.333333333333334,158
11.416666666666666,151
11.5,152
11.583333333333334,158
11.666666666666666,153
11.75,157
11.833333333333334,159
11.916666666666666,158
12,159
12.083333333333334,161
12.166666666666666,166
12.25,166
12.333333333333334,165
12.416666666666666,163
12.5,163
12.583333333333334,166
12.666666666666666,165
12.75,169
12.833333333333334,168
12.916666666666666,169
13,170
13.083333333333334,172
13.166666666666666,172
13.25,174
13.333333333333334,172
13.416666666666666,170
13.5,173
13.583333333333334,172
13.666666666666666,170
13.75,178
13.833333333333334,172
13.916666666666666,175
14,177
14.083333333333334,174
14.166666666666666,177
14.25,178
14.333333333333334,176
14.416666666666666,178
14.5,181
14.583333333333334,175
14.666666666666666,178
14.75,174
14.833333333333334,180
14.916666666666666,179
15,178
15.083333333333334,174
15.166666666666666,175
15.25,175
15.333333333333334,181
15.416666666666666,179
15.5,182
15.583333333333334,181
15.666666666666666,184
15.75,181
15.833333333333334,180
15.916666666666666,187
16,183
16.083333333333332,184
16.166666666666668,187
16.25,187
16.333333333333332,184
16.416666666666668,184
16.5,185
16.583333333333332,185
16.666666666666668,185
16.75,187
16.833333333333332,188
16.916666666666668,192
17,187
17.083333333333332,187
17.166666666666668,188
17.25,187
17.333333333333332,185
17.5,189
17.583333333333332,187
17.666666666666668,190
17.75,188
17.833333333333332,187
17.916666666666668,190
18,188
18.083333333333332,190
18.166666666666668,187
18.25,188
18.333333333333332,191
18.416666666666668,193
18.5,192
18.583333333333332,191
18.666666666666668,191
18.75,195
18.833333333333332,193
18.916666666666668,191
19,193
19.083333333333332,196
19.166666666666668,191
19.25,189
19.333333333333332,196
19.416666666666668,190
19.5,196
19.583333333333332,192
19.666666666666668,194
19.75,196
19.833333333333332,196
19.916666666666668,194
20,195
20.083333333333332,199
20.166666666666668,196
20.25,194
20.333333333333332,197
20.416666666666668,196
20.5,198
20.583333333333332,197
20.666666666666668,197
20.75,195
20.833333333333332,197
20.916666666666668,198
21,195
21.083333333333332,198
21.166666666666668,197
21.25,197
21.333333333333332,198
21.416666666666668,197
21.5,201
21.583333333333332,202
21.666666666666668,201
21.75,200
21.833333333333332,198
21.916666666666668,199
22,205
22.083333333333332,203
22.166666666666668,200
22.25,200
22.333333333333332,203
22.416666666666668,202
22.5,198
22.583333333333332,200
22.666666666666668,204
22.75,205
22.833333333333332,203
22.916666666666668,204
23,202
23.083333333333332,202
23.166666666666668,202
23.25,203
23.333333333333332,203
23.416666666666668,207
23.5,204
23.583333333333332,201
23.666666666666668,205
23.75,203
23.833333333333332,207
23.916666666666668,206
24,203
24.083333333333332,207
24.166666666666668,207
24.25,207
24.333333333333332,203
24.416666666666668,206
24.5,207
24.583333333333332,209
24.666666666666668,205
24.75,206
24.833333333333332,212
24.916666666666668,208
25,209
25.083333333333332,211
25.166666666666668,212
25.25,207
25.333333333333332,211
25.416666666666668,209
25.5,214
25.583333333333332,212
25.666666666666668,209
25.75,213
25.833333333333332,212
25.916666666666668,215
26,212
26.083333333333332,211
26.166666666666668,209
26.25,212
26.333333333333332,210
26.416666666666668,214
26.5,213
26.583333333333332,212
26.666666666666668,211
26.75,212
26.833333333333332,211
26.916666666666668,209
27,212
27.083333333333332,213
27.166666666666668,208
27.25,213
27.333333333333332,210
27.416666666666668,208
27.5,213
27.583333333333332,209
27.666666666666668,212
27.75,210
27.833333333333332,213
27.916666666666668,209
28,213
28.083333333333332,213
28.166666666666668,215
28.25,210
28.333333333333332,217
28.416666666666668,215
28.5,214
28.583333333333332,217
28.666666666666668,212
28.75,214
28.833333333333332,216
28.916666666666668,211
29,217
29.083333333333332,215
29.166666666666668,213
29.25,215
29.333333333333332,216
29.416666666666668,214
29.5,215
29.583333333333332,213
29.666666666666668,215
29.75,216
29.833333333333332,213
29.916666666666668,212
30,217
30.083333333333332,218
30.166666666666668,215
30.25,216
30.333333333333332,214
30.416666666666668,213
30.5,217
30.583333333333332,217
30.666666666666668,217
30.75,219
30.833333333333332,217
30.916666666666668,219
31,216
31.083333333333332,215
31.166666666666668,219
31.25,213
31.333333333333332,215
31.416666666666668,219
31.5,219
31.583333333333332,218
31.666666666666668,219
31.75,217
31.833333333333332,219
31.916666666666668,214
32,218
32.083333333333336,215
32.166666666666664,218
32.25,219
32.333333333333336,215
32.416666666666664,218
32.5,218
32.583333333333336,217
32.666666666666664,216
32.75,215
32.833333333333336,216
32.916666666666664,213
33,218
33.083333333333336,216
33.166666666666664,216
33.25,218
33.333333333333336,217
33.416666666666664,214
33.5,217
33.583333333333336,220
33.666666666666664,214
