"Hours since thread went live","Chibi Godzilla no Gyakushuu Season 2 • Chibi Godzilla Raids Again Season 2 - Episode 1 discussion"
0,1
0,2
0.08333333333333333,3
0.16666666666666666,1
0.25,1
0.3333333333333333,2
0.4166666666666667,2
0.5,2
0.5833333333333334,2
0.6666666666666666,2
0.75,3
0.8333333333333334,3
0.9166666666666666,3
1,4
1.0833333333333333,4
1.1666666666666667,4
1.25,4
1.3333333333333333,4
1.4166666666666667,4
1.5,5
1.5833333333333333,6
1.6666666666666667,8
1.75,9
1.8333333333333333,9
1.9166666666666667,10
2,8
2.0833333333333335,8
2.1666666666666665,8
2.25,10
2.3333333333333335,11
2.4166666666666665,8
2.5,10
2.5833333333333335,10
2.6666666666666665,10
2.75,10
2.8333333333333335,10
2.9166666666666665,11
3,10
3.0833333333333335,8
3.1666666666666665,11
3.25,12
3.3333333333333335,9
3.4166666666666665,10
3.5,10
3.5833333333333335,10
3.6666666666666665,12
3.75,13
3.8333333333333335,13
3.9166666666666665,12
4,10
4.083333333333333,10
4.166666666666667,11
4.25,13
4.333333333333333,10
4.416666666666667,10
4.5,12
4.583333333333333,11
4.666666666666667,13
4.75,13
4.833333333333333,15
4.916666666666667,15
5,16
5.083333333333333,13
5.166666666666667,14
5.25,16
5.333333333333333,15
5.416666666666667,16
5.5,17
5.583333333333333,15
5.666666666666667,16
5.75,15
5.833333333333333,15
5.916666666666667,13
6,17
6.083333333333333,16
6.166666666666667,14
6.25,14
6.333333333333333,14
6.416666666666667,16
6.5,14
6.583333333333333,14
6.666666666666667,16
6.75,15
6.833333333333333,16
6.916666666666667,16
7,18
7.083333333333333,16
7.166666666666667,16
7.25,17
7.333333333333333,15
7.416666666666667,15
7.5,17
7.583333333333333,15
7.666666666666667,13
7.75,15
7.833333333333333,14
7.916666666666667,17
8,14
8.083333333333334,13
8.166666666666666,17
8.25,16
8.333333333333334,18
8.416666666666666,14
8.5,17
8.583333333333334,17
8.666666666666666,16
8.75,19
8.833333333333334,19
8.916666666666666,17
9,16
9.083333333333334,17
9.166666666666666,18
9.25,18
9.333333333333334,19
9.416666666666666,16
9.5,17
9.583333333333334,19
9.666666666666666,18
9.75,17
9.833333333333334,18
9.916666666666666,16
10,15
10.083333333333334,15
10.166666666666666,17
10.25,15
10.333333333333334,18
10.416666666666666,17
10.5,19
10.583333333333334,16
10.666666666666666,17
10.75,16
10.833333333333334,19
10.916666666666666,17
11,18
11.083333333333334,20
11.166666666666666,21
11.25,21
11.333333333333334,19
11.416666666666666,19
11.5,18
11.583333333333334,19
11.666666666666666,20
11.75,20
11.833333333333334,19
11.916666666666666,21
12,21
12.083333333333334,19
12.166666666666666,21
12.25,17
12.333333333333334,22
12.416666666666666,20
12.5,21
12.583333333333334,22
12.666666666666666,23
12.75,21
12.833333333333334,22
12.916666666666666,24
13,20
13.083333333333334,24
13.166666666666666,22
13.25,21
13.333333333333334,23
13.416666666666666,20
13.5,20
13.583333333333334,21
13.666666666666666,22
13.75,22
13.833333333333334,24
13.916666666666666,24
14,21
14.083333333333334,23
14.166666666666666,22
14.25,23
14.333333333333334,20
14.416666666666666,23
14.5,22
14.583333333333334,23
14.666666666666666,20
14.75,23
14.833333333333334,20
14.916666666666666,24
15,21
15.083333333333334,23
15.166666666666666,22
15.25,24
15.333333333333334,22
15.416666666666666,22
15.5,25
15.583333333333334,24
15.666666666666666,22
15.75,22
15.833333333333334,23
15.916666666666666,22
16,22
16.083333333333332,25
16.166666666666668,24
16.25,24
16.333333333333332,23
16.416666666666668,23
16.5,23
16.583333333333332,25
16.666666666666668,23
16.75,23
16.833333333333332,24
16.916666666666668,22
17,22
17.166666666666668,24
17.25,22
17.333333333333332,21
17.416666666666668,23
17.5,22
17.583333333333332,24
17.666666666666668,25
17.75,22
17.833333333333332,22
17.916666666666668,24
18,21
18.083333333333332,22
18.166666666666668,24
18.25,24
18.333333333333332,25
18.416666666666668,25
18.5,23
18.583333333333332,24
18.666666666666668,23
18.75,24
18.833333333333332,22
18.916666666666668,24
19,24
19.083333333333332,27
19.166666666666668,24
19.25,23
19.333333333333332,24
19.416666666666668,24
19.5,25
19.583333333333332,27
19.666666666666668,25
19.75,24
19.833333333333332,25
19.916666666666668,24
20,23
20.083333333333332,25
20.166666666666668,25
20.25,25
20.333333333333332,25
20.416666666666668,24
20.5,23
20.583333333333332,27
20.666666666666668,25
20.75,25
20.833333333333332,26
20.916666666666668,23
21,26
21.083333333333332,24
21.166666666666668,25
21.25,26
21.333333333333332,25
21.416666666666668,26
21.5,27
21.583333333333332,26
21.666666666666668,24
21.75,24
21.833333333333332,25
21.916666666666668,23
22,23
22.083333333333332,25
22.166666666666668,25
22.25,23
22.333333333333332,25
22.416666666666668,25
22.5,25
22.583333333333332,24
22.666666666666668,23
22.75,26
22.833333333333332,24
22.916666666666668,24
23,24
23.083333333333332,24
23.166666666666668,26
23.25,25
23.333333333333332,27
23.416666666666668,25
23.5,26
23.583333333333332,28
23.666666666666668,25
23.75,28
23.833333333333332,26
23.916666666666668,26
24,26
24.083333333333332,24
24.166666666666668,24
24.25,27
24.333333333333332,26
24.416666666666668,24
24.5,26
24.583333333333332,27
24.666666666666668,27
24.75,26
24.833333333333332,26
24.916666666666668,28
25,25
25.083333333333332,24
25.166666666666668,26
25.25,25
25.333333333333332,25
25.416666666666668,25
25.5,25
25.583333333333332,26
25.666666666666668,24
25.75,25
25.833333333333332,25
25.916666666666668,26
26,27
26.083333333333332,27
26.166666666666668,25
26.25,25
26.333333333333332,26
26.416666666666668,27
26.5,25
26.583333333333332,25
26.666666666666668,24
26.75,26
26.833333333333332,27
26.916666666666668,25
27,27
27.083333333333332,26
27.166666666666668,25
27.25,28
27.333333333333332,27
27.416666666666668,26
27.5,26
27.583333333333332,26
27.666666666666668,25
27.75,24
27.833333333333332,26
27.916666666666668,25
28,26
28.083333333333332,27
28.166666666666668,26
28.25,26
28.333333333333332,24
28.416666666666668,25
28.5,26
28.583333333333332,26
28.666666666666668,26
28.75,27
28.833333333333332,27
28.916666666666668,27
29,25
29.083333333333332,24
29.166666666666668,27
29.25,28
29.333333333333332,26
29.416666666666668,26
29.5,27
29.583333333333332,27
29.666666666666668,24
29.75,28
29.833333333333332,25
29.916666666666668,24
30,28
30.083333333333332,24
30.166666666666668,30
30.25,29
30.333333333333332,25
30.416666666666668,27
30.5,27
30.583333333333332,23
30.666666666666668,27
30.75,28
30.833333333333332,28
30.916666666666668,26
31,23
31.083333333333332,30
31.166666666666668,25
31.25,27
31.333333333333332,27
31.416666666666668,28
31.5,23
31.583333333333332,27
31.666666666666668,24
31.75,27
31.833333333333332,27
31.916666666666668,24
32,23
32.083333333333336,30
32.166666666666664,26
32.25,26
32.333333333333336,27
32.416666666666664,25
32.5,25
32.583333333333336,29
32.666666666666664,24
32.75,31
32.833333333333336,29
32.916666666666664,24
33,25
33.083333333333336,25
33.166666666666664,24
33.25,27
33.333333333333336,30
33.416666666666664,30
