"Hours since thread went live","Urusei Yatsura (2022) Season 2 - Episode 13 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,2
0.25,6
0.3333333333333333,8
0.4166666666666667,10
0.5,15
0.5833333333333334,17
0.6666666666666666,19
0.75,20
0.8333333333333334,26
0.9166666666666666,28
1,30
1.0833333333333333,31
1.1666666666666667,34
1.25,36
1.3333333333333333,38
1.4166666666666667,39
1.5,45
1.5833333333333333,48
1.6666666666666667,48
1.75,48
1.8333333333333333,54
1.9166666666666667,56
2,60
2.0833333333333335,58
2.1666666666666665,60
2.25,62
2.3333333333333335,67
2.4166666666666665,66
2.5,67
2.5833333333333335,65
2.6666666666666665,70
2.75,69
2.8333333333333335,76
2.9166666666666665,78
3,78
3.0833333333333335,79
3.1666666666666665,81
3.25,82
3.3333333333333335,83
3.4166666666666665,85
3.5,86
3.5833333333333335,85
3.6666666666666665,86
3.75,87
3.8333333333333335,89
3.9166666666666665,93
4,91
4.083333333333333,95
4.166666666666667,94
4.25,95
4.333333333333333,100
4.416666666666667,98
4.5,100
4.583333333333333,97
4.666666666666667,103
4.75,103
4.833333333333333,105
4.916666666666667,104
5,103
5.083333333333333,104
5.166666666666667,105
5.25,105
5.333333333333333,106
5.416666666666667,110
5.5,111
5.583333333333333,109
5.666666666666667,112
5.75,110
5.833333333333333,111
5.916666666666667,108
6,112
6.083333333333333,116
6.166666666666667,117
6.25,115
6.333333333333333,121
6.416666666666667,118
6.5,123
6.583333333333333,121
6.666666666666667,121
6.75,119
6.833333333333333,123
6.916666666666667,126
7,126
7.083333333333333,123
7.166666666666667,130
7.25,134
7.333333333333333,131
7.416666666666667,130
7.5,133
7.583333333333333,136
7.666666666666667,137
7.75,132
7.833333333333333,140
7.916666666666667,140
8,133
8.083333333333334,139
8.166666666666666,139
8.25,142
8.333333333333334,141
8.416666666666666,142
8.5,143
8.583333333333334,143
8.666666666666666,143
8.75,145
8.833333333333334,148
8.916666666666666,145
9,149
9.083333333333334,145
9.166666666666666,153
9.25,147
9.333333333333334,151
9.416666666666666,152
9.5,153
9.583333333333334,151
9.666666666666666,156
9.75,154
9.833333333333334,152
9.916666666666666,154
10,154
10.083333333333334,153
10.166666666666666,157
10.25,164
10.333333333333334,161
10.416666666666666,161
10.5,163
10.583333333333334,164
10.666666666666666,162
10.75,162
10.833333333333334,160
10.916666666666666,167
11,163
11.083333333333334,164
11.166666666666666,163
11.25,162
11.333333333333334,162
11.416666666666666,163
11.5,166
11.583333333333334,163
11.666666666666666,164
11.75,167
11.833333333333334,166
11.916666666666666,162
12,167
12.083333333333334,165
12.166666666666666,168
12.25,167
12.333333333333334,168
12.416666666666666,167
12.5,167
12.583333333333334,170
12.666666666666666,172
12.75,175
12.833333333333334,175
12.916666666666666,171
13,174
13.083333333333334,176
13.166666666666666,176
13.25,178
13.333333333333334,176
13.416666666666666,179
13.5,181
13.583333333333334,176
13.666666666666666,182
13.75,179
13.833333333333334,181
13.916666666666666,181
14,180
14.083333333333334,181
14.166666666666666,182
14.25,180
14.333333333333334,183
14.416666666666666,181
14.5,183
14.583333333333334,184
14.666666666666666,181
14.75,183
14.833333333333334,181
14.916666666666666,187
15,185
15.083333333333334,180
15.166666666666666,182
15.25,185
15.333333333333334,186
15.416666666666666,182
15.5,183
15.583333333333334,182
15.666666666666666,184
15.75,183
15.833333333333334,184
15.916666666666666,187
16,183
16.083333333333332,185
16.166666666666668,187
16.25,187
16.333333333333332,190
16.416666666666668,189
16.5,186
16.583333333333332,189
16.666666666666668,190
16.75,190
16.833333333333332,187
16.916666666666668,191
17,191
17.083333333333332,195
17.166666666666668,196
17.25,194
17.333333333333332,192
17.416666666666668,192
17.5,194
17.583333333333332,196
17.666666666666668,194
17.75,195
17.833333333333332,190
17.916666666666668,191
18,194
18.083333333333332,196
18.166666666666668,192
18.25,193
18.333333333333332,194
18.416666666666668,191
18.5,193
18.583333333333332,193
18.666666666666668,193
18.75,194
18.833333333333332,197
18.916666666666668,193
19,191
19.083333333333332,193
19.166666666666668,195
19.25,195
19.333333333333332,198
19.416666666666668,197
19.5,196
19.583333333333332,198
19.666666666666668,193
19.75,195
19.833333333333332,200
19.916666666666668,197
20,199
20.083333333333332,193
20.166666666666668,198
20.25,197
20.333333333333332,199
20.416666666666668,195
20.5,199
20.583333333333332,199
20.666666666666668,195
20.75,200
20.833333333333332,199
20.916666666666668,202
21,199
21.083333333333332,199
21.166666666666668,202
21.25,196
21.333333333333332,201
21.416666666666668,204
21.5,202
21.583333333333332,204
21.666666666666668,198
21.75,203
21.833333333333332,202
21.916666666666668,205
22,205
22.083333333333332,201
22.166666666666668,203
22.25,200
22.333333333333332,203
22.416666666666668,202
22.5,204
22.583333333333332,202
22.666666666666668,202
22.75,207
22.833333333333332,206
22.916666666666668,203
23,204
23.083333333333332,208
23.166666666666668,205
23.25,211
23.333333333333332,209
23.416666666666668,210
23.5,209
23.583333333333332,207
23.666666666666668,203
23.75,208
23.833333333333332,211
23.916666666666668,207
24,208
24.083333333333332,209
24.166666666666668,208
24.25,208
24.333333333333332,212
24.416666666666668,209
24.5,209
24.583333333333332,208
24.666666666666668,210
24.75,207
24.833333333333332,209
24.916666666666668,212
25,207
25.083333333333332,210
25.166666666666668,211
25.25,213
25.333333333333332,210
25.416666666666668,216
25.5,209
25.583333333333332,216
25.666666666666668,216
25.75,212
25.833333333333332,215
25.916666666666668,211
26,214
26.083333333333332,210
26.166666666666668,214
26.25,214
26.333333333333332,216
26.416666666666668,216
26.5,218
26.583333333333332,216
26.666666666666668,212
26.75,213
26.833333333333332,216
26.916666666666668,216
27,217
27.083333333333332,218
27.166666666666668,217
27.25,214
27.333333333333332,215
27.416666666666668,217
27.5,213
27.583333333333332,216
27.666666666666668,213
27.75,217
27.833333333333332,218
27.916666666666668,214
28,216
28.083333333333332,221
28.166666666666668,217
28.25,220
28.333333333333332,215
28.416666666666668,219
28.5,218
28.583333333333332,217
28.666666666666668,213
28.75,220
28.833333333333332,214
28.916666666666668,216
29,218
29.083333333333332,216
29.166666666666668,216
29.25,216
29.333333333333332,220
29.416666666666668,214
29.5,216
29.583333333333332,217
29.666666666666668,218
29.75,217
29.833333333333332,217
29.916666666666668,215
30,216
30.083333333333332,217
30.166666666666668,218
30.25,213
30.333333333333332,220
30.416666666666668,219
30.5,219
30.583333333333332,222
30.666666666666668,218
30.75,215
30.833333333333332,220
30.916666666666668,222
31,222
31.083333333333332,220
31.166666666666668,218
31.25,220
31.333333333333332,218
31.416666666666668,221
31.5,223
31.583333333333332,222
31.666666666666668,221
31.75,221
31.833333333333332,223
31.916666666666668,225
32,226
32.083333333333336,222
32.166666666666664,221
32.25,222
32.333333333333336,223
32.416666666666664,220
32.5,220
32.583333333333336,223
32.666666666666664,219
32.75,219
32.833333333333336,220
32.916666666666664,223
33,223
33.083333333333336,223
33.166666666666664,223
33.25,225
33.333333333333336,223
33.416666666666664,224
33.5,225
33.583333333333336,221
33.666666666666664,226
33.75,221
33.833333333333336,220
33.916666666666664,225
34,219
34.083333333333336,223
34.166666666666664,221
34.25,222
34.333333333333336,220
34.416666666666664,224
34.5,225
34.583333333333336,223
34.666666666666664,223
34.75,220
34.833333333333336,226
34.916666666666664,222
35,227
35.083333333333336,224
35.166666666666664,226
35.25,226
35.333333333333336,223
35.416666666666664,226
35.5,225
35.583333333333336,228
35.666666666666664,222
35.75,224
35.833333333333336,222
35.916666666666664,224
36,221
36.083333333333336,223
36.166666666666664,223
36.25,226
36.333333333333336,223
36.416666666666664,225
36.5,224
36.583333333333336,224
36.666666666666664,221
36.75,222
36.833333333333336,224
36.916666666666664,224
37,224
37.083333333333336,223
37.166666666666664,221
37.25,222
37.333333333333336,225
37.416666666666664,226
37.5,224
37.583333333333336,221
37.666666666666664,229
37.75,227
37.833333333333336,224
37.916666666666664,227
38,224
38.083333333333336,226
38.166666666666664,228
38.25,223
38.333333333333336,227
38.416666666666664,228
38.5,223
38.583333333333336,227
38.666666666666664,228
38.75,222
38.833333333333336,226
38.916666666666664,226
39,225
