"Hours since thread went live","The iDOLM@STER Shiny Colors - Episode 2 discussion"
0,1
0,1
0.08333333333333333,3
0.16666666666666666,2
0.25,1
0.3333333333333333,2
0.4166666666666667,2
0.5,2
0.5833333333333334,1
0.6666666666666666,2
0.75,5
0.8333333333333334,4
0.9166666666666666,4
1,3
1.0833333333333333,4
1.1666666666666667,3
1.25,3
1.3333333333333333,4
1.4166666666666667,4
1.5,6
1.5833333333333333,5
1.6666666666666667,4
1.75,8
1.8333333333333333,7
1.9166666666666667,8
2,7
2.0833333333333335,7
2.1666666666666665,9
2.25,7
2.3333333333333335,7
2.4166666666666665,9
2.5,9
2.5833333333333335,9
2.6666666666666665,9
2.75,10
2.8333333333333335,11
2.9166666666666665,10
3,10
3.0833333333333335,10
3.1666666666666665,9
3.25,11
3.3333333333333335,13
3.4166666666666665,12
3.5,15
3.5833333333333335,14
3.6666666666666665,11
3.75,12
3.8333333333333335,11
3.9166666666666665,13
4,14
4.083333333333333,12
4.166666666666667,13
4.25,10
4.333333333333333,12
4.416666666666667,13
4.5,15
4.583333333333333,13
4.666666666666667,14
4.75,13
4.833333333333333,11
4.916666666666667,13
5,15
5.083333333333333,13
5.166666666666667,14
5.25,15
5.333333333333333,13
5.416666666666667,13
5.5,14
5.583333333333333,15
5.666666666666667,13
5.75,13
5.833333333333333,15
5.916666666666667,15
6,14
6.083333333333333,14
6.166666666666667,15
6.25,16
6.333333333333333,13
6.416666666666667,12
6.5,16
6.583333333333333,13
6.666666666666667,14
6.75,14
6.833333333333333,15
6.916666666666667,15
7,15
7.083333333333333,14
7.166666666666667,14
7.25,14
7.333333333333333,15
7.416666666666667,13
7.5,12
7.583333333333333,14
7.666666666666667,14
7.75,14
7.833333333333333,16
7.916666666666667,16
8,14
8.083333333333334,14
8.166666666666666,15
8.25,14
8.333333333333334,13
8.416666666666666,14
8.5,13
8.583333333333334,12
8.666666666666666,12
8.75,15
8.833333333333334,14
8.916666666666666,13
9,16
9.083333333333334,14
9.166666666666666,14
9.25,13
9.333333333333334,15
9.416666666666666,16
9.5,14
9.583333333333334,16
9.666666666666666,15
9.75,16
9.833333333333334,17
9.916666666666666,17
10,17
10.083333333333334,16
10.166666666666666,14
10.25,14
10.333333333333334,14
10.416666666666666,18
10.5,15
10.583333333333334,17
10.666666666666666,17
10.75,17
10.833333333333334,16
10.916666666666666,17
11,16
11.083333333333334,16
11.166666666666666,16
11.25,15
11.333333333333334,14
11.416666666666666,16
11.5,14
11.583333333333334,18
11.666666666666666,16
11.75,17
11.833333333333334,17
11.916666666666666,16
12,17
12.083333333333334,16
12.166666666666666,15
12.25,18
12.333333333333334,15
12.416666666666666,14
12.5,18
12.583333333333334,15
12.666666666666666,16
12.75,15
12.833333333333334,18
12.916666666666666,16
13,17
13.083333333333334,16
13.166666666666666,16
13.25,16
13.333333333333334,17
13.416666666666666,17
13.5,15
13.583333333333334,16
13.666666666666666,16
13.75,17
13.833333333333334,17
13.916666666666666,19
14,19
14.083333333333334,19
14.166666666666666,17
14.25,15
14.333333333333334,17
14.416666666666666,15
14.5,18
14.583333333333334,18
14.666666666666666,18
14.75,18
14.833333333333334,17
14.916666666666666,17
15,19
15.083333333333334,19
15.166666666666666,19
15.25,18
15.333333333333334,20
15.416666666666666,20
15.5,19
15.583333333333334,20
15.666666666666666,17
15.75,21
15.833333333333334,20
15.916666666666666,21
16,22
16.083333333333332,20
16.166666666666668,22
16.25,20
16.333333333333332,22
16.416666666666668,19
16.5,21
16.583333333333332,23
16.666666666666668,23
16.75,23
16.833333333333332,20
16.916666666666668,21
17,22
17.083333333333332,19
17.166666666666668,21
17.25,21
17.333333333333332,23
17.416666666666668,21
17.5,22
17.583333333333332,21
17.666666666666668,21
17.75,22
17.833333333333332,22
17.916666666666668,21
18,21
18.083333333333332,21
18.166666666666668,20
18.25,20
18.333333333333332,23
18.416666666666668,23
18.5,20
18.583333333333332,22
18.666666666666668,22
18.75,20
18.833333333333332,20
18.916666666666668,21
19,21
19.083333333333332,20
19.166666666666668,22
19.25,19
19.333333333333332,21
19.416666666666668,23
19.5,19
19.583333333333332,23
19.666666666666668,20
19.75,23
19.833333333333332,21
19.916666666666668,20
20,20
20.083333333333332,20
20.166666666666668,22
20.25,22
20.333333333333332,21
20.416666666666668,23
20.5,20
20.583333333333332,22
20.666666666666668,21
20.75,21
20.833333333333332,20
20.916666666666668,21
21,21
21.083333333333332,23
21.166666666666668,22
21.25,23
21.333333333333332,25
21.416666666666668,24
21.5,22
21.583333333333332,23
21.666666666666668,24
21.75,22
21.833333333333332,22
21.916666666666668,23
22,26
22.083333333333332,26
22.166666666666668,24
22.25,26
22.333333333333332,24
22.416666666666668,23
22.5,26
22.583333333333332,26
22.666666666666668,23
22.75,23
22.833333333333332,23
22.916666666666668,24
23,23
23.083333333333332,23
23.166666666666668,24
23.25,24
23.333333333333332,25
23.416666666666668,24
23.5,25
23.583333333333332,23
23.666666666666668,25
23.75,24
23.833333333333332,24
23.916666666666668,27
24,27
24.083333333333332,26
24.166666666666668,27
24.25,25
24.333333333333332,27
24.416666666666668,25
24.5,26
24.583333333333332,28
24.666666666666668,27
24.75,26
24.833333333333332,25
24.916666666666668,28
25,27
25.083333333333332,28
25.166666666666668,26
25.25,26
25.333333333333332,26
25.416666666666668,28
25.5,25
25.583333333333332,25
25.666666666666668,26
25.75,27
25.833333333333332,26
25.916666666666668,26
26,26
26.083333333333332,24
26.166666666666668,26
26.25,25
26.333333333333332,26
26.416666666666668,24
26.5,27
26.583333333333332,27
26.666666666666668,28
26.75,25
26.833333333333332,24
26.916666666666668,28
27,28
27.083333333333332,31
27.166666666666668,27
27.25,28
27.333333333333332,31
27.416666666666668,28
27.5,28
27.583333333333332,31
27.666666666666668,28
27.75,25
27.833333333333332,29
27.916666666666668,29
28,28
28.083333333333332,27
28.166666666666668,31
28.25,32
28.333333333333332,29
28.416666666666668,25
28.5,30
28.583333333333332,28
28.666666666666668,27
28.75,29
28.833333333333332,27
28.916666666666668,28
29,33
29.083333333333332,28
29.166666666666668,32
29.25,30
29.333333333333332,32
29.416666666666668,25
29.5,28
29.583333333333332,28
29.666666666666668,28
29.75,32
29.833333333333332,28
29.916666666666668,28
30,29
30.083333333333332,30
30.166666666666668,27
30.25,31
30.333333333333332,25
30.416666666666668,26
30.5,25
30.583333333333332,32
30.666666666666668,29
30.75,29
30.833333333333332,29
30.916666666666668,28
31,27
31.083333333333332,32
31.166666666666668,33
31.25,32
31.333333333333332,28
31.416666666666668,32
31.5,29
31.583333333333332,26
31.666666666666668,30
31.75,26
31.833333333333332,26
31.916666666666668,28
32,32
32.083333333333336,26
32.166666666666664,28
32.25,29
32.333333333333336,26
32.416666666666664,30
32.5,31
32.583333333333336,25
32.666666666666664,32
32.75,28
32.833333333333336,33
32.916666666666664,25
33,27
33.083333333333336,27
33.166666666666664,30
33.25,32
33.333333333333336,32
33.416666666666664,30
33.5,28
33.583333333333336,29
33.666666666666664,31
33.75,29
33.833333333333336,33
33.916666666666664,29
34,29
34.083333333333336,32
34.166666666666664,31
34.25,27
34.333333333333336,29
34.416666666666664,28
34.5,28
34.583333333333336,26
34.666666666666664,33
34.75,28
34.833333333333336,30
34.916666666666664,28
35,32
35.083333333333336,29
35.166666666666664,32
35.25,26
35.333333333333336,28
35.416666666666664,28
35.5,26
35.583333333333336,31
35.666666666666664,31
35.75,27
35.833333333333336,27
35.916666666666664,31
36,31
36.083333333333336,29
36.166666666666664,29
36.25,28
36.333333333333336,29
36.416666666666664,30
36.5,32
36.583333333333336,31
36.666666666666664,27
36.75,29
36.833333333333336,27
36.916666666666664,32
37,29
37.083333333333336,25
37.166666666666664,29
37.25,29
37.333333333333336,26
37.416666666666664,29
37.5,27
37.583333333333336,26
37.666666666666664,29
37.75,28
37.833333333333336,29
37.916666666666664,29
38,31
38.083333333333336,29
38.166666666666664,29
38.25,27
38.333333333333336,30
38.416666666666664,31
38.5,27
38.583333333333336,29
38.666666666666664,30
38.75,26
38.833333333333336,29
38.916666666666664,31
39,31
