"Hours since thread went live","The New Gate - Episode 1 discussion"
0,2
0.08333333333333333,3
0.16666666666666666,4
0.25,4
0.3333333333333333,4
0.4166666666666667,7
0.5,9
0.5833333333333334,12
0.6666666666666666,16
0.75,20
0.8333333333333334,19
0.9166666666666666,21
1,28
1.0833333333333333,29
1.1666666666666667,35
1.25,35
1.3333333333333333,37
1.4166666666666667,40
1.5,40
1.5833333333333333,41
1.6666666666666667,48
1.75,48
1.8333333333333333,54
1.9166666666666667,60
2,64
2.0833333333333335,69
2.1666666666666665,71
2.25,74
2.3333333333333335,76
2.4166666666666665,78
2.5,79
2.5833333333333335,83
2.6666666666666665,81
2.75,87
2.8333333333333335,90
2.9166666666666665,92
3,89
3.0833333333333335,97
3.1666666666666665,100
3.25,99
3.3333333333333335,100
3.4166666666666665,106
3.5,107
3.5833333333333335,110
3.6666666666666665,117
3.75,117
3.8333333333333335,114
3.9166666666666665,114
4,115
4.083333333333333,121
4.166666666666667,121
4.25,125
4.333333333333333,127
4.416666666666667,130
4.5,137
4.583333333333333,137
4.666666666666667,139
4.75,142
4.833333333333333,139
4.916666666666667,141
5,140
5.083333333333333,139
5.166666666666667,141
5.25,142
5.333333333333333,141
5.416666666666667,143
5.5,146
5.583333333333333,144
5.666666666666667,146
5.75,144
5.833333333333333,150
5.916666666666667,153
6,152
6.083333333333333,158
6.166666666666667,160
6.25,162
6.333333333333333,161
6.416666666666667,164
6.5,162
6.583333333333333,164
6.666666666666667,169
6.75,169
6.833333333333333,170
6.916666666666667,173
7,173
7.083333333333333,173
7.166666666666667,171
7.25,179
7.333333333333333,176
7.416666666666667,181
7.5,182
7.583333333333333,186
7.666666666666667,184
7.75,185
7.833333333333333,188
7.916666666666667,191
8,190
8.083333333333334,194
8.166666666666666,199
8.25,196
8.333333333333334,200
8.416666666666666,203
8.5,204
8.583333333333334,204
8.666666666666666,209
8.75,212
8.833333333333334,212
8.916666666666666,214
9,211
9.083333333333334,210
9.166666666666666,213
9.25,219
9.333333333333334,218
9.416666666666666,218
9.5,223
9.583333333333334,226
9.666666666666666,223
9.75,223
9.833333333333334,224
9.916666666666666,221
10,229
10.083333333333334,230
10.166666666666666,231
10.25,235
10.333333333333334,235
10.416666666666666,234
10.5,234
10.583333333333334,239
10.666666666666666,237
10.75,240
10.833333333333334,239
10.916666666666666,242
11,245
11.083333333333334,244
11.166666666666666,247
11.25,248
11.333333333333334,247
11.416666666666666,244
11.5,249
11.583333333333334,252
11.666666666666666,252
11.75,248
11.833333333333334,253
11.916666666666666,252
12,254
12.083333333333334,252
12.166666666666666,258
12.25,261
12.333333333333334,262
12.416666666666666,265
12.5,262
12.583333333333334,264
12.666666666666666,265
12.75,267
12.833333333333334,264
12.916666666666666,262
13,264
13.083333333333334,270
13.166666666666666,268
13.25,266
13.333333333333334,271
13.416666666666666,273
13.5,275
13.583333333333334,271
13.666666666666666,272
13.75,275
13.833333333333334,275
13.916666666666666,275
14,277
14.083333333333334,281
14.166666666666666,280
14.25,279
14.333333333333334,275
14.416666666666666,278
14.5,279
14.583333333333334,283
14.666666666666666,280
14.75,285
14.833333333333334,282
14.916666666666666,283
15,284
15.083333333333334,286
15.166666666666666,288
15.25,291
15.333333333333334,290
15.416666666666666,294
15.5,296
15.583333333333334,296
15.666666666666666,297
15.75,294
15.833333333333334,298
15.916666666666666,300
16,302
16.083333333333332,299
16.166666666666668,301
16.25,303
16.333333333333332,297
16.416666666666668,305
16.5,302
16.583333333333332,302
16.666666666666668,302
16.75,308
16.833333333333332,306
16.916666666666668,307
17,303
17.083333333333332,306
17.166666666666668,304
17.25,308
17.333333333333332,307
17.416666666666668,310
17.5,310
17.583333333333332,311
17.666666666666668,308
17.75,316
17.833333333333332,313
17.916666666666668,313
18,307
18.083333333333332,310
18.166666666666668,313
18.25,312
18.333333333333332,311
18.416666666666668,307
18.5,318
18.583333333333332,311
18.666666666666668,315
18.75,313
18.833333333333332,310
18.916666666666668,319
19,315
19.083333333333332,312
19.166666666666668,318
19.25,316
19.333333333333332,311
19.416666666666668,314
19.5,320
19.583333333333332,322
19.666666666666668,317
19.75,320
19.833333333333332,318
19.916666666666668,319
20,321
20.083333333333332,320
20.166666666666668,313
20.25,318
20.333333333333332,325
20.416666666666668,316
20.5,321
20.583333333333332,318
20.666666666666668,319
20.75,319
20.833333333333332,326
20.916666666666668,323
21,320
21.083333333333332,328
21.166666666666668,326
21.25,329
21.333333333333332,330
21.416666666666668,329
21.5,323
21.583333333333332,325
21.666666666666668,324
21.75,324
21.833333333333332,336
21.916666666666668,336
22,334
22.083333333333332,336
22.166666666666668,334
22.25,333
22.333333333333332,335
22.416666666666668,331
22.5,336
22.583333333333332,336
22.666666666666668,334
22.75,336
22.833333333333332,334
22.916666666666668,338
23,332
23.083333333333332,336
23.166666666666668,339
23.25,338
23.333333333333332,340
23.416666666666668,338
23.5,337
23.583333333333332,339
23.666666666666668,335
23.75,337
23.833333333333332,341
23.916666666666668,338
24,337
24.083333333333332,342
24.166666666666668,340
24.25,339
24.333333333333332,347
24.416666666666668,346
24.5,337
24.583333333333332,344
24.666666666666668,340
24.75,339
24.833333333333332,341
24.916666666666668,341
25,345
25.083333333333332,347
25.166666666666668,347
25.25,342
25.333333333333332,343
25.416666666666668,340
25.5,344
25.583333333333332,350
