"Hours since thread went live","Karasu wa Aruji wo Erabanai • Yatagarasu: The Raven Does Not Choose Its Master - Episode 2 discussion"
0,1
0.08333333333333333,2
0.16666666666666666,3
0.25,3
0.3333333333333333,3
0.4166666666666667,2
0.5,4
0.5833333333333334,4
0.6666666666666666,4
0.75,4
0.8333333333333334,3
0.9166666666666666,3
1,4
1.0833333333333333,4
1.1666666666666667,5
1.25,7
1.3333333333333333,8
1.4166666666666667,9
1.5,11
1.5833333333333333,11
1.6666666666666667,11
1.75,13
1.8333333333333333,13
1.9166666666666667,15
2,18
2.0833333333333335,19
2.1666666666666665,21
2.25,21
2.3333333333333335,19
2.4166666666666665,20
2.5,22
2.5833333333333335,22
2.6666666666666665,23
2.75,23
2.8333333333333335,23
2.9166666666666665,26
3,24
3.0833333333333335,26
3.1666666666666665,28
3.25,28
3.3333333333333335,28
3.4166666666666665,29
3.5,29
3.5833333333333335,27
3.6666666666666665,31
3.75,33
3.8333333333333335,31
3.9166666666666665,31
4,30
4.083333333333333,31
4.166666666666667,32
4.25,31
4.333333333333333,29
4.416666666666667,31
4.5,35
4.583333333333333,31
4.666666666666667,34
4.75,32
4.833333333333333,33
4.916666666666667,35
5,38
5.083333333333333,35
5.166666666666667,38
5.25,35
5.333333333333333,33
5.416666666666667,34
5.5,39
5.583333333333333,41
5.666666666666667,44
5.75,42
5.833333333333333,44
5.916666666666667,42
6,42
6.083333333333333,39
6.166666666666667,45
6.25,41
6.333333333333333,46
6.416666666666667,46
6.5,47
6.583333333333333,49
6.666666666666667,51
6.75,47
6.833333333333333,48
6.916666666666667,49
7,47
7.083333333333333,49
7.166666666666667,51
7.25,52
7.333333333333333,53
7.416666666666667,49
7.5,47
7.583333333333333,48
7.666666666666667,51
7.75,47
7.833333333333333,49
7.916666666666667,49
8,51
8.083333333333334,52
8.166666666666666,48
8.25,51
8.333333333333334,54
8.416666666666666,53
8.5,52
8.583333333333334,51
8.666666666666666,51
8.75,51
8.833333333333334,54
8.916666666666666,58
9,57
9.083333333333334,59
9.166666666666666,59
9.25,58
9.333333333333334,55
9.416666666666666,56
9.5,59
9.583333333333334,60
9.666666666666666,61
9.75,61
9.833333333333334,64
9.916666666666666,61
10,63
10.083333333333334,62
10.166666666666666,66
10.25,66
10.333333333333334,62
10.416666666666666,65
10.5,67
10.583333333333334,67
10.666666666666666,64
10.75,66
10.833333333333334,64
10.916666666666666,64
11,66
11.083333333333334,64
11.166666666666666,66
11.25,69
11.333333333333334,66
11.416666666666666,68
11.5,64
11.583333333333334,68
11.666666666666666,64
11.75,65
11.833333333333334,70
11.916666666666666,65
12,66
12.083333333333334,71
12.166666666666666,67
12.25,68
12.333333333333334,68
12.416666666666666,70
12.5,66
12.583333333333334,65
12.666666666666666,68
12.75,70
12.833333333333334,69
12.916666666666666,69
13,69
13.083333333333334,69
13.166666666666666,70
13.25,64
13.333333333333334,67
13.416666666666666,67
13.5,70
13.583333333333334,72
13.666666666666666,70
13.75,72
13.833333333333334,67
13.916666666666666,71
14,71
14.083333333333334,72
14.166666666666666,74
14.25,74
14.333333333333334,73
14.416666666666666,72
14.5,72
14.583333333333334,73
14.666666666666666,72
14.75,74
14.833333333333334,77
14.916666666666666,74
15,74
15.083333333333334,72
15.166666666666666,79
15.25,76
15.333333333333334,77
15.416666666666666,77
15.5,75
15.583333333333334,72
15.666666666666666,79
15.75,74
15.833333333333334,80
15.916666666666666,77
16,73
16.083333333333332,75
16.166666666666668,79
16.25,76
16.333333333333332,74
16.416666666666668,78
16.5,78
16.583333333333332,79
16.666666666666668,79
16.75,78
16.833333333333332,80
16.916666666666668,80
17,77
17.083333333333332,78
17.166666666666668,82
17.25,84
17.333333333333332,79
17.416666666666668,79
17.5,83
17.583333333333332,81
17.666666666666668,81
17.75,85
17.833333333333332,86
17.916666666666668,83
18,85
18.083333333333332,83
18.166666666666668,86
18.25,83
18.333333333333332,85
18.416666666666668,83
18.5,87
18.583333333333332,83
18.666666666666668,84
18.75,88
18.833333333333332,82
18.916666666666668,83
19,81
19.083333333333332,87
19.166666666666668,83
19.25,85
19.333333333333332,83
19.416666666666668,84
19.5,85
19.583333333333332,87
19.666666666666668,85
19.75,88
19.833333333333332,88
19.916666666666668,84
20,87
20.083333333333332,84
20.166666666666668,85
20.25,85
20.333333333333332,86
20.416666666666668,90
20.5,88
20.583333333333332,88
20.666666666666668,87
20.75,85
20.833333333333332,85
20.916666666666668,89
21,86
21.083333333333332,89
21.166666666666668,88
21.25,87
21.333333333333332,88
21.416666666666668,87
21.5,87
