"Hours since thread went live","Tonari no Youkai-san - Episode 2 discussion"
0,1
0.08333333333333333,2
0.16666666666666666,2
0.25,4
0.3333333333333333,4
0.4166666666666667,7
0.5,8
0.5833333333333334,12
0.6666666666666666,16
0.75,17
0.8333333333333334,20
0.9166666666666666,21
1,23
1.0833333333333333,24
1.1666666666666667,25
1.25,27
1.3333333333333333,30
1.4166666666666667,30
1.5,32
1.5833333333333333,33
1.6666666666666667,35
1.75,36
1.8333333333333333,40
1.9166666666666667,41
2,41
2.0833333333333335,42
2.1666666666666665,41
2.25,42
2.3333333333333335,44
2.4166666666666665,46
2.5,48
2.5833333333333335,46
2.6666666666666665,49
2.75,50
2.8333333333333335,49
2.9166666666666665,49
3,53
3.0833333333333335,52
3.1666666666666665,54
3.25,53
3.3333333333333335,57
3.4166666666666665,58
3.5,59
3.5833333333333335,60
3.6666666666666665,61
3.75,65
3.8333333333333335,65
3.9166666666666665,63
4,71
4.083333333333333,70
4.166666666666667,70
4.25,73
4.333333333333333,70
4.416666666666667,74
4.5,74
4.583333333333333,77
4.666666666666667,79
4.75,76
4.833333333333333,78
4.916666666666667,77
5,81
5.083333333333333,80
5.166666666666667,82
5.25,82
5.333333333333333,80
5.416666666666667,85
5.5,85
5.583333333333333,84
5.666666666666667,90
5.75,84
5.833333333333333,88
5.916666666666667,89
6,88
6.083333333333333,90
6.166666666666667,92
6.25,90
6.333333333333333,88
6.416666666666667,91
6.5,92
6.583333333333333,97
6.666666666666667,100
6.75,100
6.833333333333333,97
6.916666666666667,101
7,104
7.083333333333333,102
7.166666666666667,100
7.25,103
7.333333333333333,106
7.416666666666667,105
7.5,103
7.583333333333333,103
7.666666666666667,107
7.75,104
7.833333333333333,103
7.916666666666667,105
8,103
8.083333333333334,107
8.166666666666666,108
8.25,109
8.333333333333334,111
8.416666666666666,111
8.5,111
8.583333333333334,110
8.666666666666666,109
8.75,109
8.833333333333334,112
8.916666666666666,113
9,113
9.083333333333334,114
9.166666666666666,112
9.25,118
9.333333333333334,118
9.416666666666666,115
9.5,118
9.583333333333334,119
9.666666666666666,120
9.75,117
9.833333333333334,119
9.916666666666666,120
10,120
10.083333333333334,120
10.166666666666666,119
10.25,123
10.333333333333334,118
10.416666666666666,119
10.5,121
10.583333333333334,120
10.666666666666666,122
10.75,123
10.833333333333334,124
10.916666666666666,125
11,124
11.083333333333334,125
11.166666666666666,126
11.25,125
11.333333333333334,129
11.416666666666666,126
11.5,131
11.583333333333334,131
11.666666666666666,130
11.75,131
11.833333333333334,132
11.916666666666666,136
12,135
12.083333333333334,140
12.166666666666666,139
12.25,135
12.333333333333334,140
12.416666666666666,142
12.5,141
12.583333333333334,141
12.666666666666666,138
12.75,145
12.833333333333334,141
12.916666666666666,144
13,145
13.083333333333334,145
13.166666666666666,145
13.25,142
13.333333333333334,145
13.416666666666666,141
13.5,147
13.583333333333334,147
13.666666666666666,147
13.75,143
13.833333333333334,144
13.916666666666666,146
14,148
14.083333333333334,147
14.166666666666666,148
14.25,148
14.333333333333334,146
14.416666666666666,145
14.5,147
14.583333333333334,148
14.666666666666666,147
14.75,146
14.833333333333334,146
14.916666666666666,144
15,146
15.083333333333334,144
15.166666666666666,147
15.25,146
15.333333333333334,144
15.416666666666666,149
15.5,146
15.583333333333334,148
15.666666666666666,146
15.75,147
15.833333333333334,148
15.916666666666666,146
16,145
16.083333333333332,153
16.166666666666668,146
16.25,152
16.333333333333332,150
16.416666666666668,150
16.5,150
16.583333333333332,152
16.666666666666668,149
16.75,153
16.833333333333332,153
16.916666666666668,156
17,153
17.083333333333332,153
17.166666666666668,150
17.25,151
17.333333333333332,152
17.416666666666668,152
17.5,156
17.583333333333332,155
17.666666666666668,154
17.75,150
17.833333333333332,151
17.916666666666668,156
18,151
18.083333333333332,156
18.166666666666668,156
18.25,150
18.333333333333332,152
18.416666666666668,155
18.5,151
18.583333333333332,151
18.666666666666668,157
18.75,151
18.833333333333332,155
18.916666666666668,150
19,151
19.083333333333332,154
19.166666666666668,152
19.25,158
19.333333333333332,156
19.416666666666668,155
19.5,160
19.583333333333332,155
19.666666666666668,157
19.75,154
19.833333333333332,153
19.916666666666668,157
20,157
20.083333333333332,155
20.166666666666668,158
20.25,154
20.333333333333332,153
20.416666666666668,155
20.5,157
20.583333333333332,156
20.666666666666668,160
20.75,157
20.833333333333332,160
20.916666666666668,159
21,158
21.083333333333332,161
21.166666666666668,155
21.25,156
21.333333333333332,162
21.416666666666668,161
21.5,163
21.583333333333332,161
21.666666666666668,163
21.75,160
21.833333333333332,161
