"Hours since thread went live","Sentai Daishikkaku • Go! Go! Loser Ranger! - Episode 2 discussion"
0,3
0.08333333333333333,4
0.16666666666666666,4
0.25,6
0.3333333333333333,8
0.4166666666666667,13
0.5,21
0.5833333333333334,26
0.6666666666666666,30
0.75,43
0.8333333333333334,46
0.9166666666666666,51
1,57
1.0833333333333333,63
1.1666666666666667,69
1.25,77
1.3333333333333333,82
1.4166666666666667,84
1.5,94
1.5833333333333333,105
1.6666666666666667,110
1.75,116
1.8333333333333333,131
1.9166666666666667,137
2,148
2.0833333333333335,157
2.1666666666666665,163
2.25,169
2.3333333333333335,172
2.4166666666666665,181
2.5,199
2.5833333333333335,208
2.6666666666666665,208
2.75,216
2.8333333333333335,218
2.9166666666666665,234
3,240
3.0833333333333335,245
3.1666666666666665,251
3.25,253
3.3333333333333335,260
3.4166666666666665,269
3.5,267
3.5833333333333335,274
3.6666666666666665,276
3.75,284
3.8333333333333335,289
3.9166666666666665,293
4,301
4.083333333333333,307
4.166666666666667,316
4.25,323
4.333333333333333,322
4.416666666666667,334
4.5,341
4.583333333333333,347
4.666666666666667,353
4.75,359
4.833333333333333,369
4.916666666666667,375
5,382
5.083333333333333,384
5.166666666666667,396
5.25,392
5.333333333333333,402
5.416666666666667,409
5.5,419
5.583333333333333,417
5.666666666666667,422
5.75,440
5.833333333333333,448
5.916666666666667,456
6,461
6.083333333333333,466
6.166666666666667,470
6.25,477
6.333333333333333,482
6.416666666666667,485
6.5,489
6.583333333333333,506
6.666666666666667,509
6.75,516
6.833333333333333,522
6.916666666666667,523
7,535
7.083333333333333,535
7.166666666666667,550
7.25,552
7.333333333333333,557
7.416666666666667,566
7.5,571
7.583333333333333,573
7.666666666666667,581
7.75,591
7.833333333333333,595
7.916666666666667,596
8,598
8.083333333333334,606
8.166666666666666,609
8.25,614
8.333333333333334,619
8.416666666666666,618
8.5,621
8.583333333333334,621
8.666666666666666,624
8.75,631
8.833333333333334,643
8.916666666666666,644
9,647
9.083333333333334,662
9.166666666666666,663
9.25,669
9.333333333333334,672
9.416666666666666,678
9.5,676
9.583333333333334,679
9.666666666666666,683
9.75,691
9.833333333333334,701
9.916666666666666,705
10,701
10.083333333333334,710
10.166666666666666,718
10.25,719
10.333333333333334,727
10.416666666666666,723
10.5,734
10.583333333333334,740
10.666666666666666,749
10.75,753
10.833333333333334,753
10.916666666666666,766
11,759
11.083333333333334,768
11.166666666666666,767
11.25,772
11.333333333333334,773
11.416666666666666,780
11.5,785
11.583333333333334,789
11.666666666666666,792
11.75,805
11.833333333333334,810
11.916666666666666,815
12,821
12.083333333333334,822
12.166666666666666,829
12.25,836
12.333333333333334,843
12.416666666666666,846
12.5,849
12.583333333333334,847
12.666666666666666,858
12.75,865
12.833333333333334,864
12.916666666666666,868
13,877
13.083333333333334,874
13.166666666666666,876
13.25,882
13.333333333333334,884
13.416666666666666,884
13.5,888
13.583333333333334,894
13.666666666666666,892
13.75,900
13.833333333333334,901
13.916666666666666,905
14,906
14.083333333333334,906
14.166666666666666,909
14.25,917
14.333333333333334,918
14.416666666666666,922
14.5,916
14.583333333333334,917
14.666666666666666,924
14.75,928
14.833333333333334,935
14.916666666666666,937
15,937
15.083333333333334,940
15.166666666666666,939
15.25,948
15.333333333333334,952
15.416666666666666,955
15.5,957
15.583333333333334,955
15.666666666666666,969
15.75,965
15.833333333333334,977
15.916666666666666,975
16,975
16.083333333333332,983
16.166666666666668,986
16.25,992
16.333333333333332,992
16.416666666666668,992
16.5,997
16.583333333333332,995
16.666666666666668,1001
16.75,1000
16.833333333333332,1005
16.916666666666668,1000
17,1011
17.083333333333332,1011
17.166666666666668,1019
17.25,1016
17.333333333333332,1020
17.416666666666668,1019
17.5,1020
17.583333333333332,1021
17.666666666666668,1026
17.75,1036
17.833333333333332,1031
17.916666666666668,1035
18,1038
18.083333333333332,1033
18.166666666666668,1033
18.25,1042
18.333333333333332,1041
18.416666666666668,1051
18.5,1051
18.583333333333332,1054
18.666666666666668,1056
18.75,1061
18.833333333333332,1068
18.916666666666668,1067
19,1069
19.083333333333332,1075
19.166666666666668,1077
19.25,1074
19.333333333333332,1083
19.416666666666668,1086
19.5,1082
19.583333333333332,1088
19.666666666666668,1088
19.75,1092
19.833333333333332,1093
19.916666666666668,1093
20,1096
20.083333333333332,1102
20.166666666666668,1105
20.25,1105
20.333333333333332,1107
20.416666666666668,1117
20.5,1115
20.583333333333332,1112
20.666666666666668,1114
20.75,1109
20.833333333333332,1108
20.916666666666668,1115
21,1119
21.083333333333332,1121
21.166666666666668,1126
21.25,1118
21.333333333333332,1124
21.416666666666668,1123
21.5,1119
21.583333333333332,1129
21.666666666666668,1127
21.75,1128
21.833333333333332,1134
21.916666666666668,1138
22,1131
22.083333333333332,1137
22.166666666666668,1140
22.25,1141
22.333333333333332,1143
22.416666666666668,1140
22.5,1143
22.583333333333332,1149
22.666666666666668,1151
22.75,1155
22.833333333333332,1150
22.916666666666668,1153
23,1158
23.083333333333332,1160
23.166666666666668,1158
23.25,1163
23.333333333333332,1160
23.416666666666668,1163
23.5,1164
23.583333333333332,1168
23.666666666666668,1171
23.75,1164
23.833333333333332,1169
23.916666666666668,1172
24,1175
24.083333333333332,1175
24.166666666666668,1175
24.25,1179
24.333333333333332,1178
24.416666666666668,1169
24.5,1176
24.583333333333332,1177
24.666666666666668,1177
24.75,1180
24.833333333333332,1181
24.916666666666668,1179
25,1179
25.083333333333332,1181
25.166666666666668,1190
25.25,1184
25.333333333333332,1188
25.416666666666668,1191
25.5,1189
25.583333333333332,1186
25.666666666666668,1191
25.75,1188
25.833333333333332,1192
25.916666666666668,1192
26,1194
26.083333333333332,1190
26.166666666666668,1194
26.25,1193
26.333333333333332,1194
26.416666666666668,1200
26.5,1197
26.583333333333332,1199
26.666666666666668,1201
26.75,1203
26.833333333333332,1203
26.916666666666668,1206
27,1200
27.083333333333332,1208
27.166666666666668,1207
27.25,1210
27.333333333333332,1210
27.416666666666668,1208
27.5,1208
27.583333333333332,1201
27.666666666666668,1209
27.75,1204
27.833333333333332,1212
27.916666666666668,1210
28,1207
28.083333333333332,1211
28.166666666666668,1212
28.25,1210
28.333333333333332,1210
28.416666666666668,1215
28.5,1209
28.583333333333332,1205
28.666666666666668,1211
28.75,1212
28.833333333333332,1214
28.916666666666668,1210
29,1209
29.083333333333332,1207
29.166666666666668,1211
29.25,1212
29.333333333333332,1217
29.416666666666668,1215
29.5,1218
29.583333333333332,1211
29.666666666666668,1217
29.75,1217
29.833333333333332,1215
29.916666666666668,1217
30,1224
30.083333333333332,1218
30.166666666666668,1225
30.25,1219
30.333333333333332,1220
30.416666666666668,1224
30.5,1218
30.583333333333332,1222
30.666666666666668,1223
30.75,1226
30.833333333333332,1220
30.916666666666668,1220
31,1226
31.083333333333332,1224
31.166666666666668,1221
31.25,1226
31.333333333333332,1231
31.416666666666668,1224
31.5,1225
31.583333333333332,1223
31.666666666666668,1226
31.75,1232
31.833333333333332,1234
31.916666666666668,1231
32,1235
32.083333333333336,1234
32.166666666666664,1237
32.25,1231
32.333333333333336,1236
32.416666666666664,1229
32.5,1236
32.583333333333336,1234
32.666666666666664,1232
32.75,1235
32.833333333333336,1235
32.916666666666664,1240
33,1236
33.083333333333336,1236
33.166666666666664,1235
33.25,1234
33.333333333333336,1238
33.416666666666664,1236
33.5,1238
33.583333333333336,1241
33.666666666666664,1246
33.75,1242
33.833333333333336,1244
33.916666666666664,1247
34,1249
34.083333333333336,1242
34.166666666666664,1243
34.25,1249
34.333333333333336,1241
34.416666666666664,1241
34.5,1240
34.583333333333336,1245
34.666666666666664,1243
34.75,1247
34.833333333333336,1245
34.916666666666664,1251
35,1250
35.083333333333336,1243
35.166666666666664,1245
35.25,1248
35.333333333333336,1247
35.416666666666664,1251
35.5,1253
35.583333333333336,1250
35.666666666666664,1248
35.75,1256
35.833333333333336,1251
35.916666666666664,1259
36,1260
36.083333333333336,1253
36.166666666666664,1260
36.25,1256
36.333333333333336,1264
36.416666666666664,1263
36.5,1258
36.583333333333336,1259
36.666666666666664,1265
36.75,1260
36.833333333333336,1260
36.916666666666664,1264
37,1264
37.083333333333336,1260
37.166666666666664,1259
37.25,1265
37.333333333333336,1260
37.416666666666664,1258
37.5,1261
37.583333333333336,1265
37.666666666666664,1265
37.75,1264
37.833333333333336,1264
37.916666666666664,1267
38,1264
38.083333333333336,1268
38.166666666666664,1269
38.25,1265
38.333333333333336,1262
38.416666666666664,1264
38.5,1263
38.583333333333336,1264
38.666666666666664,1271
38.75,1273
38.833333333333336,1265
38.916666666666664,1271
39,1270
39.083333333333336,1272
39.166666666666664,1271
39.25,1273
39.666666666666664,1266
39.75,1271
39.833333333333336,1270
39.916666666666664,1276
40,1271
40.083333333333336,1269
40.166666666666664,1268
40.25,1275
40.333333333333336,1279
40.416666666666664,1270
40.5,1273
40.583333333333336,1278
40.666666666666664,1274
40.75,1270
40.833333333333336,1280
40.916666666666664,1271
41,1279
41.083333333333336,1278
41.166666666666664,1279
41.25,1273
41.333333333333336,1271
41.416666666666664,1276
41.5,1274
41.583333333333336,1275
41.666666666666664,1281
41.75,1272
41.833333333333336,1273
41.916666666666664,1269
42,1280
42.083333333333336,1269
42.166666666666664,1273
42.25,1272
42.333333333333336,1270
42.416666666666664,1279
42.5,1279
42.583333333333336,1275
42.666666666666664,1277
42.75,1273
42.833333333333336,1282
