"Hours since thread went live","Shinigami Bocchan to Kuro Maid Season 3 • The Duke of Death and His Maid Season 3 - Episode 2 discussion"
0,1
0.08333333333333333,2
0.16666666666666666,1
0.25,1
0.3333333333333333,1
0.4166666666666667,2
0.5,5
0.5833333333333334,8
0.6666666666666666,13
0.75,16
0.8333333333333334,19
0.9166666666666666,20
1,24
1.0833333333333333,24
1.1666666666666667,25
1.25,26
1.3333333333333333,27
1.4166666666666667,30
1.5,32
1.5833333333333333,32
1.6666666666666667,35
1.75,39
1.8333333333333333,40
1.9166666666666667,41
2,39
2.0833333333333335,44
2.1666666666666665,47
2.25,48
2.3333333333333335,46
2.4166666666666665,52
2.5,50
2.5833333333333335,52
2.6666666666666665,57
2.75,58
2.8333333333333335,60
2.9166666666666665,63
3,59
3.0833333333333335,63
3.1666666666666665,64
3.25,70
3.3333333333333335,72
3.4166666666666665,71
3.5,73
3.5833333333333335,72
3.6666666666666665,78
3.75,76
3.8333333333333335,78
3.9166666666666665,79
4,82
4.083333333333333,86
4.166666666666667,83
4.25,86
4.333333333333333,87
4.416666666666667,89
4.5,86
4.583333333333333,89
4.666666666666667,90
4.75,90
4.833333333333333,94
4.916666666666667,99
5,94
5.083333333333333,100
5.166666666666667,97
5.25,101
5.333333333333333,105
5.416666666666667,103
5.5,108
5.583333333333333,111
5.666666666666667,109
5.75,106
5.833333333333333,106
5.916666666666667,108
6,109
6.083333333333333,110
6.166666666666667,115
6.25,114
6.333333333333333,114
6.416666666666667,115
6.5,112
6.583333333333333,115
6.666666666666667,116
6.75,113
6.833333333333333,115
6.916666666666667,120
7,123
7.083333333333333,122
7.166666666666667,118
7.25,125
7.333333333333333,124
7.416666666666667,126
7.5,125
7.583333333333333,123
7.666666666666667,128
7.75,124
7.833333333333333,125
7.916666666666667,130
8,125
8.083333333333334,126
8.166666666666666,132
8.25,127
8.333333333333334,132
8.416666666666666,126
8.5,133
8.583333333333334,131
8.666666666666666,130
8.75,135
8.833333333333334,135
8.916666666666666,135
9,135
9.083333333333334,137
9.166666666666666,137
9.25,141
9.333333333333334,143
9.416666666666666,138
9.5,139
9.583333333333334,137
9.666666666666666,138
9.75,137
9.833333333333334,138
9.916666666666666,144
10,142
10.083333333333334,139
10.166666666666666,144
10.25,144
10.333333333333334,147
10.416666666666666,151
10.5,154
10.583333333333334,156
10.666666666666666,153
10.75,155
10.833333333333334,154
10.916666666666666,157
11,158
11.083333333333334,158
11.166666666666666,157
11.25,158
11.333333333333334,159
11.416666666666666,160
11.5,160
11.583333333333334,162
11.666666666666666,166
11.75,164
11.833333333333334,167
11.916666666666666,168
12,169
12.083333333333334,165
12.166666666666666,167
12.25,169
12.333333333333334,171
12.416666666666666,170
12.5,166
12.583333333333334,168
12.666666666666666,164
12.75,164
12.833333333333334,170
12.916666666666666,170
13,172
13.083333333333334,170
13.166666666666666,172
13.25,169
13.333333333333334,172
13.416666666666666,169
13.5,167
13.583333333333334,172
13.666666666666666,172
13.75,172
13.833333333333334,168
13.916666666666666,176
14,175
14.083333333333334,175
14.166666666666666,173
14.25,178
14.333333333333334,181
14.416666666666666,178
14.5,176
14.583333333333334,181
14.666666666666666,180
14.75,181
14.833333333333334,183
14.916666666666666,180
15,180
15.083333333333334,181
15.166666666666666,185
15.25,182
15.333333333333334,181
15.416666666666666,186
15.5,186
15.583333333333334,187
15.666666666666666,185
15.75,187
15.833333333333334,186
15.916666666666666,185
16,184
16.083333333333332,187
16.166666666666668,187
16.25,189
16.333333333333332,188
16.416666666666668,188
16.5,187
16.583333333333332,189
16.666666666666668,188
16.75,189
16.833333333333332,190
16.916666666666668,186
17,190
17.083333333333332,192
17.166666666666668,192
17.25,187
17.333333333333332,194
17.416666666666668,194
17.5,194
17.583333333333332,193
17.666666666666668,190
17.75,194
17.833333333333332,194
17.916666666666668,196
18,196
18.083333333333332,192
18.166666666666668,195
18.25,194
18.333333333333332,198
18.416666666666668,199
18.5,193
18.583333333333332,194
18.666666666666668,198
18.75,195
18.833333333333332,196
18.916666666666668,195
19,195
19.083333333333332,200
19.166666666666668,198
19.25,196
19.333333333333332,198
19.416666666666668,195
19.5,202
19.583333333333332,199
19.666666666666668,202
19.75,200
19.833333333333332,202
19.916666666666668,203
20,203
20.083333333333332,201
20.166666666666668,201
20.25,205
20.333333333333332,205
20.416666666666668,203
20.5,206
20.583333333333332,207
20.666666666666668,204
20.75,204
20.833333333333332,201
20.916666666666668,206
21,206
21.083333333333332,206
21.166666666666668,206
21.25,205
21.333333333333332,204
21.416666666666668,204
21.5,202
