"Hours since thread went live","Jiisan Baasan Wakagaeru • Grandpa and Grandma Turn Young Again - Episode 2 discussion"
0,1
0.08333333333333333,1
0.16666666666666666,3
0.25,4
0.3333333333333333,5
0.4166666666666667,7
0.5,11
0.5833333333333334,15
0.6666666666666666,18
0.75,18
0.8333333333333334,23
0.9166666666666666,25
1,29
1.0833333333333333,29
1.1666666666666667,29
1.25,32
1.3333333333333333,33
1.4166666666666667,39
1.5,41
1.5833333333333333,44
1.6666666666666667,48
1.75,53
1.8333333333333333,56
1.9166666666666667,56
2,59
2.0833333333333335,66
2.1666666666666665,67
2.25,74
2.3333333333333335,76
2.4166666666666665,76
2.5,77
2.5833333333333335,80
2.6666666666666665,86
2.75,91
2.8333333333333335,91
2.9166666666666665,96
3,98
3.0833333333333335,100
3.1666666666666665,103
3.25,105
3.3333333333333335,114
3.4166666666666665,111
3.5,112
3.5833333333333335,121
3.6666666666666665,123
3.75,125
3.8333333333333335,131
3.9166666666666665,134
4,134
4.083333333333333,138
4.166666666666667,141
4.25,140
4.333333333333333,143
4.416666666666667,144
4.5,148
4.583333333333333,150
4.666666666666667,156
4.75,157
4.833333333333333,159
4.916666666666667,161
5,163
5.083333333333333,162
5.166666666666667,169
5.25,168
5.333333333333333,168
5.416666666666667,172
5.5,173
5.583333333333333,179
5.666666666666667,180
5.75,184
5.833333333333333,184
5.916666666666667,182
6,188
6.083333333333333,191
6.166666666666667,192
6.25,197
6.333333333333333,198
6.416666666666667,194
6.5,197
6.583333333333333,203
6.666666666666667,204
6.75,203
6.833333333333333,208
6.916666666666667,210
7,216
7.083333333333333,216
7.166666666666667,212
7.25,215
7.333333333333333,221
7.416666666666667,224
7.5,223
7.583333333333333,227
7.666666666666667,226
7.75,229
7.833333333333333,233
7.916666666666667,230
8,234
8.083333333333334,228
8.166666666666666,233
8.25,232
8.333333333333334,234
8.416666666666666,238
8.5,238
8.583333333333334,236
8.666666666666666,236
8.75,244
8.833333333333334,241
8.916666666666666,244
9,249
9.083333333333334,245
9.166666666666666,248
9.25,247
9.333333333333334,251
9.416666666666666,251
9.5,253
9.583333333333334,253
9.666666666666666,250
9.75,253
9.833333333333334,261
9.916666666666666,260
10,262
10.083333333333334,259
10.166666666666666,262
10.25,262
10.333333333333334,264
10.416666666666666,269
10.5,269
10.583333333333334,266
10.666666666666666,269
10.75,267
10.833333333333334,273
10.916666666666666,269
11,271
11.083333333333334,279
11.166666666666666,277
11.25,277
11.333333333333334,285
11.416666666666666,284
11.5,283
11.583333333333334,286
11.666666666666666,287
11.75,286
11.833333333333334,288
11.916666666666666,288
12,293
12.083333333333334,291
12.166666666666666,291
12.25,290
12.333333333333334,290
12.416666666666666,290
12.5,292
12.583333333333334,294
12.666666666666666,295
12.75,300
12.833333333333334,297
12.916666666666666,300
13,301
13.083333333333334,304
13.166666666666666,306
13.25,305
13.333333333333334,305
13.416666666666666,307
13.5,304
13.583333333333334,305
13.666666666666666,308
13.75,306
13.833333333333334,306
13.916666666666666,308
14,307
14.083333333333334,308
14.166666666666666,313
14.25,311
14.333333333333334,312
14.416666666666666,310
14.5,311
14.583333333333334,313
14.666666666666666,314
14.75,312
14.833333333333334,312
14.916666666666666,309
15,316
15.083333333333334,314
15.166666666666666,312
15.25,313
15.333333333333334,321
15.416666666666666,317
15.5,323
15.583333333333334,320
15.666666666666666,320
15.75,320
15.833333333333334,320
15.916666666666666,324
16,325
16.083333333333332,327
16.166666666666668,321
16.25,327
16.333333333333332,326
16.416666666666668,322
16.5,326
16.583333333333332,333
16.666666666666668,330
16.75,330
16.833333333333332,329
16.916666666666668,335
17,337
17.083333333333332,336
17.166666666666668,336
17.25,337
17.333333333333332,334
17.416666666666668,337
17.5,336
17.583333333333332,334
17.666666666666668,337
17.75,341
17.833333333333332,340
17.916666666666668,344
18,347
18.083333333333332,344
18.166666666666668,342
18.25,337
18.333333333333332,339
18.416666666666668,343
18.5,344
18.583333333333332,345
18.666666666666668,344
18.75,342
18.833333333333332,343
18.916666666666668,344
19,345
19.083333333333332,347
19.166666666666668,342
19.25,348
19.333333333333332,349
19.416666666666668,346
19.5,351
19.583333333333332,352
19.666666666666668,345
19.75,351
19.833333333333332,349
19.916666666666668,352
20,353
20.083333333333332,352
20.166666666666668,356
20.25,355
20.333333333333332,353
20.416666666666668,351
20.5,350
20.583333333333332,352
20.666666666666668,359
20.75,354
20.833333333333332,356
20.916666666666668,356
21,359
21.083333333333332,351
21.166666666666668,354
21.25,361
21.333333333333332,357
21.416666666666668,360
21.5,355
21.583333333333332,359
21.666666666666668,358
21.75,357
21.833333333333332,358
21.916666666666668,360
22,360
22.083333333333332,360
22.166666666666668,353
22.25,363
22.333333333333332,358
22.416666666666668,366
22.5,361
22.583333333333332,358
22.666666666666668,360
22.75,366
22.833333333333332,359
22.916666666666668,358
23,361
23.083333333333332,360
23.166666666666668,360
23.25,360
23.333333333333332,360
23.416666666666668,365
23.5,360
23.583333333333332,364
23.666666666666668,356
23.75,364
23.833333333333332,368
23.916666666666668,372
24,369
24.083333333333332,365
24.166666666666668,370
24.25,365
24.333333333333332,365
24.416666666666668,365
24.5,369
24.583333333333332,374
24.666666666666668,370
24.75,375
24.833333333333332,375
24.916666666666668,376
25,369
25.083333333333332,370
25.166666666666668,371
25.25,375
25.333333333333332,376
25.416666666666668,373
25.5,375
25.583333333333332,375
25.666666666666668,374
25.75,375
25.833333333333332,371
25.916666666666668,379
26,371
26.083333333333332,373
26.166666666666668,369
26.25,377
26.333333333333332,375
26.416666666666668,378
26.5,373
26.583333333333332,378
26.666666666666668,377
26.75,375
26.833333333333332,380
26.916666666666668,377
27,379
27.083333333333332,379
27.166666666666668,382
27.25,377
27.333333333333332,378
27.416666666666668,377
27.5,375
27.583333333333332,377
27.666666666666668,380
27.75,382
27.833333333333332,378
27.916666666666668,377
28,378
28.083333333333332,371
28.166666666666668,371
28.25,382
28.333333333333332,376
28.416666666666668,377
28.5,378
28.583333333333332,380
28.666666666666668,376
28.75,383
28.833333333333332,374
28.916666666666668,374
29,379
29.083333333333332,376
29.166666666666668,377
29.25,375
29.333333333333332,373
29.416666666666668,381
29.5,378
29.583333333333332,379
29.666666666666668,380
29.75,379
29.833333333333332,378
29.916666666666668,378
30,381
30.083333333333332,384
30.166666666666668,380
30.25,380
30.333333333333332,378
30.416666666666668,383
30.5,381
30.583333333333332,380
30.666666666666668,378
30.75,381
30.833333333333332,386
30.916666666666668,385
31,379
31.083333333333332,379
31.166666666666668,382
31.25,384
31.333333333333332,388
31.416666666666668,381
31.5,387
31.583333333333332,385
31.666666666666668,385
31.75,379
31.833333333333332,385
31.916666666666668,380
32,385
32.083333333333336,380
32.166666666666664,381
32.25,386
32.333333333333336,387
32.416666666666664,389
32.5,380
32.583333333333336,387
32.666666666666664,385
32.75,382
33.166666666666664,388
33.25,380
33.333333333333336,378
33.416666666666664,385
33.5,390
33.583333333333336,387
33.666666666666664,385
33.75,386
33.833333333333336,382
33.916666666666664,383
34,383
34.083333333333336,389
34.166666666666664,382
34.25,386
34.333333333333336,383
34.416666666666664,390
34.5,384
34.583333333333336,390
34.666666666666664,387
34.75,386
34.833333333333336,390
34.916666666666664,387
35,384
35.083333333333336,388
35.166666666666664,395
35.25,394
35.333333333333336,392
35.416666666666664,392
35.5,393
35.583333333333336,389
