"Hours since thread went live","Boukyaku Battery • Oblivion Battery - Episode 2 discussion"
0,1
0.08333333333333333,3
0.16666666666666666,4
0.25,4
0.3333333333333333,5
0.4166666666666667,5
0.5,7
0.5833333333333334,10
0.6666666666666666,10
0.75,12
0.8333333333333334,12
0.9166666666666666,15
1,16
1.0833333333333333,16
1.1666666666666667,19
1.25,21
1.3333333333333333,24
1.4166666666666667,25
1.5,24
1.5833333333333333,23
1.6666666666666667,25
1.75,27
1.8333333333333333,26
1.9166666666666667,32
2,29
2.0833333333333335,30
2.1666666666666665,32
2.25,32
2.3333333333333335,32
2.4166666666666665,34
2.5,34
2.5833333333333335,37
2.6666666666666665,31
2.75,33
2.8333333333333335,40
2.9166666666666665,37
3,41
3.0833333333333335,40
3.1666666666666665,38
3.25,38
3.3333333333333335,44
3.4166666666666665,46
3.5,42
3.5833333333333335,45
3.6666666666666665,47
3.75,42
3.8333333333333335,43
3.9166666666666665,44
4,49
4.083333333333333,44
4.166666666666667,45
4.25,43
4.333333333333333,45
4.416666666666667,45
4.5,46
4.583333333333333,46
4.666666666666667,47
4.75,46
4.833333333333333,48
4.916666666666667,47
5,46
5.083333333333333,45
5.166666666666667,45
5.25,49
5.333333333333333,48
5.416666666666667,48
5.5,47
5.583333333333333,48
5.666666666666667,50
5.833333333333333,55
5.916666666666667,50
6,48
6.083333333333333,49
6.166666666666667,48
6.25,52
6.333333333333333,54
6.416666666666667,51
6.5,49
6.583333333333333,53
6.666666666666667,52
6.75,56
6.833333333333333,52
6.916666666666667,56
7,56
7.083333333333333,56
7.166666666666667,56
7.25,60
7.333333333333333,59
7.416666666666667,56
7.5,60
7.583333333333333,58
7.666666666666667,62
7.75,60
7.833333333333333,57
7.916666666666667,57
8,61
8.083333333333334,58
8.166666666666666,64
8.25,62
8.333333333333334,60
8.416666666666666,61
8.5,62
8.583333333333334,63
8.666666666666666,62
8.75,63
8.833333333333334,62
8.916666666666666,63
9,66
9.083333333333334,70
9.166666666666666,65
9.25,70
9.333333333333334,68
9.416666666666666,69
9.5,71
9.583333333333334,74
9.666666666666666,69
9.75,68
9.833333333333334,72
9.916666666666666,71
10,70
10.083333333333334,71
10.166666666666666,71
10.25,70
10.333333333333334,69
10.416666666666666,73
10.5,73
10.583333333333334,74
10.666666666666666,74
10.75,69
10.833333333333334,75
10.916666666666666,78
11,75
11.083333333333334,76
11.166666666666666,78
11.25,76
11.333333333333334,77
11.416666666666666,78
11.5,75
11.583333333333334,73
11.666666666666666,78
11.75,72
11.833333333333334,77
11.916666666666666,78
12,75
12.083333333333334,74
12.166666666666666,78
12.25,75
12.333333333333334,78
12.416666666666666,73
12.5,74
12.583333333333334,77
12.666666666666666,80
12.75,75
12.833333333333334,74
12.916666666666666,77
13,75
13.083333333333334,82
13.166666666666666,81
13.25,78
13.333333333333334,83
13.416666666666666,82
13.5,79
13.583333333333334,80
13.666666666666666,77
13.75,80
13.833333333333334,78
13.916666666666666,80
14,79
14.083333333333334,77
14.166666666666666,83
14.25,80
14.333333333333334,81
14.416666666666666,78
14.5,83
14.583333333333334,82
14.666666666666666,78
14.75,84
14.833333333333334,81
14.916666666666666,80
15,81
15.083333333333334,83
15.166666666666666,81
15.25,82
15.333333333333334,84
15.416666666666666,85
15.5,80
15.583333333333334,84
15.666666666666666,84
15.75,87
15.833333333333334,86
15.916666666666666,86
16,84
16.083333333333332,85
16.166666666666668,88
16.25,86
16.333333333333332,90
16.416666666666668,88
16.5,91
16.583333333333332,88
16.666666666666668,87
16.75,87
16.833333333333332,85
16.916666666666668,89
17,88
17.083333333333332,84
17.166666666666668,89
17.25,89
17.333333333333332,90
17.416666666666668,88
17.5,86
17.583333333333332,90
17.666666666666668,87
17.75,86
17.833333333333332,86
17.916666666666668,89
18,85
18.083333333333332,87
18.166666666666668,87
18.25,88
18.333333333333332,86
18.416666666666668,91
18.5,86
18.583333333333332,87
18.666666666666668,91
18.75,87
18.833333333333332,92
18.916666666666668,86
19,85
19.083333333333332,89
19.166666666666668,88
19.25,87
19.333333333333332,91
19.416666666666668,92
19.5,92
19.583333333333332,90
19.666666666666668,88
19.75,89
19.833333333333332,90
19.916666666666668,92
20,91
20.083333333333332,92
20.166666666666668,87
20.25,89
20.333333333333332,92
20.416666666666668,90
20.5,89
20.583333333333332,91
20.666666666666668,90
20.75,95
20.833333333333332,92
20.916666666666668,90
21,94
21.083333333333332,93
21.166666666666668,93
21.25,94
21.333333333333332,94
21.416666666666668,93
21.5,90
21.583333333333332,89
21.666666666666668,91
21.75,89
21.833333333333332,91
21.916666666666668,89
22,93
22.083333333333332,92
22.166666666666668,92
22.25,90
22.333333333333332,90
22.416666666666668,89
22.5,97
22.583333333333332,93
22.666666666666668,91
22.75,95
22.833333333333332,92
22.916666666666668,94
23,96
23.083333333333332,95
23.166666666666668,96
23.25,95
