"Hours since thread went live","Kaii to Otome to Kamikakushi • Mysterious Disappearances - Episode 2 discussion"
0,1
0.08333333333333333,2
0.16666666666666666,6
0.25,7
0.3333333333333333,10
0.4166666666666667,13
0.5,17
0.5833333333333334,18
0.6666666666666666,22
0.75,23
0.8333333333333334,27
0.9166666666666666,28
1,32
1.0833333333333333,35
1.1666666666666667,36
1.25,40
1.3333333333333333,44
1.4166666666666667,51
1.5,53
1.5833333333333333,52
1.6666666666666667,56
1.75,59
1.8333333333333333,66
1.9166666666666667,67
2,70
2.0833333333333335,73
2.1666666666666665,75
2.25,81
2.3333333333333335,85
2.4166666666666665,87
2.5,91
2.5833333333333335,95
2.6666666666666665,93
2.75,95
2.8333333333333335,96
2.9166666666666665,100
3,102
3.0833333333333335,104
3.1666666666666665,110
3.25,110
3.3333333333333335,112
3.4166666666666665,111
3.5,114
3.5833333333333335,120
3.6666666666666665,122
3.75,126
3.8333333333333335,122
3.9166666666666665,132
4,129
4.083333333333333,130
4.166666666666667,135
4.25,140
4.333333333333333,141
4.416666666666667,142
4.5,145
4.583333333333333,144
4.666666666666667,146
4.75,147
4.833333333333333,147
4.916666666666667,147
5,149
5.083333333333333,148
5.166666666666667,147
5.25,154
5.333333333333333,150
5.416666666666667,151
5.5,155
5.583333333333333,164
5.666666666666667,161
5.75,164
5.833333333333333,166
5.916666666666667,169
6,171
6.083333333333333,171
6.166666666666667,174
6.25,176
6.333333333333333,175
6.416666666666667,178
6.5,181
6.583333333333333,179
6.666666666666667,182
6.75,181
6.833333333333333,184
6.916666666666667,187
7,188
7.083333333333333,188
7.166666666666667,193
7.25,193
7.333333333333333,198
7.416666666666667,196
7.5,203
7.583333333333333,202
7.666666666666667,210
7.75,209
7.833333333333333,206
7.916666666666667,206
8,210
8.083333333333334,213
8.166666666666666,217
8.25,216
8.333333333333334,215
8.416666666666666,212
8.5,214
8.583333333333334,220
8.666666666666666,221
8.75,225
8.833333333333334,223
8.916666666666666,222
9,227
9.083333333333334,232
9.166666666666666,233
9.25,230
9.333333333333334,233
9.416666666666666,238
9.5,235
9.583333333333334,241
9.666666666666666,241
9.75,246
9.833333333333334,247
9.916666666666666,248
10,242
10.083333333333334,249
10.166666666666666,251
10.25,246
10.333333333333334,254
10.416666666666666,250
10.5,252
10.583333333333334,254
10.666666666666666,261
10.75,257
10.833333333333334,256
10.916666666666666,258
11,260
11.083333333333334,260
11.166666666666666,260
11.25,268
11.333333333333334,266
11.416666666666666,269
11.5,270
11.583333333333334,269
11.666666666666666,271
11.75,272
11.833333333333334,275
11.916666666666666,270
12,277
12.083333333333334,277
12.166666666666666,278
12.25,282
12.333333333333334,281
12.416666666666666,287
12.5,284
12.583333333333334,287
12.666666666666666,287
12.75,287
12.833333333333334,286
12.916666666666666,293
13,290
13.083333333333334,291
13.166666666666666,291
13.25,294
13.333333333333334,296
13.416666666666666,298
13.5,294
13.583333333333334,297
13.666666666666666,299
13.75,297
13.833333333333334,297
13.916666666666666,297
14,302
14.083333333333334,299
14.166666666666666,301
14.25,302
14.333333333333334,299
14.416666666666666,304
14.5,305
14.583333333333334,302
14.666666666666666,301
14.75,304
14.833333333333334,303
14.916666666666666,300
15,309
15.083333333333334,305
15.166666666666666,305
15.25,310
15.333333333333334,308
15.416666666666666,309
15.5,310
15.583333333333334,317
15.666666666666666,310
15.75,312
15.833333333333334,314
15.916666666666666,311
16,316
16.083333333333332,318
16.166666666666668,316
16.25,318
16.333333333333332,317
16.416666666666668,314
16.5,314
16.583333333333332,322
16.666666666666668,318
16.75,317
16.833333333333332,319
16.916666666666668,318
17,315
17.083333333333332,323
17.166666666666668,319
17.25,326
17.333333333333332,324
17.416666666666668,322
17.5,316
17.583333333333332,320
17.666666666666668,325
17.75,322
17.833333333333332,326
17.916666666666668,320
18,322
18.083333333333332,330
18.166666666666668,324
18.25,325
18.333333333333332,328
18.416666666666668,327
18.5,329
18.583333333333332,331
18.666666666666668,331
18.75,325
18.833333333333332,332
18.916666666666668,336
19,333
19.083333333333332,331
19.166666666666668,335
19.25,334
19.333333333333332,333
19.416666666666668,334
19.5,335
19.583333333333332,335
19.666666666666668,338
19.75,341
19.833333333333332,336
19.916666666666668,340
20,340
20.083333333333332,342
20.166666666666668,334
20.25,342
20.333333333333332,339
20.416666666666668,342
20.5,342
20.583333333333332,340
20.666666666666668,338
20.75,341
20.833333333333332,346
20.916666666666668,348
21,347
21.083333333333332,344
21.166666666666668,349
21.25,343
21.333333333333332,344
21.416666666666668,343
21.5,344
21.583333333333332,346
21.666666666666668,344
