"Hours since thread went live","Grimm Kumikyoku • The Grimm Variations - Episode 1 discussion"
0,2
0.08333333333333333,2
0.16666666666666666,2
0.25,2
0.3333333333333333,2
0.4166666666666667,3
0.5,3
0.5833333333333334,5
0.6666666666666666,5
0.75,6
0.8333333333333334,5
0.9166666666666666,6
1,8
1.0833333333333333,7
1.1666666666666667,7
1.25,8
1.3333333333333333,10
1.4166666666666667,8
1.5,10
1.5833333333333333,12
1.6666666666666667,11
1.75,11
1.8333333333333333,14
1.9166666666666667,12
2,12
2.0833333333333335,13
2.1666666666666665,15
2.25,15
2.3333333333333335,15
2.4166666666666665,13
2.5,15
2.5833333333333335,14
2.6666666666666665,17
2.75,16
2.8333333333333335,16
2.9166666666666665,17
3,15
3.0833333333333335,17
3.1666666666666665,18
3.25,17
3.3333333333333335,19
3.4166666666666665,17
3.5,18
3.5833333333333335,20
3.6666666666666665,18
3.75,20
3.8333333333333335,20
3.9166666666666665,21
4,19
4.083333333333333,21
4.166666666666667,22
4.25,24
4.333333333333333,20
4.416666666666667,22
4.5,25
4.583333333333333,25
4.666666666666667,24
4.75,26
4.833333333333333,26
4.916666666666667,26
5,25
5.083333333333333,29
5.166666666666667,30
5.25,30
5.333333333333333,30
5.416666666666667,31
5.5,32
5.583333333333333,30
5.666666666666667,34
5.75,34
5.833333333333333,32
5.916666666666667,34
6,30
6.083333333333333,34
6.166666666666667,35
6.25,37
6.333333333333333,33
6.416666666666667,36
6.5,35
6.583333333333333,35
6.666666666666667,35
6.75,35
6.833333333333333,33
6.916666666666667,33
7,36
7.083333333333333,35
7.166666666666667,37
7.25,32
7.333333333333333,38
7.416666666666667,34
7.5,37
7.583333333333333,38
7.666666666666667,34
7.75,35
7.833333333333333,41
7.916666666666667,38
8,38
8.083333333333334,39
8.166666666666666,38
8.25,39
8.333333333333334,40
8.416666666666666,36
8.5,37
8.583333333333334,42
8.666666666666666,39
8.75,39
8.833333333333334,37
8.916666666666666,41
9,40
9.083333333333334,42
9.166666666666666,42
9.25,43
9.333333333333334,42
9.416666666666666,41
9.5,44
9.583333333333334,44
9.666666666666666,39
9.75,46
9.833333333333334,41
9.916666666666666,43
10,41
10.083333333333334,45
10.166666666666666,44
10.25,41
10.333333333333334,43
10.416666666666666,46
10.5,44
10.583333333333334,44
10.666666666666666,44
10.75,43
10.833333333333334,42
10.916666666666666,44
11,42
11.083333333333334,43
11.166666666666666,44
11.25,44
11.333333333333334,45
11.416666666666666,48
11.5,48
11.583333333333334,45
11.666666666666666,47
11.75,48
11.833333333333334,44
11.916666666666666,46
12,47
12.083333333333334,46
12.166666666666666,47
12.25,48
12.333333333333334,51
12.416666666666666,46
12.5,47
12.583333333333334,48
12.666666666666666,46
12.75,52
12.833333333333334,51
12.916666666666666,47
13,51
13.083333333333334,50
13.166666666666666,55
13.25,49
13.333333333333334,54
13.416666666666666,48
13.5,48
13.583333333333334,51
13.666666666666666,54
13.75,51
13.833333333333334,56
13.916666666666666,53
14,52
14.083333333333334,55
14.166666666666666,56
14.25,52
14.333333333333334,57
14.416666666666666,58
14.5,52
14.583333333333334,52
14.666666666666666,52
14.75,53
14.833333333333334,55
14.916666666666666,53
15,55
15.083333333333334,52
15.166666666666666,52
15.25,56
15.333333333333334,57
15.416666666666666,52
15.5,54
15.583333333333334,55
15.666666666666666,56
15.75,58
15.833333333333334,54
15.916666666666666,54
16,55
16.083333333333332,54
16.166666666666668,57
16.25,56
16.333333333333332,52
16.416666666666668,55
16.5,56
16.583333333333332,51
16.666666666666668,56
16.75,55
16.833333333333332,57
16.916666666666668,53
17,58
17.083333333333332,56
17.166666666666668,54
17.25,56
17.333333333333332,57
17.416666666666668,56
17.5,61
17.583333333333332,58
17.666666666666668,61
17.75,60
17.833333333333332,58
17.916666666666668,59
18,56
18.083333333333332,59
18.166666666666668,59
18.25,59
18.333333333333332,61
18.416666666666668,57
18.5,59
18.583333333333332,60
18.666666666666668,61
18.75,60
18.833333333333332,61
18.916666666666668,59
19,59
19.083333333333332,61
19.166666666666668,58
19.25,63
19.333333333333332,58
19.416666666666668,60
19.5,56
19.583333333333332,59
19.666666666666668,58
19.75,64
19.833333333333332,63
19.916666666666668,62
20,60
20.083333333333332,58
20.166666666666668,60
20.25,62
20.333333333333332,60
20.416666666666668,61
20.5,59
20.583333333333332,63
20.666666666666668,58
20.75,62
20.833333333333332,60
20.916666666666668,60
21,59
21.083333333333332,60
21.166666666666668,61
21.25,61
21.333333333333332,63
21.416666666666668,66
21.5,60
21.583333333333332,63
21.666666666666668,64
21.75,64
21.833333333333332,63
21.916666666666668,66
22,62
22.083333333333332,65
22.166666666666668,62
22.25,61
22.333333333333332,68
22.416666666666668,62
22.5,65
22.583333333333332,65
22.666666666666668,64
22.75,62
22.833333333333332,64
22.916666666666668,66
23,65
23.083333333333332,63
23.166666666666668,65
23.25,64
23.333333333333332,64
23.416666666666668,68
23.5,65
23.583333333333332,64
23.666666666666668,67
23.75,65
23.833333333333332,65
23.916666666666668,67
24,65
24.083333333333332,63
24.166666666666668,64
