"Hours since thread went live","Grimm Kumikyoku • The Grimm Variations - Episode 5 discussion"
42.5,7
42.583333333333336,6
42.666666666666664,4
42.75,6
42.833333333333336,6
42.916666666666664,6
43,6
43.083333333333336,6
43.166666666666664,5
43.25,5
43.333333333333336,4
43.416666666666664,7
43.5,5
43.583333333333336,6
43.666666666666664,5
43.75,5
43.833333333333336,7
43.916666666666664,7
44,7
44.083333333333336,6
44.166666666666664,7
44.25,8
44.333333333333336,6
44.416666666666664,5
44.5,6
44.583333333333336,4
44.666666666666664,6
44.75,7
44.833333333333336,5
44.916666666666664,6
45,8
45.083333333333336,6
45.166666666666664,7
45.25,5
45.333333333333336,5
45.416666666666664,5
45.5,6
45.583333333333336,6
45.666666666666664,6
45.75,4
45.833333333333336,4
45.916666666666664,6
46,4
46.083333333333336,6
46.166666666666664,7
46.25,7
46.333333333333336,4
46.416666666666664,6
46.5,7
46.583333333333336,6
46.666666666666664,6
46.75,5
46.833333333333336,6
46.916666666666664,5
47,7
47.083333333333336,4
47.166666666666664,6
47.25,7
47.333333333333336,4
47.416666666666664,5
47.5,8
47.583333333333336,6
47.666666666666664,5
47.75,6
47.833333333333336,4
47.916666666666664,8
