"Hours since thread went live","Chibi Godzilla no Gyakushuu Season 2 • Chibi Godzilla Raids Again Season 2 - Episode 2 discussion"
0,1
0,1
0.08333333333333333,0
0.16666666666666666,0
0.25,0
0.3333333333333333,0
0.4166666666666667,0
0.5,0
0.5833333333333334,0
0.6666666666666666,0
0.75,0
0.8333333333333334,0
0.9166666666666666,0
1,1
1.0833333333333333,2
1.1666666666666667,1
1.25,1
1.3333333333333333,2
1.4166666666666667,2
1.5,2
1.5833333333333333,2
1.6666666666666667,2
1.75,3
1.8333333333333333,0
1.9166666666666667,0
2,0
2.0833333333333335,3
2.1666666666666665,1
2.25,0
2.3333333333333335,2
2.4166666666666665,2
2.5,3
2.5833333333333335,2
2.6666666666666665,2
2.75,2
2.8333333333333335,2
2.9166666666666665,3
3,1
3.0833333333333335,0
3.1666666666666665,1
3.25,2
3.3333333333333335,1
3.4166666666666665,2
3.5,1
3.5833333333333335,2
3.6666666666666665,2
3.75,3
3.8333333333333335,1
3.9166666666666665,4
4,2
4.083333333333333,1
4.166666666666667,0
4.25,4
4.333333333333333,2
4.416666666666667,1
4.5,2
4.583333333333333,2
4.666666666666667,4
4.75,2
4.833333333333333,3
4.916666666666667,4
5,1
5.083333333333333,4
5.166666666666667,4
5.25,4
5.333333333333333,4
5.416666666666667,1
5.5,0
5.583333333333333,2
5.666666666666667,2
5.75,3
5.833333333333333,3
5.916666666666667,2
6,4
6.083333333333333,2
6.166666666666667,2
6.25,3
6.333333333333333,1
6.416666666666667,4
6.5,5
6.583333333333333,2
6.666666666666667,4
6.75,3
6.833333333333333,3
6.916666666666667,4
7,3
7.083333333333333,3
7.166666666666667,3
7.25,3
7.333333333333333,6
7.416666666666667,3
7.5,4
7.583333333333333,3
7.666666666666667,4
7.75,3
7.833333333333333,3
7.916666666666667,5
8,5
8.083333333333334,7
8.166666666666666,5
8.25,6
8.333333333333334,6
8.416666666666666,5
8.5,4
8.583333333333334,7
8.666666666666666,5
8.75,6
8.833333333333334,7
8.916666666666666,5
9,3
9.083333333333334,7
9.166666666666666,6
9.25,7
9.333333333333334,6
9.416666666666666,5
9.5,5
9.583333333333334,7
9.666666666666666,6
9.75,5
9.833333333333334,5
9.916666666666666,4
10,4
10.083333333333334,5
10.166666666666666,7
10.25,6
10.333333333333334,6
10.416666666666666,4
10.5,5
10.583333333333334,5
10.666666666666666,8
10.75,5
10.833333333333334,8
10.916666666666666,4
11,5
11.083333333333334,4
11.166666666666666,5
11.25,5
11.333333333333334,6
11.416666666666666,4
11.5,3
11.583333333333334,4
11.666666666666666,5
11.75,5
11.833333333333334,4
11.916666666666666,5
12,6
12.083333333333334,6
12.166666666666666,6
12.25,6
12.333333333333334,5
12.416666666666666,6
12.5,5
12.583333333333334,6
12.666666666666666,6
12.75,8
12.833333333333334,7
12.916666666666666,8
13,7
13.083333333333334,6
13.166666666666666,6
13.25,5
13.333333333333334,4
13.416666666666666,5
13.5,8
13.583333333333334,5
13.666666666666666,8
13.75,9
13.833333333333334,7
13.916666666666666,7
14,7
14.083333333333334,7
14.166666666666666,6
14.25,8
14.333333333333334,7
14.416666666666666,8
14.5,7
14.583333333333334,10
14.666666666666666,6
14.75,5
14.833333333333334,7
14.916666666666666,5
15,9
15.083333333333334,7
15.166666666666666,6
15.25,7
15.333333333333334,7
15.416666666666666,9
15.5,7
15.583333333333334,8
15.666666666666666,5
15.75,7
15.833333333333334,6
15.916666666666666,8
16,7
16.083333333333332,7
16.166666666666668,8
16.25,9
16.333333333333332,8
16.416666666666668,10
16.5,8
16.583333333333332,8
16.666666666666668,10
16.75,8
16.833333333333332,7
16.916666666666668,9
17,10
17.083333333333332,8
17.166666666666668,8
17.25,9
17.333333333333332,9
17.416666666666668,8
17.5,8
17.583333333333332,7
17.666666666666668,8
17.75,10
17.833333333333332,7
17.916666666666668,8
18,10
18.083333333333332,8
18.166666666666668,7
18.25,10
18.333333333333332,8
18.416666666666668,10
18.5,9
18.583333333333332,9
18.666666666666668,7
18.75,10
18.833333333333332,9
18.916666666666668,7
19,9
19.083333333333332,9
19.166666666666668,9
19.25,8
19.333333333333332,8
19.416666666666668,8
19.5,9
19.583333333333332,10
19.666666666666668,8
19.75,7
19.833333333333332,8
19.916666666666668,8
20,8
20.083333333333332,9
20.166666666666668,9
20.25,10
20.333333333333332,9
20.416666666666668,8
20.5,8
20.583333333333332,10
20.666666666666668,9
20.75,7
20.833333333333332,8
20.916666666666668,9
21,10
21.083333333333332,7
21.166666666666668,11
21.25,9
21.333333333333332,9
21.416666666666668,10
21.5,10
21.583333333333332,9
21.666666666666668,9
21.75,8
21.833333333333332,9
21.916666666666668,9
22,9
22.083333333333332,11
22.166666666666668,7
22.25,10
22.333333333333332,10
22.416666666666668,10
22.5,10
22.583333333333332,8
22.666666666666668,10
22.75,11
22.833333333333332,9
22.916666666666668,7
23,10
23.083333333333332,8
23.166666666666668,9
23.25,11
23.333333333333332,9
23.416666666666668,9
23.5,8
23.583333333333332,8
23.666666666666668,8
23.75,10
23.833333333333332,8
23.916666666666668,11
24,10
24.083333333333332,9
24.166666666666668,8
24.25,9
24.333333333333332,9
24.416666666666668,7
24.5,9
24.583333333333332,9
24.666666666666668,8
24.75,10
24.833333333333332,9
24.916666666666668,9
25,9
25.083333333333332,9
25.166666666666668,10
25.25,10
25.333333333333332,10
25.416666666666668,9
25.5,7
25.583333333333332,11
25.75,10
25.833333333333332,7
25.916666666666668,9
26,8
26.083333333333332,7
26.166666666666668,10
26.25,8
26.333333333333332,9
26.416666666666668,11
26.5,10
26.583333333333332,9
26.666666666666668,9
26.75,10
26.833333333333332,11
26.916666666666668,7
27,8
27.083333333333332,9
27.166666666666668,9
27.25,11
27.333333333333332,7
27.416666666666668,10
27.5,8
27.583333333333332,9
27.666666666666668,7
27.75,9
27.833333333333332,9
27.916666666666668,8
28,10
28.083333333333332,7
28.166666666666668,9
28.25,9
28.333333333333332,9
28.416666666666668,9
28.5,10
28.583333333333332,9
28.666666666666668,7
28.75,8
28.833333333333332,8
28.916666666666668,9
29,9
29.083333333333332,9
29.166666666666668,11
29.25,8
29.333333333333332,10
29.416666666666668,10
29.5,9
29.583333333333332,11
29.666666666666668,9
29.75,8
29.833333333333332,10
29.916666666666668,10
30,10
30.083333333333332,10
30.166666666666668,8
30.25,10
30.333333333333332,10
30.416666666666668,8
30.5,8
30.583333333333332,9
30.666666666666668,10
30.75,10
30.833333333333332,10
30.916666666666668,10
31,9
31.083333333333332,9
31.166666666666668,10
31.25,9
31.333333333333332,10
31.416666666666668,10
31.5,10
31.583333333333332,7
31.666666666666668,7
31.75,10
31.833333333333332,9
31.916666666666668,9
32,8
32.083333333333336,9
32.166666666666664,8
32.25,8
32.333333333333336,10
32.416666666666664,9
32.5,10
32.583333333333336,10
32.666666666666664,10
32.75,7
32.833333333333336,9
32.916666666666664,9
33,9
33.083333333333336,9
33.166666666666664,10
33.25,10
33.333333333333336,8
33.416666666666664,8
33.5,9
33.583333333333336,9
33.666666666666664,7
33.75,10
33.833333333333336,11
33.916666666666664,8
34,9
34.083333333333336,8
34.166666666666664,7
34.25,10
34.333333333333336,8
34.416666666666664,10
34.5,11
34.583333333333336,10
34.666666666666664,10
34.75,8
34.833333333333336,9
34.916666666666664,9
35,8
35.083333333333336,9
35.166666666666664,12
35.25,8
35.333333333333336,10
35.416666666666664,10
35.5,10
35.583333333333336,10
35.666666666666664,10
35.75,8
35.833333333333336,11
35.916666666666664,10
36,8
36.083333333333336,9
36.166666666666664,10
36.25,10
36.333333333333336,8
36.416666666666664,10
36.5,11
36.583333333333336,11
36.666666666666664,10
36.75,12
36.833333333333336,9
36.916666666666664,10
37,8
37.083333333333336,10
37.166666666666664,12
37.25,10
37.333333333333336,11
37.416666666666664,10
37.5,10
37.583333333333336,8
37.666666666666664,8
37.75,11
37.833333333333336,12
37.916666666666664,10
38,10
38.083333333333336,11
38.166666666666664,9
38.25,11
38.333333333333336,9
38.416666666666664,9
38.5,11
38.583333333333336,11
38.666666666666664,10
38.75,12
38.833333333333336,10
