"Hours since thread went live","Hananoi-kun to Koi no Yamai • A Condition Called Love - Episode 3 discussion"
0,1
0,4
0.08333333333333333,6
0.16666666666666666,7
0.25,8
0.3333333333333333,9
0.4166666666666667,11
0.5,19
0.5833333333333334,24
0.6666666666666666,25
0.75,26
0.8333333333333334,34
0.9166666666666666,40
1,40
1.0833333333333333,42
1.1666666666666667,48
1.25,49
1.3333333333333333,52
1.4166666666666667,53
1.5,53
1.5833333333333333,56
1.6666666666666667,59
1.75,61
1.8333333333333333,61
1.9166666666666667,62
2,64
2.0833333333333335,69
2.1666666666666665,70
2.25,72
2.3333333333333335,74
2.4166666666666665,79
2.5,77
2.5833333333333335,86
2.6666666666666665,84
2.75,86
2.8333333333333335,91
2.9166666666666665,93
3,98
3.0833333333333335,97
3.1666666666666665,97
3.25,100
3.3333333333333335,103
3.4166666666666665,102
3.5,101
3.5833333333333335,103
3.6666666666666665,105
3.75,103
3.8333333333333335,103
3.9166666666666665,105
4,108
4.083333333333333,109
4.166666666666667,112
4.25,114
4.333333333333333,111
4.416666666666667,115
4.5,113
4.583333333333333,113
4.666666666666667,113
4.75,115
4.833333333333333,115
4.916666666666667,113
5,117
5.083333333333333,119
5.166666666666667,126
5.25,122
5.333333333333333,124
5.416666666666667,130
5.5,127
5.583333333333333,131
5.666666666666667,132
5.75,133
5.833333333333333,136
5.916666666666667,135
6,138
6.083333333333333,135
6.166666666666667,136
6.25,137
6.333333333333333,139
6.416666666666667,141
6.5,138
6.583333333333333,141
6.666666666666667,145
6.75,148
6.833333333333333,147
6.916666666666667,153
7,148
7.083333333333333,147
7.166666666666667,148
7.25,147
7.333333333333333,149
7.416666666666667,149
7.5,150
7.583333333333333,151
7.666666666666667,152
7.75,154
7.833333333333333,156
7.916666666666667,154
8,155
8.083333333333334,155
8.166666666666666,159
8.25,152
8.333333333333334,157
8.416666666666666,157
8.5,157
8.583333333333334,162
8.666666666666666,160
8.75,161
8.833333333333334,158
8.916666666666666,162
9,166
9.083333333333334,162
9.166666666666666,164
9.25,168
9.333333333333334,169
9.416666666666666,171
9.5,168
9.583333333333334,173
9.666666666666666,173
9.75,172
9.833333333333334,173
9.916666666666666,173
10,172
10.083333333333334,175
10.166666666666666,176
10.25,179
10.333333333333334,177
10.416666666666666,177
10.5,184
10.583333333333334,180
10.666666666666666,180
10.75,185
10.833333333333334,181
10.916666666666666,182
11,183
11.083333333333334,185
11.166666666666666,184
11.25,182
11.333333333333334,185
11.416666666666666,184
11.5,184
11.583333333333334,185
11.666666666666666,184
11.75,186
11.833333333333334,189
11.916666666666666,188
12,185
12.083333333333334,183
12.166666666666666,188
12.25,186
12.333333333333334,191
12.416666666666666,188
12.5,190
12.583333333333334,191
12.666666666666666,193
12.75,195
12.833333333333334,190
12.916666666666666,192
13,196
13.083333333333334,200
13.166666666666666,196
13.25,199
13.333333333333334,196
13.416666666666666,202
13.5,202
13.583333333333334,201
13.666666666666666,201
13.75,200
13.833333333333334,200
13.916666666666666,200
14,204
14.083333333333334,203
14.166666666666666,206
14.25,204
14.333333333333334,200
14.416666666666666,203
14.5,203
14.583333333333334,202
14.666666666666666,209
14.75,206
14.833333333333334,204
14.916666666666666,205
15,207
15.083333333333334,210
15.166666666666666,207
15.25,210
15.333333333333334,208
15.416666666666666,208
15.5,209
15.583333333333334,209
15.666666666666666,208
15.75,210
15.833333333333334,213
15.916666666666666,210
16,210
16.083333333333332,212
16.166666666666668,209
16.25,210
16.333333333333332,207
16.416666666666668,215
16.5,213
16.583333333333332,213
16.666666666666668,219
16.75,216
16.833333333333332,215
16.916666666666668,213
17,216
17.083333333333332,215
17.166666666666668,221
17.25,218
17.333333333333332,218
17.416666666666668,215
17.5,216
17.583333333333332,220
17.666666666666668,220
17.75,218
17.833333333333332,220
17.916666666666668,220
18,222
18.083333333333332,217
18.166666666666668,224
18.25,222
18.333333333333332,221
18.416666666666668,220
18.5,217
18.583333333333332,216
18.666666666666668,221
18.75,217
18.833333333333332,218
18.916666666666668,221
19,222
19.083333333333332,222
19.166666666666668,216
19.25,218
19.333333333333332,218
19.416666666666668,219
19.5,218
19.583333333333332,218
19.666666666666668,219
19.75,222
19.833333333333332,219
19.916666666666668,219
20,220
20.083333333333332,221
20.166666666666668,222
20.25,224
20.333333333333332,222
20.416666666666668,219
20.5,224
20.583333333333332,223
20.666666666666668,225
20.75,222
20.833333333333332,221
20.916666666666668,220
21,225
21.083333333333332,222
21.166666666666668,225
21.25,227
21.333333333333332,223
21.416666666666668,226
21.5,227
21.583333333333332,226
21.666666666666668,229
21.75,230
21.833333333333332,226
21.916666666666668,225
22,230
22.083333333333332,228
22.166666666666668,230
22.25,227
22.333333333333332,227
22.416666666666668,229
22.5,231
22.583333333333332,226
22.666666666666668,228
22.75,225
22.833333333333332,228
22.916666666666668,226
23,230
23.083333333333332,230
23.166666666666668,229
23.25,226
23.333333333333332,228
