"Hours since thread went live","Henjin no Salad Bowl • A Salad Bowl of Eccentrics - Episode 3 discussion"
0,2
0.08333333333333333,3
0.16666666666666666,3
0.25,5
0.3333333333333333,8
0.4166666666666667,14
0.5,18
0.5833333333333334,24
0.6666666666666666,24
0.75,28
0.8333333333333334,28
0.9166666666666666,31
1,36
1.0833333333333333,40
1.1666666666666667,44
1.25,47
1.3333333333333333,49
1.4166666666666667,50
1.5,50
1.5833333333333333,54
1.6666666666666667,54
1.75,58
1.8333333333333333,61
1.9166666666666667,61
2,60
2.0833333333333335,63
2.1666666666666665,63
2.25,63
2.3333333333333335,73
2.4166666666666665,73
2.5,82
2.5833333333333335,82
2.6666666666666665,85
2.75,87
2.8333333333333335,93
2.9166666666666665,93
3,95
3.0833333333333335,100
3.1666666666666665,103
3.25,103
3.3333333333333335,108
3.4166666666666665,111
3.5,118
3.5833333333333335,121
3.6666666666666665,122
3.75,127
3.8333333333333335,123
3.9166666666666665,125
4,133
4.083333333333333,133
4.166666666666667,137
4.25,135
4.333333333333333,137
4.416666666666667,138
4.5,140
4.583333333333333,139
4.666666666666667,139
4.75,141
4.833333333333333,141
4.916666666666667,146
5,152
5.083333333333333,155
5.166666666666667,158
5.25,156
5.333333333333333,159
5.416666666666667,162
5.5,166
5.583333333333333,169
5.666666666666667,170
5.75,168
5.833333333333333,171
5.916666666666667,173
6,174
6.083333333333333,176
6.166666666666667,178
6.25,182
6.333333333333333,180
6.416666666666667,187
6.5,190
6.583333333333333,194
6.666666666666667,193
6.75,191
6.833333333333333,196
6.916666666666667,196
7,200
7.083333333333333,203
7.166666666666667,201
7.25,197
7.333333333333333,201
7.416666666666667,200
7.5,209
7.583333333333333,208
7.666666666666667,205
7.75,209
7.833333333333333,216
7.916666666666667,216
8,214
8.083333333333334,219
8.166666666666666,222
8.25,221
8.333333333333334,228
8.416666666666666,226
8.5,230
8.583333333333334,231
8.666666666666666,231
8.75,230
8.833333333333334,237
8.916666666666666,235
9,237
9.083333333333334,242
9.166666666666666,243
9.25,245
9.333333333333334,244
9.416666666666666,248
9.5,249
9.583333333333334,250
9.666666666666666,249
9.75,252
9.833333333333334,253
9.916666666666666,256
10,251
10.083333333333334,250
10.166666666666666,252
10.25,259
10.333333333333334,263
10.416666666666666,259
10.5,264
10.583333333333334,264
10.666666666666666,263
10.75,263
10.833333333333334,265
10.916666666666666,268
11,268
11.083333333333334,269
11.166666666666666,267
11.25,266
11.333333333333334,268
11.416666666666666,268
11.5,267
11.583333333333334,270
11.666666666666666,271
11.75,270
11.833333333333334,272
11.916666666666666,274
12,277
12.083333333333334,275
12.166666666666666,276
12.25,278
12.333333333333334,278
12.416666666666666,281
12.5,279
12.583333333333334,281
12.666666666666666,282
12.75,284
12.833333333333334,285
12.916666666666666,282
13,284
13.083333333333334,285
13.166666666666666,287
13.25,289
13.333333333333334,286
13.416666666666666,286
13.5,290
13.583333333333334,290
13.666666666666666,290
13.75,293
13.833333333333334,289
13.916666666666666,288
14,295
14.083333333333334,295
14.166666666666666,297
14.25,292
14.333333333333334,299
14.416666666666666,296
14.5,294
14.583333333333334,299
14.666666666666666,298
14.75,298
14.833333333333334,306
14.916666666666666,304
15,302
15.083333333333334,304
15.166666666666666,305
15.25,306
15.333333333333334,310
15.416666666666666,304
15.5,306
15.583333333333334,312
15.666666666666666,308
15.75,308
15.833333333333334,307
15.916666666666666,312
16,312
16.083333333333332,312
16.166666666666668,314
16.25,312
16.333333333333332,308
16.416666666666668,312
16.5,310
16.583333333333332,313
16.666666666666668,314
16.75,314
16.833333333333332,316
16.916666666666668,313
17,320
17.083333333333332,321
17.166666666666668,318
17.25,319
17.333333333333332,316
17.416666666666668,320
17.5,321
17.583333333333332,323
17.666666666666668,319
17.75,324
17.833333333333332,320
17.916666666666668,324
18,324
18.083333333333332,318
18.166666666666668,329
18.25,322
18.333333333333332,326
18.416666666666668,322
18.5,320
18.583333333333332,325
18.666666666666668,322
18.75,324
18.833333333333332,323
18.916666666666668,321
19,326
19.083333333333332,322
19.166666666666668,329
19.25,325
19.333333333333332,327
19.416666666666668,331
19.5,331
19.583333333333332,330
19.666666666666668,332
19.75,326
19.833333333333332,333
19.916666666666668,334
20,336
20.083333333333332,331
20.166666666666668,336
20.25,341
20.333333333333332,341
20.416666666666668,338
20.5,337
20.583333333333332,338
20.666666666666668,333
20.75,336
20.833333333333332,332
20.916666666666668,336
21,342
21.083333333333332,343
21.166666666666668,339
21.25,342
21.333333333333332,342
21.416666666666668,344
21.5,346
21.583333333333332,340
21.666666666666668,340
21.75,349
21.833333333333332,349
21.916666666666668,344
22,351
22.083333333333332,343
22.166666666666668,353
22.25,351
22.333333333333332,351
22.416666666666668,349
22.5,347
22.583333333333332,353
22.666666666666668,354
22.75,351
22.833333333333332,352
22.916666666666668,352
23,352
23.083333333333332,358
23.166666666666668,354
23.25,357
23.333333333333332,352
23.416666666666668,357
23.5,357
23.583333333333332,353
23.666666666666668,355
23.75,353
23.833333333333332,354
23.916666666666668,359
24,359
24.083333333333332,352
24.166666666666668,351
24.25,358
24.333333333333332,354
24.416666666666668,362
24.5,359
24.583333333333332,360
24.666666666666668,361
24.75,364
24.833333333333332,366
24.916666666666668,360
25,366
25.083333333333332,364
25.166666666666668,361
25.25,362
25.333333333333332,368
25.416666666666668,368
