"Hours since thread went live","Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Part 2 • The Misfit of Demon King Academy II Part 2 - Episode 2 discussion"
0,1
0.08333333333333333,6
0.16666666666666666,10
0.25,16
0.3333333333333333,22
0.4166666666666667,28
0.5,33
0.5833333333333334,46
0.6666666666666666,46
0.75,52
0.8333333333333334,57
0.9166666666666666,61
1,67
1.0833333333333333,73
1.1666666666666667,80
1.25,86
1.3333333333333333,88
1.4166666666666667,94
1.5,99
1.5833333333333333,106
1.6666666666666667,107
1.75,109
1.8333333333333333,113
1.9166666666666667,114
2,112
2.0833333333333335,115
2.1666666666666665,117
2.25,118
2.3333333333333335,118
2.4166666666666665,121
2.5,125
2.5833333333333335,130
2.6666666666666665,131
2.75,136
2.8333333333333335,137
2.9166666666666665,138
3,141
3.0833333333333335,143
3.1666666666666665,146
3.25,146
3.3333333333333335,145
3.4166666666666665,148
3.5,150
3.5833333333333335,153
3.6666666666666665,158
3.75,158
3.8333333333333335,156
3.9166666666666665,161
4,163
4.083333333333333,166
4.166666666666667,162
4.25,167
4.333333333333333,174
4.416666666666667,170
4.5,175
4.583333333333333,173
4.666666666666667,174
4.75,179
4.833333333333333,180
4.916666666666667,179
5,186
5.083333333333333,185
5.166666666666667,189
5.25,188
5.333333333333333,191
5.416666666666667,195
5.5,198
5.583333333333333,202
5.666666666666667,200
5.75,207
5.833333333333333,206
5.916666666666667,207
6,207
6.083333333333333,207
6.166666666666667,206
6.25,203
6.333333333333333,209
6.416666666666667,206
6.5,214
6.583333333333333,214
6.666666666666667,217
6.75,214
6.833333333333333,215
6.916666666666667,216
7,218
7.083333333333333,217
7.166666666666667,216
7.25,218
7.333333333333333,224
7.416666666666667,227
7.5,223
7.583333333333333,227
7.666666666666667,229
7.75,231
7.833333333333333,226
7.916666666666667,229
8,236
8.083333333333334,238
8.166666666666666,236
8.25,238
8.333333333333334,236
8.416666666666666,236
8.5,238
8.583333333333334,241
8.666666666666666,245
8.75,249
8.833333333333334,245
8.916666666666666,248
9,248
9.083333333333334,247
9.166666666666666,247
9.25,244
9.333333333333334,250
9.416666666666666,247
9.5,248
9.583333333333334,248
9.666666666666666,252
9.75,246
9.833333333333334,251
9.916666666666666,249
10,254
10.083333333333334,253
10.166666666666666,256
10.25,259
10.333333333333334,256
10.416666666666666,253
10.5,256
10.583333333333334,258
10.666666666666666,265
10.75,263
10.833333333333334,261
10.916666666666666,263
11,265
11.083333333333334,269
11.166666666666666,265
11.25,268
11.333333333333334,263
11.416666666666666,269
11.5,266
11.583333333333334,268
11.666666666666666,266
11.75,270
11.833333333333334,272
11.916666666666666,276
12,274
12.083333333333334,277
12.166666666666666,277
12.25,275
12.333333333333334,277
12.416666666666666,279
12.5,279
12.583333333333334,285
12.666666666666666,286
12.75,284
12.833333333333334,283
12.916666666666666,286
13,290
13.083333333333334,290
13.166666666666666,290
13.25,290
13.333333333333334,287
13.416666666666666,292
13.5,293
13.583333333333334,292
13.666666666666666,286
13.75,287
13.833333333333334,291
13.916666666666666,288
14,287
14.083333333333334,288
14.166666666666666,293
14.25,291
14.333333333333334,293
14.416666666666666,285
14.5,285
14.583333333333334,290
14.666666666666666,292
14.75,287
14.833333333333334,294
