"Hours since thread went live","Shadowverse Flame: Arc-hen - Episode 2 discussion"
0,1
0,1
0.08333333333333333,2
0.16666666666666666,2
0.25,2
0.3333333333333333,2
0.4166666666666667,2
0.5,2
0.5833333333333334,2
0.6666666666666666,2
0.75,2
0.8333333333333334,2
0.9166666666666666,2
1,2
1.0833333333333333,2
1.1666666666666667,2
1.25,2
1.3333333333333333,1
1.4166666666666667,1
1.5,1
1.5833333333333333,1
1.6666666666666667,1
1.75,1
1.8333333333333333,1
1.9166666666666667,1
2,1
2.0833333333333335,1
2.1666666666666665,1
2.25,1
2.3333333333333335,1
2.4166666666666665,1
2.5,1
2.5833333333333335,1
2.6666666666666665,1
2.75,1
2.8333333333333335,1
2.9166666666666665,1
3,1
3.0833333333333335,1
3.1666666666666665,1
3.25,1
3.3333333333333335,1
3.4166666666666665,1
3.5,1
3.5833333333333335,0
3.6666666666666665,0
3.75,0
3.8333333333333335,0
3.9166666666666665,0
4,0
4.083333333333333,0
4.166666666666667,0
4.25,0
4.333333333333333,1
4.416666666666667,1
4.5,1
4.583333333333333,1
4.666666666666667,1
4.75,1
4.833333333333333,1
4.916666666666667,1
5,1
5.083333333333333,1
5.166666666666667,1
5.25,1
5.333333333333333,1
5.416666666666667,1
5.5,1
5.583333333333333,1
5.666666666666667,2
5.75,2
5.833333333333333,2
5.916666666666667,2
6,2
6.083333333333333,2
6.166666666666667,2
6.25,2
6.333333333333333,2
6.416666666666667,2
6.5,2
6.583333333333333,1
6.666666666666667,1
6.75,1
6.833333333333333,1
6.916666666666667,1
7,1
7.083333333333333,1
7.166666666666667,1
7.25,1
7.333333333333333,1
7.416666666666667,1
7.5,1
7.583333333333333,1
7.666666666666667,1
7.75,1
7.833333333333333,1
7.916666666666667,1
8,1
8.083333333333334,1
8.166666666666666,0
8.25,0
8.333333333333334,1
8.416666666666666,2
8.5,1
8.583333333333334,4
8.666666666666666,3
8.75,2
8.833333333333334,2
8.916666666666666,5
9,3
9.083333333333334,3
9.166666666666666,4
9.25,3
9.333333333333334,1
9.416666666666666,2
9.5,4
9.583333333333334,4
9.666666666666666,4
9.75,1
9.833333333333334,2
9.916666666666666,2
10,4
10.083333333333334,2
10.166666666666666,5
10.25,4
10.333333333333334,2
10.416666666666666,4
10.5,5
10.583333333333334,4
10.666666666666666,4
10.75,5
10.833333333333334,1
10.916666666666666,4
11,5
11.083333333333334,4
11.166666666666666,3
11.25,2
11.333333333333334,3
11.416666666666666,3
11.5,2
11.583333333333334,3
11.666666666666666,3
11.75,4
11.833333333333334,4
11.916666666666666,3
12,3
12.083333333333334,3
12.166666666666666,2
12.25,2
12.333333333333334,1
12.416666666666666,1
12.5,2
12.583333333333334,5
12.666666666666666,4
12.75,3
12.833333333333334,5
12.916666666666666,2
13,4
13.083333333333334,1
13.166666666666666,2
13.25,2
13.333333333333334,2
13.416666666666666,3
13.5,2
13.583333333333334,2
13.666666666666666,3
13.75,2
13.833333333333334,2
13.916666666666666,2
14,2
14.083333333333334,5
14.166666666666666,5
14.25,1
14.333333333333334,4
14.416666666666666,3
14.5,2
14.583333333333334,4
14.666666666666666,2
14.75,5
14.833333333333334,3
14.916666666666666,5
15,4
15.083333333333334,2
15.166666666666666,4
15.25,5
15.333333333333334,2
15.416666666666666,3
15.5,2
15.583333333333334,4
15.666666666666666,2
15.75,0
15.833333333333334,1
15.916666666666666,2
16,3
16.083333333333332,3
16.166666666666668,4
16.25,2
16.333333333333332,4
16.416666666666668,4
16.5,2
16.583333333333332,4
16.666666666666668,4
16.75,2
16.833333333333332,3
16.916666666666668,2
17,4
17.083333333333332,2
17.166666666666668,2
17.25,4
17.333333333333332,2
17.416666666666668,0
17.5,1
17.583333333333332,1
17.666666666666668,2
17.75,1
17.833333333333332,1
17.916666666666668,2
18,3
18.083333333333332,1
18.166666666666668,1
18.25,2
18.333333333333332,2
18.416666666666668,2
18.5,0
18.583333333333332,1
18.666666666666668,1
18.75,2
18.833333333333332,3
18.916666666666668,0
19,2
19.083333333333332,2
19.166666666666668,3
19.25,3
19.333333333333332,2
19.416666666666668,0
19.5,4
19.583333333333332,3
19.666666666666668,2
19.75,1
19.833333333333332,4
19.916666666666668,4
20,3
20.083333333333332,3
20.166666666666668,2
20.25,3
20.333333333333332,2
20.416666666666668,1
20.5,2
20.583333333333332,2
20.666666666666668,2
20.75,5
20.833333333333332,4
20.916666666666668,2
21,3
21.083333333333332,4
21.166666666666668,5
21.25,2
21.333333333333332,4
21.416666666666668,3
21.5,2
21.583333333333332,4
21.666666666666668,1
21.75,5
21.833333333333332,3
21.916666666666668,1
22,3
22.083333333333332,3
22.166666666666668,2
22.25,4
22.333333333333332,3
22.416666666666668,4
22.5,3
22.583333333333332,2
22.666666666666668,3
22.75,3
22.833333333333332,4
22.916666666666668,3
23,2
23.083333333333332,1
23.166666666666668,3
23.25,4
23.333333333333332,2
23.416666666666668,4
23.5,2
23.583333333333332,4
23.666666666666668,3
23.75,2
23.833333333333332,3
23.916666666666668,1
24,4
24.083333333333332,3
24.166666666666668,2
24.25,4
24.333333333333332,3
24.416666666666668,2
24.5,3
24.583333333333332,2
24.666666666666668,4
24.75,5
24.833333333333332,3
24.916666666666668,5
25,2
25.083333333333332,1
25.166666666666668,3
25.25,4
25.333333333333332,1
25.416666666666668,3
25.5,4
25.583333333333332,1
25.666666666666668,2
25.75,2
25.833333333333332,4
25.916666666666668,1
26,2
26.083333333333332,5
26.166666666666668,3
26.25,2
26.333333333333332,1
26.416666666666668,3
26.5,3
26.583333333333332,2
26.666666666666668,2
26.75,3
26.833333333333332,3
26.916666666666668,2
27,3
27.083333333333332,3
27.166666666666668,5
27.25,5
27.333333333333332,3
27.416666666666668,3
27.5,1
27.583333333333332,4
27.666666666666668,2
27.75,1
27.833333333333332,4
27.916666666666668,4
28,5
28.083333333333332,4
28.166666666666668,3
28.25,2
28.333333333333332,2
28.416666666666668,4
28.5,2
28.583333333333332,4
28.666666666666668,3
28.75,3
28.833333333333332,1
28.916666666666668,3
29,2
29.083333333333332,2
29.166666666666668,3
29.25,5
29.333333333333332,4
29.416666666666668,2
29.5,3
29.583333333333332,3
29.666666666666668,4
29.75,1
29.833333333333332,2
29.916666666666668,3
30,5
30.083333333333332,1
30.166666666666668,3
30.25,1
30.333333333333332,4
30.416666666666668,4
30.5,1
30.583333333333332,1
30.666666666666668,2
30.75,3
30.833333333333332,5
30.916666666666668,1
31,3
31.083333333333332,5
31.166666666666668,3
31.25,1
31.333333333333332,2
31.416666666666668,4
31.5,5
31.583333333333332,6
31.666666666666668,3
31.75,4
31.833333333333332,5
31.916666666666668,3
32,3
32.083333333333336,4
32.166666666666664,5
32.25,2
32.333333333333336,3
32.416666666666664,3
32.5,4
32.583333333333336,3
32.666666666666664,3
32.75,3
32.833333333333336,3
32.916666666666664,3
33,4
33.083333333333336,3
33.166666666666664,4
33.25,3
33.333333333333336,4
33.416666666666664,4
33.5,4
33.583333333333336,2
33.666666666666664,3
33.75,4
33.833333333333336,1
33.916666666666664,3
34,4
34.083333333333336,4
34.166666666666664,5
34.25,1
34.333333333333336,3
34.416666666666664,4
34.5,3
34.583333333333336,2
34.666666666666664,4
34.75,4
34.833333333333336,1
34.916666666666664,3
35,2
35.083333333333336,3
35.166666666666664,4
35.25,3
35.333333333333336,3
35.416666666666664,5
35.5,3
35.583333333333336,3
35.666666666666664,3
35.75,4
35.833333333333336,4
35.916666666666664,4
36,3
36.083333333333336,3
36.166666666666664,5
36.25,3
36.333333333333336,3
36.416666666666664,4
36.5,2
36.583333333333336,3
36.666666666666664,3
36.75,5
36.833333333333336,1
36.916666666666664,2
37,3
37.083333333333336,3
37.166666666666664,3
37.25,3
37.333333333333336,2
37.416666666666664,3
37.5,4
37.583333333333336,5
37.666666666666664,4
37.75,2
37.833333333333336,1
37.916666666666664,3
38,4
38.083333333333336,1
38.166666666666664,5
38.25,1
38.333333333333336,4
38.416666666666664,4
38.5,4
38.583333333333336,3
38.666666666666664,4
38.75,4
38.833333333333336,1
38.916666666666664,3
39,2
