"Hours since thread went live","Kaijuu 8-gou • Kaiju No. 8 - Episode 2 discussion"
0,1
0,3
0.08333333333333333,9
0.16666666666666666,14
0.25,24
0.3333333333333333,36
0.4166666666666667,41
0.5,52
0.5833333333333334,68
0.6666666666666666,84
0.75,98
0.8333333333333334,111
0.9166666666666666,123
1,142
1.0833333333333333,166
1.1666666666666667,181
1.25,209
1.3333333333333333,229
1.4166666666666667,253
1.5,272
1.5833333333333333,287
1.6666666666666667,301
1.75,319
1.8333333333333333,337
1.9166666666666667,352
2,365
2.0833333333333335,380
2.1666666666666665,408
2.25,422
2.3333333333333335,432
2.4166666666666665,453
2.5,465
2.5833333333333335,481
2.6666666666666665,494
2.75,508
2.8333333333333335,523
2.9166666666666665,536
3,555
3.0833333333333335,558
3.1666666666666665,573
3.25,588
3.3333333333333335,606
3.4166666666666665,614
3.5,624
3.5833333333333335,637
3.6666666666666665,650
3.75,670
3.8333333333333335,688
3.9166666666666665,709
4,723
4.083333333333333,740
4.166666666666667,753
4.25,767
4.333333333333333,779
4.416666666666667,790
4.5,805
4.583333333333333,825
4.666666666666667,843
4.75,850
4.833333333333333,854
4.916666666666667,874
5,880
5.083333333333333,890
5.166666666666667,902
5.25,912
5.333333333333333,934
5.416666666666667,939
5.5,948
5.583333333333333,955
5.666666666666667,960
5.75,976
5.833333333333333,991
5.916666666666667,1007
6,1022
6.083333333333333,1035
6.166666666666667,1036
6.25,1045
6.333333333333333,1061
6.416666666666667,1071
6.5,1088
6.583333333333333,1093
6.666666666666667,1102
6.75,1111
6.833333333333333,1125
6.916666666666667,1133
7,1141
7.083333333333333,1155
7.166666666666667,1173
7.25,1181
7.333333333333333,1195
7.416666666666667,1199
7.5,1215
7.583333333333333,1214
7.666666666666667,1229
7.75,1234
7.833333333333333,1246
7.916666666666667,1251
8,1269
8.083333333333334,1278
8.166666666666666,1279
8.25,1287
8.333333333333334,1303
8.416666666666666,1301
8.5,1318
8.583333333333334,1329
8.666666666666666,1337
8.75,1344
8.833333333333334,1351
8.916666666666666,1359
9,1362
9.083333333333334,1382
9.166666666666666,1386
9.25,1388
9.333333333333334,1395
9.416666666666666,1399
9.5,1405
9.583333333333334,1412
9.666666666666666,1424
9.75,1424
9.833333333333334,1437
9.916666666666666,1445
10,1452
10.083333333333334,1459
10.166666666666666,1464
10.25,1466
10.333333333333334,1467
10.416666666666666,1481
10.5,1486
10.583333333333334,1497
10.666666666666666,1500
10.75,1503
10.833333333333334,1511
10.916666666666666,1528
11,1528
11.083333333333334,1536
11.166666666666666,1547
11.25,1543
11.333333333333334,1552
11.416666666666666,1556
11.5,1555
11.583333333333334,1562
11.666666666666666,1568
11.75,1574
11.833333333333334,1580
11.916666666666666,1591
12,1597
12.083333333333334,1602
12.166666666666666,1609
12.25,1616
12.333333333333334,1619
12.416666666666666,1622
12.5,1632
12.583333333333334,1630
12.666666666666666,1636
12.75,1640
12.833333333333334,1650
12.916666666666666,1655
13,1665
13.083333333333334,1669
13.166666666666666,1673
13.25,1676
13.333333333333334,1681
13.416666666666666,1688
13.5,1693
13.583333333333334,1699
13.666666666666666,1699
13.75,1706
13.833333333333334,1718
13.916666666666666,1718
14,1720
14.083333333333334,1725
14.166666666666666,1728
14.25,1736
14.333333333333334,1738
14.416666666666666,1740
14.5,1745
14.583333333333334,1752
14.666666666666666,1744
14.75,1758
14.833333333333334,1759
14.916666666666666,1759
15,1767
15.083333333333334,1772
15.166666666666666,1780
15.25,1785
15.333333333333334,1788
15.416666666666666,1792
15.5,1800
15.583333333333334,1799
15.666666666666666,1809
15.75,1814
15.833333333333334,1810
15.916666666666666,1821
16,1822
16.083333333333332,1833
16.166666666666668,1833
16.25,1835
16.333333333333332,1835
16.416666666666668,1836
16.5,1846
16.583333333333332,1845
16.666666666666668,1853
16.75,1847
16.833333333333332,1857
16.916666666666668,1865
17,1868
17.083333333333332,1866
17.166666666666668,1873
17.25,1881
17.333333333333332,1876
17.416666666666668,1885
17.5,1878
17.583333333333332,1884
17.666666666666668,1884
17.75,1889
17.833333333333332,1889
17.916666666666668,1896
18,1897
18.083333333333332,1900
18.166666666666668,1901
18.25,1912
18.333333333333332,1910
18.416666666666668,1914
18.5,1918
18.583333333333332,1913
18.666666666666668,1925
18.75,1930
18.833333333333332,1926
18.916666666666668,1932
19,1936
19.083333333333332,1939
19.166666666666668,1942
19.25,1946
19.333333333333332,1943
19.416666666666668,1944
19.5,1953
19.583333333333332,1949
19.666666666666668,1955
19.75,1955
19.833333333333332,1955
19.916666666666668,1964
20,1959
20.083333333333332,1959
20.166666666666668,1963
20.25,1966
20.333333333333332,1966
20.416666666666668,1963
20.5,1971
20.583333333333332,1979
20.666666666666668,1982
20.75,1980
20.833333333333332,1978
20.916666666666668,1981
21,1980
21.083333333333332,1980
21.166666666666668,1981
21.25,1984
21.333333333333332,1990
21.416666666666668,1991
21.5,1988
21.583333333333332,1994
21.666666666666668,1996
21.75,1995
21.833333333333332,1992
21.916666666666668,2000
22,1998
22.083333333333332,2001
22.166666666666668,2008
22.25,2014
22.333333333333332,2011
22.416666666666668,2010
22.5,2014
22.583333333333332,2018
22.666666666666668,2023
22.75,2028
22.833333333333332,2028
22.916666666666668,2022
23,2029
23.083333333333332,2033
23.166666666666668,2031
23.25,2031
23.333333333333332,2033
23.416666666666668,2037
23.5,2035
23.583333333333332,2036
23.666666666666668,2040
23.75,2040
23.833333333333332,2043
23.916666666666668,2046
24,2043
24.083333333333332,2050
24.166666666666668,2053
