"Hours since thread went live","Girls Band Cry - Episode 3 discussion"
0,4
0.08333333333333333,4
0.16666666666666666,9
0.25,21
0.3333333333333333,27
0.4166666666666667,38
0.5,48
0.5833333333333334,56
0.6666666666666666,66
0.75,77
0.8333333333333334,79
0.9166666666666666,82
1,88
1.0833333333333333,92
1.1666666666666667,99
1.25,110
1.3333333333333333,113
1.4166666666666667,114
1.5,122
1.5833333333333333,129
1.6666666666666667,133
1.75,145
1.8333333333333333,151
1.9166666666666667,158
2,164
2.0833333333333335,170
2.1666666666666665,168
2.25,173
2.3333333333333335,174
2.4166666666666665,182
2.5,190
2.5833333333333335,194
2.6666666666666665,200
2.75,205
2.8333333333333335,210
2.9166666666666665,217
3,222
3.0833333333333335,227
3.1666666666666665,227
3.25,231
3.3333333333333335,237
3.4166666666666665,238
3.5,244
3.5833333333333335,247
3.6666666666666665,250
3.75,250
3.8333333333333335,261
3.9166666666666665,259
4,262
4.083333333333333,263
4.166666666666667,266
4.25,269
4.333333333333333,268
4.416666666666667,271
4.5,274
4.583333333333333,275
4.666666666666667,286
4.75,285
4.833333333333333,287
4.916666666666667,289
5,289
5.083333333333333,290
5.166666666666667,296
5.25,297
5.333333333333333,298
5.416666666666667,300
5.5,298
5.583333333333333,300
5.666666666666667,302
5.75,312
5.833333333333333,309
5.916666666666667,321
6,318
6.083333333333333,324
6.166666666666667,319
6.25,320
6.333333333333333,327
6.416666666666667,323
6.5,326
6.583333333333333,332
6.666666666666667,333
6.75,330
6.833333333333333,336
6.916666666666667,337
7,344
7.083333333333333,342
7.166666666666667,342
7.25,346
7.333333333333333,351
7.416666666666667,349
7.5,350
7.583333333333333,360
7.666666666666667,356
7.75,364
7.833333333333333,360
7.916666666666667,366
8,364
8.083333333333334,364
8.166666666666666,369
8.25,368
8.333333333333334,369
8.416666666666666,371
8.5,373
8.583333333333334,379
8.666666666666666,373
8.75,382
8.833333333333334,388
8.916666666666666,386
9,387
9.083333333333334,390
9.166666666666666,388
9.25,394
9.333333333333334,396
9.416666666666666,401
9.5,403
9.583333333333334,407
9.666666666666666,404
9.75,399
9.833333333333334,406
9.916666666666666,406
10,411
10.083333333333334,411
10.166666666666666,405
10.25,414
10.333333333333334,411
10.416666666666666,411
10.5,412
10.583333333333334,417
10.666666666666666,422
10.75,419
10.833333333333334,422
10.916666666666666,421
11,425
11.083333333333334,428
11.166666666666666,434
11.25,427
11.333333333333334,429
11.416666666666666,431
11.5,436
11.583333333333334,433
11.666666666666666,433
11.75,437
11.833333333333334,443
11.916666666666666,438
12,444
12.083333333333334,437
12.166666666666666,439
12.25,439
12.333333333333334,439
12.416666666666666,447
12.5,441
12.583333333333334,444
12.666666666666666,443
12.75,446
12.833333333333334,448
12.916666666666666,450
13,446
13.083333333333334,448
13.166666666666666,445
13.25,450
