"Hours since thread went live","The Fable - Episode 3 discussion"
0,2
0.08333333333333333,2
0.16666666666666666,4
0.25,5
0.3333333333333333,6
0.4166666666666667,7
0.5,10
0.5833333333333334,11
0.6666666666666666,13
0.75,18
0.8333333333333334,17
0.9166666666666666,19
1,19
1.0833333333333333,21
1.1666666666666667,22
1.25,23
1.3333333333333333,24
1.4166666666666667,24
1.5,29
1.5833333333333333,32
1.6666666666666667,33
1.75,34
1.8333333333333333,38
1.9166666666666667,37
2,41
2.0833333333333335,40
2.1666666666666665,48
2.25,49
2.3333333333333335,56
2.4166666666666665,57
2.5,58
2.5833333333333335,63
2.6666666666666665,63
2.75,67
2.8333333333333335,62
2.9166666666666665,66
3,73
3.0833333333333335,73
3.1666666666666665,72
3.25,79
3.3333333333333335,77
3.4166666666666665,77
3.5,83
3.5833333333333335,82
3.6666666666666665,81
3.75,81
3.8333333333333335,86
3.9166666666666665,85
4,85
4.083333333333333,87
4.166666666666667,92
4.25,93
4.333333333333333,91
4.416666666666667,97
4.5,99
4.583333333333333,98
4.666666666666667,99
4.75,101
4.833333333333333,105
4.916666666666667,103
5,110
5.083333333333333,109
5.166666666666667,107
5.25,108
5.333333333333333,108
5.416666666666667,111
5.5,112
5.583333333333333,112
5.666666666666667,109
5.75,117
5.833333333333333,114
5.916666666666667,115
6,116
6.083333333333333,124
6.166666666666667,120
6.25,121
6.333333333333333,127
6.416666666666667,126
6.5,124
6.583333333333333,127
6.666666666666667,126
6.75,131
6.833333333333333,126
6.916666666666667,128
7,129
7.083333333333333,130
7.166666666666667,133
7.25,131
7.333333333333333,132
7.416666666666667,130
7.5,133
7.583333333333333,135
7.666666666666667,137
7.75,140
7.833333333333333,141
7.916666666666667,140
8,142
8.083333333333334,142
8.166666666666666,143
8.25,140
8.333333333333334,140
8.416666666666666,148
8.5,143
8.583333333333334,149
8.666666666666666,145
8.75,148
8.833333333333334,146
8.916666666666666,147
9,151
9.083333333333334,149
9.166666666666666,151
9.25,153
9.333333333333334,150
9.416666666666666,155
9.5,152
9.583333333333334,156
9.666666666666666,156
9.75,157
9.833333333333334,157
9.916666666666666,158
10,155
10.083333333333334,160
10.166666666666666,163
10.25,162
10.333333333333334,159
10.416666666666666,165
10.5,165
10.583333333333334,168
10.666666666666666,172
10.75,165
10.833333333333334,169
10.916666666666666,168
11,173
11.083333333333334,173
11.166666666666666,169
11.25,172
11.333333333333334,173
11.416666666666666,172
11.5,176
11.583333333333334,174
11.666666666666666,172
11.75,175
11.833333333333334,173
11.916666666666666,179
12,174
12.083333333333334,175
12.166666666666666,175
12.25,177
12.333333333333334,180
12.416666666666666,178
12.5,176
12.583333333333334,177
12.666666666666666,178
12.75,179
12.833333333333334,181
12.916666666666666,178
13,179
13.083333333333334,179
13.166666666666666,179
13.25,178
13.333333333333334,178
13.416666666666666,182
13.5,181
13.583333333333334,184
13.666666666666666,180
13.75,184
13.833333333333334,186
13.916666666666666,185
14,179
14.083333333333334,186
14.166666666666666,188
14.25,186
14.333333333333334,186
14.416666666666666,186
14.5,187
14.583333333333334,183
14.666666666666666,187
14.75,188
14.833333333333334,187
14.916666666666666,188
15,192
15.083333333333334,191
15.166666666666666,189
15.25,190
15.333333333333334,187
15.416666666666666,191
15.5,189
15.583333333333334,193
15.666666666666666,192
15.75,195
15.833333333333334,197
15.916666666666666,192
16,191
16.083333333333332,194
16.166666666666668,192
16.25,195
16.333333333333332,193
16.416666666666668,194
16.5,196
16.583333333333332,197
16.666666666666668,199
16.75,193
16.833333333333332,195
16.916666666666668,194
17,191
17.083333333333332,196
17.166666666666668,196
17.25,198
17.333333333333332,196
17.416666666666668,196
17.5,191
17.583333333333332,197
17.666666666666668,198
17.75,197
17.833333333333332,197
17.916666666666668,198
18,198
18.083333333333332,195
18.166666666666668,198
18.25,201
18.333333333333332,201
18.416666666666668,204
18.5,204
18.583333333333332,206
18.666666666666668,208
18.75,207
18.833333333333332,208
18.916666666666668,206
19,203
19.083333333333332,205
19.166666666666668,205
19.25,206
19.333333333333332,204
19.416666666666668,207
19.5,208
19.583333333333332,209
19.666666666666668,211
19.75,208
19.833333333333332,207
19.916666666666668,210
20,209
20.083333333333332,211
20.166666666666668,208
20.25,210
20.333333333333332,208
20.416666666666668,211
20.5,214
20.583333333333332,210
20.666666666666668,214
20.75,211
20.833333333333332,209
20.916666666666668,210
21,213
21.083333333333332,213
21.166666666666668,212
21.25,214
21.333333333333332,216
21.416666666666668,210
21.5,212
21.583333333333332,213
21.666666666666668,213
21.75,214
21.833333333333332,211
21.916666666666668,212
22,217
22.083333333333332,216
22.166666666666668,211
22.25,215
22.333333333333332,215
22.416666666666668,218
22.5,217
22.583333333333332,218
22.666666666666668,216
22.75,219
22.833333333333332,217
22.916666666666668,221
23,217
23.083333333333332,217
23.166666666666668,220
23.25,219
23.333333333333332,216
23.416666666666668,217
23.5,218
23.583333333333332,218
23.666666666666668,218
23.75,217
23.833333333333332,218
23.916666666666668,219
24,222
24.083333333333332,218
24.166666666666668,217
24.25,223
24.333333333333332,216
