"Hours since thread went live","Shinigami Bocchan to Kuro Maid Season 3 • The Duke of Death and His Maid Season 3 - Episode 3 discussion"
0,1
0.08333333333333333,1
0.16666666666666666,1
0.25,0
0.3333333333333333,1
0.4166666666666667,3
0.5,3
0.5833333333333334,3
0.6666666666666666,6
0.75,11
0.8333333333333334,15
0.9166666666666666,15
1,19
1.0833333333333333,22
1.1666666666666667,24
1.25,24
1.3333333333333333,24
1.4166666666666667,25
1.5,24
1.5833333333333333,27
1.6666666666666667,27
1.75,29
1.8333333333333333,31
1.9166666666666667,31
2,30
2.0833333333333335,33
2.1666666666666665,35
2.25,35
2.3333333333333335,38
2.4166666666666665,40
2.5,42
2.5833333333333335,42
2.6666666666666665,41
2.75,43
2.8333333333333335,43
2.9166666666666665,48
3,47
3.0833333333333335,50
3.1666666666666665,51
3.25,53
3.3333333333333335,53
3.4166666666666665,52
3.5,52
3.5833333333333335,55
3.6666666666666665,55
3.75,59
3.8333333333333335,63
3.9166666666666665,57
4,63
4.083333333333333,64
4.166666666666667,64
4.25,68
4.333333333333333,69
4.416666666666667,70
4.5,68
4.583333333333333,68
4.666666666666667,69
4.75,72
4.833333333333333,73
4.916666666666667,76
5,75
5.083333333333333,79
5.166666666666667,81
5.25,80
5.333333333333333,83
5.416666666666667,83
5.5,81
5.583333333333333,84
5.666666666666667,86
5.75,87
5.833333333333333,84
5.916666666666667,89
6,85
6.083333333333333,90
6.166666666666667,87
6.25,90
6.333333333333333,91
6.416666666666667,89
6.5,92
6.583333333333333,88
6.666666666666667,98
6.75,93
6.833333333333333,95
6.916666666666667,94
7,95
7.083333333333333,98
7.166666666666667,95
7.25,102
7.333333333333333,99
7.416666666666667,104
7.5,103
7.583333333333333,101
7.666666666666667,103
7.833333333333333,111
7.916666666666667,109
8,111
8.083333333333334,108
8.166666666666666,110
8.25,111
8.333333333333334,113
8.416666666666666,113
8.5,113
8.583333333333334,114
8.666666666666666,117
8.75,115
8.833333333333334,120
8.916666666666666,117
9,118
9.083333333333334,122
9.166666666666666,121
9.25,123
9.333333333333334,121
9.416666666666666,121
9.5,120
9.583333333333334,121
9.666666666666666,123
9.75,127
9.833333333333334,128
9.916666666666666,124
10,123
10.083333333333334,129
10.166666666666666,126
10.25,127
10.333333333333334,126
10.416666666666666,125
10.5,130
10.583333333333334,129
10.666666666666666,128
10.75,133
10.833333333333334,132
10.916666666666666,137
11,135
11.083333333333334,136
11.166666666666666,131
11.25,137
11.333333333333334,132
11.416666666666666,136
11.5,131
11.583333333333334,135
11.666666666666666,138
11.75,135
11.833333333333334,136
11.916666666666666,136
12,139
12.083333333333334,138
12.166666666666666,139
12.25,137
12.333333333333334,136
12.416666666666666,138
12.5,141
12.583333333333334,142
12.666666666666666,141
12.75,144
12.833333333333334,143
12.916666666666666,146
13,145
13.083333333333334,142
13.166666666666666,144
13.25,145
13.333333333333334,148
13.416666666666666,149
13.5,144
13.583333333333334,148
13.666666666666666,149
13.75,150
13.833333333333334,148
13.916666666666666,145
14,149
14.083333333333334,150
14.166666666666666,150
14.25,154
14.333333333333334,148
14.416666666666666,155
14.5,151
14.583333333333334,151
14.666666666666666,153
14.75,152
14.833333333333334,157
14.916666666666666,152
15,151
15.083333333333334,151
15.166666666666666,155
15.25,153
15.333333333333334,154
15.416666666666666,151
15.5,154
15.583333333333334,156
15.666666666666666,154
15.75,158
15.833333333333334,159
15.916666666666666,156
16,162
16.083333333333332,156
16.166666666666668,159
16.25,159
16.333333333333332,156
16.416666666666668,158
16.5,162
16.583333333333332,164
16.666666666666668,163
16.75,165
16.833333333333332,162
16.916666666666668,159
17,161
17.083333333333332,158
17.166666666666668,163
17.25,162
17.333333333333332,163
17.416666666666668,163
17.5,165
17.583333333333332,159
17.666666666666668,165
17.75,162
17.833333333333332,164
17.916666666666668,166
18,160
18.083333333333332,161
18.166666666666668,161
18.25,163
18.333333333333332,164
18.416666666666668,163
18.5,165
18.583333333333332,164
18.666666666666668,165
18.75,165
18.833333333333332,168
18.916666666666668,168
19,165
19.083333333333332,168
19.166666666666668,169
19.25,167
19.333333333333332,166
19.416666666666668,168
19.5,166
19.583333333333332,166
19.666666666666668,171
19.75,169
19.833333333333332,166
19.916666666666668,166
20,170
20.083333333333332,170
20.166666666666668,169
20.25,170
20.333333333333332,169
20.416666666666668,169
20.5,169
20.583333333333332,167
20.666666666666668,168
20.75,173
20.833333333333332,169
20.916666666666668,172
21,172
21.083333333333332,172
21.166666666666668,172
21.25,175
21.333333333333332,173
21.416666666666668,173
21.5,171
21.583333333333332,172
21.666666666666668,175
21.75,171
21.833333333333332,170
21.916666666666668,171
22,175
22.083333333333332,175
22.166666666666668,172
22.25,174
22.333333333333332,173
22.416666666666668,173
22.5,175
22.583333333333332,175
22.666666666666668,169
22.75,172
22.833333333333332,177
22.916666666666668,170
23,176
23.083333333333332,177
23.166666666666668,173
23.25,176
23.333333333333332,176
23.416666666666668,176
23.5,177
23.583333333333332,174
23.666666666666668,178
23.75,177
23.833333333333332,179
23.916666666666668,175
24,177
24.083333333333332,175
24.166666666666668,180
24.25,176
24.333333333333332,176
24.416666666666668,176
24.5,179
24.583333333333332,175
24.666666666666668,178
24.75,174
24.833333333333332,179
24.916666666666668,173
25,177
25.083333333333332,177
25.166666666666668,175
25.25,174
25.333333333333332,178
25.416666666666668,174
25.5,181
25.583333333333332,176
25.666666666666668,178
25.75,182
25.833333333333332,178
25.916666666666668,181
26,179
26.083333333333332,181
26.166666666666668,177
26.25,181
26.333333333333332,183
26.416666666666668,178
26.5,178
26.583333333333332,176
26.666666666666668,175
26.75,180
26.833333333333332,183
26.916666666666668,182
27,178
27.083333333333332,181
27.166666666666668,181
27.25,179
27.333333333333332,184
27.416666666666668,183
27.5,177
27.583333333333332,180
27.666666666666668,182
27.75,182
27.833333333333332,183
27.916666666666668,186
28,181
28.083333333333332,178
28.166666666666668,185
28.25,186
28.333333333333332,179
28.416666666666668,180
28.5,180
28.583333333333332,183
28.666666666666668,179
28.75,179
28.833333333333332,182
28.916666666666668,180
29,180
29.083333333333332,185
29.166666666666668,180
29.25,186
29.333333333333332,183
29.416666666666668,182
29.5,187
29.583333333333332,184
29.666666666666668,184
29.75,185
29.833333333333332,180
29.916666666666668,184
30,182
30.083333333333332,181
30.166666666666668,183
30.25,184
30.916666666666668,186
31,181
31.083333333333332,184
31.166666666666668,183
31.25,184
31.333333333333332,181
31.416666666666668,187
31.5,182
31.583333333333332,186
31.666666666666668,183
31.75,185
31.833333333333332,182
31.916666666666668,185
32,187
32.083333333333336,187
32.166666666666664,186
32.25,185
32.333333333333336,188
32.416666666666664,186
32.5,185
32.583333333333336,189
32.666666666666664,187
32.75,184
32.833333333333336,186
32.916666666666664,187
33,183
33.083333333333336,185
33.166666666666664,184
33.25,185
33.333333333333336,186
33.416666666666664,184
33.5,185
33.583333333333336,183
33.666666666666664,184
33.75,186
33.833333333333336,185
33.916666666666664,184
34,191
34.083333333333336,191
34.166666666666664,188
34.25,188
34.333333333333336,192
34.416666666666664,191
34.5,189
34.583333333333336,189
34.666666666666664,188
34.75,193
34.833333333333336,188
34.916666666666664,189
35,190
35.083333333333336,187
35.166666666666664,190
35.25,186
35.333333333333336,188
35.416666666666664,188
35.5,191
35.583333333333336,189
35.666666666666664,191
35.75,190
35.833333333333336,190
