"Hours since thread went live","Vampire Dormitory - Episode 3 discussion"
0,1
0.08333333333333333,0
0.16666666666666666,1
0.25,1
0.3333333333333333,1
0.4166666666666667,3
0.5,3
0.5833333333333334,5
0.6666666666666666,5
0.75,5
0.8333333333333334,7
0.9166666666666666,5
1,7
1.0833333333333333,8
1.1666666666666667,8
1.25,8
1.3333333333333333,9
1.4166666666666667,8
1.5,9
1.5833333333333333,10
1.6666666666666667,8
1.75,8
1.8333333333333333,8
1.9166666666666667,9
2,12
2.0833333333333335,9
2.1666666666666665,15
2.25,16
2.3333333333333335,16
2.4166666666666665,14
2.5,15
2.5833333333333335,16
2.6666666666666665,15
2.75,16
2.8333333333333335,17
2.9166666666666665,19
3,19
3.0833333333333335,17
3.1666666666666665,19
3.25,18
3.3333333333333335,18
3.4166666666666665,16
3.5,17
3.5833333333333335,19
3.6666666666666665,21
3.75,21
3.8333333333333335,21
3.9166666666666665,23
4,20
4.083333333333333,20
4.166666666666667,23
4.25,24
4.333333333333333,26
4.416666666666667,26
4.5,27
4.583333333333333,31
4.666666666666667,31
4.75,34
4.833333333333333,33
4.916666666666667,31
5,29
5.083333333333333,33
5.166666666666667,34
5.25,32
5.333333333333333,29
5.416666666666667,34
5.5,34
5.583333333333333,32
5.666666666666667,34
5.75,32
5.833333333333333,33
5.916666666666667,33
6,33
6.083333333333333,35
6.166666666666667,34
6.25,32
6.333333333333333,36
6.416666666666667,37
6.5,34
6.583333333333333,40
6.666666666666667,40
6.75,39
6.833333333333333,40
6.916666666666667,37
7.083333333333333,40
7.166666666666667,36
7.25,39
7.333333333333333,37
7.416666666666667,41
7.5,39
7.583333333333333,38
7.666666666666667,40
7.75,41
7.833333333333333,40
7.916666666666667,41
8,42
8.083333333333334,42
8.166666666666666,43
8.25,39
8.333333333333334,38
8.416666666666666,39
8.5,40
8.583333333333334,40
8.666666666666666,41
8.75,46
8.833333333333334,43
8.916666666666666,43
9,49
9.083333333333334,44
9.166666666666666,46
9.25,45
9.333333333333334,50
9.416666666666666,49
9.5,44
9.583333333333334,48
9.666666666666666,53
9.75,52
9.833333333333334,50
9.916666666666666,49
10,51
10.083333333333334,51
10.166666666666666,54
10.25,54
10.333333333333334,54
10.416666666666666,51
10.5,53
10.583333333333334,52
10.666666666666666,52
10.75,49
10.833333333333334,49
10.916666666666666,54
11,49
11.083333333333334,52
11.166666666666666,55
11.25,55
11.333333333333334,52
11.416666666666666,54
11.5,51
11.583333333333334,51
11.666666666666666,52
11.75,55
11.833333333333334,55
11.916666666666666,58
12,57
12.083333333333334,55
12.166666666666666,57
12.25,54
12.333333333333334,54
12.416666666666666,56
12.5,55
12.583333333333334,55
12.666666666666666,56
12.75,56
12.833333333333334,59
12.916666666666666,56
13,56
13.083333333333334,56
13.166666666666666,56
13.25,54
13.333333333333334,61
13.416666666666666,60
13.5,60
13.583333333333334,56
13.666666666666666,56
13.75,56
13.833333333333334,53
13.916666666666666,57
14,56
14.083333333333334,57
14.166666666666666,57
14.25,59
14.333333333333334,56
14.416666666666666,57
14.5,61
14.583333333333334,56
14.666666666666666,59
14.75,62
14.833333333333334,61
14.916666666666666,58
15,56
15.083333333333334,60
15.166666666666666,60
15.25,58
15.333333333333334,59
15.416666666666666,57
15.5,60
15.583333333333334,63
15.666666666666666,60
15.75,61
15.833333333333334,62
15.916666666666666,61
16,60
16.083333333333332,61
16.166666666666668,61
16.25,59
16.333333333333332,62
16.416666666666668,61
16.5,64
16.583333333333332,60
16.666666666666668,64
16.75,61
16.833333333333332,63
16.916666666666668,64
17,61
17.083333333333332,60
17.166666666666668,62
17.25,63
17.333333333333332,60
17.416666666666668,65
17.5,64
17.583333333333332,62
17.666666666666668,65
17.75,63
17.833333333333332,67
17.916666666666668,63
18,62
18.083333333333332,65
18.166666666666668,68
18.25,62
18.333333333333332,64
18.416666666666668,65
18.5,61
18.583333333333332,65
18.666666666666668,64
18.75,60
18.833333333333332,64
18.916666666666668,60
19,68
19.083333333333332,62
19.166666666666668,61
19.25,68
19.333333333333332,64
19.416666666666668,65
19.5,63
19.583333333333332,63
19.666666666666668,61
19.75,64
19.833333333333332,65
19.916666666666668,69
20,66
20.083333333333332,70
20.166666666666668,71
20.25,70
20.333333333333332,69
20.416666666666668,67
20.5,64
20.583333333333332,71
20.666666666666668,67
20.75,71
20.833333333333332,67
20.916666666666668,68
21,67
21.083333333333332,66
21.166666666666668,68
21.25,69
21.333333333333332,71
21.416666666666668,68
21.5,70
21.583333333333332,68
21.666666666666668,70
21.75,69
21.833333333333332,67
21.916666666666668,66
22,69
22.083333333333332,71
22.166666666666668,67
22.25,66
22.333333333333332,68
22.416666666666668,68
22.5,68
22.583333333333332,66
22.666666666666668,66
22.75,67
22.833333333333332,68
22.916666666666668,70
23,65
23.083333333333332,68
23.166666666666668,67
23.25,66
23.333333333333332,70
23.416666666666668,69
23.5,69
23.583333333333332,67
23.666666666666668,69
23.75,67
23.833333333333332,68
23.916666666666668,68
24,68
24.083333333333332,71
24.166666666666668,69
24.25,65
24.333333333333332,73
24.416666666666668,66
24.5,71
24.583333333333332,65
24.666666666666668,70
24.75,69
24.833333333333332,69
24.916666666666668,69
25,66
25.083333333333332,67
25.166666666666668,69
25.25,65
25.333333333333332,67
25.416666666666668,69
25.5,70
25.583333333333332,72
25.666666666666668,68
25.75,67
25.833333333333332,67
25.916666666666668,72
26,71
26.083333333333332,72
26.166666666666668,73
26.25,70
26.333333333333332,67
26.416666666666668,72
26.5,72
26.583333333333332,71
26.666666666666668,70
26.75,74
26.833333333333332,66
26.916666666666668,70
27,70
27.083333333333332,68
27.166666666666668,70
27.25,67
27.333333333333332,70
27.416666666666668,72
27.5,67
27.583333333333332,70
27.666666666666668,70
27.75,71
27.833333333333332,73
27.916666666666668,70
28,72
28.083333333333332,71
28.166666666666668,70
28.25,74
28.333333333333332,72
28.416666666666668,70
28.5,69
28.583333333333332,73
28.666666666666668,71
28.75,71
28.833333333333332,71
28.916666666666668,71
29,74
29.083333333333332,68
29.166666666666668,71
29.25,70
29.333333333333332,74
29.416666666666668,72
29.5,72
30.166666666666668,73
30.25,69
30.333333333333332,71
30.416666666666668,67
30.5,69
30.583333333333332,67
30.666666666666668,72
30.75,71
30.833333333333332,69
30.916666666666668,75
31,75
31.083333333333332,71
31.166666666666668,75
31.25,70
31.333333333333332,72
31.416666666666668,72
31.5,74
31.583333333333332,77
31.666666666666668,74
31.75,71
31.833333333333332,72
31.916666666666668,74
32,73
32.083333333333336,71
32.166666666666664,70
32.25,73
32.333333333333336,74
32.416666666666664,73
32.5,75
32.583333333333336,76
32.666666666666664,73
32.75,71
32.833333333333336,76
32.916666666666664,72
33,72
33.083333333333336,76
33.166666666666664,74
33.25,73
33.333333333333336,73
33.416666666666664,74
33.5,75
33.583333333333336,71
33.666666666666664,78
33.75,76
33.833333333333336,77
33.916666666666664,74
34,71
34.083333333333336,73
34.166666666666664,73
34.25,76
34.333333333333336,73
34.416666666666664,75
34.5,76
34.583333333333336,77
34.666666666666664,77
34.75,78
34.833333333333336,74
34.916666666666664,74
35,74
35.083333333333336,72
35.166666666666664,75
35.25,75
35.333333333333336,77
35.416666666666664,79
35.5,72
35.583333333333336,73
35.666666666666664,71
35.75,72
35.833333333333336,76
35.916666666666664,79
36,73
36.083333333333336,74
36.166666666666664,76
36.25,79
36.333333333333336,73
36.416666666666664,74
36.5,77
36.583333333333336,75
36.666666666666664,74
36.75,76
36.833333333333336,75
36.916666666666664,75
37,71
37.083333333333336,72
37.166666666666664,74
37.25,73
37.333333333333336,71
37.416666666666664,75
37.5,77
37.583333333333336,79
37.666666666666664,75
37.75,74
37.833333333333336,72
37.916666666666664,71
38,76
38.083333333333336,78
38.166666666666664,73
38.25,74
38.333333333333336,78
38.416666666666664,72
38.5,77
38.583333333333336,77
38.666666666666664,75
38.75,79
38.833333333333336,76
38.916666666666664,75
39,77
39.083333333333336,77
39.166666666666664,73
39.25,79
39.333333333333336,77
39.416666666666664,74
39.5,78
39.583333333333336,74
39.666666666666664,75
39.75,74
39.833333333333336,73
39.916666666666664,75
40,77
40.083333333333336,77
40.166666666666664,75
40.25,74
40.333333333333336,74
40.416666666666664,79
40.5,77
40.583333333333336,78
40.666666666666664,78
40.75,76
40.833333333333336,78
40.916666666666664,75
41,75
41.083333333333336,72
41.166666666666664,76
41.25,77
41.333333333333336,72
41.416666666666664,74
41.5,77
41.583333333333336,80
41.666666666666664,77
41.75,76
41.833333333333336,76
41.916666666666664,75
42,74
42.083333333333336,73
42.166666666666664,80
42.25,78
42.333333333333336,78
42.416666666666664,76
42.5,78
42.583333333333336,74
42.666666666666664,78
42.75,76
42.833333333333336,76
42.916666666666664,79
43,79
43.083333333333336,78
43.166666666666664,79
43.25,76
43.333333333333336,77
43.416666666666664,79
43.5,78
43.583333333333336,76
43.666666666666664,74
43.75,78
43.833333333333336,79
43.916666666666664,74
44,79
44.083333333333336,77
44.166666666666664,77
44.25,73
44.333333333333336,78
44.416666666666664,78
44.5,76
44.583333333333336,77
44.666666666666664,78
44.75,78
44.833333333333336,74
44.916666666666664,76
45,80
45.083333333333336,76
45.166666666666664,79
45.25,72
45.333333333333336,75
45.416666666666664,78
45.5,76
45.583333333333336,74
45.666666666666664,77
45.75,80
45.833333333333336,73
45.916666666666664,74
46,79
46.083333333333336,76
46.166666666666664,75
46.25,78
46.333333333333336,77
46.416666666666664,78
46.5,77
46.583333333333336,75
46.666666666666664,79
46.75,74
46.833333333333336,77
46.916666666666664,72
47,71
47.083333333333336,75
47.166666666666664,74
47.25,72
47.333333333333336,75
47.416666666666664,72
47.5,73
47.583333333333336,77
47.666666666666664,77
47.75,73
47.833333333333336,75
47.916666666666664,76
