"Hours since thread went live","Lv2 kara Cheat datta Motoyuusha Kouho no Mattari Isekai Life • Chillin' in Another World with Level 2 Super Cheat Powers - Episode 3 discussion"
0,1
0.08333333333333333,5
0.16666666666666666,6
0.25,9
0.3333333333333333,10
0.4166666666666667,11
0.5,14
0.5833333333333334,20
0.6666666666666666,26
0.75,27
0.8333333333333334,29
0.9166666666666666,30
1,39
1.0833333333333333,43
1.1666666666666667,47
1.25,56
1.3333333333333333,57
1.4166666666666667,61
1.5,67
1.5833333333333333,67
1.6666666666666667,71
1.75,81
1.8333333333333333,85
1.9166666666666667,89
2,93
2.0833333333333335,94
2.1666666666666665,99
2.25,102
2.3333333333333335,111
2.4166666666666665,116
2.5,120
2.5833333333333335,126
2.6666666666666665,130
2.75,130
2.8333333333333335,134
2.9166666666666665,142
3,144
3.0833333333333335,147
3.1666666666666665,151
3.25,154
3.3333333333333335,159
3.4166666666666665,159
3.5,161
3.5833333333333335,165
3.6666666666666665,167
3.75,170
3.8333333333333335,178
3.9166666666666665,177
4,180
4.083333333333333,182
4.166666666666667,190
4.25,189
4.333333333333333,185
4.416666666666667,190
4.5,191
4.583333333333333,193
4.666666666666667,197
4.75,195
4.833333333333333,198
4.916666666666667,199
5,204
5.083333333333333,209
5.166666666666667,210
5.25,212
5.333333333333333,218
5.416666666666667,222
5.5,226
5.583333333333333,227
5.666666666666667,231
5.75,232
5.833333333333333,229
6.5,235
6.583333333333333,235
6.666666666666667,238
6.75,245
6.833333333333333,242
6.916666666666667,245
7,247
7.083333333333333,255
7.166666666666667,260
7.25,264
7.333333333333333,264
7.416666666666667,262
7.5,268
7.583333333333333,267
7.666666666666667,274
7.75,275
7.833333333333333,280
7.916666666666667,280
8,279
8.083333333333334,280
8.166666666666666,285
8.25,290
8.333333333333334,289
8.416666666666666,294
8.5,293
8.583333333333334,295
8.666666666666666,299
8.75,299
8.833333333333334,302
8.916666666666666,299
9,305
9.083333333333334,307
9.166666666666666,307
9.25,309
9.333333333333334,309
9.416666666666666,308
9.5,313
9.583333333333334,313
9.666666666666666,317
9.75,318
9.833333333333334,328
9.916666666666666,323
10,325
10.083333333333334,328
10.166666666666666,330
10.25,329
10.333333333333334,332
10.416666666666666,337
10.5,331
10.583333333333334,331
10.666666666666666,330
10.75,329
10.833333333333334,333
10.916666666666666,336
11,333
11.083333333333334,334
11.166666666666666,341
11.25,340
11.333333333333334,339
11.416666666666666,335
11.5,348
11.583333333333334,340
11.666666666666666,340
11.75,349
11.833333333333334,345
11.916666666666666,359
12,352
12.083333333333334,356
12.166666666666666,353
12.25,352
12.333333333333334,360
12.416666666666666,356
12.5,357
12.583333333333334,362
12.666666666666666,363
12.75,357
12.833333333333334,360
12.916666666666666,364
13,366
13.083333333333334,366
13.166666666666666,364
13.25,358
13.333333333333334,367
13.416666666666666,363
13.5,365
13.583333333333334,372
13.666666666666666,371
13.75,378
13.833333333333334,374
13.916666666666666,371
14,378
14.083333333333334,374
14.166666666666666,376
14.25,378
14.333333333333334,380
14.416666666666666,375
14.5,382
14.583333333333334,382
14.666666666666666,384
14.75,380
14.833333333333334,383
14.916666666666666,386
15,381
15.083333333333334,392
15.166666666666666,390
15.25,388
15.333333333333334,391
15.416666666666666,393
15.5,388
15.583333333333334,395
15.666666666666666,389
15.75,391
15.833333333333334,389
15.916666666666666,393
16,402
16.083333333333332,398
16.166666666666668,398
16.25,395
16.333333333333332,399
16.416666666666668,400
16.5,394
16.583333333333332,402
16.666666666666668,399
16.75,402
16.833333333333332,402
16.916666666666668,404
17,404
17.083333333333332,409
17.166666666666668,405
17.25,411
17.333333333333332,409
17.416666666666668,411
17.5,408
17.583333333333332,418
17.666666666666668,417
17.75,418
17.833333333333332,411
17.916666666666668,414
18,414
18.083333333333332,419
18.166666666666668,416
18.25,421
18.333333333333332,419
18.416666666666668,419
18.5,418
18.583333333333332,417
18.666666666666668,426
18.75,425
18.833333333333332,423
18.916666666666668,425
19,424
19.083333333333332,421
19.166666666666668,428
19.25,423
19.333333333333332,421
19.416666666666668,428
19.5,427
19.583333333333332,427
19.666666666666668,422
19.75,427
19.833333333333332,429
19.916666666666668,428
20,425
20.083333333333332,428
20.166666666666668,431
20.25,433
20.333333333333332,432
20.416666666666668,432
20.5,429
20.583333333333332,429
20.666666666666668,434
20.75,438
20.833333333333332,434
20.916666666666668,437
21,434
21.083333333333332,433
21.166666666666668,431
21.25,435
21.333333333333332,436
21.416666666666668,428
21.5,436
21.583333333333332,434
21.666666666666668,433
21.75,441
21.833333333333332,438
21.916666666666668,440
22,439
22.083333333333332,443
22.166666666666668,445
22.25,438
22.333333333333332,441
22.416666666666668,439
22.5,444
22.583333333333332,445
22.666666666666668,441
22.75,444
22.833333333333332,441
22.916666666666668,445
23,447
23.083333333333332,447
23.166666666666668,448
23.25,445
23.333333333333332,443
23.416666666666668,447
23.5,448
23.583333333333332,449
23.666666666666668,454
23.75,449
23.833333333333332,453
23.916666666666668,452
24,447
24.083333333333332,450
24.166666666666668,453
24.25,449
24.333333333333332,457
24.416666666666668,453
24.5,455
24.583333333333332,458
24.666666666666668,456
24.75,456
24.833333333333332,452
24.916666666666668,453
25,461
25.083333333333332,451
25.166666666666668,458
25.25,455
25.333333333333332,459
25.416666666666668,453
25.5,459
25.583333333333332,459
25.666666666666668,458
25.75,460
25.833333333333332,459
25.916666666666668,456
26,457
26.083333333333332,461
26.166666666666668,460
26.25,460
26.333333333333332,456
26.416666666666668,462
26.5,458
26.583333333333332,462
26.666666666666668,462
26.75,459
26.833333333333332,454
26.916666666666668,463
27,461
27.083333333333332,465
27.166666666666668,461
27.25,460
27.333333333333332,462
27.416666666666668,463
27.5,461
27.583333333333332,457
27.666666666666668,460
27.75,460
27.833333333333332,459
27.916666666666668,455
28,457
28.083333333333332,464
28.166666666666668,466
28.25,464
28.333333333333332,459
28.416666666666668,459
28.5,468
28.583333333333332,463
28.666666666666668,461
28.75,463
28.833333333333332,463
28.916666666666668,470
29,472
29.083333333333332,473
29.166666666666668,470
29.25,469
29.333333333333332,465
29.416666666666668,466
29.5,471
29.583333333333332,470
29.666666666666668,465
29.75,463
29.833333333333332,465
29.916666666666668,471
30,474
30.083333333333332,465
30.166666666666668,464
30.25,471
