"Hours since thread went live","Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu • I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability - Episode 4 discussion"
0,1
0,0
0.08333333333333333,3
0.16666666666666666,6
0.25,9
0.3333333333333333,11
0.4166666666666667,17
0.5,21
0.5833333333333334,24
0.6666666666666666,30
0.75,40
0.8333333333333334,44
0.9166666666666666,52
1,69
1.0833333333333333,75
1.1666666666666667,79
1.25,87
1.3333333333333333,92
1.4166666666666667,95
1.5,99
1.5833333333333333,108
1.6666666666666667,121
1.75,127
1.8333333333333333,131
1.9166666666666667,138
2,143
2.0833333333333335,145
2.1666666666666665,158
2.25,162
2.3333333333333335,164
2.4166666666666665,169
2.5,174
2.5833333333333335,178
2.6666666666666665,183
2.75,187
2.8333333333333335,187
2.9166666666666665,196
3,205
3.0833333333333335,211
3.1666666666666665,210
3.25,216
3.3333333333333335,223
3.4166666666666665,232
3.5,237
3.5833333333333335,243
3.6666666666666665,243
3.75,247
4.416666666666667,251
4.5,251
4.583333333333333,258
4.666666666666667,266
4.75,269
4.833333333333333,270
4.916666666666667,271
5,274
5.083333333333333,278
5.166666666666667,281
5.25,285
5.333333333333333,282
5.416666666666667,286
5.5,291
5.583333333333333,293
5.666666666666667,302
5.75,305
5.833333333333333,307
5.916666666666667,311
6,315
6.083333333333333,318
6.166666666666667,323
6.25,326
6.333333333333333,332
6.416666666666667,326
6.5,331
6.583333333333333,336
6.666666666666667,337
6.75,338
6.833333333333333,337
6.916666666666667,338
7,346
7.083333333333333,356
7.166666666666667,356
7.25,353
7.333333333333333,359
7.416666666666667,363
7.5,362
7.583333333333333,358
7.666666666666667,367
7.75,371
7.833333333333333,374
7.916666666666667,375
8,372
8.083333333333334,383
8.166666666666666,384
8.25,388
8.333333333333334,393
8.416666666666666,391
8.5,397
8.583333333333334,398
8.666666666666666,402
8.75,407
8.833333333333334,405
8.916666666666666,404
9,402
9.083333333333334,407
9.166666666666666,409
9.25,410
9.333333333333334,414
9.416666666666666,416
9.5,424
9.583333333333334,430
9.666666666666666,440
9.75,439
9.833333333333334,449
9.916666666666666,448
10,448
10.083333333333334,456
10.166666666666666,455
10.25,453
10.333333333333334,457
10.416666666666666,453
10.5,455
10.583333333333334,464
10.666666666666666,462
10.75,464
10.833333333333334,467
10.916666666666666,466
11,468
11.083333333333334,474
11.166666666666666,468
11.25,477
11.333333333333334,473
11.416666666666666,480
11.5,482
11.583333333333334,482
11.666666666666666,487
11.75,488
11.833333333333334,490
11.916666666666666,494
12,497
12.083333333333334,489
12.166666666666666,496
12.25,492
12.333333333333334,497
12.416666666666666,503
12.5,498
12.583333333333334,499
12.666666666666666,503
12.75,509
12.833333333333334,508
12.916666666666666,507
13,509
13.083333333333334,505
13.166666666666666,505
13.25,511
13.333333333333334,509
13.416666666666666,519
13.5,510
13.583333333333334,522
13.666666666666666,520
13.75,519
13.833333333333334,525
13.916666666666666,531
14,523
14.083333333333334,530
14.166666666666666,529
14.25,524
14.333333333333334,530
14.416666666666666,535
14.5,533
14.583333333333334,538
14.666666666666666,538
14.75,533
14.833333333333334,536
14.916666666666666,541
15,542
15.083333333333334,544
15.166666666666666,544
15.25,546
15.333333333333334,551
15.416666666666666,548
15.5,549
15.583333333333334,550
15.666666666666666,551
15.75,556
15.833333333333334,557
15.916666666666666,558
16,562
16.083333333333332,564
16.166666666666668,564
16.25,563
16.333333333333332,567
16.416666666666668,562
16.5,561
16.583333333333332,568
16.666666666666668,568
16.75,562
16.833333333333332,571
16.916666666666668,571
17,568
17.083333333333332,569
17.166666666666668,569
17.25,568
17.333333333333332,574
17.416666666666668,576
17.5,570
17.583333333333332,572
17.666666666666668,575
17.75,574
17.833333333333332,576
17.916666666666668,578
18,582
18.083333333333332,580
18.166666666666668,582
18.25,587
18.333333333333332,581
18.416666666666668,584
18.5,583
18.583333333333332,583
18.666666666666668,585
18.75,588
18.833333333333332,587
18.916666666666668,588
19,588
19.083333333333332,584
19.166666666666668,589
19.25,593
19.333333333333332,598
19.416666666666668,597
19.5,595
19.583333333333332,591
19.666666666666668,592
19.75,594
19.833333333333332,597
19.916666666666668,598
20,602
20.083333333333332,605
20.166666666666668,600
20.25,595
20.333333333333332,594
20.416666666666668,600
20.5,601
20.583333333333332,605
20.666666666666668,603
20.75,602
20.833333333333332,607
20.916666666666668,607
21,602
21.083333333333332,604
21.166666666666668,608
21.25,615
21.333333333333332,615
21.416666666666668,610
21.5,617
21.583333333333332,617
21.666666666666668,621
21.75,624
21.833333333333332,623
21.916666666666668,624
22,629
22.083333333333332,625
22.166666666666668,626
22.25,622
22.333333333333332,629
22.416666666666668,628
22.5,627
22.583333333333332,629
22.666666666666668,633
22.75,629
22.833333333333332,630
22.916666666666668,633
23,634
23.083333333333332,634
23.166666666666668,634
23.25,637
23.333333333333332,635
23.416666666666668,638
23.5,637
23.583333333333332,640
23.666666666666668,639
23.75,635
23.833333333333332,643
23.916666666666668,641
24,645
24.083333333333332,647
24.166666666666668,650
24.25,641
24.333333333333332,651
24.416666666666668,642
24.5,646
24.583333333333332,647
24.666666666666668,651
24.75,647
24.833333333333332,651
24.916666666666668,650
25,653
25.083333333333332,657
25.166666666666668,649
25.25,656
25.333333333333332,649
25.416666666666668,650
25.5,653
25.583333333333332,655
25.666666666666668,654
25.75,656
25.833333333333332,654
25.916666666666668,663
26,658
26.083333333333332,658
26.166666666666668,659
26.25,660
26.333333333333332,663
26.416666666666668,669
26.5,664
26.583333333333332,664
26.666666666666668,661
26.75,664
26.833333333333332,667
26.916666666666668,666
27,663
27.083333333333332,662
27.166666666666668,668
27.25,666
27.333333333333332,666
27.416666666666668,671
27.5,666
27.583333333333332,675
27.666666666666668,670
27.75,671
27.833333333333332,675
27.916666666666668,675
28,671
28.083333333333332,672
28.166666666666668,672
28.25,676
28.333333333333332,676
28.416666666666668,679
28.5,680
28.583333333333332,676
28.666666666666668,680
28.75,681
28.833333333333332,675
28.916666666666668,673
29,680
29.083333333333332,678
29.166666666666668,675
29.25,676
29.333333333333332,678
29.416666666666668,676
29.5,683
29.583333333333332,684
29.666666666666668,684
29.75,686
29.833333333333332,688
29.916666666666668,685
30,689
30.083333333333332,693
30.166666666666668,688
30.25,687
30.333333333333332,688
30.416666666666668,690
30.5,688
30.583333333333332,684
30.666666666666668,695
30.75,688
30.833333333333332,687
30.916666666666668,691
31,693
31.083333333333332,688
31.166666666666668,692
31.25,697
31.333333333333332,691
31.416666666666668,689
31.5,689
31.583333333333332,698
31.666666666666668,693
31.75,689
31.833333333333332,696
31.916666666666668,693
32,695
32.083333333333336,698
32.166666666666664,692
32.25,698
32.333333333333336,694
32.416666666666664,697
32.5,697
32.583333333333336,696
32.666666666666664,698
32.75,701
32.833333333333336,695
32.916666666666664,694
33,698
33.083333333333336,692
33.166666666666664,694
33.25,697
33.333333333333336,697
33.416666666666664,699
33.5,699
33.583333333333336,698
33.666666666666664,698
33.75,700
33.833333333333336,702
33.916666666666664,700
34,698
34.083333333333336,697
34.166666666666664,699
34.25,702
34.333333333333336,702
34.416666666666664,702
34.5,701
34.583333333333336,704
34.666666666666664,704
34.75,704
34.833333333333336,702
34.916666666666664,700
35,699
35.083333333333336,701
35.166666666666664,703
35.25,702
35.333333333333336,702
35.416666666666664,704
35.5,702
35.583333333333336,707
35.666666666666664,706
35.75,708
35.833333333333336,707
35.916666666666664,705
36,706
36.083333333333336,701
36.166666666666664,709
36.25,706
36.333333333333336,707
36.416666666666664,704
36.5,710
36.583333333333336,709
36.666666666666664,703
36.75,706
36.833333333333336,707
36.916666666666664,702
37,707
37.083333333333336,709
37.166666666666664,712
37.25,711
37.333333333333336,708
37.416666666666664,708
37.5,711
37.583333333333336,713
37.666666666666664,709
37.75,710
37.833333333333336,710
37.916666666666664,708
38,710
38.083333333333336,708
38.166666666666664,708
38.25,704
38.333333333333336,708
38.416666666666664,710
38.5,711
38.583333333333336,710
38.666666666666664,712
38.75,708
38.833333333333336,711
38.916666666666664,711
39,714
39.083333333333336,715
39.166666666666664,716
39.25,714
39.333333333333336,720
39.416666666666664,718
39.5,713
39.583333333333336,717
39.666666666666664,720
39.75,718
39.833333333333336,720
39.916666666666664,711
40,715
40.083333333333336,718
40.166666666666664,720
40.25,718
40.333333333333336,719
40.416666666666664,712
40.5,720
40.583333333333336,716
40.666666666666664,717
40.75,717
40.833333333333336,715
40.916666666666664,714
41,717
41.083333333333336,718
41.166666666666664,714
41.25,713
41.333333333333336,717
41.416666666666664,719
41.5,711
41.583333333333336,716
41.666666666666664,717
41.75,713
41.833333333333336,716
41.916666666666664,721
42,716
42.083333333333336,714
42.166666666666664,715
42.25,714
42.333333333333336,722
42.416666666666664,713
42.5,714
42.583333333333336,716
42.666666666666664,719
42.75,717
42.833333333333336,715
42.916666666666664,721
43,712
43.083333333333336,717
43.166666666666664,719
43.25,720
43.333333333333336,722
43.416666666666664,717
43.5,720
43.583333333333336,718
43.666666666666664,715
43.75,718
43.833333333333336,718
43.916666666666664,712
44,718
44.083333333333336,719
44.166666666666664,716
44.25,718
44.333333333333336,718
44.416666666666664,724
44.5,716
44.583333333333336,718
44.666666666666664,719
44.75,716
44.833333333333336,717
44.916666666666664,717
45,715
45.083333333333336,716
45.166666666666664,721
45.25,718
45.333333333333336,715
45.416666666666664,717
45.5,716
45.583333333333336,714
45.666666666666664,719
45.75,718
45.833333333333336,717
45.916666666666664,717
46,723
46.083333333333336,715
46.166666666666664,723
46.25,724
46.333333333333336,721
46.416666666666664,719
46.5,719
46.583333333333336,720
46.666666666666664,722
46.75,718
46.833333333333336,718
46.916666666666664,725
47,721
47.083333333333336,721
47.166666666666664,717
47.25,723
47.333333333333336,721
47.416666666666664,716
47.5,718
47.583333333333336,724
47.666666666666664,721
47.75,718
47.833333333333336,722
47.916666666666664,722
