"Hours since thread went live","Seiyuu Radio no Uraomote • The Many Sides of Voice Actor Radio - Episode 3 discussion"
0,1
0,5
0.08333333333333333,7
0.16666666666666666,10
0.25,14
0.3333333333333333,16
0.4166666666666667,17
0.5,17
0.5833333333333334,20
0.6666666666666666,22
0.75,24
0.8333333333333334,26
0.9166666666666666,28
1,28
1.0833333333333333,32
1.1666666666666667,34
1.25,35
1.3333333333333333,37
1.4166666666666667,42
1.5,45
1.5833333333333333,48
1.6666666666666667,52
1.75,56
1.8333333333333333,58
1.9166666666666667,65
2,66
2.0833333333333335,70
2.1666666666666665,71
2.25,74
2.3333333333333335,77
2.4166666666666665,83
2.5,84
2.5833333333333335,87
2.6666666666666665,91
2.75,94
2.8333333333333335,95
2.9166666666666665,102
3,103
3.0833333333333335,113
3.1666666666666665,116
3.25,119
3.3333333333333335,127
3.4166666666666665,128
3.5,130
3.5833333333333335,131
3.6666666666666665,139
3.75,138
3.8333333333333335,142
3.9166666666666665,145
4,152
4.083333333333333,152
4.166666666666667,153
4.25,158
4.333333333333333,160
4.416666666666667,168
4.5,172
4.583333333333333,177
4.666666666666667,181
4.75,183
4.833333333333333,178
4.916666666666667,183
5,183
5.083333333333333,188
5.166666666666667,186
5.25,190
5.333333333333333,192
5.416666666666667,196
5.5,194
5.583333333333333,200
5.666666666666667,196
5.75,204
5.833333333333333,206
5.916666666666667,209
6,206
6.083333333333333,211
6.166666666666667,212
6.25,213
6.333333333333333,216
6.416666666666667,216
6.5,219
6.583333333333333,220
6.666666666666667,221
6.75,223
6.833333333333333,223
6.916666666666667,227
7,227
7.083333333333333,230
7.166666666666667,230
7.25,234
7.333333333333333,234
7.416666666666667,240
7.5,240
7.583333333333333,240
7.666666666666667,244
7.75,239
7.833333333333333,247
7.916666666666667,243
8,246
8.083333333333334,247
8.166666666666666,248
8.25,250
8.333333333333334,255
8.416666666666666,250
8.5,254
8.583333333333334,259
8.666666666666666,258
8.75,256
8.833333333333334,260
8.916666666666666,263
9,266
9.083333333333334,267
9.166666666666666,268
9.25,268
9.333333333333334,268
9.416666666666666,275
9.5,269
9.583333333333334,272
9.666666666666666,277
9.75,275
9.833333333333334,274
9.916666666666666,276
10,279
10.083333333333334,281
10.166666666666666,279
10.25,285
10.333333333333334,288
10.416666666666666,292
10.5,291
10.583333333333334,295
10.666666666666666,297
10.75,297
10.833333333333334,303
10.916666666666666,302
11,299
11.083333333333334,304
11.166666666666666,306
11.25,308
11.333333333333334,305
11.416666666666666,307
11.5,306
11.583333333333334,312
11.666666666666666,308
11.75,313
11.833333333333334,318
11.916666666666666,320
12,318
12.083333333333334,323
12.166666666666666,325
12.25,323
12.333333333333334,326
12.416666666666666,324
12.5,329
12.583333333333334,337
12.666666666666666,333
12.75,331
12.833333333333334,329
12.916666666666666,331
13,333
13.083333333333334,332
13.166666666666666,334
13.25,337
13.333333333333334,342
13.416666666666666,347
13.5,343
13.583333333333334,346
13.666666666666666,346
13.75,349
13.833333333333334,348
13.916666666666666,349
14,352
14.083333333333334,350
14.166666666666666,355
14.25,355
14.333333333333334,356
14.416666666666666,354
14.5,358
14.583333333333334,357
14.666666666666666,359
14.75,363
14.833333333333334,368
14.916666666666666,364
15,362
15.083333333333334,363
15.166666666666666,365
15.25,370
15.333333333333334,375
15.416666666666666,374
15.5,375
15.583333333333334,379
15.666666666666666,378
15.75,376
15.833333333333334,373
15.916666666666666,377
16,379
16.083333333333332,377
16.166666666666668,375
16.25,379
16.333333333333332,383
16.416666666666668,379
16.5,379
16.583333333333332,387
16.666666666666668,383
16.75,386
16.833333333333332,389
16.916666666666668,387
17,393
17.083333333333332,388
17.166666666666668,390
17.25,400
17.333333333333332,392
17.416666666666668,392
17.5,394
17.583333333333332,400
17.666666666666668,393
17.75,399
17.833333333333332,398
17.916666666666668,405
18,399
18.083333333333332,406
18.166666666666668,398
18.25,403
18.333333333333332,404
18.416666666666668,408
18.5,406
18.583333333333332,409
18.666666666666668,402
18.75,400
18.833333333333332,406
18.916666666666668,402
19,410
19.083333333333332,402
19.166666666666668,412
19.25,412
19.333333333333332,411
19.416666666666668,411
19.5,414
19.583333333333332,411
19.666666666666668,412
19.75,418
19.833333333333332,414
19.916666666666668,411
20,410
20.083333333333332,412
20.166666666666668,412
20.25,413
20.333333333333332,413
20.416666666666668,412
20.5,411
20.583333333333332,415
20.666666666666668,416
20.75,419
20.833333333333332,412
20.916666666666668,419
21,420
21.083333333333332,421
21.166666666666668,416
21.25,419
21.333333333333332,419
21.416666666666668,420
21.5,424
21.583333333333332,424
21.666666666666668,426
21.75,423
21.833333333333332,430
21.916666666666668,423
22,430
22.083333333333332,423
22.166666666666668,427
22.25,427
22.333333333333332,433
22.416666666666668,424
22.5,423
22.583333333333332,427
22.666666666666668,428
22.75,424
22.833333333333332,431
22.916666666666668,423
23,428
23.083333333333332,425
23.166666666666668,428
23.25,428
23.333333333333332,428
23.416666666666668,436
23.5,430
23.583333333333332,436
23.666666666666668,434
23.75,429
23.833333333333332,430
23.916666666666668,432
24,435
24.083333333333332,427
24.166666666666668,429
24.25,436
24.333333333333332,436
24.416666666666668,433
24.5,431
24.583333333333332,435
24.666666666666668,430
24.75,433
24.833333333333332,432
24.916666666666668,435
25,441
25.083333333333332,439
25.166666666666668,436
25.25,437
25.333333333333332,438
25.416666666666668,432
25.5,432
25.583333333333332,432
25.666666666666668,441
25.75,437
25.833333333333332,437
25.916666666666668,436
26,440
26.083333333333332,439
26.166666666666668,437
26.25,439
26.333333333333332,435
26.416666666666668,444
26.5,442
26.583333333333332,436
26.666666666666668,446
26.75,441
26.833333333333332,439
26.916666666666668,441
27,438
27.083333333333332,443
27.166666666666668,441
27.25,445
27.333333333333332,441
27.416666666666668,448
27.5,445
27.583333333333332,439
27.666666666666668,439
27.75,443
27.833333333333332,447
27.916666666666668,446
28,440
28.083333333333332,451
28.833333333333332,447
28.916666666666668,445
29,449
29.083333333333332,444
29.166666666666668,450
29.25,446
29.333333333333332,445
29.416666666666668,443
29.5,449
29.583333333333332,448
29.666666666666668,445
29.75,444
29.833333333333332,446
29.916666666666668,447
30,445
30.083333333333332,452
30.166666666666668,454
30.25,443
30.333333333333332,450
30.416666666666668,447
30.5,449
30.583333333333332,448
30.666666666666668,448
30.75,456
30.833333333333332,451
30.916666666666668,452
31,455
31.083333333333332,456
31.166666666666668,458
31.25,458
31.333333333333332,453
31.416666666666668,453
31.5,457
31.583333333333332,453
31.666666666666668,461
31.75,458
31.833333333333332,457
31.916666666666668,459
32,463
32.083333333333336,464
32.166666666666664,464
32.25,465
32.333333333333336,464
32.416666666666664,457
32.5,457
32.583333333333336,459
32.666666666666664,461
32.75,463
32.833333333333336,458
32.916666666666664,467
33,467
33.083333333333336,462
33.166666666666664,468
33.25,466
33.333333333333336,466
33.416666666666664,466
33.5,465
33.583333333333336,470
33.666666666666664,471
33.75,462
33.833333333333336,468
33.916666666666664,471
34,466
34.083333333333336,466
34.166666666666664,466
34.25,466
34.333333333333336,473
34.416666666666664,469
34.5,462
34.583333333333336,468
34.666666666666664,471
34.75,465
34.833333333333336,470
34.916666666666664,467
35,468
35.083333333333336,470
35.166666666666664,471
35.25,468
35.333333333333336,469
35.416666666666664,462
35.5,468
35.583333333333336,464
35.666666666666664,463
35.75,464
35.833333333333336,467
35.916666666666664,467
36,470
36.083333333333336,466
36.166666666666664,471
36.25,474
36.333333333333336,471
36.416666666666664,473
36.5,471
36.583333333333336,468
36.666666666666664,473
36.75,475
36.833333333333336,467
36.916666666666664,474
37,475
37.083333333333336,474
37.166666666666664,472
37.25,469
37.333333333333336,470
37.416666666666664,472
37.5,469
37.583333333333336,467
37.666666666666664,476
37.75,473
37.833333333333336,476
37.916666666666664,472
38,474
38.083333333333336,474
38.166666666666664,470
38.25,469
38.333333333333336,471
38.416666666666664,472
38.5,478
38.583333333333336,472
38.666666666666664,468
38.75,468
38.833333333333336,476
38.916666666666664,474
39,473
39.083333333333336,476
39.166666666666664,472
39.25,470
39.333333333333336,476
39.416666666666664,476
39.5,475
39.583333333333336,470
39.666666666666664,472
39.75,475
39.833333333333336,473
39.916666666666664,474
40,481
40.083333333333336,475
40.166666666666664,480
40.25,476
40.333333333333336,479
40.416666666666664,471
40.5,479
40.583333333333336,480
40.666666666666664,474
40.75,477
40.833333333333336,478
40.916666666666664,478
41,474
41.083333333333336,470
41.166666666666664,475
41.25,476
41.333333333333336,476
41.416666666666664,471
41.5,475
41.583333333333336,475
41.666666666666664,475
41.75,474
41.833333333333336,471
41.916666666666664,470
42,473
42.083333333333336,476
42.166666666666664,473
42.25,473
42.333333333333336,477
42.416666666666664,477
42.5,477
42.583333333333336,478
42.666666666666664,482
42.75,477
42.833333333333336,474
42.916666666666664,471
43,471
43.083333333333336,477
43.166666666666664,477
43.25,474
43.333333333333336,480
43.416666666666664,472
43.5,472
43.583333333333336,474
43.666666666666664,478
43.75,476
43.833333333333336,471
43.916666666666664,481
44,474
44.083333333333336,478
44.166666666666664,478
44.25,481
44.333333333333336,474
44.416666666666664,473
44.5,481
44.583333333333336,475
44.666666666666664,475
44.75,478
44.833333333333336,478
44.916666666666664,476
45,476
45.083333333333336,474
45.166666666666664,476
45.25,477
45.333333333333336,473
45.416666666666664,475
45.5,477
45.583333333333336,476
45.666666666666664,477
45.75,478
45.833333333333336,481
45.916666666666664,475
46,473
46.083333333333336,473
46.166666666666664,477
46.25,483
46.333333333333336,475
46.416666666666664,478
46.5,476
46.583333333333336,479
46.666666666666664,475
46.75,474
46.833333333333336,479
46.916666666666664,477
47,479
47.083333333333336,477
47.166666666666664,479
47.25,481
47.333333333333336,476
47.416666666666664,476
47.5,484
47.583333333333336,481
47.666666666666664,478
47.75,478
47.833333333333336,474
47.916666666666664,478
