"Hours since thread went live","Bartender: Kami no Glass • Bartender: Glass of God - Episode 4 discussion"
0,3
0.08333333333333333,5
0.16666666666666666,7
0.25,9
0.3333333333333333,12
0.4166666666666667,13
0.5,20
0.5833333333333334,24
0.6666666666666666,27
0.75,32
0.8333333333333334,33
0.9166666666666666,34
1,39
1.0833333333333333,39
1.1666666666666667,41
1.25,44
1.3333333333333333,45
1.4166666666666667,50
1.5,53
1.5833333333333333,55
1.6666666666666667,62
1.75,67
1.8333333333333333,67
1.9166666666666667,72
2,74
2.0833333333333335,78
2.1666666666666665,79
2.25,84
2.3333333333333335,84
2.4166666666666665,87
2.5,87
2.5833333333333335,88
2.6666666666666665,89
2.75,93
2.8333333333333335,96
2.9166666666666665,99
3,98
3.0833333333333335,103
3.1666666666666665,99
3.25,104
3.3333333333333335,104
3.4166666666666665,109
3.5,109
3.5833333333333335,111
3.6666666666666665,111
3.75,114
3.8333333333333335,113
3.9166666666666665,114
4,121
4.083333333333333,126
4.166666666666667,127
4.25,126
4.333333333333333,130
4.416666666666667,136
4.5,133
4.583333333333333,137
4.666666666666667,138
4.75,139
4.833333333333333,141
4.916666666666667,145
5,144
5.083333333333333,143
5.166666666666667,148
5.25,151
5.333333333333333,151
5.416666666666667,151
5.5,157
5.583333333333333,155
5.666666666666667,164
5.75,162
5.833333333333333,164
5.916666666666667,169
6,168
6.083333333333333,170
6.166666666666667,177
6.25,177
6.333333333333333,179
6.416666666666667,182
6.5,181
6.583333333333333,180
6.666666666666667,186
6.75,186
6.833333333333333,188
6.916666666666667,191
7,191
7.083333333333333,196
7.166666666666667,192
7.25,201
7.333333333333333,200
7.416666666666667,207
7.5,209
7.583333333333333,205
7.666666666666667,212
7.75,217
7.833333333333333,217
7.916666666666667,219
8,215
8.083333333333334,224
8.166666666666666,218
8.25,226
8.333333333333334,224
8.416666666666666,226
8.5,232
8.583333333333334,234
8.666666666666666,234
8.75,236
8.833333333333334,240
8.916666666666666,245
9,245
9.083333333333334,241
9.166666666666666,242
9.25,248
9.333333333333334,247
9.416666666666666,251
9.5,254
9.583333333333334,252
9.666666666666666,251
9.75,260
9.833333333333334,258
9.916666666666666,260
10,260
10.083333333333334,261
10.166666666666666,263
10.25,262
10.333333333333334,264
10.416666666666666,267
10.5,263
10.583333333333334,266
10.666666666666666,268
10.75,268
10.833333333333334,272
10.916666666666666,273
11,274
11.083333333333334,277
11.166666666666666,273
11.25,277
11.333333333333334,278
11.416666666666666,277
11.5,285
11.583333333333334,282
11.666666666666666,283
11.75,285
11.833333333333334,285
11.916666666666666,290
12,287
12.083333333333334,289
12.166666666666666,293
12.25,291
12.333333333333334,293
12.416666666666666,290
12.5,291
12.583333333333334,292
12.666666666666666,290
12.75,295
12.833333333333334,291
12.916666666666666,298
13,296
13.083333333333334,296
13.166666666666666,299
13.25,301
13.333333333333334,302
13.416666666666666,302
13.5,299
13.583333333333334,304
13.666666666666666,305
13.75,305
13.833333333333334,307
13.916666666666666,305
14,310
14.083333333333334,306
14.166666666666666,314
14.25,314
14.333333333333334,312
14.416666666666666,312
14.5,315
14.583333333333334,313
14.666666666666666,313
14.75,318
14.833333333333334,314
14.916666666666666,312
15,314
15.083333333333334,314
15.166666666666666,314
15.25,319
15.333333333333334,319
15.416666666666666,319
15.5,329
15.583333333333334,322
15.666666666666666,325
15.75,325
15.833333333333334,324
15.916666666666666,321
16,326
16.083333333333332,326
16.166666666666668,326
16.25,320
16.333333333333332,322
16.416666666666668,326
16.5,329
16.583333333333332,326
16.666666666666668,326
16.75,325
16.833333333333332,325
16.916666666666668,328
17,330
17.083333333333332,328
17.166666666666668,328
17.25,323
17.333333333333332,328
17.416666666666668,325
17.5,328
17.583333333333332,325
17.666666666666668,331
17.75,332
17.833333333333332,330
17.916666666666668,331
18,332
18.083333333333332,332
18.166666666666668,333
18.25,339
18.333333333333332,336
18.416666666666668,336
18.5,332
18.583333333333332,337
18.666666666666668,337
18.75,337
18.833333333333332,342
18.916666666666668,341
19,339
19.083333333333332,341
19.166666666666668,344
19.25,343
19.333333333333332,349
19.416666666666668,341
19.5,337
19.583333333333332,345
19.666666666666668,345
19.75,344
19.833333333333332,347
19.916666666666668,347
20,349
20.083333333333332,342
20.166666666666668,344
20.25,346
20.333333333333332,342
20.416666666666668,347
20.5,345
20.583333333333332,348
20.666666666666668,347
20.75,354
20.833333333333332,350
20.916666666666668,354
21,355
21.083333333333332,352
21.166666666666668,356
21.25,351
21.333333333333332,352
21.416666666666668,349
21.5,354
21.583333333333332,345
21.666666666666668,354
21.75,348
21.833333333333332,352
21.916666666666668,351
22,355
22.083333333333332,352
22.166666666666668,363
22.25,360
22.333333333333332,360
22.416666666666668,352
22.5,357
22.583333333333332,365
22.666666666666668,364
22.75,353
22.833333333333332,359
22.916666666666668,366
23,361
23.083333333333332,362
23.166666666666668,365
23.25,364
23.333333333333332,362
23.416666666666668,362
23.5,362
23.583333333333332,366
23.666666666666668,364
23.75,360
23.833333333333332,356
23.916666666666668,357
24,365
24.083333333333332,366
24.833333333333332,370
24.916666666666668,367
25,368
25.083333333333332,364
25.166666666666668,363
25.25,363
25.333333333333332,365
25.416666666666668,368
25.5,371
25.583333333333332,373
25.666666666666668,369
25.75,368
25.833333333333332,371
25.916666666666668,367
26,373
26.083333333333332,370
26.166666666666668,371
26.25,373
26.333333333333332,375
26.416666666666668,369
26.5,376
26.583333333333332,371
26.666666666666668,371
26.75,372
26.833333333333332,370
26.916666666666668,372
27,369
27.083333333333332,376
27.166666666666668,370
27.25,370
27.333333333333332,371
27.416666666666668,372
27.5,371
27.583333333333332,372
27.666666666666668,369
27.75,375
27.833333333333332,372
27.916666666666668,378
28,377
28.083333333333332,374
28.166666666666668,374
28.25,375
28.333333333333332,371
28.416666666666668,373
28.5,375
28.583333333333332,373
28.666666666666668,370
28.75,374
28.833333333333332,373
28.916666666666668,372
29,377
29.083333333333332,377
29.166666666666668,377
29.25,380
29.333333333333332,377
29.416666666666668,372
29.5,375
29.583333333333332,382
29.666666666666668,378
29.75,372
29.833333333333332,377
29.916666666666668,379
30,375
30.083333333333332,378
30.166666666666668,379
30.25,374
30.333333333333332,378
30.416666666666668,371
30.5,378
30.583333333333332,379
30.666666666666668,377
30.75,375
30.833333333333332,378
30.916666666666668,372
31,382
31.083333333333332,376
31.166666666666668,372
31.25,373
31.333333333333332,377
31.416666666666668,379
31.5,378
31.583333333333332,380
31.666666666666668,377
31.75,373
31.833333333333332,377
31.916666666666668,381
32,377
32.083333333333336,381
32.166666666666664,375
32.25,383
32.333333333333336,381
32.416666666666664,375
32.5,384
32.583333333333336,378
32.666666666666664,372
32.75,380
32.833333333333336,378
32.916666666666664,378
33,379
33.083333333333336,374
33.166666666666664,382
33.25,374
33.333333333333336,376
33.416666666666664,374
33.5,381
33.583333333333336,386
33.666666666666664,383
33.75,380
33.833333333333336,384
33.916666666666664,382
34,379
34.083333333333336,382
34.166666666666664,382
34.25,381
34.333333333333336,383
34.416666666666664,384
34.5,383
34.583333333333336,383
34.666666666666664,383
34.75,380
34.833333333333336,387
34.916666666666664,377
35,384
35.083333333333336,384
35.166666666666664,380
35.25,382
35.333333333333336,380
35.416666666666664,387
35.5,387
35.583333333333336,385
35.666666666666664,382
35.75,382
35.833333333333336,381
35.916666666666664,385
36,387
36.083333333333336,388
36.166666666666664,379
36.25,381
36.333333333333336,387
36.416666666666664,388
36.5,387
36.583333333333336,382
36.666666666666664,384
36.75,389
36.833333333333336,388
36.916666666666664,386
37,387
37.083333333333336,386
37.166666666666664,382
37.25,388
37.333333333333336,389
37.416666666666664,385
37.5,381
37.583333333333336,380
37.666666666666664,384
37.75,386
37.833333333333336,385
37.916666666666664,386
38,382
38.083333333333336,387
38.166666666666664,386
38.25,388
38.333333333333336,387
38.416666666666664,385
38.5,388
38.583333333333336,391
38.666666666666664,390
38.75,384
38.833333333333336,382
38.916666666666664,389
39,385
39.083333333333336,383
39.166666666666664,390
39.25,391
39.333333333333336,387
39.416666666666664,391
39.5,390
39.583333333333336,387
39.666666666666664,388
39.75,392
39.833333333333336,391
39.916666666666664,387
40,390
40.083333333333336,391
40.166666666666664,395
40.25,392
40.333333333333336,388
40.416666666666664,387
40.5,391
40.583333333333336,394
40.666666666666664,390
40.75,393
40.833333333333336,394
40.916666666666664,386
41,390
41.083333333333336,391
41.166666666666664,391
41.25,393
41.333333333333336,393
41.416666666666664,392
41.5,389
41.583333333333336,389
41.666666666666664,389
41.75,396
41.833333333333336,393
41.916666666666664,396
42,391
