"Hours since thread went live","Wind Breaker - Episode 4 discussion"
0,3
0,3
0.08333333333333333,7
0.16666666666666666,14
0.25,21
0.3333333333333333,25
0.4166666666666667,31
0.5,35
0.5833333333333334,41
0.6666666666666666,46
0.75,52
0.8333333333333334,56
0.9166666666666666,62
1,65
1.0833333333333333,68
1.1666666666666667,75
1.25,80
1.3333333333333333,90
1.4166666666666667,97
1.5,102
1.5833333333333333,106
1.6666666666666667,108
1.75,113
1.8333333333333333,114
1.9166666666666667,116
2,124
2.0833333333333335,124
2.1666666666666665,129
2.25,132
2.3333333333333335,135
2.4166666666666665,140
2.5,144
2.5833333333333335,148
2.6666666666666665,155
2.75,157
2.8333333333333335,160
2.9166666666666665,164
3,169
3.0833333333333335,179
3.1666666666666665,187
3.25,188
3.3333333333333335,189
3.4166666666666665,196
3.5,199
3.5833333333333335,203
3.6666666666666665,204
3.75,208
3.8333333333333335,214
3.9166666666666665,213
4,215
4.083333333333333,218
4.166666666666667,220
4.25,229
4.333333333333333,229
4.416666666666667,232
4.5,233
4.583333333333333,235
4.666666666666667,240
4.75,243
4.833333333333333,244
4.916666666666667,242
5,248
5.083333333333333,253
5.166666666666667,254
5.25,256
5.333333333333333,259
5.416666666666667,262
5.5,266
5.583333333333333,263
5.666666666666667,269
5.75,277
5.833333333333333,282
5.916666666666667,281
6,280
6.083333333333333,287
6.166666666666667,290
6.25,285
6.333333333333333,289
6.416666666666667,295
6.5,294
6.583333333333333,294
6.666666666666667,300
6.75,306
6.833333333333333,304
6.916666666666667,312
7,318
7.083333333333333,317
7.166666666666667,322
7.25,323
7.333333333333333,327
7.416666666666667,324
7.5,334
7.583333333333333,335
7.666666666666667,330
7.75,335
7.833333333333333,333
7.916666666666667,337
8,346
8.083333333333334,346
8.166666666666666,352
8.25,354
8.333333333333334,355
8.416666666666666,353
8.5,354
8.583333333333334,363
8.666666666666666,363
8.75,359
8.833333333333334,371
8.916666666666666,368
9,375
9.083333333333334,375
9.166666666666666,380
9.25,390
9.333333333333334,390
9.416666666666666,388
9.5,388
9.583333333333334,397
9.666666666666666,397
9.75,402
9.833333333333334,402
9.916666666666666,410
10,405
10.083333333333334,414
10.166666666666666,418
10.25,419
10.333333333333334,425
10.416666666666666,422
10.5,424
10.583333333333334,431
10.666666666666666,436
10.75,439
10.833333333333334,432
10.916666666666666,442
11,450
11.083333333333334,453
11.166666666666666,453
11.25,447
11.333333333333334,455
11.416666666666666,457
11.5,462
11.583333333333334,465
11.666666666666666,465
11.75,463
11.833333333333334,470
11.916666666666666,478
12,469
12.083333333333334,473
12.166666666666666,473
12.25,483
12.333333333333334,486
12.416666666666666,494
12.5,488
12.583333333333334,493
12.666666666666666,495
12.75,507
12.833333333333334,499
12.916666666666666,506
13,502
13.083333333333334,502
13.166666666666666,507
13.25,506
13.333333333333334,507
13.416666666666666,508
13.5,511
13.583333333333334,514
13.666666666666666,516
13.75,517
13.833333333333334,518
13.916666666666666,526
14,526
14.083333333333334,528
14.166666666666666,527
14.25,530
14.333333333333334,532
14.416666666666666,525
14.5,525
14.583333333333334,535
14.666666666666666,534
14.75,543
14.833333333333334,536
14.916666666666666,547
15,545
15.083333333333334,542
15.166666666666666,545
15.25,542
15.333333333333334,548
15.416666666666666,543
15.5,550
15.583333333333334,552
15.666666666666666,548
15.75,551
15.833333333333334,553
15.916666666666666,548
16,550
16.083333333333332,556
16.166666666666668,554
16.25,556
16.333333333333332,559
16.416666666666668,562
16.5,555
16.583333333333332,557
16.666666666666668,557
16.75,563
16.833333333333332,557
16.916666666666668,566
17,561
17.083333333333332,563
17.166666666666668,566
17.25,566
17.333333333333332,569
17.416666666666668,572
17.5,570
17.583333333333332,572
17.666666666666668,569
17.75,566
17.833333333333332,569
17.916666666666668,568
18,573
18.083333333333332,573
18.166666666666668,576
18.25,571
18.333333333333332,576
18.416666666666668,579
18.5,574
18.583333333333332,577
18.666666666666668,579
18.75,576
