"Hours since thread went live","Kuroshitsuji: Kishuku Gakkou-hen • Black Butler: Public School Arc - Episode 3 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,2
0.25,3
0.3333333333333333,3
0.4166666666666667,2
0.5,4
0.5833333333333334,5
0.6666666666666666,4
0.75,4
0.8333333333333334,5
0.9166666666666666,5
1,6
1.0833333333333333,8
1.1666666666666667,10
1.25,10
1.3333333333333333,12
1.4166666666666667,14
1.5,12
1.5833333333333333,14
1.6666666666666667,17
1.75,16
1.8333333333333333,17
1.9166666666666667,17
2,19
2.0833333333333335,20
2.1666666666666665,19
2.25,22
2.3333333333333335,21
2.4166666666666665,23
2.5,24
2.5833333333333335,28
2.6666666666666665,25
2.75,29
2.8333333333333335,30
2.9166666666666665,30
3,28
3.0833333333333335,31
3.1666666666666665,32
3.25,32
3.3333333333333335,37
3.4166666666666665,36
3.5,37
3.5833333333333335,34
3.6666666666666665,34
3.75,38
3.8333333333333335,38
3.9166666666666665,39
4,43
4.083333333333333,41
4.166666666666667,41
4.25,43
4.333333333333333,47
4.416666666666667,46
4.5,45
4.583333333333333,44
4.666666666666667,44
4.75,43
4.833333333333333,48
4.916666666666667,50
5,46
5.083333333333333,48
5.166666666666667,48
5.25,51
5.333333333333333,47
5.416666666666667,50
5.5,50
5.583333333333333,52
5.666666666666667,51
5.75,48
5.833333333333333,47
5.916666666666667,53
6,53
6.083333333333333,54
6.166666666666667,53
6.25,54
6.333333333333333,54
6.416666666666667,56
6.5,54
6.583333333333333,60
6.666666666666667,55
6.75,53
6.833333333333333,53
6.916666666666667,58
7,58
7.083333333333333,55
7.166666666666667,59
7.25,54
7.333333333333333,62
7.416666666666667,59
7.5,63
7.583333333333333,60
7.666666666666667,63
7.75,62
7.833333333333333,61
8,61
8.083333333333334,64
8.166666666666666,63
8.25,65
8.333333333333334,60
8.416666666666666,64
8.5,64
8.583333333333334,60
8.666666666666666,64
8.75,62
8.833333333333334,65
8.916666666666666,66
9,67
9.083333333333334,66
9.166666666666666,67
9.25,64
9.333333333333334,69
9.416666666666666,66
9.5,70
9.583333333333334,66
9.666666666666666,70
9.75,71
9.833333333333334,72
9.916666666666666,69
10,68
10.083333333333334,70
10.166666666666666,67
10.25,67
10.333333333333334,67
10.416666666666666,74
10.5,71
10.583333333333334,68
10.666666666666666,74
10.75,70
10.833333333333334,67
10.916666666666666,70
11,72
11.083333333333334,72
11.166666666666666,75
11.25,68
11.333333333333334,72
11.416666666666666,71
11.5,73
11.583333333333334,72
11.666666666666666,71
11.75,76
11.833333333333334,73
11.916666666666666,72
12,75
12.083333333333334,72
12.166666666666666,72
12.25,73
12.333333333333334,77
12.416666666666666,75
12.5,72
12.583333333333334,77
12.666666666666666,74
12.75,73
12.833333333333334,76
12.916666666666666,77
13,70
13.083333333333334,73
13.166666666666666,74
13.25,75
13.333333333333334,72
13.416666666666666,77
13.5,75
13.583333333333334,79
13.666666666666666,79
13.75,75
13.833333333333334,77
13.916666666666666,76
14,78
14.083333333333334,76
14.166666666666666,74
14.25,77
14.333333333333334,76
14.416666666666666,74
14.5,78
14.666666666666666,81
14.75,80
14.833333333333334,78
14.916666666666666,78
15,83
15.083333333333334,76
15.166666666666666,80
15.25,80
15.333333333333334,80
15.416666666666666,77
15.5,78
15.583333333333334,82
15.666666666666666,76
15.75,78
15.833333333333334,80
15.916666666666666,80
16,80
16.083333333333332,78
16.166666666666668,85
16.25,84
16.333333333333332,83
16.416666666666668,82
16.5,81
16.583333333333332,88
16.666666666666668,83
16.75,85
16.833333333333332,88
16.916666666666668,83
17,83
17.083333333333332,82
17.166666666666668,83
17.25,84
17.333333333333332,88
17.416666666666668,84
17.5,89
17.583333333333332,86
17.666666666666668,87
17.75,81
17.833333333333332,86
17.916666666666668,85
18,86
18.083333333333332,87
18.166666666666668,84
18.25,88
18.333333333333332,87
18.416666666666668,88
18.5,84
18.583333333333332,84
18.666666666666668,89
18.75,89
18.833333333333332,87
18.916666666666668,88
19,93
19.083333333333332,91
19.166666666666668,87
19.25,91
19.333333333333332,92
19.416666666666668,91
19.5,91
19.583333333333332,89
19.666666666666668,92
19.75,89
19.833333333333332,88
19.916666666666668,93
20,89
20.083333333333332,87
20.166666666666668,92
20.25,87
20.333333333333332,88
20.416666666666668,92
20.5,89
20.583333333333332,93
20.666666666666668,88
20.75,88
20.833333333333332,93
20.916666666666668,93
21,94
21.083333333333332,94
21.166666666666668,92
21.25,92
21.333333333333332,91
21.416666666666668,92
21.5,95
21.583333333333332,97
21.666666666666668,96
21.75,92
21.833333333333332,93
21.916666666666668,93
22,92
22.083333333333332,91
22.166666666666668,94
22.25,94
22.333333333333332,96
22.416666666666668,90
22.5,95
22.583333333333332,92
22.666666666666668,93
22.75,92
22.833333333333332,95
22.916666666666668,97
23,98
23.083333333333332,95
23.166666666666668,97
23.25,98
23.333333333333332,94
23.416666666666668,93
23.5,101
23.583333333333332,97
23.666666666666668,98
23.75,99
23.833333333333332,97
23.916666666666668,99
24,97
24.083333333333332,97
24.166666666666668,100
24.25,101
24.333333333333332,97
24.416666666666668,100
24.5,98
24.583333333333332,101
24.666666666666668,100
24.75,99
24.833333333333332,101
24.916666666666668,99
25,101
25.083333333333332,98
25.166666666666668,97
25.25,102
25.333333333333332,103
25.416666666666668,97
25.5,99
25.583333333333332,102
25.666666666666668,103
25.75,101
25.833333333333332,99
25.916666666666668,101
26,103
26.083333333333332,101
26.166666666666668,100
26.25,105
26.333333333333332,101
26.416666666666668,100
26.5,102
26.583333333333332,101
26.666666666666668,99
26.75,99
26.833333333333332,101
26.916666666666668,104
27,100
27.083333333333332,102
27.166666666666668,100
27.25,103
27.333333333333332,101
27.416666666666668,103
27.5,99
27.583333333333332,103
27.666666666666668,104
27.75,102
27.833333333333332,98
27.916666666666668,100
28,101
28.083333333333332,100
28.166666666666668,103
28.25,103
28.333333333333332,103
28.416666666666668,105
28.5,102
28.583333333333332,102
28.666666666666668,104
28.75,101
28.833333333333332,105
28.916666666666668,105
29,108
29.083333333333332,105
29.166666666666668,106
29.25,105
29.333333333333332,103
29.416666666666668,104
29.5,105
29.583333333333332,108
29.666666666666668,103
29.75,105
29.833333333333332,101
29.916666666666668,104
30,103
30.083333333333332,102
30.166666666666668,101
30.25,104
30.333333333333332,105
30.416666666666668,102
30.5,104
30.583333333333332,103
30.666666666666668,103
30.75,105
30.833333333333332,105
30.916666666666668,102
31,101
31.083333333333332,103
31.166666666666668,104
31.25,103
31.333333333333332,106
31.416666666666668,106
31.5,102
31.583333333333332,103
31.666666666666668,102
31.75,107
31.833333333333332,103
31.916666666666668,104
32,106
32.083333333333336,103
32.166666666666664,102
32.25,105
32.333333333333336,106
32.416666666666664,107
32.5,105
32.583333333333336,105
32.666666666666664,103
32.75,106
32.833333333333336,105
32.916666666666664,108
33,110
33.083333333333336,107
33.166666666666664,103
33.25,105
33.333333333333336,104
33.416666666666664,104
33.5,108
33.583333333333336,108
33.666666666666664,106
33.75,106
33.833333333333336,111
33.916666666666664,109
34,106
34.083333333333336,107
34.166666666666664,112
34.25,104
34.333333333333336,112
34.416666666666664,107
34.5,111
34.583333333333336,106
34.666666666666664,106
34.75,104
34.833333333333336,108
34.916666666666664,107
35,111
35.083333333333336,110
35.166666666666664,108
35.25,111
35.333333333333336,104
35.416666666666664,105
35.5,109
35.583333333333336,106
35.666666666666664,107
35.75,107
35.833333333333336,111
35.916666666666664,107
36,108
36.083333333333336,109
36.166666666666664,106
36.25,108
36.333333333333336,109
36.416666666666664,109
36.5,109
36.583333333333336,109
36.666666666666664,113
36.75,111
36.833333333333336,110
36.916666666666664,109
37,109
37.083333333333336,112
37.166666666666664,110
37.25,110
37.333333333333336,111
37.416666666666664,109
37.5,109
37.583333333333336,111
37.666666666666664,107
37.75,110
37.833333333333336,105
37.916666666666664,108
38,109
38.083333333333336,109
38.166666666666664,109
38.25,108
38.333333333333336,109
38.416666666666664,111
38.5,112
38.583333333333336,109
38.666666666666664,110
38.75,109
38.833333333333336,106
38.916666666666664,110
39,105
