"Hours since thread went live","The New Gate - Episode 3 discussion"
0,1
0,3
0.08333333333333333,5
0.16666666666666666,13
0.25,14
0.3333333333333333,17
0.4166666666666667,19
0.5,20
0.5833333333333334,25
0.6666666666666666,27
0.75,30
0.8333333333333334,32
0.9166666666666666,34
1,34
1.0833333333333333,37
1.1666666666666667,39
1.25,41
1.3333333333333333,49
1.4166666666666667,49
1.5,46
1.5833333333333333,52
1.6666666666666667,55
1.75,59
1.8333333333333333,59
1.9166666666666667,60
2,61
2.0833333333333335,61
2.1666666666666665,62
2.25,66
2.3333333333333335,68
2.4166666666666665,66
2.5,71
2.5833333333333335,74
2.6666666666666665,75
2.75,76
2.8333333333333335,80
2.9166666666666665,79
3,82
3.0833333333333335,84
3.1666666666666665,88
3.25,87
3.3333333333333335,88
3.4166666666666665,93
3.5,97
3.5833333333333335,97
3.6666666666666665,103
3.75,107
3.8333333333333335,107
3.9166666666666665,107
4,108
4.083333333333333,113
4.166666666666667,113
4.25,117
4.333333333333333,115
4.416666666666667,116
4.5,117
4.583333333333333,119
4.666666666666667,119
4.75,117
4.833333333333333,123
4.916666666666667,121
5,123
5.083333333333333,123
5.166666666666667,128
5.25,130
5.333333333333333,129
5.416666666666667,131
5.5,132
5.583333333333333,137
5.666666666666667,141
5.75,142
5.833333333333333,145
5.916666666666667,152
6,149
6.083333333333333,150
6.166666666666667,154
6.25,155
6.333333333333333,156
6.5,154
6.583333333333333,156
6.666666666666667,158
6.75,160
6.833333333333333,160
6.916666666666667,159
7,161
7.083333333333333,162
7.166666666666667,165
7.25,167
7.333333333333333,163
7.416666666666667,168
7.5,168
7.583333333333333,171
7.666666666666667,168
7.75,167
7.833333333333333,166
7.916666666666667,169
8,170
8.083333333333334,166
8.166666666666666,172
8.25,169
8.333333333333334,172
8.416666666666666,173
8.5,176
8.583333333333334,169
8.666666666666666,171
8.75,174
8.833333333333334,174
8.916666666666666,173
9,176
9.083333333333334,179
9.166666666666666,178
9.25,178
9.333333333333334,174
9.416666666666666,181
9.5,179
9.583333333333334,181
9.666666666666666,183
9.75,179
9.833333333333334,182
9.916666666666666,185
10,187
10.083333333333334,189
10.166666666666666,189
10.25,189
10.333333333333334,192
10.416666666666666,191
10.5,191
10.583333333333334,193
10.666666666666666,195
10.75,193
10.833333333333334,195
10.916666666666666,192
11,193
11.083333333333334,199
11.166666666666666,194
11.25,197
11.333333333333334,195
11.416666666666666,200
11.5,201
11.583333333333334,196
11.666666666666666,199
11.75,203
11.833333333333334,203
11.916666666666666,206
12,203
12.083333333333334,202
12.166666666666666,202
12.25,205
12.333333333333334,207
12.416666666666666,201
12.5,202
12.583333333333334,205
12.666666666666666,205
12.75,202
12.833333333333334,207
12.916666666666666,201
13,202
13.166666666666666,206
13.25,203
13.333333333333334,205
13.416666666666666,208
13.5,208
13.583333333333334,209
13.666666666666666,208
13.75,206
13.833333333333334,209
13.916666666666666,210
14,211
14.083333333333334,210
14.166666666666666,210
14.25,213
14.333333333333334,211
14.416666666666666,214
14.5,215
14.583333333333334,215
14.666666666666666,212
14.75,213
14.833333333333334,219
14.916666666666666,218
15,216
15.083333333333334,215
15.166666666666666,218
15.25,217
15.333333333333334,214
15.416666666666666,217
15.5,214
15.583333333333334,221
15.666666666666666,215
15.75,220
15.833333333333334,222
15.916666666666666,223
16,226
16.083333333333332,222
16.166666666666668,223
16.25,223
16.333333333333332,223
16.416666666666668,225
16.5,223
16.583333333333332,227
16.666666666666668,227
16.75,223
16.833333333333332,222
16.916666666666668,224
17,227
17.083333333333332,227
17.166666666666668,227
17.25,229
17.333333333333332,230
17.416666666666668,230
17.5,227
17.583333333333332,231
17.666666666666668,228
17.75,226
17.833333333333332,234
17.916666666666668,228
18,234
18.083333333333332,228
18.166666666666668,232
18.25,226
18.333333333333332,228
18.416666666666668,232
18.5,234
18.583333333333332,229
18.666666666666668,227
18.75,229
18.833333333333332,231
18.916666666666668,231
19,234
19.083333333333332,228
19.166666666666668,233
19.25,234
19.333333333333332,233
19.416666666666668,233
19.5,230
19.583333333333332,233
19.666666666666668,231
19.75,229
19.833333333333332,232
19.916666666666668,233
20,232
20.083333333333332,233
20.166666666666668,230
20.25,235
20.333333333333332,235
20.416666666666668,233
20.5,239
20.583333333333332,238
20.666666666666668,239
20.75,234
20.833333333333332,237
20.916666666666668,237
21,235
21.083333333333332,238
21.166666666666668,239
21.25,241
21.333333333333332,239
21.416666666666668,243
21.5,242
21.583333333333332,248
21.666666666666668,245
21.75,244
21.833333333333332,245
21.916666666666668,248
22,245
22.083333333333332,242
22.166666666666668,245
22.25,244
22.333333333333332,243
22.416666666666668,247
22.5,249
22.583333333333332,244
22.666666666666668,246
22.75,248
22.833333333333332,246
22.916666666666668,246
23,244
23.083333333333332,248
23.166666666666668,247
23.25,252
23.333333333333332,246
23.416666666666668,252
23.5,249
23.583333333333332,250
23.666666666666668,245
23.75,249
23.833333333333332,249
23.916666666666668,250
24,248
24.083333333333332,247
24.166666666666668,250
24.25,248
24.333333333333332,249
24.416666666666668,251
24.5,251
24.583333333333332,250
24.666666666666668,249
24.75,253
24.833333333333332,251
24.916666666666668,251
25,251
25.083333333333332,249
25.166666666666668,252
25.25,252
25.333333333333332,248
25.416666666666668,251
25.5,253
25.583333333333332,251
25.666666666666668,253
25.75,251
25.833333333333332,250
25.916666666666668,255
26,249
26.083333333333332,254
26.166666666666668,253
26.25,251
26.333333333333332,250
26.416666666666668,250
26.5,249
26.583333333333332,255
26.666666666666668,250
