"Hours since thread went live","Tonari no Youkai-san - Episode 4 discussion"
0,1
0.08333333333333333,7
0.16666666666666666,9
0.25,9
0.3333333333333333,11
0.4166666666666667,12
0.5,13
0.5833333333333334,12
0.6666666666666666,13
0.75,16
0.8333333333333334,22
0.9166666666666666,24
1,27
1.0833333333333333,28
1.1666666666666667,27
1.25,26
1.3333333333333333,26
1.4166666666666667,27
1.5,28
1.5833333333333333,30
1.6666666666666667,30
1.75,32
1.8333333333333333,34
1.9166666666666667,35
2,36
2.0833333333333335,37
2.1666666666666665,36
2.25,39
2.3333333333333335,39
2.4166666666666665,40
2.5,44
2.5833333333333335,43
2.6666666666666665,44
2.75,43
2.8333333333333335,43
2.9166666666666665,42
3,45
3.0833333333333335,47
3.1666666666666665,47
3.25,52
3.3333333333333335,49
3.4166666666666665,50
3.5,50
3.5833333333333335,51
3.6666666666666665,53
3.75,55
3.8333333333333335,55
3.9166666666666665,52
4,53
4.083333333333333,51
4.166666666666667,54
4.25,54
4.333333333333333,58
4.416666666666667,56
4.5,54
4.583333333333333,60
4.666666666666667,59
4.75,63
4.833333333333333,65
4.916666666666667,65
5,63
5.083333333333333,63
5.25,62
5.333333333333333,65
5.416666666666667,62
5.5,66
5.583333333333333,68
5.666666666666667,68
5.75,70
5.833333333333333,67
5.916666666666667,67
6,71
6.083333333333333,65
6.166666666666667,70
6.25,68
6.333333333333333,67
6.416666666666667,67
6.5,70
6.583333333333333,68
6.666666666666667,72
6.75,72
6.833333333333333,71
6.916666666666667,69
7,74
7.083333333333333,68
7.166666666666667,67
7.25,74
7.333333333333333,75
7.416666666666667,76
7.5,71
7.583333333333333,73
7.666666666666667,76
7.75,73
7.833333333333333,75
7.916666666666667,75
8,75
8.083333333333334,73
8.166666666666666,73
8.25,76
8.333333333333334,74
8.416666666666666,76
8.5,76
8.583333333333334,75
8.666666666666666,80
8.75,82
8.833333333333334,82
8.916666666666666,79
9,80
9.083333333333334,82
9.166666666666666,86
9.25,89
9.333333333333334,85
9.416666666666666,89
9.5,85
9.583333333333334,90
9.666666666666666,86
9.75,88
9.833333333333334,90
9.916666666666666,90
10,93
10.083333333333334,93
10.166666666666666,95
10.25,94
10.333333333333334,95
10.416666666666666,97
10.5,97
10.583333333333334,96
10.666666666666666,95
10.75,97
10.833333333333334,100
10.916666666666666,100
11,100
11.083333333333334,103
11.166666666666666,102
11.25,104
11.333333333333334,101
11.416666666666666,103
11.5,103
11.583333333333334,105
11.666666666666666,110
11.75,106
11.916666666666666,106
12,111
12.083333333333334,106
12.166666666666666,110
12.25,106
12.333333333333334,108
12.416666666666666,112
12.5,112
12.583333333333334,109
12.666666666666666,110
12.75,113
12.833333333333334,108
12.916666666666666,107
13,112
13.083333333333334,114
13.166666666666666,112
13.25,112
13.333333333333334,111
13.416666666666666,111
13.5,115
13.583333333333334,109
13.666666666666666,112
13.75,111
13.833333333333334,109
13.916666666666666,115
14,113
