"Hours since thread went live","Captain Tsubasa Season 2: Junior Youth-hen • 'Captain Tsubasa Jr. Youth Arc - Episode 30 discussion"
0,1
0,1
0.08333333333333333,0
0.16666666666666666,0
0.25,0
0.3333333333333333,0
0.4166666666666667,0
0.5,0
0.5833333333333334,0
0.6666666666666666,0
0.75,0
0.8333333333333334,0
0.9166666666666666,0
1,0
1.0833333333333333,0
1.1666666666666667,0
1.25,0
1.3333333333333333,1
1.4166666666666667,1
1.5,1
1.5833333333333333,1
1.6666666666666667,1
1.75,1
1.8333333333333333,1
1.9166666666666667,2
2,2
2.0833333333333335,2
2.1666666666666665,2
2.25,2
2.3333333333333335,2
2.4166666666666665,2
2.5,2
2.5833333333333335,2
2.6666666666666665,2
2.75,2
2.8333333333333335,2
2.9166666666666665,2
3,2
3.0833333333333335,2
3.1666666666666665,2
3.25,2
3.3333333333333335,2
3.4166666666666665,2
3.5,2
3.5833333333333335,2
3.6666666666666665,2
3.75,2
3.8333333333333335,2
3.9166666666666665,2
4,2
4.083333333333333,2
4.166666666666667,2
4.25,2
4.333333333333333,2
4.416666666666667,2
4.5,2
4.583333333333333,2
4.666666666666667,2
4.75,2
4.833333333333333,2
4.916666666666667,2
5,2
5.083333333333333,2
5.166666666666667,2
5.25,3
5.333333333333333,3
5.416666666666667,4
5.5,5
5.583333333333333,3
5.666666666666667,4
5.75,4
5.833333333333333,2
5.916666666666667,3
6,4
6.083333333333333,3
6.166666666666667,4
6.25,5
6.333333333333333,6
6.416666666666667,5
6.5,5
6.583333333333333,6
6.666666666666667,5
6.75,5
6.833333333333333,5
6.916666666666667,3
7,3
7.083333333333333,5
7.166666666666667,4
7.25,3
7.333333333333333,7
7.416666666666667,6
7.5,4
7.583333333333333,7
7.666666666666667,6
7.75,4
7.833333333333333,5
7.916666666666667,7
8,7
8.083333333333334,7
8.166666666666666,2
8.25,2
8.333333333333334,2
8.416666666666666,4
8.5,3
8.583333333333334,4
8.666666666666666,4
8.75,4
8.833333333333334,4
8.916666666666666,7
9,3
9.083333333333334,4
9.166666666666666,4
9.25,3
9.333333333333334,6
9.416666666666666,5
9.5,4
9.583333333333334,5
9.666666666666666,6
9.75,5
9.833333333333334,3
9.916666666666666,7
10,6
10.083333333333334,4
10.166666666666666,6
10.25,4
10.333333333333334,6
10.416666666666666,5
10.5,4
10.583333333333334,5
10.666666666666666,4
10.75,8
10.833333333333334,6
10.916666666666666,6
11,7
11.083333333333334,6
11.166666666666666,7
11.25,6
11.333333333333334,7
11.416666666666666,6
11.5,7
11.583333333333334,7
11.666666666666666,8
11.75,7
11.833333333333334,6
11.916666666666666,8
12,9
12.083333333333334,9
12.166666666666666,10
12.25,9
12.333333333333334,8
12.416666666666666,9
12.5,9
12.583333333333334,7
12.666666666666666,8
12.75,9
12.833333333333334,8
12.916666666666666,7
13,9
13.083333333333334,8
13.166666666666666,7
13.25,9
13.333333333333334,7
13.416666666666666,8
13.5,10
13.583333333333334,10
13.666666666666666,9
13.75,11
13.833333333333334,10
13.916666666666666,9
14,8
14.083333333333334,8
14.166666666666666,10
14.25,10
14.333333333333334,7
14.416666666666666,9
14.5,11
14.583333333333334,9
14.666666666666666,9
14.75,11
14.833333333333334,7
14.916666666666666,8
15,8
15.083333333333334,7
15.166666666666666,10
15.25,11
15.333333333333334,11
15.416666666666666,9
15.5,10
15.583333333333334,10
15.666666666666666,9
15.75,8
15.833333333333334,10
15.916666666666666,11
16,11
16.083333333333332,8
16.166666666666668,9
16.25,10
16.333333333333332,9
16.416666666666668,12
16.5,9
16.583333333333332,10
16.666666666666668,9
16.75,10
16.833333333333332,13
16.916666666666668,12
17,9
17.083333333333332,11
17.166666666666668,11
17.25,11
17.333333333333332,10
17.416666666666668,10
17.5,9
17.583333333333332,12
17.666666666666668,11
17.75,11
17.833333333333332,12
17.916666666666668,11
18,11
18.083333333333332,11
18.166666666666668,10
18.25,10
18.333333333333332,11
18.416666666666668,10
18.5,10
18.583333333333332,12
18.666666666666668,11
18.75,11
18.833333333333332,10
18.916666666666668,11
19,10
19.083333333333332,11
19.166666666666668,11
19.25,11
19.333333333333332,13
19.416666666666668,11
19.5,10
19.583333333333332,10
19.666666666666668,11
19.75,9
19.833333333333332,9
19.916666666666668,12
20,11
20.083333333333332,13
20.166666666666668,9
20.25,10
20.333333333333332,10
20.416666666666668,10
20.5,12
20.583333333333332,11
20.666666666666668,13
20.75,12
20.833333333333332,13
20.916666666666668,11
21,12
21.083333333333332,10
21.166666666666668,11
21.25,12
21.333333333333332,11
21.416666666666668,9
21.5,13
21.583333333333332,12
21.666666666666668,13
21.75,11
21.833333333333332,12
21.916666666666668,10
22,12
22.083333333333332,12
22.166666666666668,13
22.25,12
22.333333333333332,13
22.416666666666668,12
22.5,11
22.583333333333332,12
22.666666666666668,11
22.75,13
22.833333333333332,11
22.916666666666668,11
23,12
23.083333333333332,10
23.166666666666668,11
23.25,12
23.333333333333332,13
23.416666666666668,11
23.5,12
23.583333333333332,13
23.666666666666668,14
23.75,13
23.833333333333332,11
23.916666666666668,13
24,12
24.083333333333332,10
24.166666666666668,13
24.25,10
24.333333333333332,10
24.416666666666668,12
24.5,13
24.583333333333332,12
24.666666666666668,10
24.75,12
24.833333333333332,14
24.916666666666668,12
25,12
25.083333333333332,10
25.166666666666668,11
25.25,13
25.333333333333332,13
25.416666666666668,10
25.5,11
25.583333333333332,13
25.666666666666668,10
25.75,12
25.833333333333332,14
25.916666666666668,12
26,12
26.083333333333332,10
26.166666666666668,13
26.25,12
26.333333333333332,13
26.416666666666668,12
26.5,11
26.583333333333332,14
26.666666666666668,12
26.75,13
26.833333333333332,11
26.916666666666668,12
27,13
27.083333333333332,13
27.166666666666668,13
27.25,11
27.333333333333332,12
27.416666666666668,11
27.5,11
27.583333333333332,11
27.666666666666668,13
27.75,12
27.833333333333332,12
27.916666666666668,12
28,13
28.083333333333332,13
28.166666666666668,14
28.25,10
28.333333333333332,12
28.416666666666668,12
28.5,13
28.583333333333332,10
28.666666666666668,14
28.75,13
28.833333333333332,11
28.916666666666668,14
29,13
29.083333333333332,12
29.166666666666668,12
29.25,11
29.333333333333332,11
29.416666666666668,10
29.5,13
29.583333333333332,14
29.666666666666668,11
29.75,13
29.833333333333332,11
29.916666666666668,12
30,11
30.083333333333332,11
30.166666666666668,12
30.25,11
30.333333333333332,12
30.416666666666668,11
30.5,13
30.583333333333332,11
30.666666666666668,11
30.75,14
30.833333333333332,12
30.916666666666668,10
31,14
31.083333333333332,11
31.166666666666668,11
31.25,11
31.333333333333332,12
31.416666666666668,13
31.5,12
31.583333333333332,12
31.666666666666668,12
31.75,13
31.833333333333332,12
31.916666666666668,13
32,10
32.083333333333336,12
32.166666666666664,13
32.25,14
32.333333333333336,12
32.416666666666664,11
32.5,10
32.583333333333336,13
32.666666666666664,13
32.75,11
32.833333333333336,13
32.916666666666664,12
33,12
33.083333333333336,12
33.166666666666664,11
33.25,11
33.333333333333336,12
33.416666666666664,13
33.5,12
33.583333333333336,12
33.666666666666664,12
33.75,11
33.833333333333336,13
33.916666666666664,10
34,11
34.083333333333336,11
34.166666666666664,10
34.25,11
34.333333333333336,10
34.416666666666664,12
34.5,14
34.583333333333336,12
34.666666666666664,12
34.75,14
34.833333333333336,13
34.916666666666664,13
35,12
35.083333333333336,12
35.166666666666664,12
35.25,12
35.333333333333336,13
35.416666666666664,12
35.5,12
35.583333333333336,12
35.666666666666664,14
35.75,11
35.833333333333336,13
35.916666666666664,12
36,10
36.083333333333336,14
36.166666666666664,12
36.25,12
36.333333333333336,12
36.416666666666664,13
36.5,13
36.583333333333336,12
36.666666666666664,14
36.75,14
36.833333333333336,12
36.916666666666664,13
37,13
37.083333333333336,12
37.166666666666664,11
37.25,12
37.333333333333336,12
37.416666666666664,13
37.5,13
37.583333333333336,12
37.666666666666664,13
37.75,12
37.833333333333336,14
37.916666666666664,13
38,13
38.083333333333336,10
38.166666666666664,12
38.25,14
38.333333333333336,14
38.416666666666664,15
38.5,14
38.583333333333336,12
38.666666666666664,12
38.75,15
