"Hours since thread went live","Vampire Dormitory - Episode 4 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,1
0.25,2
0.3333333333333333,2
0.4166666666666667,1
0.5,2
0.5833333333333334,5
0.6666666666666666,4
0.75,5
0.8333333333333334,6
0.9166666666666666,6
1,7
1.0833333333333333,8
1.1666666666666667,7
1.25,8
1.3333333333333333,8
1.4166666666666667,11
1.5,10
1.5833333333333333,11
1.6666666666666667,11
1.75,12
1.8333333333333333,13
1.9166666666666667,12
2,10
2.0833333333333335,10
2.1666666666666665,12
2.25,12
2.3333333333333335,15
2.4166666666666665,16
2.5,13
2.5833333333333335,14
2.6666666666666665,15
2.75,16
2.8333333333333335,16
2.9166666666666665,14
3,14
3.0833333333333335,15
3.1666666666666665,16
3.25,16
3.3333333333333335,14
3.4166666666666665,17
3.5,14
3.5833333333333335,16
3.6666666666666665,14
3.75,16
3.8333333333333335,17
3.9166666666666665,18
4,17
4.083333333333333,18
4.166666666666667,18
4.25,16
4.333333333333333,19
4.416666666666667,18
4.5,17
4.583333333333333,17
4.666666666666667,17
4.75,19
4.833333333333333,16
4.916666666666667,16
5,18
5.083333333333333,17
5.166666666666667,16
5.25,20
5.333333333333333,19
5.416666666666667,18
5.5,19
5.583333333333333,21
5.666666666666667,22
5.75,22
5.833333333333333,21
5.916666666666667,21
6,23
6.083333333333333,25
6.166666666666667,27
6.25,28
6.333333333333333,29
6.416666666666667,29
6.5,31
6.583333333333333,30
6.666666666666667,34
6.75,33
6.833333333333333,29
6.916666666666667,27
7,31
7.083333333333333,27
7.166666666666667,31
7.25,29
7.333333333333333,32
7.416666666666667,29
7.5,30
7.583333333333333,30
7.666666666666667,31
7.75,32
7.833333333333333,30
7.916666666666667,31
8,36
8.083333333333334,32
8.166666666666666,30
8.25,31
8.333333333333334,31
8.416666666666666,33
8.5,33
8.583333333333334,30
8.666666666666666,34
8.75,35
8.833333333333334,34
8.916666666666666,32
9,32
9.083333333333334,34
9.166666666666666,36
9.25,37
9.333333333333334,32
9.416666666666666,35
9.5,33
9.583333333333334,33
9.666666666666666,36
9.75,39
9.833333333333334,39
9.916666666666666,36
10,34
10.083333333333334,37
10.166666666666666,38
10.25,42
10.333333333333334,39
10.416666666666666,39
10.5,37
10.583333333333334,41
10.666666666666666,37
10.75,39
10.833333333333334,40
10.916666666666666,36
11,37
11.083333333333334,42
11.166666666666666,38
11.25,38
11.333333333333334,37
11.416666666666666,40
11.5,42
11.583333333333334,42
11.666666666666666,40
11.75,37
11.833333333333334,38
11.916666666666666,41
12,41
12.083333333333334,43
12.166666666666666,42
12.25,39
12.333333333333334,44
12.416666666666666,40
12.5,41
12.583333333333334,44
12.666666666666666,42
12.75,47
12.833333333333334,42
12.916666666666666,45
13,42
13.083333333333334,48
13.166666666666666,44
13.25,44
13.333333333333334,43
13.416666666666666,42
13.5,44
13.583333333333334,46
13.666666666666666,43
13.75,47
13.833333333333334,47
13.916666666666666,48
14,44
14.083333333333334,44
14.166666666666666,47
14.25,45
14.333333333333334,45
14.416666666666666,46
14.5,47
14.583333333333334,48
14.666666666666666,45
14.75,46
14.833333333333334,45
14.916666666666666,49
15,47
15.083333333333334,47
15.166666666666666,45
15.25,48
15.333333333333334,43
15.416666666666666,47
15.5,50
15.583333333333334,45
15.666666666666666,48
15.75,48
15.833333333333334,47
15.916666666666666,49
16,46
16.083333333333332,48
16.166666666666668,44
16.25,51
16.333333333333332,50
16.416666666666668,50
16.5,51
16.583333333333332,49
16.666666666666668,49
16.75,51
16.833333333333332,51
16.916666666666668,51
17,47
17.083333333333332,53
17.166666666666668,48
17.25,48
17.333333333333332,47
17.416666666666668,50
17.5,50
17.583333333333332,50
17.666666666666668,48
17.75,50
17.833333333333332,48
17.916666666666668,50
18,49
18.083333333333332,46
18.166666666666668,48
18.25,50
18.333333333333332,52
18.416666666666668,48
18.5,47
18.583333333333332,47
18.666666666666668,53
18.75,54
18.833333333333332,51
18.916666666666668,48
19,52
19.083333333333332,52
19.166666666666668,49
19.25,48
19.333333333333332,46
19.416666666666668,50
19.5,51
19.583333333333332,54
19.666666666666668,52
19.75,52
19.833333333333332,54
19.916666666666668,53
20,49
20.083333333333332,54
20.166666666666668,53
20.25,51
20.333333333333332,50
20.416666666666668,50
20.5,51
20.583333333333332,52
20.666666666666668,50
20.75,48
20.833333333333332,50
20.916666666666668,51
21,51
21.083333333333332,53
21.166666666666668,49
21.25,54
21.333333333333332,54
21.416666666666668,51
21.5,49
21.583333333333332,54
21.666666666666668,50
21.75,54
21.833333333333332,52
21.916666666666668,50
22,55
22.083333333333332,53
22.166666666666668,52
22.25,52
22.333333333333332,53
22.416666666666668,52
22.5,48
22.583333333333332,53
22.666666666666668,56
22.75,53
22.833333333333332,50
22.916666666666668,54
23,49
23.083333333333332,52
23.166666666666668,53
23.25,53
23.333333333333332,53
23.416666666666668,55
23.5,55
23.583333333333332,52
23.666666666666668,51
23.75,52
23.833333333333332,54
23.916666666666668,53
24,56
24.083333333333332,55
24.166666666666668,54
24.25,52
24.333333333333332,49
24.416666666666668,52
24.5,52
24.583333333333332,55
24.666666666666668,53
24.75,53
24.833333333333332,51
24.916666666666668,54
25,53
25.083333333333332,50
25.166666666666668,54
25.25,53
25.333333333333332,51
25.416666666666668,53
25.5,53
25.583333333333332,53
25.666666666666668,52
25.75,52
25.833333333333332,53
25.916666666666668,55
26,54
26.083333333333332,53
26.166666666666668,51
26.25,56
26.333333333333332,54
26.416666666666668,56
26.5,52
26.583333333333332,54
26.666666666666668,51
26.75,50
26.833333333333332,54
26.916666666666668,49
27,52
27.083333333333332,52
27.166666666666668,52
27.25,53
27.333333333333332,49
27.416666666666668,57
27.5,55
27.583333333333332,52
27.666666666666668,53
27.75,50
27.833333333333332,53
27.916666666666668,53
28,52
28.083333333333332,53
28.166666666666668,56
28.25,52
28.333333333333332,55
28.416666666666668,53
28.5,56
28.583333333333332,55
28.666666666666668,55
28.75,53
28.833333333333332,53
28.916666666666668,54
29,54
29.083333333333332,56
29.166666666666668,55
29.25,55
29.333333333333332,57
29.416666666666668,55
29.5,51
29.583333333333332,57
29.666666666666668,53
29.75,53
29.833333333333332,54
29.916666666666668,56
30,55
30.083333333333332,54
30.166666666666668,51
30.25,56
30.333333333333332,55
30.416666666666668,55
30.5,52
30.583333333333332,56
30.666666666666668,54
30.75,57
30.833333333333332,53
30.916666666666668,56
31,56
31.083333333333332,51
31.166666666666668,56
31.25,52
31.333333333333332,52
31.416666666666668,53
31.5,56
31.583333333333332,54
31.666666666666668,56
31.75,53
31.833333333333332,56
31.916666666666668,53
32,50
32.083333333333336,57
32.166666666666664,54
32.25,54
32.333333333333336,54
32.416666666666664,53
32.5,58
32.583333333333336,58
32.666666666666664,53
32.75,53
32.833333333333336,57
32.916666666666664,58
33,53
33.083333333333336,56
33.166666666666664,54
33.25,54
33.333333333333336,52
33.416666666666664,54
33.5,54
33.583333333333336,55
33.666666666666664,57
33.75,52
33.833333333333336,55
33.916666666666664,56
34,59
34.083333333333336,54
34.166666666666664,56
34.25,52
34.333333333333336,57
34.416666666666664,56
34.5,56
34.583333333333336,54
34.666666666666664,55
34.75,56
34.833333333333336,54
34.916666666666664,55
35,56
35.083333333333336,56
35.166666666666664,52
35.25,55
35.333333333333336,56
35.416666666666664,55
35.5,54
35.583333333333336,54
35.666666666666664,54
35.75,58
35.833333333333336,53
35.916666666666664,56
36,56
36.083333333333336,58
36.166666666666664,54
36.25,54
36.333333333333336,54
36.416666666666664,53
36.5,57
36.583333333333336,56
36.666666666666664,59
36.75,52
36.833333333333336,53
36.916666666666664,54
37,57
37.083333333333336,56
37.166666666666664,53
37.25,54
37.333333333333336,52
37.416666666666664,52
37.5,56
37.583333333333336,54
37.666666666666664,60
37.75,59
37.833333333333336,55
37.916666666666664,56
38,55
38.083333333333336,57
38.166666666666664,58
38.25,54
38.333333333333336,56
38.416666666666664,58
38.5,53
38.583333333333336,57
38.666666666666664,57
38.75,54
38.833333333333336,58
38.916666666666664,56
39,56
39.083333333333336,61
