"Hours since thread went live","Jantama Kan!! • Mahjong Soul Kan!! - Episode 1 discussion"
0,1
0,2
0.08333333333333333,2
0.16666666666666666,3
0.25,4
0.3333333333333333,4
0.4166666666666667,5
0.5,5
0.5833333333333334,6
0.6666666666666666,5
0.75,5
0.8333333333333334,5
0.9166666666666666,5
1,5
1.0833333333333333,5
1.1666666666666667,5
1.25,5
1.3333333333333333,5
1.4166666666666667,4
1.5,6
1.5833333333333333,6
1.6666666666666667,6
1.75,7
1.8333333333333333,7
1.9166666666666667,7
2,6
2.0833333333333335,5
2.1666666666666665,5
2.25,6
2.3333333333333335,6
2.4166666666666665,6
2.5,6
2.5833333333333335,7
2.6666666666666665,8
2.75,9
2.8333333333333335,8
2.9166666666666665,7
3,8
3.0833333333333335,8
3.1666666666666665,9
3.25,10
3.3333333333333335,10
3.4166666666666665,10
3.5,10
3.5833333333333335,12
3.6666666666666665,11
3.75,12
3.8333333333333335,12
3.9166666666666665,10
4,11
4.083333333333333,11
4.166666666666667,11
4.25,11
4.333333333333333,10
4.416666666666667,11
4.5,12
4.583333333333333,12
4.666666666666667,13
4.75,12
4.833333333333333,11
4.916666666666667,12
5,12
5.083333333333333,13
5.166666666666667,13
5.25,13
5.333333333333333,13
5.416666666666667,13
5.5,14
5.583333333333333,14
5.666666666666667,14
5.75,14
5.833333333333333,14
5.916666666666667,15
6,14
6.083333333333333,13
6.166666666666667,15
6.25,13
6.333333333333333,13
6.416666666666667,14
6.5,14
6.583333333333333,14
6.666666666666667,15
6.75,15
6.833333333333333,14
6.916666666666667,14
7,15
7.083333333333333,14
7.166666666666667,14
7.25,16
7.333333333333333,15
7.416666666666667,14
7.5,16
7.583333333333333,16
7.666666666666667,15
7.75,17
7.833333333333333,15
7.916666666666667,16
8,16
8.083333333333334,17
8.166666666666666,15
8.25,17
8.333333333333334,16
8.416666666666666,16
8.5,17
8.583333333333334,17
8.666666666666666,17
8.75,16
8.833333333333334,17
8.916666666666666,17
9,16
9.083333333333334,18
9.166666666666666,17
9.25,17
9.333333333333334,16
9.416666666666666,17
9.5,16
9.583333333333334,16
9.666666666666666,15
9.75,15
9.833333333333334,16
9.916666666666666,17
10,17
10.083333333333334,18
10.166666666666666,16
10.25,19
10.333333333333334,19
10.416666666666666,18
10.5,18
10.583333333333334,18
10.666666666666666,20
10.75,19
10.833333333333334,20
10.916666666666666,21
11,18
11.083333333333334,19
11.166666666666666,19
11.25,18
11.333333333333334,20
11.416666666666666,17
11.5,20
11.583333333333334,19
11.666666666666666,22
11.75,20
11.833333333333334,21
11.916666666666666,20
12,21
12.083333333333334,20
12.166666666666666,22
12.25,20
12.333333333333334,21
12.416666666666666,21
12.5,20
12.583333333333334,20
12.666666666666666,21
12.75,21
12.833333333333334,21
12.916666666666666,20
13,20
13.083333333333334,20
13.166666666666666,23
13.25,21
13.333333333333334,22
13.416666666666666,24
13.5,23
13.583333333333334,24
13.666666666666666,21
13.75,22
13.833333333333334,25
13.916666666666666,25
14,27
14.083333333333334,24
14.166666666666666,26
14.25,28
14.333333333333334,24
14.416666666666666,26
14.5,27
14.583333333333334,25
14.666666666666666,27
14.75,27
14.833333333333334,28
14.916666666666666,27
15,26
15.083333333333334,25
15.166666666666666,26
15.25,26
15.333333333333334,28
15.416666666666666,28
15.5,27
15.583333333333334,26
15.666666666666666,23
15.75,29
15.833333333333334,29
15.916666666666666,28
16,26
16.083333333333332,26
16.166666666666668,29
16.25,27
16.333333333333332,26
16.416666666666668,25
16.5,25
16.583333333333332,27
16.666666666666668,26
16.75,22
16.833333333333332,25
16.916666666666668,24
17,22
17.083333333333332,28
17.166666666666668,26
17.25,26
17.333333333333332,25
17.416666666666668,25
17.5,25
17.583333333333332,23
17.666666666666668,25
17.75,23
17.833333333333332,26
17.916666666666668,25
18,26
18.083333333333332,28
18.166666666666668,27
18.25,24
18.333333333333332,30
18.416666666666668,29
18.5,29
18.583333333333332,28
18.666666666666668,27
18.75,29
18.833333333333332,29
18.916666666666668,28
19,30
19.083333333333332,29
19.166666666666668,27
19.25,27
19.333333333333332,25
19.416666666666668,28
19.5,31
19.583333333333332,31
19.666666666666668,27
19.75,28
19.833333333333332,28
19.916666666666668,29
20,28
20.083333333333332,26
20.166666666666668,30
20.25,28
20.333333333333332,25
20.416666666666668,26
20.5,25
20.583333333333332,28
20.666666666666668,27
20.75,25
20.833333333333332,25
20.916666666666668,26
21,31
21.083333333333332,26
21.166666666666668,28
21.25,27
21.333333333333332,30
21.416666666666668,29
21.5,26
21.583333333333332,26
21.666666666666668,30
21.75,32
21.833333333333332,27
21.916666666666668,29
22,29
22.083333333333332,30
22.166666666666668,30
22.25,27
22.333333333333332,29
22.416666666666668,32
22.5,28
22.583333333333332,30
22.666666666666668,26
22.75,28
22.833333333333332,26
22.916666666666668,30
23,29
23.083333333333332,31
23.166666666666668,29
23.25,27
23.333333333333332,30
23.416666666666668,30
23.5,31
23.583333333333332,29
23.666666666666668,28
23.75,27
23.833333333333332,27
23.916666666666668,29
24,26
24.083333333333332,27
24.166666666666668,29
24.25,28
24.333333333333332,27
24.416666666666668,28
24.5,28
24.583333333333332,30
24.666666666666668,28
24.75,30
24.833333333333332,29
24.916666666666668,31
25,32
25.083333333333332,30
25.166666666666668,26
25.25,26
25.333333333333332,28
25.416666666666668,31
25.5,29
25.583333333333332,28
25.666666666666668,29
25.75,27
25.833333333333332,29
25.916666666666668,26
26,27
26.083333333333332,28
26.166666666666668,28
26.25,32
26.333333333333332,29
26.416666666666668,29
26.5,26
26.583333333333332,31
26.666666666666668,31
26.75,30
26.833333333333332,29
26.916666666666668,30
27,30
27.083333333333332,31
27.166666666666668,32
27.25,29
27.333333333333332,29
27.416666666666668,31
27.5,29
27.583333333333332,30
27.666666666666668,29
27.75,32
27.833333333333332,29
27.916666666666668,26
28,29
28.083333333333332,26
28.166666666666668,29
28.25,28
28.333333333333332,27
28.416666666666668,29
28.5,27
28.583333333333332,29
28.666666666666668,30
28.75,31
28.833333333333332,30
28.916666666666668,32
29,30
29.083333333333332,31
29.166666666666668,26
29.25,28
29.333333333333332,32
29.416666666666668,27
29.5,29
29.583333333333332,31
29.666666666666668,28
29.75,27
29.833333333333332,30
29.916666666666668,29
30,28
30.083333333333332,32
30.166666666666668,27
30.25,32
30.333333333333332,30
30.416666666666668,28
30.5,26
30.583333333333332,31
30.666666666666668,32
30.75,27
30.833333333333332,29
30.916666666666668,29
31,29
31.083333333333332,27
31.166666666666668,31
31.25,26
31.333333333333332,27
31.416666666666668,32
31.5,26
31.583333333333332,31
31.666666666666668,28
31.75,31
31.833333333333332,30
31.916666666666668,30
32,30
32.083333333333336,29
32.166666666666664,33
32.25,29
32.333333333333336,30
32.416666666666664,29
32.5,28
32.583333333333336,30
32.666666666666664,29
32.75,30
32.833333333333336,30
32.916666666666664,27
33,32
33.083333333333336,28
33.166666666666664,31
33.25,30
33.333333333333336,30
33.416666666666664,28
33.5,30
