"Hours since thread went live","Lv2 kara Cheat datta Motoyuusha Kouho no Mattari Isekai Life • Chillin' in Another World with Level 2 Super Cheat Powers - Episode 4 discussion"
0,2
0.08333333333333333,4
0.16666666666666666,5
0.25,5
0.3333333333333333,8
0.4166666666666667,8
0.5,10
0.5833333333333334,16
0.6666666666666666,20
0.75,24
0.8333333333333334,27
0.9166666666666666,34
1,37
1.0833333333333333,43
1.1666666666666667,51
1.25,55
1.3333333333333333,61
1.4166666666666667,64
1.5,67
1.5833333333333333,74
1.6666666666666667,81
1.75,82
1.8333333333333333,90
1.9166666666666667,93
2,99
2.0833333333333335,105
2.1666666666666665,107
2.25,108
2.3333333333333335,114
2.4166666666666665,118
2.5,121
2.5833333333333335,124
2.6666666666666665,128
2.75,133
2.8333333333333335,133
2.9166666666666665,141
3,144
3.0833333333333335,143
3.1666666666666665,147
3.25,151
3.3333333333333335,157
3.4166666666666665,160
3.5,161
3.5833333333333335,160
3.6666666666666665,164
3.75,171
3.8333333333333335,172
3.9166666666666665,175
4,179
4.083333333333333,186
4.166666666666667,189
4.25,195
4.333333333333333,198
4.416666666666667,203
4.5,204
4.583333333333333,206
4.666666666666667,211
4.75,212
4.833333333333333,209
4.916666666666667,214
5,217
5.083333333333333,215
5.166666666666667,222
5.25,218
5.333333333333333,222
5.416666666666667,220
5.5,219
5.583333333333333,218
5.666666666666667,225
5.75,225
5.833333333333333,225
5.916666666666667,228
6,235
6.083333333333333,236
6.166666666666667,236
6.25,237
6.333333333333333,239
6.416666666666667,243
6.5,246
6.583333333333333,246
6.666666666666667,249
6.75,249
6.833333333333333,253
6.916666666666667,253
7,251
7.083333333333333,260
7.166666666666667,256
7.25,261
7.333333333333333,270
7.416666666666667,269
7.5,267
7.583333333333333,267
7.666666666666667,275
7.75,273
7.833333333333333,277
7.916666666666667,280
8,281
8.083333333333334,289
8.166666666666666,291
8.25,287
8.333333333333334,292
8.416666666666666,295
8.5,297
8.583333333333334,300
8.666666666666666,298
8.75,304
8.833333333333334,307
8.916666666666666,309
9,308
9.083333333333334,307
9.166666666666666,307
9.25,314
9.333333333333334,315
9.416666666666666,313
9.5,319
9.583333333333334,313
9.666666666666666,320
9.75,320
9.833333333333334,323
9.916666666666666,328
10,321
10.083333333333334,325
10.166666666666666,327
10.25,324
10.333333333333334,326
10.416666666666666,335
10.5,338
10.583333333333334,339
10.666666666666666,335
10.75,341
10.833333333333334,337
10.916666666666666,340
11,347
11.083333333333334,338
11.166666666666666,345
11.25,345
11.333333333333334,350
11.416666666666666,351
11.5,349
11.583333333333334,352
11.666666666666666,356
11.75,358
11.833333333333334,353
11.916666666666666,358
12,359
12.083333333333334,360
12.166666666666666,359
12.25,366
12.333333333333334,371
12.416666666666666,369
12.5,374
12.583333333333334,373
12.666666666666666,374
12.75,381
12.833333333333334,374
12.916666666666666,380
13,386
13.083333333333334,383
13.166666666666666,388
13.25,388
13.333333333333334,386
13.416666666666666,392
13.5,394
13.583333333333334,392
13.666666666666666,390
13.75,396
13.833333333333334,397
13.916666666666666,398
14,406
14.083333333333334,399
14.166666666666666,400
14.25,404
14.333333333333334,406
14.416666666666666,409
14.5,411
14.583333333333334,407
14.666666666666666,411
14.75,413
14.833333333333334,414
14.916666666666666,415
15,413
15.083333333333334,412
15.166666666666666,415
15.25,419
15.333333333333334,421
15.416666666666666,418
15.5,425
15.583333333333334,423
15.666666666666666,416
15.75,425
15.833333333333334,416
15.916666666666666,422
16,422
16.083333333333332,420
16.166666666666668,422
16.25,423
16.333333333333332,422
16.416666666666668,426
16.5,421
16.583333333333332,416
16.666666666666668,426
16.75,425
16.833333333333332,423
16.916666666666668,429
17,429
17.083333333333332,431
17.166666666666668,433
17.25,435
17.333333333333332,438
17.416666666666668,440
17.5,435
17.583333333333332,440
17.666666666666668,437
17.75,440
17.833333333333332,438
17.916666666666668,437
18,443
18.083333333333332,442
18.166666666666668,442
18.25,442
18.333333333333332,442
18.416666666666668,442
18.5,438
18.583333333333332,438
18.666666666666668,440
18.75,438
18.833333333333332,449
18.916666666666668,449
19,446
19.083333333333332,445
19.166666666666668,445
19.25,447
19.333333333333332,450
19.416666666666668,447
19.5,448
19.583333333333332,450
19.666666666666668,450
19.75,450
19.833333333333332,448
19.916666666666668,447
20,450
20.083333333333332,447
20.166666666666668,447
20.25,446
20.333333333333332,448
20.416666666666668,451
20.5,458
20.583333333333332,449
20.666666666666668,451
20.75,456
20.833333333333332,455
20.916666666666668,458
21,455
21.083333333333332,455
21.166666666666668,454
21.25,456
21.333333333333332,461
21.416666666666668,452
21.5,456
21.583333333333332,455
21.666666666666668,453
21.75,458
21.833333333333332,463
21.916666666666668,455
22,457
22.083333333333332,461
22.166666666666668,460
22.25,461
22.333333333333332,463
22.416666666666668,461
22.5,465
22.583333333333332,462
22.666666666666668,458
22.75,460
22.833333333333332,463
22.916666666666668,461
23,467
23.083333333333332,465
23.166666666666668,467
23.25,464
23.333333333333332,469
23.416666666666668,469
23.5,467
23.583333333333332,466
23.666666666666668,465
23.75,464
23.833333333333332,469
23.916666666666668,468
24,475
24.083333333333332,464
24.166666666666668,470
24.25,472
24.333333333333332,466
24.416666666666668,473
24.5,471
24.583333333333332,472
24.666666666666668,471
24.75,476
24.833333333333332,473
24.916666666666668,469
25,474
25.083333333333332,474
25.166666666666668,476
25.25,475
25.333333333333332,472
25.416666666666668,473
25.5,472
25.583333333333332,472
25.666666666666668,474
25.75,471
25.833333333333332,477
25.916666666666668,479
26,478
26.083333333333332,479
26.166666666666668,470
26.25,474
26.333333333333332,470
26.416666666666668,479
26.5,480
26.583333333333332,473
26.666666666666668,474
26.75,473
26.833333333333332,470
26.916666666666668,474
27,476
27.083333333333332,478
27.166666666666668,476
27.333333333333332,475
27.333333333333332,477
27.416666666666668,481
27.5,484
27.583333333333332,481
27.666666666666668,478
27.75,484
27.833333333333332,480
27.916666666666668,485
28,480
28.083333333333332,484
28.166666666666668,484
28.25,479
28.333333333333332,482
28.416666666666668,481
28.5,489
28.583333333333332,479
28.666666666666668,482
28.75,488
28.833333333333332,484
28.916666666666668,486
29,487
29.083333333333332,486
29.166666666666668,485
29.25,491
29.333333333333332,492
29.416666666666668,483
29.5,484
29.583333333333332,487
29.666666666666668,488
29.75,486
29.833333333333332,486
29.916666666666668,489
30,485
30.083333333333332,492
30.166666666666668,491
30.25,490
30.333333333333332,493
30.416666666666668,489
30.5,490
30.583333333333332,494
30.666666666666668,493
30.75,493
30.833333333333332,489
30.916666666666668,490
31,487
31.083333333333332,495
31.166666666666668,494
31.25,487
31.333333333333332,496
31.416666666666668,489
31.5,491
31.583333333333332,484
31.666666666666668,490
31.75,493
31.833333333333332,492
31.916666666666668,492
32,491
32.083333333333336,492
32.166666666666664,490
32.25,487
32.333333333333336,492
32.416666666666664,487
32.5,489
32.583333333333336,496
32.666666666666664,497
32.75,493
32.833333333333336,489
32.916666666666664,494
33,498
33.083333333333336,493
33.166666666666664,494
33.25,493
33.333333333333336,495
33.416666666666664,495
33.5,497
33.583333333333336,497
33.666666666666664,496
33.75,499
33.833333333333336,497
33.916666666666664,499
34,497
34.083333333333336,496
34.166666666666664,499
34.25,503
34.333333333333336,499
34.416666666666664,496
34.5,499
34.583333333333336,502
34.666666666666664,499
34.75,498
34.833333333333336,505
34.916666666666664,503
35,500
35.083333333333336,506
35.166666666666664,504
35.25,498
35.333333333333336,504
35.416666666666664,504
35.5,502
35.583333333333336,501
35.666666666666664,502
35.75,499
35.833333333333336,500
35.916666666666664,503
36,497
36.083333333333336,500
36.166666666666664,500
36.25,502
36.333333333333336,504
36.416666666666664,500
36.5,499
36.583333333333336,505
36.666666666666664,510
36.75,505
36.833333333333336,505
36.916666666666664,506
37,502
37.083333333333336,505
37.166666666666664,502
37.25,509
37.333333333333336,509
37.416666666666664,501
37.5,502
37.583333333333336,506
37.666666666666664,508
37.75,509
37.833333333333336,502
37.916666666666664,503
38,509
38.083333333333336,504
38.166666666666664,508
38.25,511
38.333333333333336,502
38.416666666666664,503
38.5,505
38.583333333333336,511
38.666666666666664,503
38.75,511
38.833333333333336,509
38.916666666666664,510
39,507
39.083333333333336,508
39.166666666666664,508
39.25,507
39.333333333333336,506
39.416666666666664,508
39.5,508
39.583333333333336,505
39.666666666666664,509
39.75,509
39.833333333333336,507
39.916666666666664,507
40,502
40.083333333333336,504
40.166666666666664,503
40.25,508
40.333333333333336,502
40.416666666666664,511
40.5,509
40.583333333333336,508
40.666666666666664,507
40.75,506
40.833333333333336,508
40.916666666666664,504
41,508
41.083333333333336,510
41.166666666666664,506
41.25,513
41.333333333333336,511
41.416666666666664,506
41.5,505
41.583333333333336,511
41.666666666666664,514
41.75,504
41.833333333333336,507
41.916666666666664,510
42,507
42.083333333333336,510
42.166666666666664,507
42.25,513
42.333333333333336,511
42.416666666666664,511
42.5,511
42.583333333333336,509
42.666666666666664,514
42.75,508
42.833333333333336,515
42.916666666666664,511
43,512
43.083333333333336,509
